,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,105.8,106.46,104.46,105.95,105.95,4559845,0.0,1.0
1,2020-09-18,106.56,107.99,106.14,106.86,106.86,7622454,0.0,1.0
2,2020-09-17,104.96,106.75,104.3922,106.66,106.66,4283743,0.0,1.0
3,2020-09-16,106.95,107.37,105.66,105.7,105.7,4244419,0.0,1.0
4,2020-09-15,107.0,107.53,106.17,106.58,106.58,3654948,0.0,1.0
5,2020-09-14,105.59,106.66,105.12,105.69,105.69,3824100,0.0,1.0
6,2020-09-11,105.28,105.7,104.3248,104.7,104.7,4111262,0.0,1.0
7,2020-09-10,105.6,105.6,103.73,104.0,104.0,4271232,0.0,1.0
8,2020-09-09,104.26,106.9299,104.13,105.81,105.81,4365102,0.0,1.0
9,2020-09-08,103.17,103.8164,102.43,102.84,102.84,5217691,0.0,1.0
10,2020-09-04,105.45,106.04,102.42,104.16,104.16,5027723,0.0,1.0
11,2020-09-03,108.7,108.94,104.3,105.53,105.53,6096925,0.0,1.0
12,2020-09-02,106.45,109.91,105.88,109.44,109.44,5843679,0.0,1.0
13,2020-09-01,108.93,109.065,105.58,106.55,106.55,7967973,0.0,1.0
14,2020-08-31,110.7,111.74,109.26,109.47,109.47,6943209,0.0,1.0
15,2020-08-28,113.54,114.195,109.405,110.79,110.79,17203952,0.0,1.0
16,2020-08-27,111.01,114.0,109.52,111.29,111.29,36319012,0.0,1.0
17,2020-08-26,101.99,103.29,101.26,103.19,103.19,2968816,0.0,1.0
18,2020-08-25,101.98,102.9026,101.52,102.47,102.47,2626522,0.0,1.0
19,2020-08-24,102.7,103.23,100.7,101.39,101.39,3212943,0.0,1.0
20,2020-08-21,101.63,102.54,100.84,102.4,102.4,3585115,0.0,1.0
21,2020-08-20,99.99,102.02,99.75,101.63,101.63,3548902,0.0,1.0
22,2020-08-19,101.08,101.62,100.33,100.48,100.48,2716887,0.0,1.0
23,2020-08-18,101.09,101.72,100.43,100.96,100.96,3777618,0.0,1.0
24,2020-08-17,100.3,101.42,100.21,100.71,100.71,4648235,0.0,1.0
25,2020-08-14,100.93,101.22,99.575,99.99,99.99,2740192,0.0,1.0
26,2020-08-13,100.34,101.2693,100.0,101.1,101.1,2951812,0.0,1.0
27,2020-08-12,99.55,101.1,99.315,100.65,100.65,2668968,0.0,1.0
28,2020-08-11,100.43,100.43,98.67,99.06,99.06,4823354,0.0,1.0
29,2020-08-10,100.94,101.26,100.03,100.04,100.04,2776738,0.0,1.0
30,2020-08-07,101.6999,102.3,100.56,101.23,101.23,3141906,0.0,1.0
31,2020-08-06,101.52,101.8,99.92,101.75,101.75,3942990,0.0,1.0
32,2020-08-05,99.97,102.36,99.88,102.14,102.14,4416036,0.0,1.0
33,2020-08-04,100.16,100.68,99.28,99.93,99.93,2730588,0.0,1.0
34,2020-08-03,101.08,101.55,100.21,100.68,100.68,3671149,0.0,1.0
35,2020-07-31,101.21,101.37,99.12,100.64,100.64,4604259,0.0,1.0
36,2020-07-30,100.98,101.58,100.24,101.53,101.53,3176855,0.0,1.0
37,2020-07-29,100.18,102.8931,100.09,102.52,102.52,4744441,0.0,1.0
38,2020-07-28,100.14,100.79,99.27,99.86,99.86,4114163,0.0,1.0
39,2020-07-27,98.55,100.28,98.4111,99.99,99.99,3718001,0.0,1.0
40,2020-07-24,100.21,100.21,98.36,98.95,98.95,4534668,0.0,1.0
41,2020-07-23,100.28,101.98,100.07,100.82,100.82,5905762,0.0,1.0
42,2020-07-22,98.11,100.57,98.0,100.19,100.19,4662048,0.0,1.0
43,2020-07-21,98.88,99.48,97.76,98.19,98.19,5063453,0.0,1.0
44,2020-07-20,100.0,100.71,98.72,99.08,99.08,5676584,0.0,1.0
45,2020-07-17,97.87,100.0,97.68,99.25,99.25,8315400,0.0,1.0
46,2020-07-16,97.85,97.99,94.29,96.4,96.4,7543300,0.0,1.0
47,2020-07-15,95.9,97.13,95.77,96.73,96.73,6201200,0.0,1.0
48,2020-07-14,92.64,94.98,91.71,94.82,94.82,4121100,0.36,1.0
49,2020-07-13,93.14,95.62,92.79,93.09,92.7379,4296600,0.0,1.0
50,2020-07-10,93.47,93.8,92.32,93.04,92.6881,2923100,0.0,1.0
51,2020-07-09,92.74,94.88,91.85,93.67,93.3157,4575900,0.0,1.0
52,2020-07-08,92.84,93.67,91.5,92.58,92.2298,3815700,0.0,1.0
53,2020-07-07,92.46,93.4,92.09,92.46,92.1103,3389200,0.0,1.0
54,2020-07-06,92.76,93.97,92.45,92.97,92.6184,5918400,0.0,1.0
55,2020-07-02,92.5,93.06,91.93,92.23,91.8812,3845600,0.0,1.0
56,2020-07-01,91.98,91.98,90.43,91.64,91.2934,3393200,0.0,1.0
57,2020-06-30,88.75,91.9,88.44,91.43,91.0842,5220800,0.0,1.0
58,2020-06-29,89.58,89.7,88.09,89.01,88.6733,4666300,0.0,1.0
59,2020-06-26,89.82,89.95,87.94,88.71,88.3745,8521900,0.0,1.0
60,2020-06-25,87.24,89.81,86.16,89.62,89.281,5781100,0.0,1.0
61,2020-06-24,90.63,90.73,86.82,87.3,86.9698,6140700,0.0,1.0
