,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,232.84,233.98,230.03,233.91,233.91,2305943,0.0,1.0
1,2020-09-18,234.62,238.4,233.43,236.18,236.18,3676439,0.0,1.0
2,2020-09-17,237.4,239.09,233.8786,236.82,236.82,2002494,0.0,1.0
3,2020-09-16,241.46,244.9,239.17,239.42,239.42,1800765,0.0,1.0
4,2020-09-15,240.37,242.8,239.0,240.2,240.2,1297452,0.0,1.0
5,2020-09-14,237.6,240.99,236.81,238.83,238.83,1576394,0.0,1.0
6,2020-09-11,236.43,237.76,233.2454,234.77,234.77,1301052,0.0,1.0
7,2020-09-10,241.0,243.99,232.11,233.65,233.65,2024101,0.0,1.0
8,2020-09-09,236.8,241.36,234.81,238.91,238.91,1670232,0.0,1.0
9,2020-09-08,231.05,236.0,230.621,232.65,232.65,2361218,0.0,1.0
10,2020-09-04,240.17,240.87,231.905,236.07,236.07,1946413,0.0,1.0
11,2020-09-03,245.1,246.1438,237.13,238.98,238.98,2350609,0.0,1.0
12,2020-09-02,241.9,247.82,240.84,247.18,247.18,1702838,0.0,1.0
13,2020-09-01,238.49,240.02,237.2,240.02,240.02,1914529,0.0,1.0
14,2020-08-31,243.3,243.535,239.1,239.93,239.93,2001139,0.0,1.0
15,2020-08-28,241.97,243.22,240.26,242.99,242.99,1212222,0.0,1.0
16,2020-08-27,242.37,242.77,240.0,240.87,240.87,1295301,0.0,1.0
17,2020-08-26,238.67,241.2548,238.11,240.45,240.45,2322181,0.0,1.0
18,2020-08-25,237.93,238.73,236.71,238.21,238.21,1501748,0.0,1.0
19,2020-08-24,238.06,239.36,235.85,237.75,237.75,1293235,0.0,1.0
20,2020-08-21,236.86,238.3,235.0003,237.49,237.49,1976079,0.0,1.0
21,2020-08-20,233.94,236.95,233.58,236.61,236.61,1279294,0.0,1.0
22,2020-08-19,233.8,236.5034,233.8,234.63,234.63,1671516,0.0,1.0
23,2020-08-18,233.35,234.93,232.58,234.23,234.23,1475804,0.0,1.0
24,2020-08-17,231.45,233.77,230.98,232.62,232.62,1393451,0.0,1.0
25,2020-08-14,230.57,231.93,229.41,230.25,230.25,1130457,0.0,1.0
26,2020-08-13,229.59,232.3784,228.93,231.73,231.73,1745756,0.0,1.0
27,2020-08-12,230.3,231.32,229.25,229.75,229.75,1512854,0.0,1.0
28,2020-08-11,230.58,232.51,228.16,228.57,228.57,1757172,0.0,1.0
29,2020-08-10,229.69,231.26,229.52,230.34,230.34,1315745,0.0,1.0
30,2020-08-07,229.25,231.87,228.72,231.56,231.56,1275413,0.0,1.0
31,2020-08-06,227.68,230.97,227.68,230.89,230.89,1318042,0.0,1.0
32,2020-08-05,227.94,229.4,227.46,228.7,228.7,1155421,0.0,1.0
33,2020-08-04,226.29,227.78,225.55,227.15,227.15,1260453,0.0,1.0
34,2020-08-03,225.0,228.0043,224.46,227.18,227.18,1631729,0.0,1.0
35,2020-07-31,223.89,224.95,220.9,224.78,224.78,1495514,0.0,1.0
36,2020-07-30,220.81,223.99,219.78,223.98,223.98,1408580,0.0,1.0
37,2020-07-29,221.98,225.4,221.93,224.38,224.38,1474142,0.0,1.0
38,2020-07-28,223.04,224.76,221.9,222.18,222.18,1422267,0.0,1.0
39,2020-07-27,221.5,224.52,220.825,223.32,223.32,1523192,0.0,1.0
40,2020-07-24,220.21,223.17,220.21,221.44,221.44,1542280,0.0,1.0
41,2020-07-23,224.08,225.51,221.37,222.3,222.3,1444898,0.0,1.0
42,2020-07-22,222.75,224.74,222.44,224.23,224.23,1488034,0.0,1.0
43,2020-07-21,224.9,225.74,222.44,222.75,222.75,1546138,0.0,1.0
44,2020-07-20,222.0,224.11,220.11,223.43,223.43,1371783,0.0,1.0
45,2020-07-17,219.69,222.64,218.3,221.94,221.94,2069700,0.0,1.0
46,2020-07-16,219.78,220.63,218.6,219.11,219.11,1408400,0.0,1.0
47,2020-07-15,220.0,222.75,218.46,219.76,219.76,2193500,0.8,1.0
48,2020-07-14,214.8,219.37,213.51,219.16,218.3651,1747800,0.0,1.0
49,2020-07-13,221.33,221.87,215.23,215.74,214.9575,2090000,0.0,1.0
50,2020-07-10,219.0,220.86,217.67,220.26,219.4611,1373600,0.0,1.0
51,2020-07-09,218.47,220.61,216.23,219.31,218.5145,1756700,0.0,1.0
52,2020-07-08,217.47,219.15,216.34,218.89,218.0961,1750700,0.0,1.0
53,2020-07-07,216.32,219.87,216.12,216.33,215.5453,1783800,0.0,1.0
54,2020-07-06,217.76,219.66,216.31,217.55,216.7609,1934500,0.0,1.0
55,2020-07-02,216.57,218.45,214.9,215.72,214.9376,2003400,0.0,1.0
56,2020-07-01,214.5,216.9,213.88,214.59,213.8117,2126000,0.0,1.0
57,2020-06-30,212.37,215.64,212.13,214.72,213.9412,3136400,0.0,1.0
58,2020-06-29,210.15,213.39,210.15,212.72,211.9484,2247900,0.0,1.0
59,2020-06-26,216.78,216.93,211.07,212.47,211.6993,3348400,0.0,1.0
60,2020-06-25,213.0,217.89,211.5,217.32,216.5318,4689700,0.0,1.0
61,2020-06-24,205.51,207.4,200.5,201.84,201.1079,2752600,0.0,1.0
62,2020-06-23,205.37,209.68,205.37,207.4,206.6477,2203800,0.0,1.0
63,2020-06-22,200.8,204.08,199.47,202.6,201.8651,2453600,0.0,1.0
64,2020-06-19,207.54,208.29,201.52,201.55,200.819,3710000,0.0,1.0
65,2020-06-18,201.73,203.17,199.29,202.93,202.1939,2227300,0.0,1.0
66,2020-06-17,206.03,206.33,203.65,205.2,204.4557,1594800,0.0,1.0
67,2020-06-16,203.36,206.88,202.12,204.4,203.6586,2154000,0.0,1.0
68,2020-06-15,196.49,200.74,194.83,199.79,199.0653,2310800,0.0,1.0
69,2020-06-12,201.1,202.43,197.31,201.59,200.8588,2590100,0.0,1.0
70,2020-06-11,205.52,205.95,195.88,195.95,195.2393,4046600,0.0,1.0
71,2020-06-10,207.26,210.83,205.9,209.43,208.6704,2076600,0.0,1.0
72,2020-06-09,209.39,209.79,205.5,207.34,206.588,2269500,0.0,1.0
73,2020-06-08,207.51,211.32,207.0,211.28,210.5137,1626900,0.0,1.0
74,2020-06-05,205.99,209.72,204.79,208.49,207.7338,2537900,0.0,1.0
75,2020-06-04,206.09,207.79,202.33,203.1,202.3633,2451400,0.0,1.0
76,2020-06-03,204.42,207.83,204.31,207.28,206.5282,1605400,0.0,1.0
77,2020-06-02,204.09,205.79,202.34,205.78,205.0336,1939100,0.0,1.0
78,2020-06-01,201.54,203.75,199.87,203.38,202.6423,1530700,0.0,1.0
79,2020-05-29,201.49,202.41,198.69,201.62,200.8887,2535400,0.0,1.0
80,2020-05-28,200.01,204.18,200.01,201.67,200.9385,2280600,0.0,1.0
81,2020-05-27,198.38,199.95,196.21,199.93,199.2048,2000500,0.0,1.0
82,2020-05-26,199.42,199.99,196.03,196.4,195.6876,2408700,0.0,1.0
83,2020-05-22,194.08,194.89,191.13,193.71,193.0074,1317500,0.0,1.0
84,2020-05-21,194.7,195.52,192.7,193.5,192.7982,1373000,0.0,1.0
85,2020-05-20,192.5,195.67,192.23,195.18,194.4721,2294800,0.0,1.0
86,2020-05-19,192.5,194.51,189.92,190.09,189.4005,1784100,0.0,1.0
87,2020-05-18,189.0,194.14,188.11,192.75,192.0509,2254700,0.0,1.0
88,2020-05-15,178.37,183.96,177.83,183.88,183.213,3630000,0.0,1.0
89,2020-05-14,178.7,180.01,174.94,179.99,179.3372,2773300,0.0,1.0
90,2020-05-13,185.04,185.14,178.75,181.0,180.3435,2349300,0.0,1.0
91,2020-05-12,187.84,189.99,185.69,185.72,185.0464,1912300,0.0,1.0
92,2020-05-11,186.49,189.53,185.29,187.75,187.069,2013800,0.0,1.0
93,2020-05-08,188.99,189.85,187.68,188.56,187.8761,1778600,0.0,1.0
94,2020-05-07,182.99,187.43,182.5,187.11,186.4313,2295400,0.0,1.0
95,2020-05-06,182.1,182.5,179.05,180.38,179.7257,1474900,0.0,1.0
96,2020-05-05,182.08,183.89,181.0,181.62,180.9612,1621900,0.0,1.0
97,2020-05-04,177.98,180.64,176.88,179.53,178.8788,1710900,0.0,1.0
98,2020-05-01,181.71,182.99,179.26,180.09,179.4368,2064200,0.0,1.0
99,2020-04-30,185.53,186.48,184.19,185.19,184.5183,2740800,0.0,1.0
100,2020-04-29,182.31,188.17,181.7,187.56,186.8797,2957600,0.0,1.0
101,2020-04-28,182.08,183.26,176.91,178.36,177.7131,2160100,0.0,1.0
102,2020-04-27,176.23,180.54,176.2,179.43,178.7792,2457800,0.0,1.0
103,2020-04-24,176.4,176.4,172.57,175.46,174.8236,2121100,0.0,1.0
104,2020-04-23,173.36,175.32,172.14,172.9,172.2729,3027900,0.0,1.0
105,2020-04-22,170.04,173.34,169.21,172.31,171.685,1921200,0.0,1.0
106,2020-04-21,170.82,172.8,165.71,166.24,165.637,2711400,0.0,1.0
107,2020-04-20,172.59,176.9,171.76,174.74,174.1062,2511700,0.0,1.0
108,2020-04-17,172.52,175.16,172.05,175.09,174.4549,4759100,0.0,1.0
109,2020-04-16,171.26,172.05,167.52,167.95,167.3408,3051100,0.0,1.0
110,2020-04-15,174.3,174.31,168.89,169.45,168.8354,2504600,0.8,1.0
111,2020-04-14,177.0,178.89,176.02,178.1,176.6202,2875000,0.0,1.0
112,2020-04-13,176.18,177.01,169.56,172.57,171.1361,1918400,0.0,1.0
113,2020-04-09,173.23,179.87,172.51,177.92,176.4417,3743700,0.0,1.0
114,2020-04-08,166.58,172.69,165.07,171.73,170.3031,2466200,0.0,1.0
115,2020-04-07,171.08,171.49,163.93,164.12,162.7563,3002500,0.0,1.0
116,2020-04-06,158.98,166.75,157.04,166.05,164.6703,3090000,0.0,1.0
117,2020-04-03,155.6,158.72,148.28,152.15,150.8858,3766600,0.0,1.0
118,2020-04-02,154.05,160.5,153.55,156.27,154.9715,3030000,0.0,1.0
119,2020-04-01,158.57,160.82,152.58,154.68,153.3948,2973100,0.0,1.0
120,2020-03-31,167.43,169.88,162.16,163.26,161.9035,2956500,0.0,1.0
121,2020-03-30,164.12,170.37,163.78,169.82,168.409,2731300,0.0,1.0
122,2020-03-27,165.0,169.29,160.61,162.88,161.5266,3802400,0.0,1.0
123,2020-03-26,153.4,171.6,150.0,171.34,169.9163,5194400,0.0,1.0
124,2020-03-25,156.44,159.69,148.11,151.82,150.5585,4795500,0.0,1.0
125,2020-03-24,152.26,157.63,149.49,156.85,155.5467,4684000,0.0,1.0
126,2020-03-23,148.01,148.01,137.15,143.69,142.4961,6173700,0.0,1.0
127,2020-03-20,157.53,159.47,147.42,149.94,148.6941,6449700,0.0,1.0
128,2020-03-19,151.36,177.8,151.36,158.5,157.183,6338200,0.0,1.0
129,2020-03-18,151.57,159.8,142.0,151.15,149.8941,5858300,0.0,1.0
130,2020-03-17,154.0,160.66,152.48,157.71,156.3996,6081100,0.0,1.0
131,2020-03-16,148.29,166.51,143.51,152.54,151.2725,5324900,0.0,1.0
132,2020-03-13,160.62,166.71,152.93,166.51,165.1265,5741800,0.0,1.0
133,2020-03-12,153.0,158.75,147.08,152.53,151.2626,6357900,0.0,1.0
134,2020-03-11,169.32,171.17,162.65,165.11,163.7381,5076100,0.0,1.0
135,2020-03-10,171.08,174.74,166.04,174.56,173.1096,4349500,0.0,1.0
136,2020-03-09,165.4,170.88,160.1,164.11,162.7464,5112200,0.0,1.0
137,2020-03-06,177.45,180.31,173.92,178.75,177.2648,3284400,0.0,1.0
138,2020-03-05,185.09,187.46,180.92,182.56,181.0431,3548200,0.0,1.0
139,2020-03-04,185.8,189.71,184.3,188.86,187.2908,3875400,0.0,1.0
140,2020-03-03,189.77,191.9,180.62,182.22,180.7059,3514000,0.0,1.0
141,2020-03-02,182.0,189.82,178.02,189.55,187.975,4317900,0.0,1.0
142,2020-02-28,180.26,183.2,175.3,180.59,179.0895,5785200,0.0,1.0
143,2020-02-27,192.2,194.35,186.37,186.44,184.8909,3040100,0.0,1.0
144,2020-02-26,198.67,201.45,194.79,195.67,194.0442,2671100,0.0,1.0
145,2020-02-25,204.78,205.48,195.86,197.1,195.4623,2882900,0.0,1.0
146,2020-02-24,204.47,207.87,203.45,204.36,202.662,2600400,0.0,1.0
147,2020-02-21,212.59,213.55,210.49,211.89,210.1294,2088800,0.0,1.0
148,2020-02-20,215.88,216.32,211.61,213.9,212.1227,1481700,0.0,1.0
149,2020-02-19,215.0,216.39,214.38,215.92,214.1259,1806000,0.0,1.0
150,2020-02-18,212.5,214.06,211.2,213.76,211.9839,1699400,0.0,1.0
151,2020-02-14,213.25,213.54,211.35,212.37,210.6054,2096600,0.0,1.0
152,2020-02-13,209.87,213.54,209.34,212.4,210.6352,1721200,0.0,1.0
153,2020-02-12,212.2,212.87,211.54,211.99,210.2286,1801300,0.0,1.0
154,2020-02-11,213.38,213.98,211.76,212.14,210.3773,1321000,0.0,1.0
155,2020-02-10,210.19,212.97,210.19,212.55,210.7839,1421600,0.0,1.0
156,2020-02-07,213.34,213.39,211.09,211.58,209.822,1447700,0.0,1.0
157,2020-02-06,213.0,214.38,212.31,214.16,212.3805,1611500,0.0,1.0
158,2020-02-05,213.89,214.46,210.41,212.22,210.4567,2102500,0.0,1.0
159,2020-02-04,210.0,213.79,209.75,212.53,210.7641,2242800,0.0,1.0
160,2020-02-03,205.34,208.42,205.25,207.8,206.0734,2345700,0.0,1.0
161,2020-01-31,208.5,209.63,204.0,205.21,203.5049,1793600,0.0,1.0
162,2020-01-30,207.5,208.93,205.2,208.37,206.6386,1579600,0.0,1.0
163,2020-01-29,210.68,211.21,207.79,207.96,206.232,1491600,0.0,1.0
164,2020-01-28,207.87,210.96,207.25,210.24,208.4931,1810200,0.0,1.0
165,2020-01-27,205.18,207.84,204.85,206.55,204.8338,1381300,0.0,1.0
166,2020-01-24,211.0,211.59,208.05,208.57,206.837,2348900,0.0,1.0
167,2020-01-23,209.4,210.81,208.87,210.68,208.9294,2368400,0.0,1.0
168,2020-01-22,210.2,211.86,209.35,209.41,207.67,1873600,0.0,1.0
169,2020-01-21,207.5,210.16,207.0,209.15,207.4122,2687200,0.0,1.0
170,2020-01-17,210.0,210.65,208.35,209.2,207.4617,2584500,0.0,1.0
171,2020-01-16,208.14,209.1,207.9,208.98,207.2436,2691600,0.0,1.0
172,2020-01-15,208.0,208.44,206.73,207.26,205.5379,1986000,0.8,1.0
173,2020-01-14,209.55,211.0,207.03,207.73,205.2119,2499100,0.0,1.0
174,2020-01-13,207.49,209.84,207.49,209.59,207.0493,2202800,0.0,1.0
175,2020-01-10,206.93,208.31,206.73,207.66,205.1427,1573100,0.0,1.0
176,2020-01-09,205.5,207.28,205.16,206.15,203.651,2910600,0.0,1.0
177,2020-01-08,204.0,205.45,203.53,204.33,201.8531,2271300,0.0,1.0
178,2020-01-07,203.2,206.26,203.19,203.93,201.4579,3098300,0.0,1.0
179,2020-01-06,208.27,208.79,206.81,208.43,205.9034,2840000,0.0,1.0
