,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,114.14,114.75,112.905,114.7,114.7,2219551,0.0,1.0
1,2020-09-21,112.97,114.04,111.88,113.93,113.93,3282543,0.0,1.0
2,2020-09-18,116.04,116.3,114.09,114.91,114.91,5849921,0.0,1.0
3,2020-09-17,112.81,115.63,112.599,115.49,115.49,2537835,0.0,1.0
4,2020-09-16,117.01,117.73,115.44,115.56,115.56,2476790,0.0,1.0
5,2020-09-15,115.52,116.98,115.15,116.06,116.06,2237271,0.0,1.0
6,2020-09-14,115.78,115.78,113.69,114.62,114.62,2350918,0.0,1.0
7,2020-09-11,115.12,115.79,112.5,113.8,113.8,2361878,0.0,1.0
8,2020-09-10,115.81,116.85,113.67,114.27,114.27,2403914,0.0,1.0
9,2020-09-09,114.96,116.245,114.21,115.46,115.46,3698529,0.0,1.0
10,2020-09-08,114.39,116.24,112.8,112.93,112.93,5379056,0.0,1.0
11,2020-09-04,117.11,118.385,114.25,117.44,117.44,3766435,0.0,1.0
12,2020-09-03,121.35,121.36,116.76,117.12,117.12,5880259,0.0,1.0
13,2020-09-02,119.13,122.52,118.75,121.83,121.83,5158073,0.0,1.0
14,2020-09-01,117.79,118.87,116.86,118.76,118.76,2787316,0.0,1.0
15,2020-08-31,118.75,118.98,116.8,116.88,116.88,2948174,0.0,1.0
16,2020-08-28,119.13,119.62,118.29,119.58,119.58,2123116,0.0,1.0
17,2020-08-27,120.95,120.97,117.95,119.04,119.04,3055446,0.62,1.0
18,2020-08-26,119.91,121.25,118.98,120.51,119.8856,3462986,0.0,1.0
19,2020-08-25,117.4,119.995,117.4,119.9,119.2788,3007009,0.0,1.0
20,2020-08-24,117.21,117.54,116.22,117.23,116.6226,2292302,0.0,1.0
21,2020-08-21,117.07,117.23,115.74,116.02,115.4189,3055989,0.0,1.0
22,2020-08-20,117.72,118.5,116.64,117.45,116.8415,2866941,0.0,1.0
23,2020-08-19,118.5,119.47,117.5107,118.15,117.5378,4722421,0.0,1.0
24,2020-08-18,118.01,118.69,117.19,117.88,117.2692,5718013,0.0,1.0
25,2020-08-17,118.43,118.4984,117.25,117.44,116.8315,2569458,0.0,1.0
26,2020-08-14,118.57,119.06,117.07,117.18,116.5728,2079793,0.0,1.0
27,2020-08-13,118.245,119.135,117.55,118.11,117.498,2894421,0.0,1.0
28,2020-08-12,117.2,119.57,116.75,119.22,118.6023,3601929,0.0,1.0
29,2020-08-11,117.32,119.43,116.33,116.56,115.9561,4316085,0.0,1.0
30,2020-08-10,116.24,117.31,115.46,116.76,116.155,3412081,0.0,1.0
31,2020-08-07,116.87,117.3,115.52,116.32,115.7173,2110808,0.0,1.0
32,2020-08-06,116.11,117.15,115.07,116.74,116.1351,2299225,0.0,1.0
33,2020-08-05,116.58,116.74,114.93,116.17,115.5681,3115198,0.0,1.0
34,2020-08-04,116.37,118.04,116.12,117.18,116.5728,3310260,0.0,1.0
35,2020-08-03,115.87,116.81,115.11,116.57,115.966,3068195,0.0,1.0
36,2020-07-31,116.53,116.53,113.37,114.85,114.2549,3293277,0.0,1.0
37,2020-07-30,114.74,116.56,114.17,116.3,115.6974,3164097,0.0,1.0
38,2020-07-29,115.96,117.755,115.61,117.53,116.921,3944438,0.0,1.0
39,2020-07-28,114.77,115.99,113.77,115.43,114.8319,4393650,0.0,1.0
40,2020-07-27,113.12,116.08,112.91,115.8,115.2,3977538,0.0,1.0
41,2020-07-24,110.99,113.965,110.84,112.21,111.6286,3736051,0.0,1.0
42,2020-07-23,113.56,113.99,110.47,111.94,111.36,4216251,0.0,1.0
43,2020-07-22,114.64,115.01,113.05,113.88,113.2899,4271267,0.0,1.0
44,2020-07-21,117.29,117.49,113.89,114.58,113.9863,5034400,0.0,1.0
45,2020-07-20,117.04,117.85,115.54,117.06,116.4535,3532200,0.0,1.0
46,2020-07-17,116.46,117.17,115.76,116.75,116.1451,2709200,0.0,1.0
47,2020-07-16,116.72,116.9,114.91,115.98,115.3791,4183100,0.0,1.0
48,2020-07-15,119.26,119.36,116.96,117.9,117.2891,4159200,0.0,1.0
49,2020-07-14,116.19,118.28,113.81,118.01,117.3985,6274100,0.0,1.0
50,2020-07-13,121.73,122.93,116.46,117.25,116.6425,14320000,0.0,1.0
51,2020-07-10,124.41,125.08,122.81,124.5,123.8549,1769000,0.0,1.0
52,2020-07-09,122.47,125.04,121.04,124.19,123.5465,1840900,0.0,1.0
53,2020-07-08,123.07,123.6,120.99,122.86,122.2234,1818900,0.0,1.0
54,2020-07-07,121.69,124.36,121.54,122.62,121.9847,1920300,0.0,1.0
55,2020-07-06,122.96,124.51,122.88,123.62,122.9795,1273300,0.0,1.0
56,2020-07-02,122.41,122.81,120.74,121.24,120.6118,1624100,0.0,1.0
57,2020-07-01,122.29,122.42,120.3,120.37,119.7463,1587300,0.0,1.0
58,2020-06-30,119.52,123.2,119.01,122.64,122.0046,2400500,0.0,1.0
59,2020-06-29,118.91,119.31,117.11,119.0,118.3834,1406154,0.0,1.0
60,2020-06-26,119.87,120.02,117.14,117.87,117.2593,2264100,0.0,1.0
61,2020-06-25,119.82,120.3,117.61,120.1,119.4777,1809100,0.0,1.0
62,2020-06-24,122.38,122.61,118.63,119.47,118.851,2102900,0.0,1.0
63,2020-06-23,122.5,124.51,120.97,123.25,122.6114,2693900,0.0,1.0
64,2020-06-22,120.02,120.73,118.35,120.5,119.8756,2034600,0.0,1.0
65,2020-06-19,124.39,124.39,119.94,120.18,119.5573,4495800,0.0,1.0
66,2020-06-18,122.36,123.47,121.99,122.81,122.1737,1248700,0.0,1.0
67,2020-06-17,122.59,123.74,121.85,122.53,121.8951,1478900,0.0,1.0
68,2020-06-16,123.63,124.35,120.2,122.69,122.0543,2706300,0.0,1.0
69,2020-06-15,116.15,118.67,115.07,118.5,117.886,1695500,0.0,1.0
70,2020-06-12,119.51,119.7,115.5,118.41,117.7965,3135800,0.0,1.0
71,2020-06-11,120.96,121.18,115.43,115.65,115.0508,3210500,0.0,1.0
72,2020-06-10,124.19,124.58,121.99,122.88,122.2433,1892700,0.0,1.0
73,2020-06-09,122.05,124.36,121.57,123.39,122.7507,2471500,0.0,1.0
74,2020-06-08,125.0,125.35,122.83,123.71,123.069,1809800,0.0,1.0
75,2020-06-05,124.85,127.39,123.96,124.59,123.9445,3549800,0.0,1.0
76,2020-06-04,119.87,122.86,119.87,122.38,121.7459,1653200,0.0,1.0
77,2020-06-03,118.85,122.87,118.39,121.62,120.9898,3762300,0.0,1.0
78,2020-06-02,113.0,116.87,112.44,116.8,116.1948,3112600,0.0,1.0
79,2020-06-01,112.37,113.44,111.33,112.78,112.1956,1209500,0.0,1.0
80,2020-05-29,111.31,113.31,110.41,112.95,112.3648,2913300,0.0,1.0
81,2020-05-28,114.17,114.36,110.46,110.96,110.3851,2274200,0.62,1.0
82,2020-05-27,113.82,115.39,111.63,114.68,113.4519,1825600,0.0,1.0
83,2020-05-26,113.87,115.24,112.55,112.7,111.4931,2112200,0.0,1.0
84,2020-05-22,110.76,111.8,109.52,111.06,109.8706,1764900,0.0,1.0
85,2020-05-21,113.42,114.24,110.1,111.01,109.8212,3021000,0.0,1.0
86,2020-05-20,111.69,115.57,110.86,114.57,113.3431,4753400,0.0,1.0
87,2020-05-19,107.81,110.38,106.11,106.33,105.1913,3591500,0.0,1.0
88,2020-05-18,105.08,109.16,104.57,108.34,107.1798,2536200,0.0,1.0
89,2020-05-15,103.05,103.56,100.09,101.8,100.7098,4237500,0.0,1.0
90,2020-05-14,103.51,105.57,100.46,105.49,104.3603,2053000,0.0,1.0
91,2020-05-13,106.51,107.38,102.36,103.8,102.6884,2470100,0.0,1.0
92,2020-05-12,109.38,110.66,106.45,106.6,105.4584,2018400,0.0,1.0
93,2020-05-11,108.04,109.44,107.25,108.42,107.2589,1436600,0.0,1.0
94,2020-05-08,107.12,109.87,106.5,109.83,108.6538,1286200,0.0,1.0
95,2020-05-07,106.96,107.74,105.83,106.35,105.2111,1159000,0.0,1.0
96,2020-05-06,106.83,107.7,104.8,105.25,104.1229,1328700,0.0,1.0
97,2020-05-05,105.74,107.3,105.14,105.94,104.8055,1818400,0.0,1.0
98,2020-05-04,103.13,103.84,100.99,103.4,102.2927,2550500,0.0,1.0
99,2020-05-01,106.37,107.29,103.23,103.64,102.5301,2782100,0.0,1.0
100,2020-04-30,111.45,113.0,109.35,109.6,108.4263,2455900,0.0,1.0
101,2020-04-29,109.34,114.06,109.2,113.34,112.1262,2544300,0.0,1.0
102,2020-04-28,110.93,111.8,107.49,107.61,106.4576,1648700,0.0,1.0
103,2020-04-27,106.61,108.56,106.22,108.03,106.8731,1848900,0.0,1.0
104,2020-04-24,101.61,106.43,101.61,105.92,104.7857,2899900,0.0,1.0
105,2020-04-23,102.08,103.94,101.12,101.81,100.7197,2585200,0.0,1.0
106,2020-04-22,99.93,102.72,99.26,102.12,101.0264,3170600,0.0,1.0
107,2020-04-21,98.06,99.07,96.05,96.47,95.4369,4028000,0.0,1.0
108,2020-04-20,102.16,103.03,100.0,100.91,99.8293,1498300,0.0,1.0
109,2020-04-17,103.96,104.73,101.39,102.8,101.6991,1917000,0.0,1.0
110,2020-04-16,101.52,102.34,99.11,101.83,100.7395,2621700,0.0,1.0
111,2020-04-15,100.73,101.16,98.27,100.45,99.3743,1884100,0.0,1.0
112,2020-04-14,101.8,103.3,100.07,103.02,101.9167,3177900,0.0,1.0
113,2020-04-13,97.52,100.22,97.33,99.67,98.6026,2348300,0.0,1.0
114,2020-04-09,101.34,103.57,97.87,98.79,97.732,2806700,0.0,1.0
115,2020-04-08,97.22,101.56,95.75,101.4,100.3141,3001300,0.0,1.0
116,2020-04-07,99.02,100.92,95.85,96.25,95.2192,3814800,0.0,1.0
117,2020-04-06,90.14,96.3,89.92,95.8,94.7741,3673600,0.0,1.0
118,2020-04-03,87.39,88.8,85.34,86.56,85.633,2253800,0.0,1.0
119,2020-04-02,83.13,88.27,82.9,87.7,86.7608,3638200,0.0,1.0
120,2020-04-01,86.04,88.11,83.67,84.09,83.1895,3231900,0.0,1.0
121,2020-03-31,90.56,92.27,89.18,89.65,88.6899,3432100,0.0,1.0
122,2020-03-30,89.54,91.47,87.6,90.97,89.9958,3268200,0.0,1.0
123,2020-03-27,89.26,92.63,88.26,88.67,87.7204,3009900,0.0,1.0
124,2020-03-26,94.53,96.5,90.86,92.62,91.6281,5063600,0.0,1.0
125,2020-03-25,92.66,97.44,89.74,94.36,93.3495,3859600,0.0,1.0
126,2020-03-24,89.78,94.0,87.44,93.73,92.7262,3651400,0.0,1.0
127,2020-03-23,85.78,87.51,80.51,85.16,84.248,4063700,0.0,1.0
128,2020-03-20,92.41,93.37,84.88,85.08,84.1689,4567500,0.0,1.0
129,2020-03-19,82.44,91.7,79.44,90.32,89.3528,4465000,0.0,1.0
130,2020-03-18,87.44,92.49,79.08,82.23,81.3494,5725800,0.0,1.0
131,2020-03-17,86.14,96.9,82.32,95.44,94.4179,5555700,0.0,1.0
132,2020-03-16,89.84,92.86,83.02,83.21,82.3189,7287000,0.0,1.0
133,2020-03-13,94.88,100.46,89.36,99.79,98.7213,6399300,0.0,1.0
134,2020-03-12,89.79,95.36,87.25,90.01,89.0461,8483800,0.0,1.0
135,2020-03-11,99.48,100.65,93.96,94.41,93.399,4167900,0.0,1.0
136,2020-03-10,100.13,102.54,96.12,102.44,101.343,4355300,0.0,1.0
137,2020-03-09,99.61,103.61,97.11,97.51,96.4658,4936400,0.0,1.0
138,2020-03-06,105.0,107.46,104.51,107.0,105.8541,3801200,0.0,1.0
139,2020-03-05,109.03,112.07,107.92,108.87,107.7041,2197200,0.0,1.0
140,2020-03-04,109.0,112.54,106.68,112.46,111.2557,2181000,0.0,1.0
141,2020-03-03,110.13,113.19,106.57,107.2,106.052,3416000,0.0,1.0
142,2020-03-02,110.09,111.44,107.24,111.27,110.0784,3979400,0.0,1.0
143,2020-02-28,103.96,110.06,103.5,109.05,107.8822,6036800,0.0,1.0
144,2020-02-27,111.82,113.71,107.57,107.72,106.5664,3541300,0.62,1.0
145,2020-02-26,115.98,117.39,114.29,114.84,112.96,2896600,0.0,1.0
146,2020-02-25,118.54,118.78,113.38,114.66,112.783,3251400,0.0,1.0
147,2020-02-24,119.34,119.69,116.97,117.36,115.4388,3041400,0.0,1.0
148,2020-02-21,122.92,123.97,120.81,122.76,120.7504,2813700,0.0,1.0
149,2020-02-20,124.4,125.57,122.37,124.55,122.511,3062400,0.0,1.0
150,2020-02-19,125.06,127.3,122.39,123.89,121.8619,4598900,0.0,1.0
151,2020-02-18,116.23,118.89,116.07,118.57,116.6289,3074300,0.0,1.0
152,2020-02-14,119.05,119.37,116.7,117.65,115.724,1869000,0.0,1.0
153,2020-02-13,118.23,119.04,116.95,118.88,116.9339,2391100,0.0,1.0
154,2020-02-12,117.41,119.05,117.29,118.81,116.865,1856000,0.0,1.0
155,2020-02-11,113.45,117.77,113.45,116.88,114.9666,2765500,0.0,1.0
156,2020-02-10,110.91,112.9,110.45,112.9,111.0518,1813900,0.0,1.0
157,2020-02-07,115.0,115.14,112.11,112.27,110.4321,1663800,0.0,1.0
158,2020-02-06,116.94,117.19,115.35,115.79,113.8945,1398100,0.0,1.0
159,2020-02-05,115.08,117.06,114.11,116.68,114.7699,2192425,0.0,1.0
160,2020-02-04,112.26,113.38,111.62,112.46,110.619,2249800,0.0,1.0
161,2020-02-03,110.7,111.61,109.55,110.0,108.1992,2134800,0.0,1.0
162,2020-01-31,111.66,111.72,109.2,109.75,107.9533,3245400,0.0,1.0
163,2020-01-30,112.23,113.5,110.96,112.37,110.5304,2760980,0.0,1.0
164,2020-01-29,114.31,114.47,112.6,113.23,111.3764,3500900,0.0,1.0
165,2020-01-28,114.03,114.59,113.05,114.31,112.4387,2670500,0.0,1.0
166,2020-01-27,114.65,114.98,112.2,112.21,110.3731,2737800,0.0,1.0
167,2020-01-24,121.78,122.2,116.9,117.57,115.6453,1972200,0.0,1.0
168,2020-01-23,120.42,121.07,118.85,120.86,118.8815,2170200,0.0,1.0
169,2020-01-22,119.64,121.05,119.28,120.42,118.4487,1654700,0.0,1.0
170,2020-01-21,118.19,119.67,118.0,119.31,117.3568,2548400,0.0,1.0
171,2020-01-17,119.75,119.92,119.02,119.47,117.5142,2303300,0.0,1.0
172,2020-01-16,118.48,119.22,118.01,119.13,117.1798,1413600,0.0,1.0
