,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,46.37,47.01,46.33,47.0,47.0,4247027,0.0,1.0
1,2020-09-21,46.96,47.03,45.905,46.51,46.51,5648598,0.0,1.0
2,2020-09-18,47.49,48.5581,47.49,47.64,47.64,7380584,0.0,1.0
3,2020-09-17,47.34,48.095,47.02,47.77,47.77,5066383,0.0,1.0
4,2020-09-16,47.54,48.2067,47.53,47.66,47.66,4543392,0.0,1.0
5,2020-09-15,47.78,47.9,47.27,47.47,47.47,2796064,0.0,1.0
6,2020-09-14,47.0,47.76,46.96,47.5,47.5,3331636,0.0,1.0
7,2020-09-11,46.13,46.97,46.01,46.89,46.89,3286643,0.0,1.0
8,2020-09-10,45.86,46.59,45.86,46.02,46.02,3122147,0.0,1.0
9,2020-09-09,45.51,46.34,45.47,46.05,46.05,3267281,0.0,1.0
10,2020-09-08,46.3,46.62,45.215,45.22,45.22,6292942,0.0,1.0
11,2020-09-04,46.06,46.7,45.9837,46.49,46.49,4156828,0.0,1.0
12,2020-09-03,45.83,46.49,45.51,45.81,45.81,3940498,0.0,1.0
13,2020-09-02,45.21,45.88,45.12,45.74,45.74,3050461,0.0,1.0
14,2020-09-01,44.52,45.16,44.42,45.14,45.14,2805614,0.0,1.0
15,2020-08-31,44.93,44.97,44.55,44.76,44.76,2306555,0.0,1.0
16,2020-08-28,44.7,44.965,44.27,44.9,44.9,2279087,0.0,1.0
17,2020-08-27,44.58,44.91,44.46,44.72,44.72,2906535,0.0,1.0
18,2020-08-26,44.48,44.635,44.02,44.48,44.48,1782636,0.0,1.0
19,2020-08-25,44.79,44.92,44.08,44.3,44.3,2025305,0.0,1.0
20,2020-08-24,43.82,44.46,43.64,44.45,44.45,2211497,0.0,1.0
21,2020-08-21,43.38,43.67,43.205,43.59,43.59,2381900,0.0,1.0
22,2020-08-20,43.42,43.66,43.2071,43.49,43.49,1723119,0.0,1.0
23,2020-08-19,44.13,44.58,43.8902,44.06,44.06,1847126,0.0,1.0
24,2020-08-18,44.18,44.535,44.03,44.31,44.31,1574072,0.36,1.0
25,2020-08-17,44.53,44.78,44.3,44.39,44.0323,1900778,0.0,1.0
26,2020-08-14,44.19,44.72,44.065,44.59,44.2306,1633686,0.0,1.0
27,2020-08-13,44.52,44.89,44.16,44.43,44.0719,2317459,0.0,1.0
28,2020-08-12,44.83,44.91,44.37,44.45,44.0918,1940131,0.0,1.0
29,2020-08-11,45.0,45.21,44.315,44.39,44.0323,2169596,0.0,1.0
30,2020-08-10,44.14,44.76,44.13,44.49,44.1315,1937056,0.0,1.0
31,2020-08-07,43.37,44.1,43.29,44.03,43.6752,2241435,0.0,1.0
32,2020-08-06,43.31,43.785,43.3,43.55,43.199,1745857,0.0,1.0
33,2020-08-05,43.0,43.46,42.92,43.34,42.9907,2245983,0.0,1.0
34,2020-08-04,42.83,42.9,42.47,42.72,42.3757,1979237,0.0,1.0
35,2020-08-03,42.97,43.34,42.71,42.93,42.584,2236226,0.0,1.0
36,2020-07-31,43.26,43.58,42.025,42.83,42.4848,3500871,0.0,1.0
37,2020-07-30,43.0,43.6,42.73,43.36,43.0106,2856797,0.0,1.0
38,2020-07-29,43.0,43.28,42.57,42.92,42.5741,2714781,0.0,1.0
39,2020-07-28,42.13,42.97,42.13,42.59,42.2468,2556212,0.0,1.0
40,2020-07-27,41.32,42.15,40.8,42.13,41.7905,2290713,0.0,1.0
41,2020-07-24,42.39,42.7,41.97,42.09,41.7508,2458835,0.0,1.0
42,2020-07-23,41.3,42.27,41.2,42.26,41.9194,2616608,0.0,1.0
43,2020-07-22,40.78,41.3,40.59,41.16,40.8283,1862783,0.0,1.0
44,2020-07-21,40.36,41.34,40.3,40.86,40.5307,1855400,0.0,1.0
45,2020-07-20,41.0,41.0,40.22,40.22,39.8959,2115300,0.0,1.0
46,2020-07-17,41.08,41.33,40.9,41.17,40.8382,1974200,0.0,1.0
47,2020-07-16,40.82,41.34,40.58,40.96,40.6299,2496685,0.0,1.0
48,2020-07-15,41.0,41.2,40.6,40.9,40.5704,2132500,0.0,1.0
49,2020-07-14,39.79,40.57,39.44,40.44,40.1141,2169700,0.0,1.0
50,2020-07-13,39.76,40.15,39.54,39.76,39.4396,3270200,0.0,1.0
51,2020-07-10,37.9,39.4,37.9,39.38,39.0626,1869300,0.0,1.0
52,2020-07-09,38.48,38.49,37.54,37.81,37.5053,2281700,0.0,1.0
53,2020-07-08,39.2,39.38,38.43,38.68,38.3683,2520300,0.0,1.0
54,2020-07-07,39.2,39.38,39.01,39.22,38.9039,2271900,0.0,1.0
55,2020-07-06,40.14,40.36,39.31,39.67,39.3503,1961000,0.0,1.0
56,2020-07-02,40.01,40.51,39.52,39.56,39.2412,2647400,0.0,1.0
57,2020-07-01,40.1,40.1,39.33,39.41,39.0924,1991300,0.0,1.0
58,2020-06-30,39.74,40.05,39.45,39.9,39.5784,2839600,0.0,1.0
59,2020-06-29,39.37,39.87,39.21,39.66,39.3404,1799659,0.0,1.0
60,2020-06-26,39.82,39.86,38.72,38.93,38.6163,4166900,0.0,1.0
61,2020-06-25,39.16,40.05,39.01,39.95,39.628,2568900,0.0,1.0
62,2020-06-24,39.43,39.6,38.93,39.32,39.0031,3655800,0.0,1.0
63,2020-06-23,40.5,40.5,39.92,39.93,39.6082,2217200,0.0,1.0
64,2020-06-22,40.09,40.22,39.51,40.0,39.6776,1551400,0.0,1.0
65,2020-06-19,41.25,41.67,40.19,40.24,39.9157,5032300,0.0,1.0
66,2020-06-18,40.11,40.66,39.94,40.58,40.253,2139600,0.0,1.0
67,2020-06-17,41.01,41.01,40.15,40.47,40.1438,2347200,0.0,1.0
68,2020-06-16,40.73,41.4,40.19,40.75,40.4216,2780800,0.0,1.0
69,2020-06-15,38.25,39.58,38.04,39.5,39.1817,2955000,0.0,1.0
70,2020-06-12,39.6,39.97,38.66,39.43,39.1122,3304600,0.0,1.0
71,2020-06-11,40.15,40.39,38.55,38.6,38.2889,3486800,0.0,1.0
72,2020-06-10,42.31,42.4,41.28,41.34,41.0068,4093400,0.0,1.0
73,2020-06-09,42.12,42.7,41.88,42.38,42.0385,3929400,0.0,1.0
74,2020-06-08,42.52,42.92,41.89,42.89,42.5443,4290500,0.0,1.0
75,2020-06-05,41.95,42.88,41.95,42.52,42.1773,3539700,0.0,1.0
76,2020-06-04,40.24,41.16,40.03,41.14,40.8084,2463500,0.0,1.0
77,2020-06-03,40.0,40.63,39.94,40.51,40.1835,2280500,0.0,1.0
78,2020-06-02,39.0,39.71,38.83,39.67,39.3503,2902300,0.0,1.0
79,2020-06-01,39.08,39.08,38.49,38.89,38.5766,2563100,0.0,1.0
