,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,132.21,132.79,129.11,131.03,131.03,2033622,0.0,1.0
1,2020-09-18,137.77,137.88,133.87,135.09,135.09,3148656,0.0,1.0
2,2020-09-17,134.77,137.97,134.2,137.87,137.87,1575316,0.0,1.0
3,2020-09-16,137.62,140.14,137.16,137.71,137.71,1513376,0.0,1.0
4,2020-09-15,137.09,138.1,136.15,136.97,136.97,2034315,0.0,1.0
5,2020-09-14,134.65,137.28,134.32,136.57,136.57,4143013,0.0,1.0
6,2020-09-11,132.5,133.8,131.38,133.44,133.44,1862216,0.0,1.0
7,2020-09-10,136.43,136.72,131.28,131.9,131.9,2463712,0.91,1.0
8,2020-09-09,136.68,138.53,135.12,137.26,136.3195,1962027,0.0,1.0
9,2020-09-08,136.4765,137.8545,134.8,135.89,134.9589,2618046,0.0,1.0
10,2020-09-04,139.22,141.73,137.5,138.53,137.5808,2924335,0.0,1.0
11,2020-09-03,142.93,144.25,137.72,139.14,138.1866,2033442,0.0,1.0
12,2020-09-02,138.18,143.05,137.5,142.48,141.5037,2219992,0.0,1.0
13,2020-09-01,138.79,138.8674,137.35,138.53,137.5808,1615717,0.0,1.0
14,2020-08-31,140.81,140.955,138.36,139.09,138.137,2893853,0.0,1.0
15,2020-08-28,140.94,141.44,139.38,141.34,140.3716,1079512,0.0,1.0
16,2020-08-27,141.49,142.46,140.0286,141.01,140.0438,1738123,0.0,1.0
17,2020-08-26,141.02,141.87,139.065,139.61,138.6534,1804063,0.0,1.0
18,2020-08-25,141.08,142.85,140.16,141.06,140.0935,1917294,0.0,1.0
19,2020-08-24,138.63,140.72,137.63,140.66,139.6962,1387605,0.0,1.0
20,2020-08-21,139.05,139.05,137.1,138.08,137.1339,1795675,0.0,1.0
21,2020-08-20,137.59,139.476,137.36,139.15,138.1966,1310317,0.0,1.0
22,2020-08-19,139.89,140.51,138.22,138.9,137.9483,1478914,0.0,1.0
23,2020-08-18,140.5,140.79,138.94,139.95,138.9911,2078012,0.0,1.0
24,2020-08-17,139.25,140.735,139.085,139.66,138.7031,1558967,0.0,1.0
25,2020-08-14,139.26,140.1,137.97,138.96,138.0079,2215124,0.0,1.0
26,2020-08-13,139.03,140.54,138.99,139.26,138.3058,2363898,0.0,1.0
27,2020-08-12,138.86,140.28,138.67,139.58,138.6236,2686090,0.0,1.0
28,2020-08-11,137.91,140.04,136.79,138.1,137.1538,2412529,0.0,1.0
29,2020-08-10,137.88,138.87,136.425,138.17,137.2233,2507900,0.0,1.0
30,2020-08-07,136.98,138.98,136.63,137.99,137.0445,3090845,0.0,1.0
31,2020-08-06,134.47,136.96,134.45,136.52,135.5846,2158358,0.0,1.0
32,2020-08-05,136.6,138.24,134.51,134.77,133.8466,2362947,0.0,1.0
33,2020-08-04,133.95,136.79,133.9398,136.74,135.8031,2415165,0.0,1.0
34,2020-08-03,133.36,134.99,132.22,134.46,133.5387,2962249,0.0,1.0
35,2020-07-31,133.66,134.53,129.84,132.91,131.9993,3408510,0.0,1.0
36,2020-07-30,134.2693,134.74,132.27,132.89,131.9795,8449301,0.0,1.0
