,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,36.27,36.92,35.9719,36.37,36.37,3615191,0.0,1.0
1,2020-09-21,37.08,37.4,35.93,36.41,36.41,5030656,0.0,1.0
2,2020-09-18,37.49,38.4,37.41,37.8,37.8,17653180,0.0,1.0
3,2020-09-17,36.96,37.64,36.59,37.62,37.62,3793300,0.0,1.0
4,2020-09-16,36.76,37.735,36.61,37.21,37.21,3814761,0.0,1.0
5,2020-09-15,37.12,37.24,36.51,36.69,36.69,3220616,0.0,1.0
6,2020-09-14,36.99,37.47,36.6,37.07,37.07,3441385,0.0,1.0
7,2020-09-11,36.28,36.8,36.02,36.39,36.39,3067099,0.0,1.0
8,2020-09-10,37.14,37.55,36.17,36.21,36.21,3335943,0.0,1.0
9,2020-09-09,37.25,37.55,36.98,37.04,37.04,3473750,0.0,1.0
10,2020-09-08,37.89,38.0,36.805,36.94,36.94,5122072,0.0,1.0
11,2020-09-04,37.63,38.07,36.845,37.86,37.86,5104274,0.0,1.0
12,2020-09-03,37.38,38.29,36.65,36.94,36.94,5241224,0.0,1.0
13,2020-09-02,36.64,37.46,36.5,36.9,36.9,3197778,0.0,1.0
14,2020-09-01,36.0,37.12,35.9,36.7,36.7,3889479,0.0,1.0
15,2020-08-31,37.2,37.2,36.27,36.32,36.32,3362331,0.0,1.0
16,2020-08-28,37.22,37.23,36.68,37.13,37.13,3101982,0.0,1.0
17,2020-08-27,36.46,37.3,36.37,36.88,36.88,2778885,0.0,1.0
18,2020-08-26,36.84,36.86,36.39,36.45,36.45,2802666,0.0,1.0
19,2020-08-25,37.78,37.895,36.92,37.1,37.1,2826299,0.0,1.0
20,2020-08-24,36.59,37.42,36.42,37.38,37.38,2709416,0.0,1.0
21,2020-08-21,36.75,36.97,36.34,36.42,36.42,2928357,0.0,1.0
22,2020-08-20,36.45,36.95,36.41,36.66,36.66,2409816,0.0,1.0
23,2020-08-19,36.99,37.4,36.85,37.03,37.03,2497413,0.0,1.0
24,2020-08-18,37.37,37.71,37.07,37.14,37.14,2195003,0.28,1.0
25,2020-08-17,37.93,38.19,37.31,37.46,37.1797,2497328,0.0,1.0
26,2020-08-14,37.48,38.245,37.37,38.07,37.7851,2660868,0.0,1.0
27,2020-08-13,37.11,37.75,36.95,37.75,37.4675,3123014,0.0,1.0
28,2020-08-12,38.94,38.94,37.335,37.62,37.3385,3217667,0.0,1.0
29,2020-08-11,38.26,38.755,37.89,38.03,37.7454,3963196,0.0,1.0
30,2020-08-10,36.68,37.645,36.67,37.47,37.1896,3102326,0.0,1.0
31,2020-08-07,35.15,36.57,35.12,36.52,36.2467,2962994,0.0,1.0
32,2020-08-06,35.29,35.895,35.17,35.41,35.145,3286132,0.0,1.0
33,2020-08-05,35.3,36.12,35.26,35.55,35.284,2700933,0.0,1.0
34,2020-08-04,35.25,35.57,35.015,35.06,34.7977,4122049,0.0,1.0
35,2020-08-03,35.58,35.8,35.24,35.36,35.0954,2937658,0.0,1.0
36,2020-07-31,35.14,35.65,35.03,35.57,35.3038,4404151,0.0,1.0
37,2020-07-30,35.62,35.76,34.96,35.29,35.0259,4575864,0.0,1.0
38,2020-07-29,36.34,36.62,35.69,36.5,36.2269,3904790,0.0,1.0
39,2020-07-28,36.28,36.6,36.09,36.29,36.0185,3864010,0.0,1.0
40,2020-07-27,36.58,36.68,36.025,36.43,36.1574,3311012,0.0,1.0
41,2020-07-24,37.14,37.34,36.69,36.77,36.4949,2226411,0.0,1.0
42,2020-07-23,36.53,37.2,36.46,36.99,36.7132,2537270,0.0,1.0
43,2020-07-22,36.12,36.86,36.0,36.66,36.3857,2154243,0.0,1.0
44,2020-07-21,36.12,36.94,36.12,36.51,36.2368,2684000,0.0,1.0
45,2020-07-20,35.95,36.15,35.54,35.98,35.7108,2485000,0.0,1.0
46,2020-07-17,36.33,36.41,35.73,36.22,35.949,2800800,0.0,1.0
47,2020-07-16,36.02,36.91,35.91,36.37,36.0979,2194700,0.0,1.0
48,2020-07-15,36.42,36.64,35.83,36.28,36.0085,3532800,0.0,1.0
49,2020-07-14,34.88,35.67,34.59,35.65,35.3832,4162200,0.0,1.0
50,2020-07-13,35.09,35.47,34.69,34.88,34.619,3117300,0.0,1.0
51,2020-07-10,34.13,34.88,34.01,34.87,34.6091,2782200,0.0,1.0
52,2020-07-09,35.25,35.37,33.82,33.97,33.7158,3806900,0.0,1.0
