,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,39.36,39.8,37.54,37.64,37.64,2862476,0.0,1.0
1,2020-09-18,41.62,41.9008,40.4401,41.04,41.04,3010778,0.0,1.0
2,2020-09-17,42.49,43.56,41.93,42.15,42.15,1743626,0.0,1.0
3,2020-09-16,42.13,43.9434,41.57,43.12,43.12,2408227,0.0,1.0
4,2020-09-15,41.69,42.465,41.4,42.18,42.18,1725148,0.0,1.0
5,2020-09-14,40.8,41.625,40.44,41.51,41.51,1966751,0.0,1.0
6,2020-09-11,40.76,40.88,39.765,40.33,40.33,2445900,0.0,1.0
7,2020-09-10,41.29,41.67,40.8118,40.89,40.89,2018868,0.0,1.0
8,2020-09-09,40.7,41.27,39.6755,40.67,40.67,2248685,0.0,1.0
9,2020-09-08,40.17,42.57,40.06,41.6,41.6,2914999,0.0,1.0
10,2020-09-04,41.32,41.82,39.38,40.82,40.82,3242221,0.0,1.0
11,2020-09-03,41.03,42.39,39.26,40.39,40.39,3143512,0.0,1.0
12,2020-09-02,39.23,40.555,38.77,40.47,40.47,2375637,0.0,1.0
13,2020-09-01,38.1,40.06,37.82,39.15,39.15,2282826,0.0,1.0
14,2020-08-31,40.4,40.65,38.9,38.95,38.95,2831386,0.0,1.0
15,2020-08-28,39.05,40.74,38.56,40.73,40.73,3823804,0.0,1.0
16,2020-08-27,37.9,39.43,37.6901,38.5,38.5,3452599,0.0,1.0
17,2020-08-26,37.52,37.71,36.6,36.69,36.69,1617025,0.0,1.0
18,2020-08-25,38.18,38.4799,36.75,37.71,37.71,2345152,0.0,1.0
19,2020-08-24,35.77,37.695,35.44,37.52,37.52,2584574,0.0,1.0
20,2020-08-21,35.85,36.25,35.385,35.43,35.43,1370222,0.0,1.0
21,2020-08-20,35.5,35.99,35.04,35.77,35.77,1362916,0.0,1.0
22,2020-08-19,36.32,37.61,35.785,35.85,35.85,1966945,0.0,1.0
23,2020-08-18,36.55,36.85,35.83,36.19,36.19,1456767,0.0,1.0
24,2020-08-17,37.48,37.63,36.1716,36.26,36.26,2083184,0.0,1.0
25,2020-08-14,37.06,38.05,36.85,37.68,37.68,1871962,0.0,1.0
26,2020-08-13,37.8,38.96,37.55,37.79,37.79,1802726,0.0,1.0
27,2020-08-12,39.53,39.74,37.57,38.46,38.46,2187144,0.0,1.0
28,2020-08-11,40.9,41.05,38.67,38.98,38.98,3604075,0.0,1.0
29,2020-08-10,36.98,39.47,36.96,39.25,39.25,3807191,0.0,1.0
30,2020-08-07,36.0,36.6313,35.79,36.61,36.61,1588481,0.0,1.0
31,2020-08-06,35.75,36.69,35.33,36.42,36.42,2586152,0.0,1.0
32,2020-08-05,35.39,36.04,34.4134,35.76,35.76,3070588,0.0,1.0
33,2020-08-04,34.01,35.02,33.95,34.3,34.3,2277039,0.0,1.0
34,2020-08-03,34.09,34.6051,33.22,34.0,34.0,2632925,0.0,1.0
35,2020-07-31,34.21,34.59,33.65,34.44,34.44,2226263,0.0,1.0
36,2020-07-30,34.1,35.0,33.89,34.66,34.66,1695121,0.0,1.0
37,2020-07-29,35.12,35.35,34.3,34.76,34.76,1521253,0.0,1.0
38,2020-07-28,33.93,35.48,33.84,35.0,35.0,2243537,0.0,1.0
39,2020-07-27,35.02,35.44,33.88,34.15,34.15,2128931,0.0,1.0
40,2020-07-24,35.64,36.38,34.68,35.06,35.06,2781094,0.0,1.0
41,2020-07-23,36.45,37.95,34.85,36.67,36.67,3276532,0.0,1.0
42,2020-07-22,35.92,37.31,35.7201,36.3,36.3,1781143,0.0,1.0
43,2020-07-21,35.89,36.69,35.75,36.2,36.2,1644055,0.0,1.0
44,2020-07-20,36.62,37.32,35.56,35.89,35.89,1890905,0.0,1.0
45,2020-07-17,37.25,37.52,36.58,37.0,37.0,1140500,0.0,1.0
46,2020-07-16,37.77,38.23,36.81,37.28,37.28,1739000,0.0,1.0
47,2020-07-15,37.58,38.94,36.89,38.76,38.76,3517800,0.0,1.0
