,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,97.66,98.89,96.3,98.22,98.22,845739,0.0,1.0
1,2020-09-21,101.42,101.475,95.72,97.77,97.77,984897,0.0,1.0
2,2020-09-18,104.05,105.67,102.81,103.25,103.25,1464888,0.0,1.0
3,2020-09-17,102.48,105.43,101.875,103.98,103.98,1243974,0.0,1.0
4,2020-09-16,101.49,105.16,101.17,103.83,103.83,885312,0.0,1.0
5,2020-09-15,99.74,101.17,99.13,100.92,100.92,684393,0.32,1.0
6,2020-09-14,99.16,99.45,97.87,99.14,98.8266,590528,0.0,1.0
7,2020-09-11,97.4,98.88,97.29,97.97,97.6603,649182,0.0,1.0
8,2020-09-10,99.0,99.35,96.62,97.01,96.7034,537926,0.0,1.0
9,2020-09-09,98.94,100.04,98.53,98.69,98.3781,584700,0.0,1.0
10,2020-09-08,98.95,99.21,97.38,98.0,97.6902,775594,0.0,1.0
11,2020-09-04,101.42,102.05,98.9001,99.67,99.355,583214,0.0,1.0
12,2020-09-03,104.94,105.3396,99.85,100.42,100.1026,591220,0.0,1.0
13,2020-09-02,102.35,105.42,102.0,104.8,104.4687,635087,0.0,1.0
14,2020-09-01,102.97,103.01,100.61,102.1,101.7773,593722,0.0,1.0
15,2020-08-31,103.77,104.39,103.26,103.39,103.0632,866888,0.0,1.0
16,2020-08-28,103.33,104.87,102.17,104.0,103.6713,622821,0.0,1.0
17,2020-08-27,102.88,103.9,102.53,103.24,102.9137,591520,0.0,1.0
18,2020-08-26,102.06,103.05,101.41,102.46,102.1361,471320,0.0,1.0
19,2020-08-25,103.32,103.64,100.76,102.08,101.7573,534709,0.0,1.0
20,2020-08-24,100.45,102.99,100.42,102.9,102.5748,522273,0.0,1.0
21,2020-08-21,99.35,100.57,99.25,100.27,99.9531,584766,0.0,1.0
22,2020-08-20,99.66,100.17,98.835,99.34,99.026,376287,0.0,1.0
23,2020-08-19,100.77,101.29,99.5,100.71,100.3917,565878,0.0,1.0
24,2020-08-18,102.4,102.83,100.42,100.59,100.2721,958967,0.0,1.0
25,2020-08-17,101.46,102.875,101.0,102.26,101.9368,638549,0.0,1.0
26,2020-08-14,102.43,102.86,101.09,101.56,101.239,490867,0.0,1.0
27,2020-08-13,103.93,104.68,102.36,102.69,102.3654,453816,0.0,1.0
28,2020-08-12,104.79,105.01,103.525,104.17,103.8407,406988,0.0,1.0
29,2020-08-11,103.24,106.21,102.64,104.16,103.8308,759431,0.0,1.0
30,2020-08-10,100.47,102.39,100.18,102.32,101.9966,449655,0.0,1.0
31,2020-08-07,99.6,100.11,98.63,100.11,99.7936,692973,0.0,1.0
32,2020-08-06,99.79,100.69,98.22,99.2,98.8864,810543,0.0,1.0
33,2020-08-05,99.94,101.025,99.68,100.44,100.1225,748242,0.0,1.0
34,2020-08-04,99.6,100.055,98.28,99.41,99.0958,700811,0.0,1.0
35,2020-08-03,100.12,100.905,99.005,100.45,100.1325,703480,0.0,1.0
36,2020-07-31,97.78,99.51,96.54,99.46,99.1456,896527,0.0,1.0
37,2020-07-30,96.96,97.88,95.43,97.58,97.2716,721795,0.0,1.0
38,2020-07-29,98.67,99.64,97.805,98.22,97.9095,570871,0.0,1.0
39,2020-07-28,100.8,101.18,98.47,98.51,98.1986,657997,0.0,1.0
40,2020-07-27,101.68,102.08,100.59,101.39,101.0695,732461,0.0,1.0
41,2020-07-24,102.75,103.28,100.395,101.02,100.7007,873738,0.0,1.0
42,2020-07-23,108.7,110.0,102.35,102.56,102.2358,1622510,0.0,1.0
43,2020-07-22,109.35,112.395,109.35,111.6,111.2473,1117059,0.0,1.0
44,2020-07-21,109.08,110.18,108.43,109.82,109.4729,774274,0.0,1.0
45,2020-07-20,107.0,108.53,106.65,107.53,107.1901,635472,0.0,1.0
46,2020-07-17,107.53,107.53,104.92,106.85,106.5123,750344,0.0,1.0
47,2020-07-16,106.72,107.92,106.14,107.41,107.0705,586051,0.0,1.0
48,2020-07-15,105.95,107.78,105.54,106.8,106.4624,722851,0.0,1.0
49,2020-07-14,101.55,104.38,101.15,104.24,103.9105,548882,0.0,1.0
50,2020-07-13,102.02,103.54,101.5,101.75,101.4284,499913,0.0,1.0
51,2020-07-10,100.27,101.74,99.51,101.51,101.1891,436582,0.0,1.0
52,2020-07-09,102.55,103.18,100.06,100.53,100.2122,473735,0.0,1.0
53,2020-07-08,102.9,103.47,101.73,102.49,102.166,699962,0.0,1.0
54,2020-07-07,103.13,103.77,102.01,102.05,101.7274,514793,0.0,1.0
55,2020-07-06,104.4,105.04,103.4,103.97,103.6414,397759,0.0,1.0
56,2020-07-02,103.4,104.6,102.3,102.39,102.0664,452973,0.0,1.0
57,2020-07-01,102.28,103.36,101.03,101.89,101.5679,804470,0.0,1.0
58,2020-06-30,99.39,102.74,99.39,102.22,101.8969,805877,0.0,1.0
59,2020-06-29,98.13,99.81,97.0,99.79,99.4746,515247,0.0,1.0
60,2020-06-26,97.7,98.52,96.34,97.05,96.7432,837545,0.0,1.0
61,2020-06-25,97.08,98.25,95.08,98.0,97.6902,716187,0.0,1.0
62,2020-06-24,101.6,101.97,97.71,97.83,97.5208,560209,0.0,1.0
63,2020-06-23,104.23,104.91,102.42,102.66,102.3355,466736,0.0,1.0
64,2020-06-22,102.22,102.86,100.41,102.7,102.3754,709768,0.0,1.0
65,2020-06-19,104.99,104.99,101.91,102.74,102.4153,968996,0.0,1.0
66,2020-06-18,103.48,105.26,102.17,102.99,102.6645,563353,0.0,1.0
67,2020-06-17,105.55,106.03,103.64,104.25,103.9205,481252,0.0,1.0
68,2020-06-16,106.69,106.81,102.06,104.53,104.1996,472649,0.0,1.0
69,2020-06-15,99.14,103.23,98.47,102.65,102.3255,540734,0.32,1.0
70,2020-06-12,104.9,104.91,99.37,102.41,101.769,731982,0.0,1.0
71,2020-06-11,105.26,105.49,101.38,101.56,100.9244,734354,0.0,1.0
72,2020-06-10,111.89,112.42,108.76,109.02,108.3377,663159,0.0,1.0
73,2020-06-09,113.57,113.64,111.78,112.29,111.5872,612132,0.0,1.0
74,2020-06-08,114.94,116.7,114.32,115.54,114.8169,707917,0.0,1.0
75,2020-06-05,109.84,117.49,109.29,115.35,114.6281,1535468,0.0,1.0
76,2020-06-04,103.81,106.24,103.21,106.09,105.426,774865,0.0,1.0
77,2020-06-03,100.89,105.39,100.6,105.04,104.3826,714810,0.0,1.0
78,2020-06-02,101.37,101.99,99.36,100.01,99.3841,664067,0.0,1.0
79,2020-06-01,100.38,102.01,99.43,100.65,100.0201,480397,0.0,1.0
80,2020-05-29,98.82,100.18,97.85,99.7,99.076,917223,0.0,1.0
81,2020-05-28,100.64,101.59,98.39,99.91,99.2847,645421,0.0,1.0
82,2020-05-27,99.6,100.41,97.68,99.03,98.4102,853612,0.0,1.0
83,2020-05-26,96.96,98.55,96.36,97.64,97.0289,746109,0.0,1.0
84,2020-05-22,94.37,94.6,92.92,94.29,93.6999,497645,0.0,1.0
85,2020-05-21,93.97,95.52,93.52,94.0,93.4117,972782,0.0,1.0
86,2020-05-20,95.76,97.84,95.38,97.34,96.7308,814731,0.0,1.0
87,2020-05-19,95.57,97.46,94.11,94.25,93.6601,712892,0.0,1.0
88,2020-05-18,96.22,97.71,95.75,95.88,95.2799,726813,0.0,1.0
89,2020-05-15,92.78,94.48,92.04,92.94,92.3583,766097,0.0,1.0
90,2020-05-14,92.36,93.62,89.83,93.57,92.9844,1442749,0.0,1.0
91,2020-05-13,98.7,99.85,92.76,93.66,93.0738,908745,0.0,1.0
92,2020-05-12,102.19,103.56,99.67,99.72,99.0959,538690,0.0,1.0
93,2020-05-11,101.59,102.69,100.02,101.68,101.0436,530444,0.0,1.0
94,2020-05-08,101.94,103.79,101.52,102.27,101.6299,409901,0.0,1.0
95,2020-05-07,99.14,101.21,99.14,100.14,99.5133,908767,0.0,1.0
96,2020-05-06,97.55,99.61,96.8,97.99,97.3767,838930,0.0,1.0
97,2020-05-05,95.57,97.91,94.89,96.74,96.1345,751877,0.0,1.0
98,2020-05-04,96.38,96.38,94.4,94.76,94.1669,666596,0.0,1.0
