,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,57.96,58.11,56.71,57.89,57.89,7557218,0.0,1.0
1,2020-09-21,55.21,57.36,54.15,57.32,57.32,8494306,0.0,1.0
2,2020-09-18,56.79,56.8,55.195,56.15,56.15,11912995,0.0,1.0
3,2020-09-17,54.82,56.63,54.69,56.34,56.34,7098656,0.0,1.0
4,2020-09-16,57.49,58.195,56.38,56.47,56.47,8340864,0.0,1.0
5,2020-09-15,57.23,57.88,56.48,57.2,57.2,7209788,0.0,1.0
6,2020-09-14,56.23,57.115,56.12,56.46,56.46,8495715,0.0,1.0
7,2020-09-11,55.61,56.31,54.675,55.0,55.0,9203264,0.0,1.0
8,2020-09-10,55.6,56.25,54.94,55.12,55.12,10670524,0.0,1.0
9,2020-09-09,56.61,56.98,54.51,55.2,55.2,16267604,0.0,1.0
10,2020-09-08,57.07,57.79,55.32,55.63,55.63,20934765,0.0,1.0
11,2020-09-04,61.21,61.83,58.5498,60.96,60.96,14688155,0.0,1.0
12,2020-09-03,64.19,64.37,61.05,61.46,61.46,11012979,0.0,1.0
13,2020-09-02,62.49,65.3,62.37,65.08,65.08,10802478,0.0,1.0
14,2020-09-01,61.98,62.1,61.23,61.89,61.89,7922675,0.0,1.0
15,2020-08-31,62.44,62.61,61.4184,61.6,61.6,6454221,0.0,1.0
16,2020-08-28,62.06,63.1,61.97,63.07,63.07,5206045,0.0,1.0
17,2020-08-27,64.29,64.29,61.29,62.03,62.03,8917799,0.0,1.0
18,2020-08-26,64.05,64.26,63.49,63.76,63.76,5965129,0.0,1.0
19,2020-08-25,64.11,64.65,63.43,64.05,64.05,5157230,0.0,1.0
20,2020-08-24,63.36,63.8,62.68,63.74,63.74,8366548,0.0,1.0
21,2020-08-21,63.1,63.28,61.92,62.27,62.27,11150608,0.0,1.0
22,2020-08-20,64.71,64.82,63.28,63.79,63.79,8307751,0.0,1.0
23,2020-08-19,66.57,66.73,65.69,65.87,65.87,4979510,0.22,1.0
24,2020-08-18,67.39,67.39,66.07,66.43,66.2089,6166721,0.0,1.0
25,2020-08-17,68.1,68.23,66.77,66.94,66.7172,6875037,0.0,1.0
26,2020-08-14,67.39,69.9,66.5,67.62,67.3949,23421915,0.0,1.0
27,2020-08-13,66.36,66.6,64.61,65.07,64.8534,10684354,0.0,1.0
28,2020-08-12,64.99,66.67,64.7,66.5,66.2786,6177867,0.0,1.0
29,2020-08-11,65.32,66.12,64.23,64.46,64.2454,7608649,0.0,1.0
30,2020-08-10,63.65,65.28,63.62,65.24,65.0228,7386983,0.0,1.0
31,2020-08-07,63.69,65.01,62.78,63.57,63.3584,7124232,0.0,1.0
32,2020-08-06,63.87,64.17,62.6,63.61,63.3983,7395898,0.0,1.0
33,2020-08-05,64.8726,65.25,64.42,64.87,64.6541,4574091,0.0,1.0
34,2020-08-04,65.0,65.2,64.18,64.85,64.6341,5190185,0.0,1.0
35,2020-08-03,64.79,65.59,64.68,65.01,64.7936,5540739,0.0,1.0
36,2020-07-31,64.79,64.79,63.12,64.33,64.1159,5901236,0.0,1.0
37,2020-07-30,63.23,64.43,62.987,64.42,64.2056,5525019,0.0,1.0
38,2020-07-29,62.67,63.66,62.17,63.25,63.0395,4621405,0.0,1.0
39,2020-07-28,62.53,62.95,61.9,62.3,62.0926,4565741,0.0,1.0
40,2020-07-27,61.63,63.065,61.11,63.01,62.8003,7194708,0.0,1.0
41,2020-07-24,60.37,61.35,59.62,60.62,60.4182,11040982,0.0,1.0
42,2020-07-23,64.33,65.33,63.2,63.63,63.4182,5351832,0.0,1.0
43,2020-07-22,63.58,64.61,63.52,64.22,64.0062,5027849,0.0,1.0
44,2020-07-21,64.12,64.84,63.26,63.81,63.5976,5836700,0.0,1.0
45,2020-07-20,62.61,63.9,61.88,63.73,63.5179,5017000,0.0,1.0
46,2020-07-17,62.85,62.85,61.95,62.3,62.0926,4585200,0.0,1.0
47,2020-07-16,61.61,62.62,61.5,62.34,62.1325,3934300,0.0,1.0
48,2020-07-15,62.75,62.84,61.3,62.1,61.8933,5226400,0.0,1.0
49,2020-07-14,60.8,62.63,60.07,62.54,62.3318,6297500,0.0,1.0
50,2020-07-13,63.01,63.78,61.41,61.51,61.3052,6178600,0.0,1.0
51,2020-07-10,63.28,63.49,62.05,62.59,62.3817,5899000,0.0,1.0
52,2020-07-09,63.08,63.7,62.24,63.49,63.2787,6155900,0.0,1.0
53,2020-07-08,62.9,63.18,62.02,62.77,62.5611,4045700,0.0,1.0
54,2020-07-07,63.38,63.83,62.03,62.18,61.973,5078200,0.0,1.0
55,2020-07-06,62.39,63.71,62.29,63.46,63.2488,7776900,0.0,1.0
56,2020-07-02,60.5,61.65,60.34,61.0,60.7969,5596100,0.0,1.0
57,2020-07-01,60.43,60.78,59.54,59.68,59.4813,5305200,0.0,1.0
58,2020-06-30,59.12,60.94,59.07,60.45,60.2488,6067600,0.0,1.0
59,2020-06-29,58.44,59.07,57.56,59.06,58.8634,5035850,0.0,1.0
60,2020-06-26,59.57,60.14,58.01,58.38,58.1857,12786500,0.0,1.0
61,2020-06-25,59.6,60.07,58.61,59.98,59.7803,6298900,0.0,1.0
62,2020-06-24,60.33,60.89,59.15,59.97,59.7704,7937300,0.0,1.0
63,2020-06-23,61.93,61.98,60.44,60.84,60.6375,7264900,0.0,1.0
64,2020-06-22,60.52,61.39,59.58,61.27,61.066,5379900,0.0,1.0
65,2020-06-19,61.4,62.33,60.41,60.95,60.7471,10092800,0.0,1.0
66,2020-06-18,59.57,60.72,59.57,60.38,60.179,5674000,0.0,1.0
67,2020-06-17,58.73,60.43,58.54,60.0,59.8003,8332300,0.0,1.0
68,2020-06-16,58.96,60.13,57.9,58.54,58.3451,9718000,0.0,1.0
69,2020-06-15,54.92,57.23,54.52,57.05,56.8601,7221000,0.0,1.0
70,2020-06-12,57.51,58.01,54.97,56.55,56.3618,8532800,0.0,1.0
71,2020-06-11,58.26,58.59,55.35,55.41,55.2256,9386800,0.0,1.0
72,2020-06-10,60.2,60.57,59.46,59.86,59.6607,5319800,0.0,1.0
73,2020-06-09,59.02,60.26,58.93,59.79,59.591,6184300,0.0,1.0
74,2020-06-08,59.93,60.47,59.09,59.9,59.7006,5528700,0.0,1.0
75,2020-06-05,59.71,61.11,59.62,60.19,59.9896,8349700,0.0,1.0
76,2020-06-04,57.16,59.2,57.1,58.13,57.9365,7456900,0.0,1.0
77,2020-06-03,56.69,58.25,56.41,57.81,57.6176,8026700,0.0,1.0
78,2020-06-02,56.0,56.22,54.75,55.79,55.6043,6998700,0.0,1.0
79,2020-06-01,55.63,56.47,55.19,55.69,55.5046,5374800,0.0,1.0
80,2020-05-29,55.0,56.38,54.46,56.18,55.993,10820200,0.0,1.0
81,2020-05-28,56.12,56.68,54.35,54.67,54.488,7234100,0.0,1.0
82,2020-05-27,55.59,56.44,53.32,56.4,56.2123,9071600,0.0,1.0
83,2020-05-26,56.31,56.71,54.96,55.14,54.9565,7757600,0.0,1.0
84,2020-05-22,55.02,55.17,53.72,54.39,54.2089,7121000,0.0,1.0
85,2020-05-21,56.84,56.92,54.85,55.02,54.8368,7467200,0.0,1.0
86,2020-05-20,56.5,58.16,56.32,56.88,56.6907,9824100,0.22,1.0
87,2020-05-19,54.5,57.0,54.03,55.47,55.0723,10535600,0.0,1.0
