,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,96.1,97.55,95.99,97.24,97.24,838184,0.0,1.0
1,2020-09-21,98.75,99.405,95.04,96.24,96.24,919922,0.0,1.0
2,2020-09-18,102.03,103.2,100.62,100.71,100.71,1209338,0.0,1.0
3,2020-09-17,101.16,103.04,100.295,102.33,102.33,695715,0.0,1.0
4,2020-09-16,102.79,103.48,102.0,102.34,102.34,1079048,0.0,1.0
5,2020-09-15,101.65,102.95,101.59,102.32,102.32,734811,0.0,1.0
6,2020-09-14,100.64,101.79,100.505,101.39,101.39,684608,0.0,1.0
7,2020-09-11,98.73,100.84,98.48,99.91,99.91,914861,0.18,1.0
8,2020-09-10,99.6,100.36,97.94,98.11,97.9336,1243867,0.0,1.0
9,2020-09-09,98.11,100.02,97.83,99.35,99.1713,675243,0.0,1.0
10,2020-09-08,98.67,98.75,96.91,96.99,96.8156,915113,0.0,1.0
11,2020-09-04,100.86,101.23,98.42,99.47,99.2911,795173,0.0,1.0
12,2020-09-03,103.4,103.58,99.045,99.89,99.7104,862065,0.0,1.0
13,2020-09-02,101.98,103.945,101.61,103.08,102.8946,1525657,0.0,1.0
14,2020-09-01,100.42,102.205,100.19,102.02,101.8365,533654,0.0,1.0
15,2020-08-31,101.78,101.78,100.37,100.7,100.5189,657594,0.0,1.0
16,2020-08-28,101.17,101.98,100.67,101.93,101.7467,696907,0.0,1.0
17,2020-08-27,101.5,101.57,100.48,100.91,100.7285,586116,0.0,1.0
18,2020-08-26,100.48,101.2,99.97,101.01,100.8283,627485,0.0,1.0
19,2020-08-25,101.42,101.6,100.27,100.92,100.7385,568264,0.0,1.0
20,2020-08-24,100.85,100.97,99.77,100.8,100.6187,678774,0.0,1.0
21,2020-08-21,99.98,100.7,99.83,100.24,100.0597,636873,0.0,1.0
22,2020-08-20,100.07,100.6,99.61,100.16,99.9799,637116,0.0,1.0
23,2020-08-19,101.48,101.53,100.82,101.01,100.8283,684661,0.0,1.0
24,2020-08-18,101.35,101.8,101.31,101.58,101.3973,967569,0.0,1.0
25,2020-08-17,101.28,101.935,101.17,101.4,101.2176,906617,0.0,1.0
26,2020-08-14,100.36,102.03,100.36,101.28,101.0979,1007230,0.0,1.0
27,2020-08-13,100.74,101.34,100.51,100.96,100.7784,849665,0.0,1.0
28,2020-08-12,100.23,101.545,99.98,101.23,101.0479,843323,0.0,1.0
29,2020-08-11,100.0,101.68,99.23,99.25,99.0715,1370693,0.0,1.0
30,2020-08-10,97.98,99.27,97.84,99.04,98.8619,1711323,0.0,1.0
31,2020-08-07,97.55,98.85,96.6,97.79,97.6141,1487455,0.0,1.0
32,2020-08-06,96.51,97.54,96.14,97.52,97.3446,826988,0.0,1.0
33,2020-08-05,95.81,97.05,94.9605,96.42,96.2466,1003104,0.0,1.0
34,2020-08-04,93.13,95.99,93.13,94.49,94.3201,1197138,0.0,1.0
35,2020-08-03,93.83,95.85,93.27,94.95,94.7792,1333586,0.0,1.0
36,2020-07-31,93.32,93.53,91.48,93.25,93.0823,1151811,0.0,1.0
37,2020-07-30,93.21,94.11,92.29,93.9,93.7311,839198,0.0,1.0
38,2020-07-29,92.43,94.66,92.43,94.35,94.1803,1382321,0.0,1.0
39,2020-07-28,92.62,93.01,92.02,92.08,91.9144,688517,0.0,1.0
40,2020-07-27,92.63,93.86,92.17,93.05,92.8827,1086581,0.0,1.0
41,2020-07-24,93.49,93.77,92.39,92.9,92.7329,1011737,0.0,1.0
42,2020-07-23,93.59,94.165,92.89,93.32,93.1522,918086,0.0,1.0
43,2020-07-22,92.01,93.71,92.0,93.62,93.4516,1093357,0.0,1.0
44,2020-07-21,91.51,92.96,91.51,92.06,91.8944,1242900,0.0,1.0
45,2020-07-20,92.35,92.79,91.11,91.43,91.2656,998000,0.0,1.0
46,2020-07-17,93.27,93.71,92.77,92.95,92.7828,2857800,0.0,1.0
47,2020-07-16,92.86,94.21,92.34,92.73,92.5632,1135900,0.0,1.0
48,2020-07-15,93.21,93.9,92.68,93.22,93.0524,1378600,0.0,1.0
49,2020-07-14,88.76,91.88,88.59,91.79,91.6249,1604600,0.0,1.0
50,2020-07-13,87.58,89.59,87.22,88.47,88.3109,1749900,0.0,1.0
51,2020-07-10,86.19,86.97,85.74,86.9,86.7437,811400,0.0,1.0
52,2020-07-09,87.84,88.0,85.76,86.26,86.1049,1267900,0.0,1.0
53,2020-07-08,88.61,89.22,87.1,87.99,87.8318,964900,0.0,1.0
