,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,12.19,12.5199,12.06,12.24,12.24,5690937,0.0,1.0
1,2020-09-21,12.07,12.31,11.89,12.11,12.11,7874007,0.0,1.0
2,2020-09-18,12.59,12.865,12.42,12.65,12.65,14052068,0.0,1.0
3,2020-09-17,12.15,12.59,12.0,12.42,12.42,8010401,0.0,1.0
4,2020-09-16,12.05,12.77,11.875,12.5,12.5,9672989,0.0,1.0
5,2020-09-15,12.09,12.54,11.875,11.94,11.94,8936140,0.0,1.0
6,2020-09-14,11.81,12.11,11.29,11.93,11.93,21156498,0.0,1.0
7,2020-09-11,12.19,12.25,11.72,11.885,11.885,8174844,0.0,1.0
8,2020-09-10,13.15,13.19,12.01,12.01,12.01,8334126,0.0,1.0
9,2020-09-09,13.25,13.31,12.66,13.15,13.15,8203376,0.0,1.0
10,2020-09-08,14.09,14.18,13.015,13.04,13.04,13627214,0.0,1.0
11,2020-09-04,14.52,14.885,14.13,14.6,14.6,6929060,0.0,1.0
12,2020-09-03,14.33,14.74,14.105,14.39,14.39,6924008,0.0,1.0
13,2020-09-02,14.98,15.07,14.39,14.42,14.42,5915777,0.0,1.0
14,2020-09-01,14.67,14.96,14.3918,14.94,14.94,6818024,0.0,1.0
15,2020-08-31,15.0,15.12,14.55,14.8,14.8,5249357,0.0,1.0
16,2020-08-28,14.56,15.08,14.5,15.045,15.045,6731725,0.0,1.0
17,2020-08-27,14.53,14.64,14.22,14.6,14.6,5400072,0.0,1.0
18,2020-08-26,14.65,14.65,14.06,14.08,14.08,4377393,0.0,1.0
19,2020-08-25,14.62,14.885,14.345,14.65,14.65,4740107,0.0,1.0
20,2020-08-24,14.4831,14.88,14.2743,14.455,14.455,6219426,0.0,1.0
21,2020-08-21,14.66,14.68,14.21,14.26,14.26,4913394,0.0,1.0
22,2020-08-20,15.05,15.15,14.6,14.74,14.74,5333182,0.0,1.0
23,2020-08-19,15.35,15.65,15.24,15.34,15.34,7361960,0.0,1.0
24,2020-08-18,15.14,15.605,15.036,15.25,15.25,4125401,0.0,1.0
25,2020-08-17,15.55,15.55,15.16,15.335,15.335,5200968,0.0,1.0
26,2020-08-14,15.24,15.65,15.16,15.62,15.62,3690003,0.0,1.0
27,2020-08-13,15.52,15.86,15.29,15.42,15.42,5657894,0.0,1.0
28,2020-08-12,15.99,16.04,15.38,15.75,15.75,7075270,0.0,1.0
29,2020-08-11,16.75,16.75,15.52,15.59,15.59,7763363,0.0,1.0
30,2020-08-10,15.71,16.32,15.63,16.28,16.28,6887954,0.0,1.0
31,2020-08-07,15.47,15.6783,15.12,15.54,15.54,6973208,0.0,1.0
32,2020-08-06,16.06,16.12,15.4,15.6,15.6,6019254,0.0,1.0
33,2020-08-05,16.5772,16.83,16.0418,16.24,16.24,8381213,0.0,1.0
34,2020-08-04,15.62,16.105,15.55,15.88,15.88,7077529,0.0,1.0
35,2020-08-03,15.32,16.11,14.99,15.72,15.72,22822641,0.0,1.0
36,2020-07-31,15.94,16.12,15.165,15.35,15.35,12129270,0.0,1.0
37,2020-07-30,15.65,16.615,15.36,16.01,16.01,29990072,0.0,1.0
38,2020-07-29,13.45,13.73,13.26,13.65,13.65,8727325,0.0,1.0
39,2020-07-28,13.6,13.83,13.3,13.32,13.32,5579386,0.0,1.0
40,2020-07-27,14.12,14.15,13.581,13.685,13.685,7261445,0.0,1.0
41,2020-07-24,14.3781,14.72,14.14,14.2,14.2,6780550,0.0,1.0
42,2020-07-23,14.4621,14.72,14.16,14.39,14.39,7832154,0.0,1.0
43,2020-07-22,14.48,14.67,14.11,14.51,14.51,8566003,0.0,1.0
44,2020-07-21,14.06,15.2,13.97,14.9,14.9,13995957,0.025,1.0
45,2020-07-20,13.43,14.14,13.34,13.6,13.5772,9829825,0.0,1.0
46,2020-07-17,14.01,14.16,13.25,13.29,13.2677,8217679,0.0,1.0
47,2020-07-16,13.4,14.27,13.29,13.87,13.8468,9563862,0.0,1.0
48,2020-07-15,13.91,14.09,13.26,13.82,13.7969,10813575,0.0,1.0
49,2020-07-14,12.49,13.52,12.28,13.51,13.4874,9234478,0.0,1.0
50,2020-07-13,12.8,13.18,12.31,12.52,12.499,10416841,0.0,1.0
51,2020-07-10,11.95,12.77,11.79,12.71,12.6887,10129286,0.0,1.0
52,2020-07-09,12.95,13.1,12.01,12.08,12.0598,11261962,0.0,1.0
53,2020-07-08,12.78,13.15,12.59,13.07,13.0481,7712347,0.0,1.0
54,2020-07-07,13.25,13.38,12.75,12.77,12.7486,8685568,0.0,1.0
55,2020-07-06,13.56,13.72,13.21,13.53,13.5073,10165846,0.0,1.0
56,2020-07-02,13.52,13.94,13.18,13.26,13.2378,14346427,0.0,1.0
57,2020-07-01,13.63,13.97,12.91,13.0,12.9782,22682586,0.0,1.0
58,2020-06-30,13.08,13.62,12.87,13.5,13.4774,9837185,0.0,1.0
59,2020-06-29,13.15,13.46,12.915,13.33,13.3077,10097758,0.0,1.0
60,2020-06-26,13.5,13.5,12.8,13.25,13.2278,11946826,0.0,1.0
61,2020-06-25,12.87,13.67,12.68,13.66,13.6371,12251275,0.0,1.0
