,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,103.79,104.85,101.69,104.62,104.62,1629636,0.0,1.0
1,2020-09-21,107.21,107.68,102.91,103.49,103.49,1583817,0.0,1.0
2,2020-09-18,109.74,110.76,108.23,108.87,108.87,2071286,0.0,1.0
3,2020-09-17,108.11,110.445,107.84,109.88,109.88,1995675,0.0,1.0
4,2020-09-16,110.0,110.26,108.88,109.08,109.08,1354310,0.0,1.0
5,2020-09-15,107.47,109.305,107.3,108.33,108.33,901424,0.0,1.0
6,2020-09-14,105.39,107.04,105.25,106.78,106.78,1253321,0.25,1.0
7,2020-09-11,105.37,106.13,103.87,104.29,104.0464,1709391,0.0,1.0
8,2020-09-10,107.49,107.97,104.05,104.53,104.2858,1366209,0.0,1.0
9,2020-09-09,106.5,107.79,105.855,106.78,106.5306,2619238,0.0,1.0
10,2020-09-08,106.67,107.57,104.95,105.06,104.8146,1697386,0.0,1.0
11,2020-09-04,109.47,109.63,106.51,108.45,108.1967,1302957,0.0,1.0
12,2020-09-03,112.66,112.67,107.66,108.47,108.2166,1259199,0.0,1.0
13,2020-09-02,111.49,113.25,110.77,112.96,112.6961,1363032,0.0,1.0
14,2020-09-01,110.0,111.03,109.41,110.79,110.5312,1254223,0.0,1.0
15,2020-08-31,109.64,110.3,109.35,109.8,109.5435,1103902,0.0,1.0
16,2020-08-28,108.19,109.95,107.73,109.78,109.5236,1076306,0.0,1.0
17,2020-08-27,110.05,110.05,107.9,108.1,107.8475,813297,0.0,1.0
18,2020-08-26,108.96,109.57,108.51,109.05,108.7953,937547,0.0,1.0
19,2020-08-25,109.14,110.19,108.52,108.91,108.6556,1073500,0.0,1.0
20,2020-08-24,104.99,109.27,104.2,108.75,108.496,827649,0.0,1.0
21,2020-08-21,107.3,108.6,107.11,108.24,107.9872,963219,0.0,1.0
22,2020-08-20,108.28,108.5,107.09,107.3,107.0494,888257,0.0,1.0
23,2020-08-19,109.5,109.96,108.92,109.14,108.8851,584636,0.0,1.0
24,2020-08-18,109.66,109.86,109.01,109.15,108.895,832183,0.0,1.0
25,2020-08-17,110.19,110.79,109.8,109.89,109.6333,838888,0.0,1.0
26,2020-08-14,110.07,110.3,109.44,109.78,109.5236,797197,0.0,1.0
27,2020-08-13,109.35,111.4,108.81,110.57,110.3117,1034945,0.0,1.0
28,2020-08-12,109.26,110.375,108.4401,109.79,109.5336,1355581,0.0,1.0
29,2020-08-11,108.71,110.0,108.56,108.81,108.5558,1664001,0.0,1.0
