,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,84.35,85.114,83.0482,84.51,84.51,1053803,0.0,1.0
1,2020-09-21,86.75,87.55,83.4,84.56,84.56,2455888,0.0,1.0
2,2020-09-18,87.04,89.42,86.0,88.95,88.95,4538349,0.0,1.0
3,2020-09-17,84.22,84.37,82.63,83.29,83.29,1685293,0.0,1.0
4,2020-09-16,86.69,86.7011,84.36,84.97,84.97,2152561,0.0,1.0
5,2020-09-15,86.42,87.62,85.7389,86.01,86.01,1568297,0.0,1.0
6,2020-09-14,85.52,86.45,84.92,85.89,85.89,1213710,0.0,1.0
7,2020-09-11,84.45,85.26,83.45,84.55,84.55,1731305,0.0,1.0
8,2020-09-10,87.0,87.69,83.71,84.09,84.09,1034750,0.0,1.0
9,2020-09-09,86.06,86.63,85.385,85.65,85.65,1422640,0.0,1.0
10,2020-09-08,86.21,86.48,84.155,84.66,84.66,3181591,0.0,1.0
11,2020-09-04,87.86,88.21,84.715,86.21,86.21,1336503,0.0,1.0
12,2020-09-03,89.88,90.06,86.14,86.76,86.76,1847350,0.0,1.0
13,2020-09-02,88.68,90.7,87.53,90.0,90.0,2272719,0.0,1.0
14,2020-09-01,85.32,87.12,84.205,87.05,87.05,1075595,0.0,1.0
15,2020-08-31,87.74,87.89,85.77,86.12,86.12,1535327,0.0,1.0
16,2020-08-28,85.38,87.315,85.15,87.25,87.25,1327947,0.0,1.0
17,2020-08-27,85.85,85.85,84.64,85.34,85.34,869054,0.0,1.0
18,2020-08-26,85.31,85.91,84.69,85.44,85.44,1121217,0.0,1.0
19,2020-08-25,86.03,86.3099,84.55,85.36,85.36,979707,0.0,1.0
20,2020-08-24,84.55,85.865,84.385,85.5,85.5,1508919,0.0,1.0
21,2020-08-21,84.76,84.81,83.68,83.88,83.88,668421,0.0,1.0
22,2020-08-20,84.21,84.865,83.74,84.49,84.49,1085246,0.0,1.0
23,2020-08-19,86.88,87.05,84.77,85.42,85.42,1524545,0.0,1.0
24,2020-08-18,88.19,89.11,87.19,87.24,87.24,795149,0.0,1.0
25,2020-08-17,88.92,89.31,87.73,88.16,88.16,1421591,0.0,1.0
26,2020-08-14,88.52,88.93,87.625,88.34,88.34,744135,0.0,1.0
27,2020-08-13,88.62,89.33,88.35,88.63,88.63,893312,0.0,1.0
28,2020-08-12,90.81,91.51,88.215,89.5,89.5,1915195,0.0,1.0
29,2020-08-11,88.0,90.82,87.99,88.84,88.84,2479035,0.0,1.0
30,2020-08-10,84.64,86.81,84.23,86.44,86.44,1256787,0.0,1.0
31,2020-08-07,83.55,84.81,82.92,83.86,83.86,1249193,0.0,1.0
32,2020-08-06,83.16,85.175,83.16,84.53,84.53,1644517,0.0,1.0
33,2020-08-05,81.28,83.94,81.08,83.84,83.84,2087845,0.0,1.0
34,2020-08-04,81.81,81.81,80.26,81.02,81.02,1288919,0.0,1.0
35,2020-08-03,78.25,80.443,78.25,79.72,79.72,1503576,0.0,1.0
36,2020-07-31,80.27,80.4,76.18,77.75,77.75,2360266,0.0,1.0
37,2020-07-30,82.5,82.84,79.91,80.46,80.46,1974545,0.0,1.0
38,2020-07-29,82.21,83.72,82.21,83.67,83.67,1719486,0.0,1.0
39,2020-07-28,83.67,84.27,82.08,82.17,82.17,889038,0.0,1.0
40,2020-07-27,82.25,84.35,81.75,83.55,83.55,1249366,0.0,1.0
41,2020-07-24,80.8,83.16,80.7682,82.25,82.25,1243241,0.0,1.0
42,2020-07-23,83.04,83.53,81.32,82.33,82.33,1497073,0.0,1.0
43,2020-07-22,81.68,82.8,81.185,82.72,82.72,1531403,0.0,1.0
44,2020-07-21,83.38,83.8,81.53,81.87,81.87,1274831,0.0,1.0
