,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,157.68,157.96,154.185,155.89,155.89,835709,0.0,1.0
1,2020-09-18,160.47,162.35,157.6,159.35,159.35,3441801,0.0,1.0
2,2020-09-17,163.07,164.45,161.23,162.04,162.04,1118895,0.0,1.0
3,2020-09-16,164.93,166.55,163.39,164.64,164.64,668557,0.0,1.0
4,2020-09-15,163.68,165.78,163.25,163.65,163.65,624781,0.0,1.0
5,2020-09-14,159.42,163.89,158.83,163.68,163.68,834795,0.0,1.0
6,2020-09-11,160.63,160.63,157.0,158.36,158.36,526490,0.0,1.0
7,2020-09-10,162.34,162.67,160.095,160.35,160.35,611598,0.0,1.0
8,2020-09-09,162.68,165.695,161.62,162.88,162.88,840107,0.0,1.0
9,2020-09-08,165.23,165.375,160.265,161.99,161.99,930355,0.0,1.0
10,2020-09-04,169.58,170.8,164.45,166.43,166.43,563781,0.0,1.0
11,2020-09-03,171.25,173.35,167.595,169.58,169.58,768788,0.0,1.0
12,2020-09-02,166.48,170.97,165.73,170.37,170.37,784868,0.0,1.0
13,2020-09-01,167.7,168.69,166.23,166.54,166.54,529680,0.0,1.0
14,2020-08-31,169.55,169.67,167.5,168.38,168.38,1077536,0.0,1.0
15,2020-08-28,170.82,171.56,167.64,169.71,169.71,461051,0.0,1.0
16,2020-08-27,170.39,172.04,170.39,170.52,170.52,352249,0.0,1.0
17,2020-08-26,170.78,170.87,169.18,170.39,170.39,401154,0.0,1.0
18,2020-08-25,171.32,172.04,169.72,170.74,170.74,443268,0.0,1.0
19,2020-08-24,169.99,171.21,168.4325,171.21,171.21,446352,0.0,1.0
20,2020-08-21,172.43,172.9,169.61,170.69,170.69,549860,0.0,1.0
21,2020-08-20,171.37,173.49,170.95,171.45,171.45,344731,0.0,1.0
22,2020-08-19,174.0,174.0,171.11,171.42,171.42,503427,0.0,1.0
23,2020-08-18,173.19,174.19,172.12,173.76,173.76,501249,0.0,1.0
24,2020-08-17,170.56,174.13,169.84,173.42,173.42,551308,0.0,1.0
25,2020-08-14,170.62,172.16,169.5995,170.22,170.22,401519,0.0,1.0
26,2020-08-13,172.0,174.11,170.5,170.7,170.7,391395,0.0,1.0
27,2020-08-12,172.57,174.36,172.16,173.3,173.3,603262,0.0,1.0
28,2020-08-11,176.06,176.575,171.0,172.05,172.05,624817,0.0,1.0
29,2020-08-10,175.65,176.92,174.27,174.98,174.98,704628,0.0,1.0
30,2020-08-07,173.92,176.105,173.92,175.65,175.65,419854,0.0,1.0
31,2020-08-06,173.8,175.54,172.96,174.38,174.38,699896,0.0,1.0
32,2020-08-05,176.79,177.15,173.44,174.62,174.62,615903,0.0,1.0
33,2020-08-04,176.35,177.7,175.2,176.49,176.49,672630,0.0,1.0
34,2020-08-03,176.43,177.24,174.62,176.33,176.33,518084,0.0,1.0
35,2020-07-31,175.47,177.63,173.415,177.55,177.55,840272,0.0,1.0
36,2020-07-30,174.54,176.56,173.83,176.13,176.13,600069,0.0,1.0
37,2020-07-29,174.07,177.64,174.07,176.06,176.06,964934,0.0,1.0
38,2020-07-28,172.24,175.42,170.67,173.79,173.79,1030343,0.0,1.0
39,2020-07-27,167.8,170.63,165.81,170.36,170.36,639356,0.0,1.0
40,2020-07-24,168.14,169.055,166.82,168.55,168.55,589456,0.0,1.0
41,2020-07-23,168.18,170.0,166.64,168.52,168.52,763727,0.0,1.0
42,2020-07-22,164.7,169.63,164.44,168.89,168.89,846716,0.0,1.0
43,2020-07-21,166.01,166.94,165.21,165.74,165.74,573959,0.0,1.0
44,2020-07-20,165.99,167.03,164.37,165.27,165.27,466694,0.0,1.0
45,2020-07-17,163.97,167.27,162.81,166.75,166.75,471600,0.0,1.0
46,2020-07-16,163.05,164.59,161.69,163.03,163.03,600500,0.0,1.0
47,2020-07-15,165.56,165.81,162.87,163.73,163.73,655900,0.0,1.0
48,2020-07-14,160.85,164.0,160.02,163.47,163.47,636000,0.0,1.0
49,2020-07-13,161.63,163.14,159.86,160.84,160.84,584900,0.0,1.0
50,2020-07-10,162.0,162.92,160.0,160.81,160.81,1404500,0.0,1.0
51,2020-07-09,160.68,162.58,158.83,162.25,162.25,1513800,0.0,1.0
52,2020-07-08,161.76,162.2,159.49,160.85,160.85,1837700,0.0,1.0
53,2020-07-07,161.09,162.62,160.5,160.58,160.58,2949600,0.0,1.0
54,2020-07-06,168.27,168.94,164.26,164.79,164.79,584500,0.0,1.0
55,2020-07-02,168.01,168.44,163.11,165.04,165.04,1145900,0.0,1.0
56,2020-07-01,162.94,166.47,162.76,165.41,165.41,656700,0.0,1.0
57,2020-06-30,161.97,163.32,161.16,162.25,162.25,817500,0.0,1.0
58,2020-06-29,162.21,162.21,159.18,161.63,161.63,516500,1.06,1.0
59,2020-06-26,167.59,167.8,161.11,161.83,160.7756,976600,0.0,1.0
60,2020-06-25,162.9,166.75,161.81,166.6,165.5145,589200,0.0,1.0
61,2020-06-24,165.32,167.71,160.28,163.48,162.4149,891400,0.0,1.0
62,2020-06-23,170.57,170.88,166.7,167.34,166.2497,790000,0.0,1.0
63,2020-06-22,166.05,168.99,164.27,168.5,167.4021,1035700,0.0,1.0
64,2020-06-19,173.12,173.26,165.36,165.84,164.7595,5600100,0.0,1.0
65,2020-06-18,169.18,171.35,167.11,170.24,169.1308,3038800,0.0,1.0
66,2020-06-17,170.35,171.84,167.35,170.93,169.8163,999900,0.0,1.0
67,2020-06-16,170.5,173.5,167.1,169.18,168.0777,1288000,0.0,1.0
68,2020-06-15,155.46,165.76,155.46,165.38,164.3025,1724700,0.0,1.0
69,2020-06-12,156.66,159.76,153.96,159.27,158.2323,1166400,0.0,1.0
70,2020-06-11,152.99,155.59,151.59,152.39,151.3971,874500,0.0,1.0
71,2020-06-10,159.71,160.02,156.64,157.92,156.8911,813400,0.0,1.0
72,2020-06-09,157.82,161.26,156.07,160.09,159.0469,750000,0.0,1.0
73,2020-06-08,161.74,162.44,158.56,160.08,159.037,910300,0.0,1.0
74,2020-06-05,155.75,159.67,154.63,158.59,157.5567,1127000,0.0,1.0
75,2020-06-04,152.92,153.6,149.62,151.13,150.1453,751700,0.0,1.0
76,2020-06-03,155.17,156.75,154.28,154.72,153.7119,1204100,0.0,1.0
77,2020-06-02,155.27,155.27,152.89,154.96,153.9504,687300,0.0,1.0
78,2020-06-01,153.5,155.24,152.57,154.1,153.096,616200,0.0,1.0
79,2020-05-29,153.61,154.76,152.36,153.72,152.7184,1875500,0.0,1.0
80,2020-05-28,153.27,155.38,151.61,155.14,154.1292,1038100,0.0,1.0
81,2020-05-27,152.17,153.33,147.27,151.45,150.4632,770900,0.0,1.0
82,2020-05-26,149.33,151.79,149.28,150.52,149.5393,683700,0.0,1.0
83,2020-05-22,145.11,147.54,145.05,146.99,146.0323,549300,0.0,1.0
84,2020-05-21,145.01,147.8,144.86,145.43,144.4825,484800,0.0,1.0
85,2020-05-20,146.91,148.33,144.5,146.22,145.2673,860300,0.0,1.0
86,2020-05-19,144.57,147.01,144.57,145.31,144.3632,720500,0.0,1.0
87,2020-05-18,146.38,149.8,144.77,145.36,144.4129,986300,0.0,1.0
88,2020-05-15,139.02,141.75,137.0,141.43,140.5085,1804700,0.0,1.0
89,2020-05-14,140.95,143.17,136.52,140.53,139.6144,1041500,0.0,1.0
90,2020-05-13,147.24,148.63,142.24,143.46,142.5253,1252900,0.0,1.0
91,2020-05-12,152.4,152.4,147.26,148.2,147.2344,988900,0.0,1.0
92,2020-05-11,150.95,154.15,149.49,151.8,150.811,784700,0.0,1.0
93,2020-05-08,154.21,154.9,150.95,152.0,151.0097,456500,0.0,1.0
94,2020-05-07,152.64,154.41,151.05,151.49,150.503,572100,0.0,1.0
95,2020-05-06,153.3,154.02,150.12,151.17,150.1851,428100,0.0,1.0
96,2020-05-05,150.02,154.64,150.0,152.95,151.9535,729200,0.0,1.0
97,2020-05-04,149.4,150.85,146.95,149.58,148.6054,435000,0.0,1.0
98,2020-05-01,153.48,155.14,149.71,150.99,150.0062,703900,0.0,1.0
99,2020-04-30,154.61,157.64,151.92,157.09,156.0665,889200,0.0,1.0
100,2020-04-29,155.05,157.78,150.56,156.37,155.3512,788900,0.0,1.0
101,2020-04-28,153.0,155.81,151.01,152.17,151.1785,647400,0.0,1.0
102,2020-04-27,151.23,151.89,148.8,150.78,149.7976,619200,0.0,1.0
103,2020-04-24,149.35,151.16,147.87,149.49,148.516,542900,0.0,1.0
104,2020-04-23,150.9,154.0,147.65,147.96,146.996,825700,0.0,1.0
105,2020-04-22,150.44,155.09,148.23,150.94,149.9566,497000,0.0,1.0
106,2020-04-21,147.48,150.02,145.59,147.4,146.4396,657800,0.0,1.0
107,2020-04-20,153.5,155.59,150.67,150.99,150.0062,579300,0.0,1.0
108,2020-04-17,154.82,156.32,153.01,155.31,154.2981,454300,0.0,1.0
109,2020-04-16,152.29,153.15,150.01,152.07,151.0792,1010700,0.0,1.0
