,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,82.3128,83.275,80.755,82.65,82.65,6188900,0.0,1.0
1,2020-09-21,79.64,81.465,79.16,81.41,81.41,6293228,0.0,1.0
2,2020-09-18,79.33,80.64,78.08,80.09,80.09,9409432,0.0,1.0
3,2020-09-17,78.06,79.19,77.71,78.77,78.77,7609525,0.0,1.0
4,2020-09-16,81.68,82.39,79.825,79.99,79.99,4996733,0.0,1.0
5,2020-09-15,80.0,82.2089,79.78,81.75,81.75,6501143,0.0,1.0
6,2020-09-14,79.04,79.42,78.48,79.12,79.12,6221811,0.0,1.0
7,2020-09-11,79.83,80.52,77.63,77.97,77.97,6024537,0.0,1.0
8,2020-09-10,80.29,81.11,78.73,79.09,79.09,8457979,0.0,1.0
9,2020-09-09,77.85,80.0,77.26,79.59,79.59,6984702,0.0,1.0
10,2020-09-08,76.58,77.49,75.92,76.18,76.18,11025002,0.0,1.0
11,2020-09-04,79.1,79.8,75.68,79.01,79.01,8947258,0.0,1.0
12,2020-09-03,82.96,83.0,79.411,80.31,80.31,7996811,0.0,1.0
13,2020-09-02,83.58,84.02,82.475,83.45,83.45,7125069,0.0,1.0
14,2020-09-01,83.8438,84.49,82.6,83.33,83.33,5955106,0.0,1.0
15,2020-08-31,82.81,83.9299,82.69,83.52,83.52,6269549,0.0,1.0
16,2020-08-28,83.95,84.03,82.31,83.21,83.21,4646739,0.0,1.0
17,2020-08-27,85.0,85.0,82.775,83.9,83.9,4221334,0.0,1.0
18,2020-08-26,83.83,84.94,83.54,84.48,84.48,7046351,0.0,1.0
19,2020-08-25,82.93,83.845,82.3685,83.62,83.62,3658992,0.0,1.0
20,2020-08-24,83.34,83.66,81.91,83.1,83.1,4281857,0.0,1.0
21,2020-08-21,84.05,84.09,82.73,83.21,83.21,5102134,0.0,1.0
22,2020-08-20,82.02,84.22,81.8613,83.995,83.995,5604107,0.0,1.0
23,2020-08-19,82.95,83.73,81.73,81.98,81.98,5566091,0.0,1.0
24,2020-08-18,82.6,83.2799,81.59,83.13,83.13,4479265,0.0,1.0
25,2020-08-17,80.97,82.05,80.1686,81.99,81.99,6935276,0.0,1.0
26,2020-08-14,81.97,82.3,79.98,80.4,80.4,9390035,0.0,1.0
27,2020-08-13,82.28,82.98,81.2,81.29,81.29,5329083,0.0,1.0
28,2020-08-12,79.58,81.99,79.58,81.71,81.71,6200326,0.0,1.0
29,2020-08-11,81.51,81.51,78.7,79.12,79.12,9095695,0.0,1.0
30,2020-08-10,82.43,83.51,80.84,82.26,82.26,8018241,0.0,1.0
31,2020-08-07,84.43,85.4,80.99,82.47,82.47,9181875,0.0,1.0
32,2020-08-06,87.55,87.7265,85.5,86.84,86.84,9586305,0.0,1.0
33,2020-08-05,84.65,86.02,83.35,84.32,84.32,12559789,0.0,1.0
34,2020-08-04,86.77,87.04,83.95,86.45,86.45,16110332,0.0,1.0
