,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,120.91,122.59,120.85,122.01,122.01,645254,0.0,1.0
1,2020-09-21,123.1,124.26,119.55,121.2,121.2,630122,0.0,1.0
2,2020-09-18,128.04,128.78,124.57,125.48,125.48,741940,0.0,1.0
3,2020-09-17,127.0,129.73,124.66,128.69,128.69,708755,0.0,1.0
4,2020-09-16,128.36,129.74,128.02,128.33,128.33,1137357,0.0,1.0
5,2020-09-15,123.17,128.72,123.17,128.02,128.02,956538,0.0,1.0
6,2020-09-14,121.29,123.84,121.115,121.81,121.81,723735,0.0,1.0
7,2020-09-11,117.23,120.815,116.91,119.79,119.79,807171,0.0,1.0
8,2020-09-10,117.2,118.05,115.91,116.04,116.04,546231,0.0,1.0
9,2020-09-09,114.59,117.02,114.59,116.35,116.35,439270,0.0,1.0
10,2020-09-08,118.38,118.38,113.56,114.06,114.06,606394,0.0,1.0
11,2020-09-04,120.42,120.69,117.65,119.08,119.08,574434,0.0,1.0
12,2020-09-03,121.21,121.33,117.035,119.08,119.08,561090,0.0,1.0
13,2020-09-02,117.78,121.53,117.57,121.16,121.16,553646,0.0,1.0
14,2020-09-01,114.16,117.71,113.06,117.66,117.66,521804,0.58,1.0
15,2020-08-31,118.18,118.18,114.65,115.39,114.824,544281,0.0,1.0
16,2020-08-28,116.64,118.36,115.42,118.18,117.6003,314471,0.0,1.0
17,2020-08-27,115.34,117.13,115.26,116.29,115.7196,349755,0.0,1.0
18,2020-08-26,115.63,116.03,114.62,115.75,115.1822,371072,0.0,1.0
19,2020-08-25,116.1,116.3,114.44,115.91,115.3414,438395,0.0,1.0
20,2020-08-24,115.48,116.31,114.78,115.38,114.814,240720,0.0,1.0
21,2020-08-21,113.31,115.05,112.69,114.58,114.018,360716,0.0,1.0
22,2020-08-20,113.09,113.595,112.21,113.44,112.8835,441538,0.0,1.0
23,2020-08-19,115.04,116.075,113.75,114.25,113.6896,333933,0.0,1.0
24,2020-08-18,115.7,115.895,114.15,114.34,113.7791,403332,0.0,1.0
25,2020-08-17,117.43,117.43,115.43,115.86,115.2917,354168,0.0,1.0
26,2020-08-14,117.5,117.97,116.36,116.59,116.0181,378551,0.0,1.0
27,2020-08-13,119.11,119.18,117.86,118.43,117.8491,366712,0.0,1.0
28,2020-08-12,119.94,120.82,119.11,120.46,119.8691,419589,0.0,1.0
29,2020-08-11,118.18,119.945,117.83,118.35,117.7695,625932,0.0,1.0
30,2020-08-10,116.36,117.19,115.33,116.18,115.6101,343252,0.0,1.0
31,2020-08-07,113.72,115.83,113.39,115.82,115.2519,379654,0.0,1.0
32,2020-08-06,115.94,116.85,114.13,114.45,113.8886,580864,0.0,1.0
33,2020-08-05,114.47,116.815,114.47,116.09,115.5205,608896,0.0,1.0
34,2020-08-04,112.32,114.18,111.8,113.84,113.2816,657751,0.0,1.0
35,2020-08-03,114.04,114.39,112.54,112.81,112.2566,480743,0.0,1.0
36,2020-07-31,114.7,115.03,112.1,113.34,112.784,400274,0.0,1.0
37,2020-07-30,116.34,117.01,114.6,115.13,114.5653,457926,0.0,1.0
38,2020-07-29,118.2,119.37,117.26,117.96,117.3814,746714,0.0,1.0
39,2020-07-28,117.25,118.39,116.29,117.6,117.0231,968454,0.0,1.0
40,2020-07-27,120.46,120.9,113.62,115.86,115.2917,1203814,0.0,1.0
41,2020-07-24,121.05,122.71,119.91,120.41,119.8194,1467750,0.0,1.0
42,2020-07-23,122.26,123.6,120.4,120.91,120.3169,362815,0.0,1.0
43,2020-07-22,120.13,122.2,119.93,122.2,121.6006,358608,0.0,1.0
44,2020-07-21,120.11,121.41,120.0,120.49,119.899,400500,0.0,1.0
45,2020-07-20,120.5,121.01,119.66,119.89,119.3019,310400,0.0,1.0
46,2020-07-17,120.27,121.66,118.8,121.26,120.6652,595400,0.0,1.0
47,2020-07-16,118.89,120.58,118.4,119.42,118.8342,675300,0.0,1.0
48,2020-07-15,118.05,119.61,117.32,118.99,118.4063,761700,0.0,1.0
49,2020-07-14,112.12,115.82,111.44,115.82,115.2519,784400,0.0,1.0
50,2020-07-13,112.2,114.09,111.7,112.15,111.5999,946100,0.0,1.0
51,2020-07-10,110.8,111.84,110.01,111.04,110.4953,970800,0.0,1.0
52,2020-07-09,112.5,112.71,109.99,110.61,110.0674,573400,0.0,1.0
53,2020-07-08,115.48,116.04,112.49,112.95,112.3959,673600,0.0,1.0
54,2020-07-07,116.7,116.84,115.27,115.85,115.2817,480300,0.0,1.0
55,2020-07-06,119.43,120.09,116.71,118.18,117.6003,629400,0.0,1.0
56,2020-07-02,115.19,117.56,114.64,117.0,116.4261,728400,0.0,1.0
57,2020-07-01,114.34,114.75,112.3,114.02,113.4607,492500,0.0,1.0
58,2020-06-30,111.79,115.09,111.73,114.09,113.5304,594900,0.0,1.0
59,2020-06-29,110.83,113.065,110.35,111.94,111.3909,337879,0.0,1.0
60,2020-06-26,111.13,112.27,109.38,109.83,109.2913,1504400,0.0,1.0
61,2020-06-25,112.06,112.06,109.41,111.37,110.8237,826900,0.0,1.0
62,2020-06-24,114.38,114.83,111.98,112.29,111.7392,908100,0.0,1.0
63,2020-06-23,115.12,115.88,113.43,115.48,114.9135,605300,0.0,1.0
64,2020-06-22,113.46,114.31,112.42,113.77,113.2119,403900,0.0,1.0
65,2020-06-19,118.61,118.61,114.51,114.52,113.9582,542300,0.0,1.0
66,2020-06-18,115.69,116.75,114.87,116.47,115.8987,412900,0.0,1.0
67,2020-06-17,116.66,117.17,115.32,115.75,115.1822,260400,0.0,1.0
68,2020-06-16,119.75,119.89,114.67,116.35,115.7793,547400,0.0,1.0
69,2020-06-15,110.38,116.3,109.07,115.52,114.9533,376100,0.0,1.0
70,2020-06-12,115.98,116.95,112.0,113.5,112.9433,429900,0.0,1.0
71,2020-06-11,118.91,118.91,111.92,112.01,111.4606,710500,0.0,1.0
72,2020-06-10,122.35,122.35,119.04,121.46,120.8642,656900,0.0,1.0
73,2020-06-09,123.29,123.58,121.38,122.42,121.8195,363300,0.0,1.0
74,2020-06-08,122.95,125.64,122.84,124.61,123.9988,441200,0.0,1.0
75,2020-06-05,122.7,125.67,121.8,123.32,122.7151,739100,0.0,1.0
76,2020-06-04,118.46,120.0,117.5,118.74,118.1575,432700,0.0,1.0
77,2020-06-03,117.25,120.22,116.35,119.75,119.1626,629400,0.0,1.0
78,2020-06-02,112.59,116.51,112.59,115.57,115.0031,643200,0.58,1.0
79,2020-06-01,111.3,113.78,111.16,112.97,111.8545,493200,0.0,1.0
80,2020-05-29,111.67,112.53,109.26,110.67,109.5772,1155800,0.0,1.0
81,2020-05-28,114.59,114.59,112.0,112.19,111.0822,397500,0.0,1.0
82,2020-05-27,113.52,114.84,111.33,113.42,112.3001,677200,0.0,1.0
83,2020-05-26,109.39,112.04,108.42,111.45,110.3495,615100,0.0,1.0
84,2020-05-22,105.8,107.63,105.67,106.45,105.3989,577700,0.0,1.0
85,2020-05-21,105.02,106.05,103.12,105.91,104.8642,464100,0.0,1.0
86,2020-05-20,103.9,106.83,103.9,105.75,104.7058,484200,0.0,1.0
87,2020-05-19,103.79,104.51,102.56,102.81,101.7948,380500,0.0,1.0
88,2020-05-18,104.28,106.46,104.28,104.49,103.4582,576100,0.0,1.0
89,2020-05-15,101.18,101.84,99.26,100.48,99.4878,499600,0.0,1.0
90,2020-05-14,101.23,102.26,98.84,102.22,101.2106,500600,0.0,1.0
91,2020-05-13,103.36,105.19,101.12,102.26,101.2503,551100,0.0,1.0
92,2020-05-12,109.18,109.88,104.42,104.46,103.4285,415800,0.0,1.0
93,2020-05-11,108.16,109.3,105.46,108.81,107.7356,409900,0.0,1.0
94,2020-05-08,106.35,109.53,105.93,109.26,108.1811,379400,0.0,1.0
95,2020-05-07,107.03,107.72,103.8,104.32,103.2899,628500,0.0,1.0
96,2020-05-06,107.1,107.93,105.35,105.75,104.7058,333500,0.0,1.0
97,2020-05-05,107.57,108.37,106.14,106.49,105.4385,444300,0.0,1.0
98,2020-05-04,107.65,107.99,105.61,106.92,105.8642,378200,0.0,1.0
99,2020-05-01,108.4,108.6,105.15,108.07,107.0029,469200,0.0,1.0
100,2020-04-30,111.02,112.06,108.54,110.39,109.3,620700,0.0,1.0
101,2020-04-29,116.37,119.55,112.18,114.16,113.0327,859900,0.0,1.0
102,2020-04-28,116.38,119.41,114.55,114.68,113.5476,640500,0.0,1.0
103,2020-04-27,108.97,114.25,107.76,114.0,112.8743,470700,0.0,1.0
104,2020-04-24,108.04,109.19,106.13,108.54,107.4682,400600,0.0,1.0
105,2020-04-23,106.5,108.94,106.17,106.73,105.6761,494200,0.0,1.0
