,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,137.94,140.08,137.01,139.72,139.72,746889,0.0,1.0
1,2020-09-18,140.75,141.84,138.0,138.28,138.28,1420912,0.0,1.0
2,2020-09-17,142.33,142.97,139.7078,141.02,141.02,733381,0.0,1.0
3,2020-09-16,143.85,145.505,142.59,142.77,142.77,678183,0.0,1.0
4,2020-09-15,144.16,144.84,142.85,143.59,143.59,812927,0.0,1.0
5,2020-09-14,142.14,143.82,141.25,142.88,142.88,684579,0.0,1.0
6,2020-09-11,141.56,141.77,140.28,141.1,141.1,482526,0.0,1.0
7,2020-09-10,142.74,143.42,140.71,140.77,140.77,575463,0.0,1.0
8,2020-09-09,142.02,145.12,142.02,143.2,143.2,667589,0.0,1.0
9,2020-09-08,143.0,143.21,140.14,140.77,140.77,771677,0.0,1.0
10,2020-09-04,142.7,144.015,141.63,143.17,143.17,954231,0.0,1.0
11,2020-09-03,144.64,146.3,141.3,142.48,142.48,717315,0.0,1.0
12,2020-09-02,140.4,144.93,139.75,144.15,144.15,934608,0.0,1.0
13,2020-09-01,141.78,142.0,139.5,140.17,140.17,451719,0.0,1.0
14,2020-08-31,142.15,142.68,140.87,141.34,141.34,881106,0.0,1.0
15,2020-08-28,141.14,141.14,138.85,140.79,140.79,773425,0.0,1.0
16,2020-08-27,141.88,142.765,140.37,141.37,141.37,704000,0.0,1.0
17,2020-08-26,142.38,142.97,140.78,140.9,140.9,583913,0.0,1.0
18,2020-08-25,143.98,143.98,142.345,143.53,143.53,389392,0.0,1.0
19,2020-08-24,143.62,144.32,142.2155,143.88,143.88,468644,0.0,1.0
20,2020-08-21,144.38,144.79,142.61,143.64,143.64,603261,0.0,1.0
21,2020-08-20,143.55,145.31,143.17,144.28,144.28,432227,0.0,1.0
22,2020-08-19,146.75,147.195,143.59,143.92,143.92,602994,0.0,1.0
23,2020-08-18,146.14,147.2,145.29,146.0,146.0,493262,0.0,1.0
24,2020-08-17,146.0,148.12,145.09,146.56,146.56,657032,0.0,1.0
25,2020-08-14,146.16,146.675,144.79,145.31,145.31,378616,0.0,1.0
26,2020-08-13,145.28,147.17,144.29,146.51,146.51,613384,0.0,1.0
27,2020-08-12,143.13,147.08,142.8,145.87,145.87,602574,0.0,1.0
28,2020-08-11,148.23,148.495,141.71,142.42,142.42,740979,0.55,1.0
29,2020-08-10,150.21,150.47,148.44,149.11,148.5364,598637,0.0,1.0
30,2020-08-07,147.0,150.035,146.09,149.79,149.2138,785485,0.0,1.0
31,2020-08-06,146.32,147.96,145.01,146.97,146.4046,737576,0.0,1.0
32,2020-08-05,148.19,148.2199,145.65,147.25,146.6835,506559,0.0,1.0
33,2020-08-04,146.49,147.69,145.95,147.5,146.9326,686016,0.0,1.0
34,2020-08-03,147.0,147.37,145.4,147.06,146.4943,582430,0.0,1.0
35,2020-07-31,146.21,148.51,145.485,147.27,146.7035,793364,0.0,1.0
36,2020-07-30,146.82,147.98,145.85,146.63,146.0659,591158,0.0,1.0
37,2020-07-29,145.94,148.16,145.92,147.99,147.4207,811286,0.0,1.0
38,2020-07-28,143.88,146.27,143.88,145.36,144.8008,724719,0.0,1.0
39,2020-07-27,145.0,145.91,143.7,144.33,143.7748,833169,0.0,1.0
40,2020-07-24,145.0,145.97,143.2,144.52,143.964,834131,0.0,1.0
41,2020-07-23,144.67,145.81,143.91,144.89,144.3326,719273,0.0,1.0
42,2020-07-22,140.93,144.48,140.21,143.79,143.2368,607994,0.0,1.0
43,2020-07-21,139.8,141.87,139.32,141.18,140.6369,566900,0.0,1.0
44,2020-07-20,140.86,142.84,138.99,139.71,139.1725,696000,0.0,1.0
45,2020-07-17,138.92,141.53,138.42,141.22,140.6767,786700,0.0,1.0
46,2020-07-16,134.03,138.39,133.56,138.32,137.7879,1100100,0.0,1.0
47,2020-07-15,135.0,135.85,133.4,134.06,133.5443,918700,0.0,1.0
48,2020-07-14,133.43,135.23,132.85,134.84,134.3213,1170400,0.0,1.0
49,2020-07-13,132.82,134.41,132.17,132.97,132.4585,983800,0.0,1.0
50,2020-07-10,130.95,133.41,130.74,133.39,132.8769,715700,0.0,1.0
51,2020-07-09,131.35,131.69,128.76,130.69,130.1872,714000,0.0,1.0
52,2020-07-08,130.4,132.19,130.01,131.76,131.2531,673400,0.0,1.0
53,2020-07-07,130.25,131.53,129.38,130.31,129.8087,693700,0.0,1.0
54,2020-07-06,132.63,133.92,130.35,131.04,130.5359,551900,0.0,1.0
55,2020-07-02,131.15,132.16,130.6,131.06,130.5558,731300,0.0,1.0
56,2020-07-01,128.45,131.13,128.45,130.62,130.1175,766900,0.0,1.0
57,2020-06-30,125.47,129.43,125.47,128.66,128.1651,1228700,0.0,1.0
58,2020-06-29,124.38,125.44,122.49,125.37,124.8877,617720,0.0,1.0
59,2020-06-26,122.43,125.56,121.84,124.08,123.6027,1789400,0.0,1.0
60,2020-06-25,124.4,124.4,120.67,122.22,121.7498,707800,0.0,1.0
61,2020-06-24,124.34,125.2,123.1,124.4,123.9214,1038000,0.0,1.0
62,2020-06-23,127.71,128.18,124.88,125.22,124.7383,833000,0.0,1.0
63,2020-06-22,126.33,127.6,125.7,126.83,126.3421,1127400,0.0,1.0
64,2020-06-19,131.06,131.13,126.36,126.36,125.8739,1766000,0.0,1.0
65,2020-06-18,129.34,130.17,127.54,129.17,128.6731,629200,0.0,1.0
66,2020-06-17,130.0,130.84,127.46,129.86,129.3604,697700,0.0,1.0
67,2020-06-16,131.49,132.68,128.79,129.66,129.1612,699800,0.0,1.0
68,2020-06-15,126.27,130.43,124.73,129.22,128.7229,1212300,0.0,1.0
69,2020-06-12,129.65,129.78,125.81,127.29,126.8003,901400,0.0,1.0
70,2020-06-11,129.61,130.86,126.75,127.5,127.0095,1024900,0.0,1.0
71,2020-06-10,131.0,132.69,130.17,131.06,130.5558,614700,0.0,1.0
72,2020-06-09,131.62,131.62,129.18,130.7,130.1972,857100,0.0,1.0
73,2020-06-08,130.53,132.88,129.75,132.5,131.9903,753300,0.0,1.0
74,2020-06-05,131.3,134.26,130.72,131.56,131.0539,827400,0.0,1.0
75,2020-06-04,131.36,132.6,128.73,130.7,130.1972,1113300,0.0,1.0
76,2020-06-03,130.28,132.56,129.53,132.35,131.8409,1117200,0.0,1.0
77,2020-06-02,127.7,130.09,127.09,130.09,129.5895,821900,0.0,1.0
78,2020-06-01,126.91,128.95,125.7,127.77,127.2785,794200,0.0,1.0
79,2020-05-29,123.71,127.4,122.55,127.0,126.5114,1516800,0.0,1.0
