,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,80.1,80.22,78.03,79.05,79.05,3184291,0.0,1.0
1,2020-09-21,81.81,81.855,79.24,80.25,80.25,2720988,0.0,1.0
2,2020-09-18,82.16,83.79,82.16,82.97,82.97,5497485,0.0,1.0
3,2020-09-17,81.06,82.39,80.51,82.32,82.32,2607615,0.0,1.0
4,2020-09-16,81.09,81.99,80.52,81.68,81.68,3769279,0.0,1.0
5,2020-09-15,83.65,83.65,80.355,80.51,80.51,3446727,0.0,1.0
6,2020-09-14,83.59,84.64,83.08,83.19,83.19,1833360,0.0,1.0
7,2020-09-11,83.36,83.84,82.46,83.1,83.1,2342930,0.0,1.0
8,2020-09-10,82.75,83.56,82.23,83.13,83.13,2620357,0.0,1.0
9,2020-09-09,82.01,83.46,81.71,82.86,82.86,2759799,0.0,1.0
10,2020-09-08,81.81,82.3,80.85,81.29,81.29,2819548,0.0,1.0
11,2020-09-04,83.12,83.78,81.49,82.3,82.3,3143819,0.0,1.0
12,2020-09-03,85.77,86.14,82.755,83.47,83.47,3139684,0.0,1.0
13,2020-09-02,85.74,86.16,85.17,85.91,85.91,5148491,0.0,1.0
14,2020-09-01,86.9,86.975,84.97,85.55,85.55,3102696,0.0,1.0
15,2020-08-31,86.25,87.245,86.18,87.07,87.07,2736883,0.0,1.0
16,2020-08-28,86.39,86.47,84.855,86.03,86.03,2516443,0.245,1.0
17,2020-08-27,84.6,86.89,84.14,86.27,86.025,3252441,0.0,1.0
18,2020-08-26,84.11,84.49,83.26,84.35,84.1105,2067123,0.0,1.0
19,2020-08-25,83.98,84.755,83.82,84.6,84.3598,2775852,0.0,1.0
20,2020-08-24,83.52,83.89,82.88,83.85,83.6119,2642843,0.0,1.0
21,2020-08-21,83.0,83.135,82.1301,83.09,82.854,2975765,0.0,1.0
22,2020-08-20,82.55,83.24,82.41,82.89,82.6546,2391945,0.0,1.0
23,2020-08-19,84.33,84.5,82.66,82.89,82.6546,3174695,0.0,1.0
24,2020-08-18,84.0,84.515,83.78,84.27,84.0307,2289382,0.0,1.0
25,2020-08-17,83.37,84.49,83.37,83.7,83.4623,2583932,0.0,1.0
26,2020-08-14,84.49,84.73,83.18,83.5,83.2629,2757068,0.0,1.0
27,2020-08-13,83.18,84.915,83.165,84.64,84.3996,3301064,0.0,1.0
28,2020-08-12,83.17,83.82,82.42,83.48,83.2429,3170036,0.0,1.0
29,2020-08-11,83.5,84.29,82.72,82.94,82.7045,3685253,0.0,1.0
30,2020-08-10,80.84,83.36,80.37,83.1,82.864,5767532,0.0,1.0
31,2020-08-07,80.49,81.11,79.99,80.73,80.5007,3401024,0.0,1.0
32,2020-08-06,80.21,80.39,78.68,80.37,80.1418,5485198,0.0,1.0
33,2020-08-05,81.45,82.11,80.07,80.46,80.2315,5130378,0.0,1.0
34,2020-08-04,82.77,83.24,80.93,81.08,80.8498,5473269,0.0,1.0
35,2020-08-03,86.96,87.12,83.12,83.16,82.9238,4451934,0.0,1.0
36,2020-07-31,85.68,86.635,84.76,86.38,86.1347,4038182,0.0,1.0
37,2020-07-30,85.0,86.11,82.92,86.01,85.7658,8532630,0.0,1.0
38,2020-07-29,89.42,91.45,89.28,90.73,90.4723,2220738,0.0,1.0
39,2020-07-28,89.37,89.79,88.87,89.26,89.0065,1288587,0.0,1.0
40,2020-07-27,89.33,90.36,89.03,89.29,89.0364,1419606,0.0,1.0
41,2020-07-24,89.32,89.42,88.33,89.26,89.0065,2362021,0.0,1.0
42,2020-07-23,89.09,90.81,89.09,89.49,89.2359,2013450,0.0,1.0
43,2020-07-22,88.67,89.44,88.25,89.2,88.9467,1619839,0.0,1.0
44,2020-07-21,87.93,88.93,87.82,88.67,88.4182,1528400,0.0,1.0
45,2020-07-20,87.51,88.0,86.85,87.82,87.5706,1411100,0.0,1.0
46,2020-07-17,86.3,87.8,86.02,87.56,87.3114,1980200,0.0,1.0
