,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,106.41,108.25,105.905,107.63,107.63,1676033,0.0,1.0
1,2020-09-21,104.04,105.97,103.49,105.97,105.97,2131085,0.0,1.0
2,2020-09-18,105.42,107.38,104.64,105.58,105.58,2262787,0.0,1.0
3,2020-09-17,106.0,107.02,104.56,105.63,105.63,1729706,0.0,1.0
4,2020-09-16,108.99,109.13,106.8003,107.08,107.08,1728232,0.0,1.0
5,2020-09-15,108.54,109.39,107.42,107.96,107.96,1550938,0.0,1.0
6,2020-09-14,108.35,109.13,106.695,107.7,107.7,2573262,0.55,1.0
7,2020-09-11,108.57,109.07,106.17,107.11,106.5658,1353834,0.0,1.0
8,2020-09-10,109.11,110.0,107.1,107.38,106.8344,2177614,0.0,1.0
9,2020-09-09,106.28,109.27,105.18,108.85,108.297,2245530,0.0,1.0
10,2020-09-08,104.3,106.815,102.8254,105.26,104.7252,2911607,0.0,1.0
11,2020-09-04,109.49,110.4369,104.32,106.31,105.7699,2543720,0.0,1.0
12,2020-09-03,114.0,114.0,107.85,108.7,108.1477,2451986,0.0,1.0
13,2020-09-02,113.94,114.2,111.6753,114.02,113.4407,2508279,0.0,1.0
14,2020-09-01,110.99,114.43,110.73,113.5,112.9233,2364920,0.0,1.0
15,2020-08-31,111.49,112.17,109.85,110.91,110.3465,2509223,0.0,1.0
16,2020-08-28,111.68,111.7,110.11,111.23,110.6649,2366570,0.0,1.0
17,2020-08-27,112.55,112.55,110.23,111.22,110.6549,2760457,0.0,1.0
18,2020-08-26,113.41,114.19,111.58,112.31,111.7394,4124378,0.0,1.0
19,2020-08-25,113.5,113.86,108.6,112.64,112.0677,10462412,0.0,1.0
20,2020-08-24,118.3,119.48,114.8,117.37,116.7737,5434574,0.0,1.0
21,2020-08-21,112.0,114.45,111.95,114.0,113.4208,3811415,0.0,1.0
22,2020-08-20,111.42,112.07,110.44,111.7,111.1325,2109629,0.0,1.0
23,2020-08-19,110.66,113.67,110.66,111.96,111.3912,3060520,0.0,1.0
24,2020-08-18,111.89,112.15,110.325,110.52,109.9585,2215980,0.0,1.0
25,2020-08-17,110.99,111.39,109.88,110.79,110.2271,2218878,0.0,1.0
26,2020-08-14,108.34,110.32,108.0,109.49,108.9337,2552468,0.0,1.0
27,2020-08-13,105.58,108.44,105.5,107.9,107.3518,2281067,0.0,1.0
28,2020-08-12,104.56,105.535,104.1,104.98,104.4466,1217307,0.0,1.0
29,2020-08-11,105.0,105.59,103.72,104.12,103.591,1489527,0.0,1.0
30,2020-08-10,103.76,105.43,102.9,104.22,103.6905,1981735,0.0,1.0
31,2020-08-07,102.88,103.72,101.91,102.9,102.3772,1781543,0.0,1.0
32,2020-08-06,101.89,102.79,100.62,102.75,102.2279,2479553,0.0,1.0
33,2020-08-05,101.42,102.04,99.93,101.91,101.3922,1869659,0.0,1.0
34,2020-08-04,100.59,101.58,99.85,100.51,99.9993,1267692,0.0,1.0
35,2020-08-03,100.07,101.99,99.75,100.89,100.3774,1596989,0.0,1.0
36,2020-07-31,100.25,100.466,98.29,99.59,99.084,1887654,0.0,1.0
37,2020-07-30,97.14,100.68,96.8,100.03,99.5218,2232134,0.0,1.0
38,2020-07-29,97.61,98.88,97.26,98.1,97.6016,1395583,0.0,1.0
39,2020-07-28,97.84,98.7931,97.06,97.19,96.6962,1475037,0.0,1.0
40,2020-07-27,96.87,98.306,96.34,97.92,97.4225,2280331,0.0,1.0
41,2020-07-24,95.82,97.745,95.55,96.99,96.4972,2134232,0.0,1.0
42,2020-07-23,97.12,98.53,95.98,96.08,95.5918,2862408,0.0,1.0
43,2020-07-22,95.47,99.42,95.33,97.36,96.8653,7995572,0.0,1.0
44,2020-07-21,88.84,91.13,88.61,90.28,89.8213,2176723,0.0,1.0
45,2020-07-20,87.69,88.98,86.48,88.38,87.931,2200656,0.0,1.0
46,2020-07-17,88.83,88.83,87.43,87.96,87.5131,1290253,0.0,1.0
47,2020-07-16,88.23,89.71,87.85,88.35,87.9011,1464814,0.0,1.0
48,2020-07-15,88.95,88.98,87.03,88.42,87.9708,2010109,0.0,1.0
49,2020-07-14,85.6,87.08,84.42,86.89,86.4485,1869138,0.0,1.0
50,2020-07-13,85.71,88.33,85.4,85.6,85.1651,1873352,0.0,1.0
51,2020-07-10,85.04,85.72,84.48,84.9,84.4686,1688365,0.0,1.0
52,2020-07-09,87.15,87.15,84.07,84.95,84.5184,2034209,0.0,1.0
53,2020-07-08,85.57,87.22,85.48,87.18,86.7371,2058382,0.0,1.0
