,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,227.58,228.085,222.75,223.8,223.8,1875714,0.0,1.0
1,2020-09-21,231.39,231.39,225.36,228.44,228.44,1219720,0.0,1.0
2,2020-09-18,226.16,233.935,226.16,231.9,231.9,4018832,0.0,1.0
3,2020-09-17,226.35,229.18,224.41,227.8,227.8,1909444,0.0,1.0
4,2020-09-16,226.12,229.87,224.21,227.03,227.03,2434029,0.0,1.0
5,2020-09-15,236.0,236.45,226.05,226.15,226.15,2480486,0.0,1.0
6,2020-09-14,236.91,238.48,235.86,235.9,235.9,1126714,0.0,1.0
7,2020-09-11,234.83,236.74,233.755,235.78,235.78,1171561,0.0,1.0
8,2020-09-10,235.0,235.715,231.3,234.18,234.18,2075501,0.0,1.0
9,2020-09-09,236.16,239.0478,234.5901,235.57,235.57,1402853,0.0,1.0
10,2020-09-08,234.75,235.54,230.51,234.06,234.06,1502588,0.79,1.0
11,2020-09-04,236.87,238.1572,232.43,234.08,233.2926,1545664,0.0,1.0
12,2020-09-03,246.0,246.68,234.08,235.06,234.2693,1770133,0.0,1.0
13,2020-09-02,240.58,246.27,240.025,246.19,245.3619,1301419,0.0,1.0
14,2020-09-01,243.97,245.8743,238.725,240.84,240.0299,1412500,0.0,1.0
15,2020-08-31,243.85,244.48,241.83,242.77,241.9534,2324541,0.0,1.0
16,2020-08-28,247.13,247.38,240.9,242.8,241.9833,1914485,0.0,1.0
17,2020-08-27,238.52,248.26,232.0,246.57,245.7406,3851306,0.0,1.0
18,2020-08-26,254.68,255.1,250.05,253.98,253.1256,1158599,0.0,1.0
19,2020-08-25,256.11,257.3299,254.17,255.79,254.9296,1095759,0.0,1.0
20,2020-08-24,258.86,259.58,254.39,254.95,254.0924,903853,0.0,1.0
21,2020-08-21,258.11,259.36,255.46,257.72,256.8531,1166123,0.0,1.0
22,2020-08-20,260.27,261.98,258.1,258.93,258.059,768245,0.0,1.0
23,2020-08-19,265.0,266.19,260.55,262.0,261.1187,1014737,0.0,1.0
24,2020-08-18,261.52,264.9,259.16,263.86,262.9724,1781165,0.0,1.0
25,2020-08-17,258.89,260.65,258.0,260.04,259.1653,984145,0.0,1.0
26,2020-08-14,261.54,262.3031,256.66,258.17,257.3016,1126289,0.0,1.0
27,2020-08-13,256.92,262.86,256.48,262.33,261.4476,1049469,0.0,1.0
28,2020-08-12,255.89,259.545,255.89,257.22,256.3548,1224426,0.0,1.0
