,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,20.06,20.29,19.56,19.87,19.87,2694719,0.0,1.0
1,2020-09-21,20.69,21.01,20.02,20.1,20.1,4215171,0.0,1.0
2,2020-09-18,20.95,21.4,20.89,21.22,21.22,5448733,0.0,1.0
3,2020-09-17,20.77,21.03,20.63,21.0,21.0,2173026,0.0,1.0
4,2020-09-16,20.41,21.38,20.37,21.06,21.06,2439641,0.0,1.0
5,2020-09-15,20.42,20.6,20.37,20.39,20.39,2501308,0.0,1.0
6,2020-09-14,20.33,20.63,20.22,20.37,20.37,2438591,0.0,1.0
7,2020-09-11,20.09,20.375,20.04,20.23,20.23,2852135,0.0,1.0
8,2020-09-10,20.27,20.425,20.015,20.07,20.07,3931926,0.0,1.0
9,2020-09-09,20.68,20.71,20.275,20.4,20.4,3017220,0.0,1.0
10,2020-09-08,21.13,21.19,20.43,20.56,20.56,3195181,0.0,1.0
11,2020-09-04,21.82,21.97,21.29,21.3,21.3,2854165,0.0,1.0
12,2020-09-03,21.79,22.2,21.39,21.52,21.52,2798099,0.0,1.0
13,2020-09-02,21.0,21.87,20.92,21.77,21.77,3627383,0.0,1.0
14,2020-09-01,20.87,21.115,20.75,21.02,21.02,1952350,0.0,1.0
15,2020-08-31,21.34,21.37,20.89,21.06,21.06,2796534,0.0,1.0
16,2020-08-28,21.52,21.52,21.06,21.33,21.33,2000836,0.0,1.0
17,2020-08-27,21.32,21.58,21.085,21.35,21.35,2383785,0.0,1.0
18,2020-08-26,21.4,21.43,21.17,21.3,21.3,1904878,0.0,1.0
19,2020-08-25,21.77,21.88,21.395,21.46,21.46,1218873,0.0,1.0
20,2020-08-24,21.04,21.58,20.94,21.57,21.57,2492040,0.0,1.0
21,2020-08-21,21.12,21.315,20.785,20.99,20.99,2795755,0.0,1.0
22,2020-08-20,21.45,21.56,21.165,21.17,21.17,2058500,0.0,1.0
23,2020-08-19,21.68,21.98,21.56,21.67,21.67,1849399,0.0,1.0
24,2020-08-18,21.8,22.03,21.69,21.72,21.72,2131681,0.0,1.0
25,2020-08-17,21.9,22.055,21.56,21.8,21.8,2035559,0.0,1.0
26,2020-08-14,21.76,22.07,21.51,21.95,21.95,1613566,0.0,1.0
27,2020-08-13,21.81,22.22,21.67,21.88,21.88,2031424,0.0,1.0
28,2020-08-12,23.02,23.29,21.79,22.01,22.01,3520911,0.0,1.0
29,2020-08-11,22.71,23.2634,22.555,22.67,22.67,3962008,0.0,1.0
30,2020-08-10,22.41,22.47,22.1,22.38,22.38,2345761,0.0,1.0
31,2020-08-07,21.69,22.38,21.63,22.31,22.31,2108836,0.0,1.0
32,2020-08-06,22.05,22.23,21.805,21.85,21.85,2363626,0.0,1.0
33,2020-08-05,21.37,22.24,21.37,22.18,22.18,3199415,0.0,1.0
34,2020-08-04,21.3,21.51,21.05,21.21,21.21,2346807,0.0,1.0
35,2020-08-03,21.05,21.61,20.91,21.47,21.47,3111258,0.0,1.0
36,2020-07-31,20.62,21.06,20.5,21.05,21.05,13424161,0.0,1.0
37,2020-07-30,20.69,20.86,20.47,20.67,20.67,3363695,0.0,1.0
38,2020-07-29,20.77,21.18,20.54,21.12,21.12,5442832,0.0,1.0
39,2020-07-28,20.76,20.79,19.78,20.56,20.56,7233290,0.0,1.0
40,2020-07-27,20.45,21.165,20.42,21.02,21.02,4181573,0.0,1.0
41,2020-07-24,20.87,21.1,20.545,20.6,20.6,3001810,0.0,1.0
42,2020-07-23,20.75,20.98,20.465,20.8,20.8,4056126,0.0,1.0
43,2020-07-22,21.18,21.33,20.78,20.91,20.91,2890828,0.0,1.0
44,2020-07-21,20.54,21.26,20.51,21.26,21.26,3827312,0.0,1.0
45,2020-07-20,20.87,20.9,20.3,20.4,20.4,3621258,0.0,1.0
46,2020-07-17,21.38,21.61,20.98,21.05,21.05,2142000,0.0,1.0
47,2020-07-16,21.3,21.84,21.14,21.31,21.31,1700800,0.0,1.0
48,2020-07-15,21.31,21.58,20.86,21.52,21.52,2468200,0.0,1.0
49,2020-07-14,20.55,20.85,20.33,20.76,20.76,2194600,0.27,1.0
50,2020-07-13,21.33,21.4,20.77,20.86,20.5922,3632700,0.0,1.0
51,2020-07-10,20.28,21.16,20.27,21.1,20.8291,4200800,0.0,1.0
52,2020-07-09,21.02,21.11,20.19,20.27,20.0098,2785800,0.0,1.0
53,2020-07-08,20.76,21.23,20.63,21.13,20.8587,2681900,0.0,1.0
54,2020-07-07,20.63,20.92,20.58,20.67,20.4046,2770500,0.0,1.0
55,2020-07-06,20.94,21.25,20.77,20.93,20.6613,2315600,0.0,1.0
56,2020-07-02,20.75,21.0,20.31,20.38,20.1183,2559600,0.0,1.0
57,2020-07-01,21.01,21.01,20.18,20.2,19.9407,3000000,0.0,1.0
58,2020-06-30,20.3,21.1,20.27,20.97,20.7008,5676700,0.0,1.0
59,2020-06-29,20.3,20.5,20.13,20.44,20.1776,3282000,0.0,1.0
60,2020-06-26,20.73,20.79,19.89,20.04,19.7827,3973000,0.0,1.0
61,2020-06-25,20.75,21.3,20.52,21.08,20.8094,2661100,0.0,1.0
62,2020-06-24,21.5,21.5,20.73,20.82,20.5527,4216900,0.0,1.0
63,2020-06-23,22.08,22.14,21.52,21.55,21.2733,3635000,0.0,1.0
64,2020-06-22,21.79,22.07,21.6,21.69,21.4115,2626800,0.0,1.0
65,2020-06-19,23.07,23.07,21.95,21.95,21.6682,13766200,0.0,1.0
66,2020-06-18,22.23,22.98,22.07,22.56,22.2704,3199900,0.0,1.0
67,2020-06-17,22.48,22.98,22.29,22.5,22.2111,2278400,0.0,1.0
68,2020-06-16,23.15,23.15,22.13,22.49,22.2013,3276100,0.0,1.0
69,2020-06-15,21.25,22.66,21.01,22.23,21.9446,4422600,0.0,1.0
70,2020-06-12,21.75,21.93,21.1,21.79,21.5102,3698000,0.0,1.0
71,2020-06-11,21.08,21.79,20.76,20.85,20.5823,3446800,0.0,1.0
72,2020-06-10,23.69,23.69,22.36,22.54,22.2506,3599400,0.0,1.0
73,2020-06-09,23.49,23.78,22.88,23.65,23.3464,3705500,0.0,1.0
74,2020-06-08,23.09,24.33,23.09,24.23,23.9189,6483600,0.0,1.0
75,2020-06-05,22.99,23.68,22.55,22.7,22.4086,4136700,0.0,1.0
76,2020-06-04,20.94,21.61,20.51,21.59,21.3128,3309700,0.0,1.0
77,2020-06-03,20.18,21.27,20.14,21.09,20.8192,4560800,0.0,1.0
78,2020-06-02,19.59,20.11,19.59,19.8,19.5458,3229400,0.0,1.0
79,2020-06-01,18.96,19.72,18.85,19.49,19.2398,3388500,0.0,1.0
80,2020-05-29,18.64,19.09,18.47,18.87,18.6277,7218700,0.0,1.0
81,2020-05-28,19.51,19.52,18.83,18.91,18.6672,3708100,0.0,1.0
82,2020-05-27,19.84,19.84,19.17,19.35,19.1016,3722600,0.0,1.0
83,2020-05-26,18.54,19.24,18.52,18.96,18.7166,3653500,0.0,1.0
84,2020-05-22,18.03,18.16,17.5,17.89,17.6603,2771000,0.0,1.0
85,2020-05-21,18.13,18.38,17.93,17.96,17.7294,2140300,0.0,1.0
86,2020-05-20,18.23,18.55,18.11,18.2,17.9663,2882800,0.0,1.0
87,2020-05-19,18.25,18.41,17.85,17.93,17.6998,3688600,0.0,1.0
88,2020-05-18,18.63,18.95,18.26,18.34,18.1045,5871900,0.0,1.0
89,2020-05-15,17.59,17.82,17.36,17.76,17.532,9869800,0.0,1.0
90,2020-05-14,16.98,18.08,16.41,18.03,17.7985,5156900,0.0,1.0
91,2020-05-13,17.81,17.9,17.09,17.33,17.1075,5766900,0.0,1.0
92,2020-05-12,19.47,19.66,18.0,18.01,17.7788,3816300,0.0,1.0
93,2020-05-11,18.93,19.66,18.78,19.57,19.3187,4098500,0.0,1.0
94,2020-05-08,18.37,19.25,18.36,19.2,18.9535,3150800,0.0,1.0
95,2020-05-07,18.06,18.63,18.01,18.14,17.9071,2450900,0.0,1.0
96,2020-05-06,18.12,18.37,17.38,17.74,17.5122,3434600,0.0,1.0
97,2020-05-05,18.56,18.79,17.9,17.96,17.7294,3599400,0.0,1.0
98,2020-05-04,17.77,18.38,17.47,18.33,18.0947,4729400,0.0,1.0
99,2020-05-01,18.13,18.23,17.28,18.03,17.7985,5329900,0.0,1.0
100,2020-04-30,18.49,19.35,17.78,18.84,18.5981,14449800,0.0,1.0
101,2020-04-29,18.0,18.55,17.58,18.49,18.2526,6927600,0.0,1.0
102,2020-04-28,17.33,17.74,17.22,17.4,17.1766,4401000,0.0,1.0
103,2020-04-27,16.11,17.02,15.91,16.84,16.6238,4818300,0.0,1.0
104,2020-04-24,16.01,16.2,15.71,15.92,15.7156,5640700,0.0,1.0
105,2020-04-23,16.16,16.59,15.71,15.86,15.6564,4032200,0.0,1.0
106,2020-04-22,16.32,16.44,16.0,16.13,15.9229,3436500,0.0,1.0
107,2020-04-21,15.87,16.22,15.76,15.98,15.7748,3562700,0.0,1.0
108,2020-04-20,16.07,16.58,15.83,16.28,16.071,4003400,0.0,1.0
109,2020-04-17,16.1,16.46,15.78,16.34,16.1302,4684000,0.0,1.0
110,2020-04-16,15.43,15.52,14.91,15.42,15.222,3627200,0.0,1.0
111,2020-04-15,15.85,15.88,15.21,15.31,15.1134,3863400,0.0,1.0
112,2020-04-14,16.6,16.86,16.09,16.32,16.1105,4571300,0.0,1.0
113,2020-04-13,16.85,16.88,15.9,16.09,15.8834,4656400,0.0,1.0
