,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,33.86,34.165,33.045,33.48,33.48,4801459,0.0,1.0
1,2020-09-21,34.47,34.82,33.365,33.97,33.97,4781268,0.0,1.0
2,2020-09-18,35.45,35.865,35.345,35.4,35.4,5826989,0.0,1.0
3,2020-09-17,35.09,35.61,35.05,35.56,35.56,3182053,0.0,1.0
4,2020-09-16,34.87,36.16,34.84,35.57,35.57,6385245,0.0,1.0
5,2020-09-15,35.7,35.88,34.48,34.87,34.87,6877485,0.0,1.0
6,2020-09-14,36.33,36.71,35.86,35.96,35.96,4116401,0.0,1.0
7,2020-09-11,35.58,36.23,35.52,36.0,36.0,3521314,0.0,1.0
8,2020-09-10,36.04,36.17,35.51,35.57,35.57,4037786,0.0,1.0
9,2020-09-09,36.26,36.37,35.835,35.89,35.89,4106768,0.0,1.0
10,2020-09-08,37.06,37.2,35.99,36.04,36.04,4954535,0.0,1.0
11,2020-09-04,37.64,38.22,37.33,37.5,37.5,6450546,0.0,1.0
12,2020-09-03,37.91,38.45,36.49,36.85,36.85,5060873,0.0,1.0
13,2020-09-02,37.14,37.79,37.06,37.67,37.67,3830567,0.0,1.0
14,2020-09-01,36.8,37.36,36.54,37.21,37.21,3136134,0.0,1.0
15,2020-08-31,37.56,37.56,36.785,36.98,36.98,3874579,0.0,1.0
16,2020-08-28,37.72,37.7235,37.22,37.56,37.56,3139023,0.0,1.0
17,2020-08-27,36.62,37.76,36.61,37.55,37.55,4594477,0.0,1.0
18,2020-08-26,36.67,36.86,36.29,36.62,36.62,3219634,0.0,1.0
19,2020-08-25,36.74,36.95,36.47,36.67,36.67,4094591,0.0,1.0
20,2020-08-24,35.73,36.5,35.56,36.4,36.4,5810030,0.0,1.0
21,2020-08-21,35.93,36.08,35.6,35.73,35.73,2607247,0.0,1.0
22,2020-08-20,36.55,36.64,35.725,35.87,35.87,4403158,0.0,1.0
23,2020-08-19,37.02,37.705,36.81,36.99,36.99,4279967,0.0,1.0
24,2020-08-18,37.01,37.09,36.68,36.79,36.79,4003355,0.0,1.0
25,2020-08-17,37.57,37.64,36.91,37.09,37.09,4785142,0.0,1.0
26,2020-08-14,37.12,37.78,37.12,37.53,37.53,2651663,0.0,1.0
27,2020-08-13,37.38,37.815,36.89,37.28,37.28,4609397,0.0,1.0
28,2020-08-12,38.93,38.94,37.6275,37.98,37.98,3680310,0.0,1.0
29,2020-08-11,38.66,39.16,38.065,38.14,38.14,4709646,0.0,1.0
30,2020-08-10,37.79,38.13,37.54,37.94,37.94,4859770,0.0,1.0
31,2020-08-07,35.96,37.83,35.94,37.75,37.75,5757380,0.0,1.0
32,2020-08-06,36.11,36.48,35.88,35.99,35.99,3047549,0.0,1.0
33,2020-08-05,36.07,36.36,35.86,36.3,36.3,5788515,0.0,1.0
34,2020-08-04,35.96,36.275,35.63,35.84,35.84,4849170,0.0,1.0
35,2020-08-03,35.93,36.15,35.52,36.03,36.03,4073859,0.0,1.0
36,2020-07-31,35.76,35.99,35.565,35.85,35.85,4720555,0.0,1.0
37,2020-07-30,35.82,35.91,35.45,35.86,35.86,4703922,0.0,1.0
38,2020-07-29,36.14,36.53,35.62,36.35,36.35,5475608,0.0,1.0
39,2020-07-28,35.53,36.22,35.5,36.07,36.07,5882371,0.0,1.0
40,2020-07-27,35.92,35.97,35.27,35.75,35.75,4402014,0.0,1.0
41,2020-07-24,36.35,36.75,36.09,36.23,36.23,5809069,0.31,1.0
42,2020-07-23,35.95,36.675,35.65,36.54,36.23,5495640,0.0,1.0
43,2020-07-22,36.5,36.58,35.51,36.04,35.7342,7478115,0.0,1.0
44,2020-07-21,36.08,36.74,35.8,36.69,36.3787,6877148,0.0,1.0
45,2020-07-20,35.86,36.18,35.72,35.94,35.6351,3916807,0.0,1.0
46,2020-07-17,36.86,36.9,36.04,36.12,35.8136,6360395,0.0,1.0
47,2020-07-16,36.66,37.39,36.17,36.74,36.4283,6433328,0.0,1.0
48,2020-07-15,36.96,37.4,36.0,36.86,36.5473,14620716,0.0,1.0
49,2020-07-14,38.69,39.29,38.28,38.97,38.6394,5481385,0.0,1.0
50,2020-07-13,38.91,39.29,38.05,38.86,38.5303,4760548,0.0,1.0
51,2020-07-10,37.15,38.49,37.07,38.38,38.0544,3410400,0.0,1.0
52,2020-07-09,38.53,38.77,36.98,37.15,36.8348,6186481,0.0,1.0
53,2020-07-08,37.87,38.94,37.77,38.82,38.4907,7450614,0.0,1.0
54,2020-07-07,38.15,38.24,37.62,37.77,37.4496,4163600,0.0,1.0
55,2020-07-06,38.7,38.96,38.29,38.55,38.2229,3910427,0.0,1.0
56,2020-07-02,38.32,38.89,37.8,37.94,37.6181,4114538,0.0,1.0
57,2020-07-01,38.69,38.76,37.43,37.59,37.2711,5926215,0.0,1.0
58,2020-06-30,36.98,38.88,36.88,38.65,38.3221,8099104,0.0,1.0
59,2020-06-29,36.85,37.29,36.63,36.95,36.6365,4300449,0.0,1.0
60,2020-06-26,37.55,37.73,36.04,36.32,36.0119,7386850,0.0,1.0
61,2020-06-25,37.09,38.24,36.98,38.15,37.8263,7176275,0.0,1.0
62,2020-06-24,38.22,38.29,37.2,37.23,36.9141,7382977,0.0,1.0
63,2020-06-23,39.13,39.52,38.69,38.72,38.3915,4882725,0.0,1.0
64,2020-06-22,38.78,39.15,38.42,38.53,38.2031,3967859,0.0,1.0
65,2020-06-19,39.35,39.4,38.3,39.23,38.8972,13322635,0.0,1.0
66,2020-06-18,38.31,39.15,38.2,38.63,38.3023,3606321,0.0,1.0
67,2020-06-17,38.74,39.37,38.32,38.73,38.4014,4841899,0.0,1.0
68,2020-06-16,39.72,39.85,38.22,38.72,38.3915,4983993,0.0,1.0
69,2020-06-15,37.07,38.65,36.85,38.43,38.104,4125304,0.0,1.0
70,2020-06-12,39.07,39.27,37.28,38.44,38.1139,6191737,0.0,1.0
71,2020-06-11,38.34,39.18,37.53,37.68,37.3603,8338511,0.0,1.0
72,2020-06-10,41.19,41.19,39.81,39.95,39.6111,6651665,0.0,1.0
73,2020-06-09,41.16,41.77,40.95,41.42,41.0686,4531967,0.0,1.0
74,2020-06-08,42.88,43.17,41.52,42.29,41.9312,5487965,0.0,1.0
75,2020-06-05,42.89,42.99,41.61,42.3,41.9411,7172142,0.0,1.0
76,2020-06-04,39.17,40.45,38.95,40.44,40.0969,5165818,0.0,1.0
77,2020-06-03,39.06,39.6,38.86,39.34,39.0062,4370837,0.0,1.0
78,2020-06-02,38.07,38.54,37.94,38.33,38.0048,3987223,0.0,1.0
79,2020-06-01,37.37,38.09,37.26,37.7,37.3802,2999864,0.0,1.0
80,2020-05-29,37.05,37.69,36.69,37.17,36.8547,5766693,0.0,1.0
81,2020-05-28,39.11,39.21,37.57,37.59,37.2711,5393197,0.0,1.0
82,2020-05-27,38.39,38.93,37.59,38.57,38.2428,7335832,0.0,1.0
83,2020-05-26,35.69,37.68,35.55,36.89,36.577,7954291,0.0,1.0
84,2020-05-22,35.06,35.06,34.3,34.5,34.2073,5236437,0.0,1.0
