,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,551.15,556.55,544.53,550.8,550.8,563207,0.0,1.0
1,2020-09-21,548.63,556.755,542.52,552.59,552.59,659600,0.0,1.0
2,2020-09-18,548.47,559.16,548.47,556.92,556.92,2989114,0.0,1.0
3,2020-09-17,554.95,555.8,544.51,548.41,548.41,1033459,0.0,1.0
4,2020-09-16,551.82,566.88,548.8,561.73,561.73,1004027,0.0,1.0
5,2020-09-15,553.11,553.43,547.28,548.16,548.16,626477,0.0,1.0
6,2020-09-14,545.04,553.21,543.27,547.38,547.38,631447,0.0,1.0
7,2020-09-11,544.48,547.45,537.86,541.2,541.2,660875,0.0,1.0
8,2020-09-10,561.64,561.96,541.21,543.31,543.31,891033,0.0,1.0
9,2020-09-09,561.62,564.1,555.33,560.18,560.18,830507,0.0,1.0
10,2020-09-08,559.99,560.77,548.0,552.54,552.54,837193,0.0,1.0
11,2020-09-04,581.81,584.09,557.86,564.63,564.63,822107,0.0,1.0
12,2020-09-03,604.13,605.4496,573.7,579.12,579.12,739198,3.63,1.0
13,2020-09-02,597.74,609.69,594.19,608.0,604.2127,684165,0.0,1.0
14,2020-09-01,594.74,601.02,593.15,596.24,592.526,402818,0.0,1.0
15,2020-08-31,602.52,604.08,593.67,594.19,590.4887,581734,0.0,1.0
16,2020-08-28,595.61,601.31,592.09,601.06,597.3159,436069,0.0,1.0
17,2020-08-27,592.94,598.9,591.99,594.98,591.2738,428904,0.0,1.0
18,2020-08-26,591.46,595.7,587.9,592.1,588.4118,540161,0.0,1.0
19,2020-08-25,594.45,594.6,590.12,591.15,587.4677,373289,0.0,1.0
20,2020-08-24,587.38,591.69,584.29,591.45,587.7658,381634,0.0,1.0
21,2020-08-21,585.41,588.0,581.93,584.04,580.402,418462,0.0,1.0
22,2020-08-20,584.88,588.26,581.04,583.36,579.7262,552425,0.0,1.0
23,2020-08-19,592.33,595.55,588.8,589.75,586.0764,418702,0.0,1.0
24,2020-08-18,591.09,594.76,588.8,589.21,585.5398,456208,0.0,1.0
25,2020-08-17,590.93,595.545,587.89,592.03,588.3422,400083,0.0,1.0
26,2020-08-14,588.61,592.46,584.06,588.46,584.7944,316659,0.0,1.0
27,2020-08-13,586.72,595.305,586.72,589.56,585.8876,359708,0.0,1.0
28,2020-08-12,592.14,605.72,584.395,590.24,586.5633,612238,0.0,1.0
