,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,131.48,132.09,129.97,132.04,132.04,377125,0.0,1.0
1,2020-09-21,130.13,131.27,128.5301,130.91,130.91,575498,0.0,1.0
2,2020-09-18,133.41,133.98,131.17,131.51,131.51,906788,0.0,1.0
3,2020-09-17,133.93,133.93,131.92,133.48,133.48,592339,0.0,1.0
4,2020-09-16,136.51,137.64,135.0,135.06,135.06,492712,0.0,1.0
5,2020-09-15,136.63,137.33,135.05,135.63,135.63,504689,0.0,1.0
6,2020-09-14,135.19,136.89,135.19,136.03,136.03,407252,0.575,1.0
7,2020-09-11,134.92,135.5963,133.27,134.43,133.8642,317108,0.0,1.0
8,2020-09-10,136.95,138.17,133.52,133.88,133.3165,447521,0.0,1.0
9,2020-09-09,133.95,137.57,133.37,136.38,135.8059,463511,0.0,1.0
10,2020-09-08,133.67,135.46,132.01,132.34,131.783,583398,0.0,1.0
11,2020-09-04,138.97,138.97,133.53,135.41,134.84,402827,0.0,1.0
12,2020-09-03,142.39,142.505,137.28,138.31,137.7278,510137,0.0,1.0
13,2020-09-02,139.73,143.74,139.49,143.13,142.5275,434445,0.0,1.0
14,2020-09-01,137.47,139.48,137.26,139.35,138.7634,373577,0.0,1.0
15,2020-08-31,138.38,138.53,137.32,137.4,136.8217,510517,0.0,1.0
16,2020-08-28,139.23,139.59,137.975,138.47,137.8871,267936,0.0,1.0
17,2020-08-27,139.98,140.4,138.1,138.81,138.2257,333144,0.0,1.0
18,2020-08-26,138.46,139.145,137.53,139.02,138.4348,513827,0.0,1.0
19,2020-08-25,138.97,139.39,137.37,138.27,137.688,382376,0.0,1.0
20,2020-08-24,138.1,138.82,136.92,138.37,137.7876,383087,0.0,1.0
21,2020-08-21,137.59,137.59,136.46,136.87,136.2939,377985,0.0,1.0
22,2020-08-20,136.8,138.02,136.8,137.3,136.7221,304155,0.0,1.0
23,2020-08-19,139.55,139.94,136.99,137.3,136.7221,780759,0.0,1.0
24,2020-08-18,138.48,139.83,138.48,139.24,138.6539,362425,0.0,1.0
25,2020-08-17,139.72,140.32,137.68,138.14,137.5585,572541,0.0,1.0
26,2020-08-14,138.98,140.03,138.47,138.88,138.2954,280518,0.0,1.0
27,2020-08-13,138.36,140.25,138.125,138.84,138.2556,655383,0.0,1.0
28,2020-08-12,141.7,142.37,138.89,139.12,138.5344,837351,0.0,1.0
29,2020-08-11,138.83,144.5,138.7401,142.11,141.5118,1131440,0.0,1.0
30,2020-08-10,135.74,137.05,135.3,136.6,136.025,721412,0.0,1.0
31,2020-08-07,134.84,136.16,134.3,135.25,134.6807,768242,0.0,1.0
32,2020-08-06,134.95,136.06,134.18,135.36,134.7902,484036,0.0,1.0
33,2020-08-05,137.22,137.84,134.535,135.01,134.4417,506976,0.0,1.0
34,2020-08-04,136.58,137.34,135.76,137.28,136.7022,518123,0.0,1.0
35,2020-08-03,135.28,137.42,135.01,137.04,136.4632,481946,0.0,1.0
36,2020-07-31,133.81,134.41,132.71,134.34,133.7745,640788,0.0,1.0
37,2020-07-30,132.55,134.18,132.31,133.89,133.3264,419873,0.0,1.0
38,2020-07-29,132.95,134.28,132.16,134.01,133.4459,387280,0.0,1.0
39,2020-07-28,133.41,134.07,131.85,132.55,131.9921,409287,0.0,1.0
40,2020-07-27,131.59,134.04,130.635,133.81,133.2468,429581,0.0,1.0
41,2020-07-24,130.59,131.32,128.62,131.28,130.7274,449140,0.0,1.0
42,2020-07-23,131.93,133.34,129.3,129.71,129.164,382530,0.0,1.0
43,2020-07-22,129.72,131.7,129.55,131.29,130.7374,446157,0.0,1.0
44,2020-07-21,129.97,131.39,129.14,129.95,129.403,484252,0.0,1.0
45,2020-07-20,128.72,129.84,128.33,129.32,128.7757,443685,0.0,1.0
46,2020-07-17,128.28,129.43,128.0,129.1,128.5566,434475,0.0,1.0
47,2020-07-16,128.26,128.39,127.12,127.46,126.9235,437960,0.0,1.0
48,2020-07-15,127.59,129.47,127.31,128.75,128.2081,504305,0.0,1.0
49,2020-07-14,124.81,126.81,123.87,126.78,126.2464,366923,0.0,1.0
50,2020-07-13,126.93,127.47,124.64,125.12,124.5933,480435,0.0,1.0
51,2020-07-10,127.72,127.94,124.83,126.06,125.5294,655558,0.0,1.0
52,2020-07-09,127.47,129.05,126.17,127.57,127.033,694551,0.0,1.0
53,2020-07-08,127.94,129.01,127.46,128.59,128.0487,393163,0.0,1.0
54,2020-07-07,128.2,129.65,126.98,127.11,126.575,377420,0.0,1.0
55,2020-07-06,130.0,130.32,128.01,128.69,128.1483,462815,0.0,1.0
56,2020-07-02,127.82,129.85,127.63,128.22,127.6803,573778,0.0,1.0
57,2020-07-01,126.39,128.62,125.48,127.27,126.7343,539700,0.0,1.0
58,2020-06-30,125.52,126.65,124.7,126.19,125.6588,769234,0.0,1.0
59,2020-06-29,125.05,125.81,122.77,125.77,125.2406,608635,0.0,1.0
60,2020-06-26,124.65,126.95,124.36,124.64,124.1154,1541962,0.0,1.0
61,2020-06-25,122.49,125.02,121.05,124.79,124.2647,635890,0.0,1.0
62,2020-06-24,123.96,124.26,122.44,122.7,122.1835,527011,0.0,1.0
63,2020-06-23,125.76,126.94,124.45,124.65,124.1253,455372,0.0,1.0
64,2020-06-22,123.28,126.08,123.18,124.71,124.1851,500902,0.0,1.0
65,2020-06-19,127.84,128.03,123.27,123.33,122.8109,970240,0.0,1.0
66,2020-06-18,125.43,126.57,125.04,125.94,125.4099,463239,0.0,1.0
67,2020-06-17,125.09,126.61,125.05,126.11,125.5792,651480,0.0,1.0
68,2020-06-16,125.0,126.5,124.25,125.11,124.5834,938960,0.0,1.0
69,2020-06-15,119.57,122.5,119.4,122.4,121.8848,1163653,0.0,1.0
70,2020-06-12,120.83,122.38,118.36,121.63,121.118,1488558,0.0,1.0
71,2020-06-11,119.14,119.55,117.2,118.93,118.4294,1574070,0.54,1.0
72,2020-06-10,124.01,124.06,121.01,121.78,120.7193,830597,0.0,1.0
73,2020-06-09,127.12,127.45,123.28,123.51,122.4342,647857,0.0,1.0
74,2020-06-08,125.77,127.53,125.1,127.49,126.3795,513953,0.0,1.0
75,2020-06-05,125.14,127.86,124.85,126.67,125.5667,596011,0.0,1.0
76,2020-06-04,123.6,124.44,122.95,124.0,122.9199,515828,0.0,1.0
77,2020-06-03,123.62,124.71,123.43,124.3,123.2173,361808,0.0,1.0
78,2020-06-02,123.28,123.31,121.78,123.28,122.2062,594514,0.0,1.0
79,2020-06-01,121.12,122.81,120.11,122.23,121.1654,428332,0.0,1.0
80,2020-05-29,119.44,121.53,118.08,121.1,120.0452,773773,0.0,1.0
81,2020-05-28,117.19,120.53,117.13,119.26,118.2212,546222,0.0,1.0
82,2020-05-27,118.07,118.85,116.02,116.7,115.6835,1119363,0.0,1.0
83,2020-05-26,119.4,119.87,116.76,117.12,116.0999,680092,0.0,1.0
84,2020-05-22,117.81,117.98,116.22,116.81,115.7926,553913,0.0,1.0
85,2020-05-21,120.61,120.61,117.68,117.79,116.764,514632,0.0,1.0
86,2020-05-20,120.73,122.74,120.5,120.96,119.9064,452326,0.0,1.0
87,2020-05-19,119.01,121.37,119.01,119.57,118.5285,571401,0.0,1.0
88,2020-05-18,118.58,120.39,118.09,119.44,118.3997,602794,0.0,1.0
89,2020-05-15,112.98,116.29,112.98,115.55,114.5435,1776617,0.0,1.0
90,2020-05-14,113.32,114.93,110.74,114.87,113.8695,801392,0.0,1.0
91,2020-05-13,117.94,118.56,112.62,114.11,113.1161,885965,0.0,1.0
92,2020-05-12,119.23,120.44,117.85,117.85,116.8235,885427,0.0,1.0
93,2020-05-11,116.16,119.74,115.59,119.26,118.2212,710211,0.0,1.0
94,2020-05-08,119.0,119.19,115.62,116.81,115.7926,888168,0.0,1.0
95,2020-05-07,117.51,118.5,116.15,116.69,115.6736,797264,0.0,1.0
96,2020-05-06,115.42,116.85,114.6,116.0,114.9896,573536,0.0,1.0
97,2020-05-05,115.07,116.1,114.66,115.35,114.3453,598391,0.0,1.0
98,2020-05-04,112.35,114.06,111.75,113.85,112.8583,544909,0.0,1.0
99,2020-05-01,114.2,114.72,111.87,113.06,112.0752,503503,0.0,1.0
100,2020-04-30,114.8,116.57,114.34,116.0,114.9896,481051,0.0,1.0
101,2020-04-29,113.91,116.99,113.75,115.52,114.5138,614835,0.0,1.0
102,2020-04-28,115.61,116.59,112.28,112.47,111.4904,863567,0.0,1.0
103,2020-04-27,112.31,114.62,112.3,114.34,113.3441,535474,0.0,1.0
104,2020-04-24,110.78,111.6,109.49,111.44,110.4693,698151,0.0,1.0
105,2020-04-23,110.0,111.19,108.91,110.25,109.2897,814187,0.0,1.0
106,2020-04-22,109.1,110.52,108.03,109.41,108.457,566658,0.0,1.0
107,2020-04-21,108.43,108.69,105.39,107.36,106.4249,740528,0.0,1.0
108,2020-04-20,108.7,110.62,107.97,109.79,108.8337,618978,0.0,1.0
109,2020-04-17,109.01,110.14,108.51,109.94,108.9824,707353,0.0,1.0
110,2020-04-16,107.24,108.74,105.25,107.05,106.1176,953319,0.0,1.0
111,2020-04-15,105.55,107.69,104.95,106.57,105.6418,1016913,0.0,1.0
112,2020-04-14,105.0,107.19,102.98,106.95,106.0184,952780,0.0,1.0
113,2020-04-13,105.27,105.9,101.32,102.59,101.6964,502287,0.0,1.0
114,2020-04-09,102.53,106.37,101.4,105.91,104.9875,1271388,0.0,1.0
115,2020-04-08,101.41,103.34,99.58,102.1,101.2107,956949,0.0,1.0
116,2020-04-07,101.06,103.51,99.43,100.76,99.8824,941832,0.0,1.0
117,2020-04-06,96.63,99.31,95.55,98.61,97.7511,1126237,0.0,1.0
118,2020-04-03,91.36,94.46,91.12,92.39,91.5853,561734,0.0,1.0
119,2020-04-02,90.4,93.94,90.38,92.1,91.2978,784044,0.0,1.0
120,2020-04-01,91.77,93.0,90.08,91.32,90.5246,1122975,0.0,1.0
121,2020-03-31,95.55,97.26,93.63,94.83,94.004,1001325,0.0,1.0
122,2020-03-30,92.31,97.38,90.58,96.94,96.0956,1036023,0.0,1.0
123,2020-03-27,94.9,95.0,91.31,91.57,90.7724,947370,0.0,1.0
124,2020-03-26,94.92,97.8,93.47,96.93,96.0857,1308641,0.0,1.0
125,2020-03-25,94.17,96.35,88.89,93.94,93.1218,1898935,0.0,1.0
126,2020-03-24,87.84,94.88,87.0,94.83,94.004,871018,0.0,1.0
127,2020-03-23,89.86,89.86,81.9,84.26,83.5261,1246828,0.0,1.0
128,2020-03-20,93.84,97.68,89.81,90.77,89.9794,1151552,0.0,1.0
129,2020-03-19,100.08,100.28,92.54,93.44,92.6261,1332841,0.0,1.0
130,2020-03-18,99.52,104.77,95.79,100.9,100.0211,1522599,0.0,1.0
131,2020-03-17,101.61,107.14,97.63,104.82,103.907,2142156,0.0,1.0
132,2020-03-16,92.34,103.43,91.4,99.63,98.7622,1554607,0.0,1.0
133,2020-03-13,99.61,103.74,95.12,103.68,102.7769,1887901,0.0,1.0
134,2020-03-12,90.99,99.1,90.46,95.71,94.8764,2707121,0.54,1.0
135,2020-03-11,96.9,98.81,95.34,97.67,96.2761,1595680,0.0,1.0
136,2020-03-10,94.61,100.24,93.8,99.49,98.0701,1904981,0.0,1.0
137,2020-03-09,93.71,95.73,91.24,91.52,90.2139,1240248,0.0,1.0
138,2020-03-06,98.08,100.99,95.55,100.36,98.9277,1281877,0.0,1.0
139,2020-03-05,103.56,104.28,99.69,101.39,99.943,1098538,0.0,1.0
140,2020-03-04,104.51,106.21,103.05,106.15,104.6351,1175725,0.0,1.0
141,2020-03-03,106.51,106.72,102.14,102.52,101.0569,2486867,0.0,1.0
142,2020-03-02,105.51,107.22,103.59,106.25,104.7336,2429063,0.0,1.0
143,2020-02-28,106.06,108.09,102.91,104.36,102.8706,3048485,0.0,1.0
144,2020-02-27,110.29,111.76,107.69,107.69,106.1531,1322911,0.0,1.0
145,2020-02-26,113.93,115.37,112.51,112.54,110.9339,1675830,0.0,1.0
146,2020-02-25,116.77,117.64,112.32,112.45,110.8452,826060,0.0,1.0
147,2020-02-24,116.36,117.87,115.55,116.44,114.7782,565340,0.0,1.0
148,2020-02-21,121.12,121.12,119.11,119.61,117.903,577637,0.0,1.0
149,2020-02-20,122.77,122.77,118.06,121.38,119.6477,1505491,0.0,1.0
150,2020-02-19,123.32,123.61,122.06,122.88,121.1263,554910,0.0,1.0
151,2020-02-18,122.09,122.67,121.69,122.51,120.7616,637727,0.0,1.0
152,2020-02-14,122.8,123.79,121.61,122.28,120.5349,633650,0.0,1.0
153,2020-02-13,122.73,123.81,122.19,122.37,120.6236,701446,0.0,1.0
154,2020-02-12,120.37,123.72,119.9,123.43,121.6684,1140147,0.0,1.0
155,2020-02-11,119.25,119.88,118.63,119.81,118.1001,575049,0.0,1.0
156,2020-02-10,117.93,118.88,117.53,118.24,116.5525,949337,0.0,1.0
157,2020-02-07,119.11,120.2,117.53,117.85,116.1681,677244,0.0,1.0
158,2020-02-06,121.14,121.63,119.59,119.73,118.0213,859144,0.0,1.0
159,2020-02-05,117.91,121.57,117.91,120.7,118.9774,1475112,0.0,1.0
160,2020-02-04,117.98,118.41,115.8,117.34,115.6654,1030853,0.0,1.0
161,2020-02-03,120.67,121.01,116.2,116.43,114.7683,1291611,0.0,1.0
162,2020-01-31,120.49,121.43,115.39,119.15,117.4495,2180914,0.0,1.0
163,2020-01-30,128.69,129.81,127.84,129.46,127.6124,946354,0.0,1.0
164,2020-01-29,130.57,130.76,129.52,129.54,127.6912,415103,0.0,1.0
165,2020-01-28,129.74,130.65,129.25,129.77,127.918,424131,0.0,1.0
166,2020-01-27,128.73,130.39,128.12,129.41,127.5631,399545,0.0,1.0
167,2020-01-24,131.97,132.39,130.23,131.03,129.16,369858,0.0,1.0
168,2020-01-23,132.6,132.83,130.64,131.26,129.3867,447754,0.0,1.0
169,2020-01-22,133.29,134.3,132.5,132.53,130.6386,729397,0.0,1.0
170,2020-01-21,130.27,132.83,130.27,132.57,130.678,683219,0.0,1.0
171,2020-01-17,129.82,131.15,129.14,131.0,129.1304,523773,0.0,1.0
172,2020-01-16,129.09,129.96,129.07,129.35,127.504,374345,0.0,1.0
173,2020-01-15,128.49,129.29,127.91,128.28,126.4492,398777,0.0,1.0
174,2020-01-14,128.23,128.83,127.36,128.1,126.2718,469957,0.0,1.0
175,2020-01-13,127.86,128.84,127.47,128.49,126.6562,430407,0.0,1.0
176,2020-01-10,128.07,128.12,126.78,127.59,125.7691,643966,0.0,1.0
177,2020-01-09,125.98,128.5,125.81,128.1,126.2718,752343,0.0,1.0
178,2020-01-08,124.86,126.22,124.03,125.36,123.5709,486151,0.0,1.0
179,2020-01-07,125.0,125.47,124.21,124.56,122.7823,585420,0.0,1.0
180,2020-01-06,123.15,125.01,122.79,125.0,123.216,401248,0.0,1.0
181,2020-01-03,122.01,123.99,121.9,123.88,122.112,359154,0.0,1.0
182,2020-01-02,124.69,124.89,122.97,123.78,122.0135,391226,0.0,1.0
183,2019-12-31,122.51,123.62,122.2,123.54,121.7769,375364,0.0,1.0
184,2019-12-30,123.1,123.22,122.03,122.79,121.0376,273814,0.0,1.0
185,2019-12-27,122.86,123.53,122.12,123.21,121.4516,286745,0.0,1.0
186,2019-12-26,122.94,123.59,122.06,122.62,120.87,261909,0.0,1.0
187,2019-12-24,123.03,123.22,122.66,123.06,121.3037,110031,0.0,1.0
188,2019-12-23,123.81,124.29,122.78,122.86,121.1066,345730,0.0,1.0
189,2019-12-20,123.26,123.87,122.73,123.61,121.8459,1307876,0.0,1.0
190,2019-12-19,123.29,123.89,122.29,122.54,120.7911,640928,0.0,1.0
191,2019-12-18,122.73,124.69,122.64,123.71,121.9445,655071,0.0,1.0
192,2019-12-17,121.02,122.83,120.86,122.47,120.7221,854664,0.0,1.0
193,2019-12-16,120.57,121.73,120.4,120.88,119.1548,1336350,0.0,1.0
194,2019-12-13,119.1,119.97,119.07,119.72,118.0114,609602,0.0,1.0
195,2019-12-12,118.69,120.47,118.62,119.55,117.8438,609693,0.54,1.0
196,2019-12-11,120.98,121.07,118.86,119.42,117.1864,830456,0.0,1.0
197,2019-12-10,120.87,121.93,120.77,121.4,119.1293,432252,0.0,1.0
198,2019-12-09,123.06,123.14,121.01,121.19,118.9232,544686,0.0,1.0
199,2019-12-06,122.74,124.95,122.43,123.01,120.7092,439142,0.0,1.0
200,2019-12-05,121.79,122.41,121.38,121.86,119.5807,652544,0.0,1.0
201,2019-12-04,121.27,122.5,121.24,121.76,119.4826,469906,0.0,1.0
202,2019-12-03,121.07,121.75,120.82,121.46,119.1882,446343,0.0,1.0
203,2019-12-02,123.65,123.65,121.11,122.21,119.9242,408843,0.0,1.0
204,2019-11-29,122.89,124.28,122.39,123.71,121.3961,284766,0.0,1.0
205,2019-11-27,123.81,123.81,122.45,123.1,120.7975,406399,0.0,1.0
206,2019-11-26,121.32,123.59,121.3,123.39,121.0821,805380,0.0,1.0
207,2019-11-25,121.47,122.09,121.22,121.47,119.198,388793,0.0,1.0
208,2019-11-22,121.59,121.79,119.75,121.2,118.9331,415531,0.0,1.0
209,2019-11-21,122.39,122.63,120.56,121.35,119.0803,662897,0.0,1.0
210,2019-11-20,121.81,123.48,121.35,122.44,120.1499,496530,0.0,1.0
211,2019-11-19,120.38,122.42,119.8,122.05,119.7672,731511,0.0,1.0
212,2019-11-18,120.2,121.41,119.8,120.59,118.3345,570947,0.0,1.0
213,2019-11-15,119.84,119.84,118.72,119.8,117.5592,570800,0.0,1.0
214,2019-11-14,119.04,119.41,118.36,119.37,117.1373,549884,0.0,1.0
215,2019-11-13,118.03,119.33,117.95,118.87,116.6466,357249,0.0,1.0
216,2019-11-12,118.4,119.12,117.81,118.23,116.0186,472148,0.0,1.0
217,2019-11-11,119.06,119.81,118.01,118.62,116.4013,398289,0.0,1.0
218,2019-11-08,119.99,120.5,117.64,119.58,117.3434,475332,0.0,1.0
219,2019-11-07,117.21,120.97,116.83,120.48,118.2265,832168,0.0,1.0
220,2019-11-06,118.47,119.66,115.15,116.84,114.6546,1537282,0.0,1.0
221,2019-11-05,123.76,124.26,122.37,123.4,121.0919,705243,0.0,1.0
222,2019-11-04,126.21,126.26,123.34,123.47,121.1606,428713,0.0,1.0
223,2019-11-01,125.63,126.77,125.36,125.81,123.4568,364918,0.0,1.0
224,2019-10-31,124.88,125.92,122.5,125.22,122.8779,344503,0.0,1.0
225,2019-10-30,124.61,124.97,123.85,124.86,122.5246,461667,0.0,1.0
226,2019-10-29,124.63,126.09,124.06,124.6,122.2695,432808,0.0,1.0
227,2019-10-28,124.26,125.23,124.09,124.75,122.4167,316370,0.0,1.0
228,2019-10-25,124.55,125.18,123.38,123.55,121.2391,455924,0.0,1.0
229,2019-10-24,123.6,125.49,122.57,124.78,122.4461,641817,0.0,1.0
230,2019-10-23,121.65,123.43,121.51,123.1,120.7975,491351,0.0,1.0
231,2019-10-22,124.39,124.66,121.56,121.67,119.3943,448389,0.0,1.0
232,2019-10-21,123.38,123.81,121.99,123.65,121.3372,381735,0.0,1.0
233,2019-10-18,125.08,125.14,122.13,122.98,120.6798,456724,0.0,1.0
234,2019-10-17,125.48,126.49,125.04,125.38,123.0349,327467,0.0,1.0
235,2019-10-16,124.89,125.26,123.6,125.23,122.8877,545643,0.0,1.0
236,2019-10-15,124.01,125.56,123.76,125.24,122.8975,330001,0.0,1.0
237,2019-10-14,124.41,124.85,123.45,123.6,121.2882,258278,0.0,1.0
238,2019-10-11,123.83,125.57,123.83,124.34,122.0143,409434,0.0,1.0
239,2019-10-10,120.54,122.85,119.61,122.54,120.248,452661,0.0,1.0
240,2019-10-09,120.61,121.3,119.85,120.84,118.5798,1438710,0.0,1.0
241,2019-10-08,120.97,121.43,118.99,119.57,117.3335,1481707,0.0,1.0
242,2019-10-07,122.48,122.66,121.27,121.79,119.512,976676,0.0,1.0
243,2019-10-04,122.51,123.46,121.92,123.0,120.6994,735604,0.0,1.0
244,2019-10-03,121.33,122.3,119.26,121.67,119.3943,809334,0.0,1.0
245,2019-10-02,123.9,124.06,121.49,121.63,119.355,741587,0.0,1.0
246,2019-10-01,125.05,126.71,124.5,124.9,122.5639,446190,0.0,1.0
247,2019-09-30,123.94,125.35,123.94,124.43,122.1026,556330,0.0,1.0
248,2019-09-27,127.28,127.28,122.75,123.88,121.5629,435304,0.0,1.0
249,2019-09-26,126.82,127.58,125.58,126.65,124.2811,364814,0.0,1.0
250,2019-09-25,125.13,126.89,124.27,126.62,124.2517,259573,0.0,1.0
251,2019-09-24,126.52,128.28,124.97,125.46,123.1134,666913,0.0,1.0
252,2019-09-23,126.19,126.54,124.29,125.43,123.0839,520006,0.0,1.0
253,2019-09-20,127.04,128.33,126.2,126.71,124.34,1041397,0.0,1.0
254,2019-09-19,128.34,128.34,126.2,126.87,124.497,375273,0.0,1.0
255,2019-09-18,127.52,128.27,124.44,126.34,123.9769,488985,0.0,1.0
256,2019-09-17,125.16,127.3,125.16,127.18,124.8012,460189,0.0,1.0
257,2019-09-16,123.4,125.42,123.17,124.86,122.5246,309108,0.0,1.0
258,2019-09-13,124.72,124.8,123.45,124.02,121.7003,358703,0.0,1.0
259,2019-09-12,125.1,126.23,124.15,124.3,121.9751,372313,0.54,1.0
260,2019-09-11,124.98,125.35,123.86,124.65,121.7894,518065,0.0,1.0
261,2019-09-10,128.38,128.38,123.92,125.0,122.1314,582582,0.0,1.0
262,2019-09-09,131.05,131.05,128.47,129.17,126.2057,373640,0.0,1.0
263,2019-09-06,132.11,132.11,130.16,130.29,127.3,414794,0.0,1.0
264,2019-09-05,130.0,131.96,129.69,131.51,128.492,326016,0.0,1.0
265,2019-09-04,129.9,129.97,128.56,129.78,126.8017,398415,0.0,1.0
266,2019-09-03,128.55,129.55,127.85,128.35,125.4045,426710,0.0,1.0
267,2019-08-30,131.27,131.43,129.08,129.44,126.4695,465237,0.0,1.0
268,2019-08-29,130.06,131.04,129.46,130.33,127.3391,428808,0.0,1.0
269,2019-08-28,128.75,129.13,126.96,128.58,125.6292,561039,0.0,1.0
270,2019-08-27,129.5,130.86,128.7,129.45,126.4793,650319,0.0,1.0
271,2019-08-26,128.14,128.77,126.75,128.33,125.385,606645,0.0,1.0
272,2019-08-23,129.77,130.94,126.97,127.46,124.535,1743648,0.0,1.0
273,2019-08-22,130.84,131.66,129.34,130.19,127.2023,580425,0.0,1.0
274,2019-08-21,129.11,131.42,129.01,131.27,128.2575,637835,0.0,1.0
275,2019-08-20,128.37,129.48,127.49,128.18,125.2384,482390,0.0,1.0
276,2019-08-19,129.0,129.6,128.18,128.25,125.3068,1051401,0.0,1.0
277,2019-08-16,127.2,128.46,126.37,128.22,125.2775,564818,0.0,1.0
278,2019-08-15,126.29,126.99,125.48,126.67,123.7631,1045919,0.0,1.0
279,2019-08-14,125.23,126.29,124.35,125.58,122.6981,1209712,0.0,1.0
280,2019-08-13,124.7,126.79,123.76,126.75,123.8412,1088872,0.0,1.0
281,2019-08-12,125.41,125.72,124.02,124.48,121.6233,323000,0.0,1.0
282,2019-08-09,125.72,126.86,124.5,125.75,122.8642,429513,0.0,1.0
283,2019-08-08,124.52,126.51,124.28,126.23,123.3332,597221,0.0,1.0
284,2019-08-07,122.05,124.17,120.73,123.6,120.7635,585878,0.0,1.0
285,2019-08-06,122.34,123.55,120.93,123.03,120.2066,824419,0.0,1.0
286,2019-08-05,124.12,125.2,120.28,121.08,118.3014,982748,0.0,1.0
287,2019-08-02,128.44,129.1,127.3,127.73,124.7988,752883,0.0,1.0
288,2019-08-01,126.36,131.35,125.1,128.47,125.5218,1109601,0.0,1.0
289,2019-07-31,128.82,129.56,126.45,127.12,124.2028,1161075,0.0,1.0
290,2019-07-30,132.74,133.15,130.95,131.24,128.2282,749784,0.0,1.0
291,2019-07-29,134.67,134.84,133.07,133.73,130.6611,576221,0.0,1.0
292,2019-07-26,134.9,135.22,133.89,134.4,131.3157,742248,0.0,1.0
293,2019-07-25,134.9,136.37,134.05,134.62,131.5306,642830,0.0,1.0
294,2019-07-24,133.93,134.62,132.73,134.16,131.0812,338496,0.0,1.0
295,2019-07-23,132.73,134.78,132.45,134.17,131.091,438095,0.0,1.0
296,2019-07-22,133.87,134.12,132.44,132.64,129.5961,577909,0.0,1.0
297,2019-07-19,135.43,136.99,133.05,133.12,130.0651,546120,0.0,1.0
298,2019-07-18,133.12,134.92,133.12,134.87,131.7749,329747,0.0,1.0
299,2019-07-17,132.57,133.6,131.98,133.2,130.1432,402056,0.0,1.0
300,2019-07-16,132.83,133.11,131.98,132.25,129.215,327943,0.0,1.0
301,2019-07-15,132.54,133.22,131.69,132.59,129.5472,346265,0.0,1.0
302,2019-07-12,132.83,133.17,131.92,132.37,129.3323,510177,0.0,1.0
303,2019-07-11,131.68,132.21,130.93,132.19,129.1564,469697,0.0,1.0
304,2019-07-10,131.47,132.69,130.88,131.16,128.15,435324,0.0,1.0
305,2019-07-09,130.62,131.25,130.23,131.06,128.0523,614803,0.0,1.0
306,2019-07-08,132.05,132.44,131.19,131.22,128.2087,483863,0.0,1.0
307,2019-07-05,131.67,132.52,130.86,132.45,129.4104,560215,0.0,1.0
308,2019-07-03,130.87,132.05,130.68,131.85,128.8242,375008,0.0,1.0
309,2019-07-02,129.66,131.14,129.45,131.09,128.0816,692418,0.0,1.0
