,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,84.0,84.37,80.79,81.11,81.11,2080535,0.0,1.0
1,2020-09-18,86.97,87.54,84.71,84.87,84.87,2147309,0.0,1.0
2,2020-09-17,88.94,89.91,87.39,87.87,87.87,1466941,0.0,1.0
3,2020-09-16,87.76,90.68,86.43,89.93,89.93,1771063,0.0,1.0
4,2020-09-15,86.25,89.56,86.25,87.77,87.77,1044502,0.0,1.0
5,2020-09-14,83.99,86.53,83.99,85.91,85.91,986173,0.0,1.0
6,2020-09-11,84.54,84.63,82.5,83.21,83.21,1414366,0.0,1.0
7,2020-09-10,85.24,86.35,84.16,84.5,84.5,1791105,0.0,1.0
8,2020-09-09,86.98,87.8792,85.185,85.51,85.51,1542867,0.0,1.0
9,2020-09-08,87.43,87.75,86.27,86.58,86.58,1750777,0.0,1.0
10,2020-09-04,87.8,89.005,86.22,87.81,87.81,1098145,0.0,1.0
11,2020-09-03,87.45,90.25,86.71,87.63,87.63,901218,0.0,1.0
12,2020-09-02,85.35,87.19,84.88,87.01,87.01,1218506,0.0,1.0
13,2020-09-01,85.95,86.425,85.2,85.36,85.36,825048,0.0,1.0
14,2020-08-31,88.62,88.85,86.12,86.87,86.87,1140320,0.0,1.0
15,2020-08-28,88.4,89.31,87.54,88.94,88.94,1038019,0.0,1.0
16,2020-08-27,86.16,88.61,86.16,88.48,88.48,906609,0.0,1.0
17,2020-08-26,88.37,88.37,85.265,85.95,85.95,1421747,0.0,1.0
18,2020-08-25,87.36,88.52,86.195,88.41,88.41,1586338,0.0,1.0
19,2020-08-24,83.85,87.2,83.16,87.13,87.13,1363422,0.0,1.0
20,2020-08-21,85.42,85.76,83.97,84.26,84.26,1115552,0.0,1.0
21,2020-08-20,83.71,85.58,83.42,85.27,85.27,873433,0.0,1.0
22,2020-08-19,85.5,86.03,83.9,84.17,84.17,1240235,0.0,1.0
23,2020-08-18,86.03,86.03,84.66,85.63,85.63,1072628,0.0,1.0
24,2020-08-17,86.43,86.43,84.93,86.26,86.26,893114,0.0,1.0
25,2020-08-14,86.0,87.37,85.68,86.43,86.43,1402778,0.0,1.0
26,2020-08-13,87.52,88.75,86.19,86.24,86.24,1690026,0.0,1.0
27,2020-08-12,90.69,91.06,88.0,88.17,88.17,1311733,0.0,1.0
28,2020-08-11,92.16,93.12,89.66,89.96,89.96,1274089,0.0,1.0
29,2020-08-10,90.39,92.305,89.99,90.95,90.95,1242725,0.0,1.0
30,2020-08-07,87.28,90.06,86.95,90.04,90.04,1085084,0.0,1.0
31,2020-08-06,86.19,88.44,86.1,88.3,88.3,1232954,0.0,1.0
32,2020-08-05,88.04,88.38,86.05,86.63,86.63,1342649,0.0,1.0
33,2020-08-04,86.24,87.74,86.12,87.21,87.21,1151980,0.0,1.0
34,2020-08-03,88.01,88.2,85.88,86.24,86.24,986865,0.0,1.0
35,2020-07-31,88.18,89.2,86.64,89.09,89.09,2038570,0.0,1.0
36,2020-07-30,88.35,88.72,86.12,88.27,88.27,1428429,0.0,1.0
37,2020-07-29,91.0,91.0,87.1,90.59,90.59,1542564,0.0,1.0
38,2020-07-28,89.73,91.47,88.78,91.13,91.13,1579634,0.0,1.0
39,2020-07-27,89.51,89.95,86.86,89.73,89.73,1675299,0.0,1.0
40,2020-07-24,91.41,92.29,89.93,90.67,90.67,1524624,0.0,1.0
41,2020-07-23,92.5,93.2875,90.03,91.48,91.48,1195026,0.0,1.0
42,2020-07-22,90.64,93.29,90.4,93.14,93.14,1109008,0.0,1.0
43,2020-07-21,89.92,92.34,89.92,91.54,91.54,1271153,0.0,1.0
44,2020-07-20,91.99,92.65,89.39,89.53,89.53,1342214,0.0,1.0
45,2020-07-17,91.47,93.21,90.67,93.07,93.07,1076500,0.0,1.0
46,2020-07-16,92.02,93.07,91.19,91.28,91.28,985400,0.0,1.0
47,2020-07-15,93.82,94.63,92.06,93.18,93.18,2344700,0.0,1.0
48,2020-07-14,90.22,93.21,90.05,92.45,92.45,1700200,0.0,1.0
49,2020-07-13,88.19,91.65,87.43,90.22,90.22,1483900,0.0,1.0
50,2020-07-10,84.29,87.78,83.39,87.39,87.39,1693900,0.0,1.0
51,2020-07-09,87.06,87.27,84.26,85.06,85.06,1567600,0.0,1.0
52,2020-07-08,88.28,89.1,87.22,87.58,87.58,955600,0.0,1.0
53,2020-07-07,89.67,89.67,88.05,88.28,88.28,1050300,0.0,1.0
54,2020-07-06,93.7,93.74,90.68,91.35,91.35,1022900,0.0,1.0
55,2020-07-02,91.96,93.26,90.4,91.55,91.55,731600,0.0,1.0
56,2020-07-01,90.63,92.52,89.55,90.05,90.05,716500,0.0,1.0
57,2020-06-30,89.84,90.71,88.44,90.38,90.38,1515600,0.0,1.0
58,2020-06-29,87.99,90.15,86.89,89.67,89.67,1223200,0.98,1.0
59,2020-06-26,89.63,90.36,87.03,87.24,86.2969,1827700,0.0,1.0
60,2020-06-25,88.92,90.49,88.29,90.05,89.0765,1647600,0.0,1.0
61,2020-06-24,90.98,92.33,87.4,89.69,88.7204,1300600,0.0,1.0
62,2020-06-23,94.73,95.22,91.08,92.6,91.5989,1300500,0.0,1.0
63,2020-06-22,91.0,94.04,89.93,93.63,92.6178,2805000,0.0,1.0
64,2020-06-19,96.83,97.57,90.65,90.76,89.7788,3879600,0.0,1.0
65,2020-06-18,95.58,97.0,94.5,94.83,93.8048,1864500,0.0,1.0
66,2020-06-17,99.66,99.92,97.15,97.38,96.3272,1463800,0.0,1.0
67,2020-06-16,99.37,100.46,96.42,99.17,98.0979,1137700,0.0,1.0
68,2020-06-15,92.09,95.58,92.01,94.95,93.9235,1138200,0.0,1.0
69,2020-06-12,96.93,97.18,92.16,96.54,95.4963,1789800,0.0,1.0
70,2020-06-11,93.7,98.2,92.11,92.59,91.589,2163200,0.0,1.0
71,2020-06-10,103.38,104.04,100.13,100.15,99.0673,1862200,0.0,1.0
72,2020-06-09,103.73,105.89,103.13,104.33,103.2021,1915600,0.0,1.0
73,2020-06-08,104.85,107.9,104.71,107.16,106.0015,1945500,0.0,1.0
74,2020-06-05,103.13,106.27,101.44,102.04,100.9369,2451900,0.0,1.0
75,2020-06-04,94.87,97.08,92.98,96.99,95.9415,1982700,0.0,1.0
76,2020-06-03,91.57,96.5,91.02,95.54,94.5071,2562900,0.0,1.0
77,2020-06-02,90.44,92.1,89.31,90.21,89.2348,1662000,0.0,1.0
78,2020-06-01,85.81,89.31,85.61,89.0,88.0378,1118200,0.0,1.0
79,2020-05-29,86.51,87.71,84.34,85.98,85.0505,2389600,0.0,1.0
80,2020-05-28,90.0,90.7,86.51,87.76,86.8112,1730800,0.0,1.0
81,2020-05-27,87.71,89.38,83.39,88.81,87.8499,2861400,0.0,1.0
82,2020-05-26,81.81,84.75,81.42,84.52,83.6063,2187700,0.0,1.0
83,2020-05-22,79.89,80.73,76.49,78.01,77.1666,2020000,0.0,1.0
84,2020-05-21,80.73,81.66,79.28,79.91,79.0461,1839700,0.0,1.0
85,2020-05-20,78.67,81.01,77.96,80.83,79.9562,2015300,0.0,1.0
86,2020-05-19,80.48,81.26,77.35,77.82,76.9787,1961000,0.0,1.0
87,2020-05-18,78.38,82.16,78.38,80.93,80.0551,2837000,0.0,1.0
88,2020-05-15,74.98,75.68,73.05,74.95,74.1397,2998300,0.0,1.0
89,2020-05-14,73.44,76.82,71.57,76.7,75.8708,3009900,0.0,1.0
90,2020-05-13,77.83,77.87,74.37,74.8,73.9914,3014400,0.0,1.0
91,2020-05-12,83.93,84.12,78.57,78.77,77.9184,2575500,0.0,1.0
92,2020-05-11,86.21,87.14,83.83,83.86,82.9534,1673700,0.0,1.0
93,2020-05-08,87.86,88.6,86.13,86.91,85.9704,1843600,0.0,1.0
94,2020-05-07,84.82,86.75,83.91,85.85,84.9219,1954700,0.0,1.0
95,2020-05-06,87.44,88.09,83.13,83.28,82.3797,1523100,0.0,1.0
96,2020-05-05,90.97,91.75,87.31,87.43,86.4848,1375600,0.0,1.0
97,2020-05-04,91.37,91.89,88.7,89.67,88.7006,1714600,0.0,1.0
98,2020-05-01,94.58,94.88,92.48,92.93,91.9254,996600,0.0,1.0
99,2020-04-30,96.6,97.98,95.06,97.18,96.1294,1427500,0.0,1.0
100,2020-04-29,101.0,102.94,98.04,98.25,97.1878,1521300,0.0,1.0
101,2020-04-28,97.0,98.86,96.11,97.07,96.0206,1248600,0.0,1.0
102,2020-04-27,91.31,94.36,90.84,94.14,93.1223,1377400,0.0,1.0
103,2020-04-24,89.32,90.76,88.18,90.36,89.3831,1096100,0.0,1.0
104,2020-04-23,90.95,91.32,88.3,88.92,87.9587,1180200,0.0,1.0
105,2020-04-22,90.26,91.89,89.12,90.67,89.6898,1208400,0.0,1.0
106,2020-04-21,88.09,89.67,86.65,88.43,87.474,1725000,0.0,1.0
107,2020-04-20,94.01,94.75,91.34,91.44,90.4515,1113500,0.0,1.0
108,2020-04-17,97.04,98.37,94.86,95.5,94.4676,1685400,0.0,1.0
109,2020-04-16,99.83,99.83,93.31,94.07,93.053,1149400,0.0,1.0
110,2020-04-15,102.09,103.48,98.66,99.68,98.6024,1091500,0.0,1.0
111,2020-04-14,102.85,106.08,102.85,105.68,104.5375,918800,0.0,1.0
112,2020-04-13,104.83,106.33,98.67,100.56,99.4729,1146900,0.0,1.0
113,2020-04-09,102.27,107.15,102.18,106.0,104.8541,1938400,0.0,1.0
114,2020-04-08,94.03,100.76,92.37,99.91,98.8299,1272100,0.0,1.0
115,2020-04-07,96.5,98.65,92.52,92.66,91.6583,2103600,0.0,1.0
116,2020-04-06,88.01,91.94,86.16,90.72,89.7392,1800300,0.0,1.0
117,2020-04-03,81.91,85.23,80.73,83.04,82.1423,1855300,0.0,1.0
118,2020-04-02,83.81,87.47,79.91,82.69,81.7961,1902000,0.0,1.0
119,2020-04-01,87.54,88.76,82.59,85.25,84.3284,1626200,0.0,1.0
120,2020-03-31,92.04,93.87,89.05,92.23,91.2329,1526900,0.0,1.0
121,2020-03-30,93.92,96.08,89.0,92.96,91.955,1625700,0.98,1.0
122,2020-03-27,89.46,96.88,87.01,93.82,91.8376,1689200,0.0,1.0
123,2020-03-26,91.96,93.42,89.25,92.9,90.937,1698900,0.0,1.0
124,2020-03-25,87.99,97.77,86.64,90.86,88.9401,2039300,0.0,1.0
125,2020-03-24,81.0,88.34,78.27,87.59,85.7392,1897500,0.0,1.0
126,2020-03-23,82.0,83.94,77.21,77.93,76.2833,2675400,0.0,1.0
127,2020-03-20,86.84,95.84,80.63,82.0,80.2673,2424000,0.0,1.0
128,2020-03-19,86.21,88.83,82.72,85.57,83.7619,1519100,0.0,1.0
129,2020-03-18,97.06,99.77,85.53,88.21,86.3461,1498100,0.0,1.0
130,2020-03-17,99.3,109.4,94.24,105.84,103.6036,1623400,0.0,1.0
131,2020-03-16,106.53,110.67,96.69,96.93,94.8818,1617000,0.0,1.0
132,2020-03-13,118.09,118.24,111.69,117.06,114.5865,1659000,0.0,1.0
133,2020-03-12,112.69,117.45,108.11,111.89,109.5257,1870500,0.0,1.0
134,2020-03-11,126.72,127.18,120.17,121.29,118.7271,1314000,0.0,1.0
135,2020-03-10,126.64,130.38,123.14,130.27,127.5174,1588500,0.0,1.0
136,2020-03-09,124.22,127.27,121.27,122.86,120.2639,1695300,0.0,1.0
137,2020-03-06,133.15,134.17,128.23,132.58,129.7786,1041900,0.0,1.0
138,2020-03-05,135.94,137.82,134.08,136.73,133.8409,857100,0.0,1.0
139,2020-03-04,134.77,138.38,134.08,138.12,135.2015,834600,0.0,1.0
140,2020-03-03,134.42,137.42,131.86,132.9,130.0918,1148400,0.0,1.0
141,2020-03-02,129.63,134.55,128.43,134.54,131.6971,1327900,0.0,1.0
142,2020-02-28,125.78,128.95,123.1,128.94,126.2155,2158400,0.0,1.0
143,2020-02-27,134.49,135.29,128.24,128.25,125.54,1186000,0.0,1.0
144,2020-02-26,137.24,137.79,135.38,135.41,132.5488,1230600,0.0,1.0
145,2020-02-25,144.46,144.51,136.46,136.75,133.8604,1064700,0.0,1.0
146,2020-02-24,144.17,145.35,143.69,144.35,141.2999,792800,0.0,1.0
147,2020-02-21,146.47,146.95,145.27,145.78,142.6996,811600,0.0,1.0
148,2020-02-20,144.97,147.01,144.7,146.92,143.8155,527200,0.0,1.0
149,2020-02-19,147.79,147.83,144.88,144.9,141.8382,680300,0.0,1.0
150,2020-02-18,147.5,147.51,146.0,147.51,144.3931,524900,0.0,1.0
151,2020-02-14,145.78,147.28,145.37,147.23,144.119,616800,0.0,1.0
152,2020-02-13,144.72,146.04,144.72,145.58,142.5039,492500,0.0,1.0
153,2020-02-12,144.43,145.72,143.82,145.02,141.9557,563600,0.0,1.0
154,2020-02-11,143.39,144.49,143.39,144.22,141.1726,517700,0.0,1.0
155,2020-02-10,142.96,143.56,142.21,143.16,140.135,844800,0.0,1.0
156,2020-02-07,144.28,144.3,142.2,142.71,139.6945,641300,0.0,1.0
157,2020-02-06,145.39,146.0,143.93,144.38,141.3292,897900,0.0,1.0
158,2020-02-05,144.93,146.07,144.29,145.06,141.9949,595800,0.0,1.0
159,2020-02-04,143.61,145.44,143.37,144.56,141.5054,939000,0.0,1.0
160,2020-02-03,144.0,144.79,143.04,143.17,140.1448,771400,0.0,1.0
161,2020-01-31,143.33,144.34,142.89,143.35,140.321,917000,0.0,1.0
162,2020-01-30,142.53,143.64,141.86,143.59,140.5559,753900,0.0,1.0
163,2020-01-29,141.93,143.93,139.72,142.93,139.9099,913400,0.0,1.0
164,2020-01-28,141.36,142.52,141.02,141.18,138.1968,786000,0.0,1.0
165,2020-01-27,141.21,141.74,140.7,141.04,138.0598,600500,0.0,1.0
166,2020-01-24,142.1,142.24,141.16,142.01,139.0093,449600,0.0,1.0
167,2020-01-23,139.81,142.2,138.85,142.14,139.1366,559800,0.0,1.0
168,2020-01-22,141.0,141.15,139.37,139.9,136.9439,481100,0.0,1.0
169,2020-01-21,139.56,140.81,138.92,140.36,137.3942,609000,0.0,1.0
170,2020-01-17,139.63,140.73,139.09,139.56,136.6111,791800,0.0,1.0
171,2020-01-16,137.69,139.29,137.45,139.28,136.337,430200,0.0,1.0
172,2020-01-15,136.82,137.73,135.92,137.33,134.4282,540800,0.0,1.0
173,2020-01-14,136.68,136.68,135.2,136.4,133.5178,468400,0.0,1.0
174,2020-01-13,135.2,136.96,135.0,136.77,133.88,523800,0.0,1.0
175,2020-01-10,134.69,135.55,134.3,135.08,132.2257,498600,0.0,1.0
176,2020-01-09,134.55,135.42,134.16,134.56,131.7167,652300,0.0,1.0
177,2020-01-08,135.52,135.82,133.71,134.49,131.6482,628600,0.0,1.0
178,2020-01-07,136.72,137.21,134.62,135.21,132.353,619800,0.0,1.0
179,2020-01-06,137.06,138.15,135.79,137.6,134.6925,586800,0.0,1.0
180,2020-01-03,134.42,136.87,134.42,136.64,133.7528,456800,0.0,1.0
181,2020-01-02,138.3,138.54,135.13,135.58,132.7152,605700,0.0,1.0
182,2019-12-31,136.42,137.86,136.42,137.86,134.947,458700,0.0,1.0
183,2019-12-30,136.75,137.17,136.15,136.67,133.7821,277600,0.98,1.0
184,2019-12-27,137.57,137.68,136.68,137.68,133.8113,325800,0.0,1.0
185,2019-12-26,136.41,137.16,135.81,137.14,133.2865,222800,0.0,1.0
186,2019-12-24,136.07,136.88,135.72,135.94,132.1202,132900,0.0,1.0
187,2019-12-23,136.16,136.54,135.22,135.81,131.9938,565200,0.0,1.0
188,2019-12-20,136.47,136.68,135.78,135.78,131.9647,1230800,0.0,1.0
189,2019-12-19,135.28,136.58,134.91,135.69,131.8772,656100,0.0,1.0
190,2019-12-18,134.27,136.1,133.6,135.46,131.6537,956800,0.0,1.0
191,2019-12-17,136.25,136.32,134.05,134.47,130.6915,731300,0.0,1.0
192,2019-12-16,135.69,135.92,134.28,135.65,131.8383,530000,0.0,1.0
193,2019-12-13,135.63,136.16,133.78,135.11,131.3135,841500,0.0,1.0
194,2019-12-12,137.5,137.63,134.49,135.13,131.3329,927300,0.0,1.0
195,2019-12-11,139.98,139.98,136.74,137.29,133.4322,652700,0.0,1.0
196,2019-12-10,140.04,140.12,138.73,139.61,135.6871,451700,0.0,1.0
197,2019-12-09,139.36,140.16,138.82,139.87,135.9398,519500,0.0,1.0
198,2019-12-06,139.28,140.3,139.06,139.28,135.3663,579800,0.0,1.0
199,2019-12-05,137.83,139.14,137.67,139.12,135.2108,436600,0.0,1.0
200,2019-12-04,138.39,139.89,137.97,138.0,134.1223,493600,0.0,1.0
201,2019-12-03,136.56,138.63,136.56,138.47,134.5791,380200,0.0,1.0
202,2019-12-02,138.44,138.47,136.73,136.87,133.0241,507100,0.0,1.0
203,2019-11-29,138.76,139.38,138.46,138.54,134.6471,343700,0.0,1.0
204,2019-11-27,138.45,139.11,137.68,139.01,135.1039,348500,0.0,1.0
205,2019-11-26,137.43,138.86,137.25,138.51,134.618,532100,0.0,1.0
206,2019-11-25,138.45,139.64,137.49,137.54,133.6752,348500,0.0,1.0
207,2019-11-22,137.27,138.57,135.9,137.59,133.7238,448900,0.0,1.0
208,2019-11-21,137.71,137.71,136.1,136.75,132.9074,335500,0.0,1.0
209,2019-11-20,138.25,138.25,136.96,138.05,134.1709,336800,0.0,1.0
210,2019-11-19,139.41,139.41,137.22,138.27,134.3847,386500,0.0,1.0
211,2019-11-18,137.89,138.75,137.0,138.7,134.8026,489600,0.0,1.0
212,2019-11-15,138.07,138.72,137.4,137.56,133.6947,490300,0.0,1.0
213,2019-11-14,136.96,137.86,136.61,137.81,133.9376,579100,0.0,1.0
214,2019-11-13,135.43,137.01,135.42,136.71,132.8685,560400,0.0,1.0
215,2019-11-12,138.26,138.76,135.24,135.62,131.8092,532600,0.0,1.0
216,2019-11-11,137.84,138.71,137.01,138.57,134.6763,429600,0.0,1.0
217,2019-11-08,137.9,138.61,137.01,138.34,134.4527,370400,0.0,1.0
218,2019-11-07,137.67,138.23,137.08,137.96,134.0834,678600,0.0,1.0
219,2019-11-06,136.94,138.39,136.84,137.92,134.0445,751700,0.0,1.0
220,2019-11-05,138.01,138.63,135.58,136.32,132.4895,822600,0.0,1.0
221,2019-11-04,137.32,138.62,136.98,138.53,134.6374,532900,0.0,1.0
222,2019-11-01,137.76,138.43,135.74,137.44,133.578,614900,0.0,1.0
223,2019-10-31,138.38,138.93,135.84,137.2,133.3448,917200,0.0,1.0
224,2019-10-30,135.96,140.06,134.33,138.93,135.0262,1170700,0.0,1.0
225,2019-10-29,133.28,133.89,132.67,133.3,129.5544,1042000,0.0,1.0
226,2019-10-28,132.36,132.85,131.88,132.68,128.9518,515900,0.0,1.0
227,2019-10-25,132.1,133.53,131.27,132.18,128.4658,510400,0.0,1.0
228,2019-10-24,131.23,132.62,130.58,132.37,128.6505,534700,0.0,1.0
229,2019-10-23,130.16,131.26,129.8,130.97,127.2898,752200,0.0,1.0
230,2019-10-22,130.15,131.15,128.87,130.84,127.1635,680000,0.0,1.0
231,2019-10-21,128.1,129.99,128.1,129.98,126.3277,531300,0.0,1.0
232,2019-10-18,127.91,128.57,126.9,128.36,124.7532,507100,0.0,1.0
233,2019-10-17,128.07,128.32,127.08,127.66,124.0728,543000,0.0,1.0
234,2019-10-16,128.36,129.54,127.78,128.34,124.7337,520400,0.0,1.0
235,2019-10-15,127.32,128.91,126.67,128.85,125.2294,556100,0.0,1.0
236,2019-10-14,128.12,128.12,126.26,127.57,123.9854,406000,0.0,1.0
237,2019-10-11,127.78,129.26,127.65,128.2,124.5977,571100,0.0,1.0
238,2019-10-10,127.93,128.25,127.11,127.18,123.6063,409400,0.0,1.0
239,2019-10-09,127.9,128.34,127.16,127.86,124.2672,1187300,0.0,1.0
240,2019-10-08,127.6,128.28,126.57,127.08,123.5091,818200,0.0,1.0
241,2019-10-07,128.14,129.35,127.83,128.15,124.5491,330000,0.0,1.0
242,2019-10-04,128.03,128.87,127.53,128.71,125.0933,513800,0.0,1.0
243,2019-10-03,125.44,128.18,124.58,127.89,124.2964,1022000,0.0,1.0
244,2019-10-02,128.01,128.23,124.96,125.44,121.9152,1794300,0.0,1.0
245,2019-10-01,129.88,130.29,127.53,128.68,125.0642,634300,0.0,1.0
246,2019-09-30,129.9,130.52,129.18,129.66,126.0166,780200,0.0,1.0
247,2019-09-27,131.96,131.96,129.16,130.12,126.4637,894000,0.95,1.0
248,2019-09-26,130.75,132.66,130.45,132.59,127.9303,739600,0.0,1.0
249,2019-09-25,129.61,130.92,128.97,130.17,125.5953,992800,0.0,1.0
250,2019-09-24,130.61,131.02,128.65,129.52,124.9682,1213200,0.0,1.0
251,2019-09-23,129.52,131.43,129.03,130.25,125.6725,1006200,0.0,1.0
252,2019-09-20,130.53,132.12,129.76,130.11,125.5375,3677100,0.0,1.0
253,2019-09-19,130.94,131.02,129.61,130.03,125.4603,770700,0.0,1.0
254,2019-09-18,131.48,131.48,129.29,130.44,125.8559,843900,0.0,1.0
255,2019-09-17,131.9,132.24,130.04,131.2,126.5892,833400,0.0,1.0
256,2019-09-16,131.33,132.13,130.27,132.03,127.39,792500,0.0,1.0
257,2019-09-13,133.49,134.09,130.65,131.4,126.7821,868800,0.0,1.0
258,2019-09-12,132.62,133.55,130.35,133.43,128.7408,1146400,0.0,1.0
259,2019-09-11,130.71,132.03,129.67,132.02,127.3803,738400,0.0,1.0
260,2019-09-10,129.67,130.91,129.05,130.91,126.3093,1045900,0.0,1.0
261,2019-09-09,129.84,130.94,126.18,130.36,125.7787,984700,0.0,1.0
