,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,43.79,44.13,43.075,43.29,43.29,25735000,0.0,1.0
1,2020-09-21,43.41,44.155,43.07,43.93,43.93,33469709,0.0,1.0
2,2020-09-18,45.52,45.96,44.755,44.86,44.86,33201718,0.0,1.0
3,2020-09-17,45.46,45.83,45.01,45.53,45.53,28741596,0.0,1.0
4,2020-09-16,45.21,46.76,44.62,46.02,46.02,45536844,0.0,1.0
5,2020-09-15,48.12,48.39,44.67,44.81,44.81,84689733,0.0,1.0
6,2020-09-14,51.49,52.08,47.9,48.15,48.15,58798346,0.0,1.0
7,2020-09-11,50.89,51.685,50.8,51.0,51.0,21033248,0.0,1.0
8,2020-09-10,51.72,52.5,50.7,50.95,50.95,22324372,0.0,1.0
9,2020-09-09,51.2,51.59,50.615,51.4,51.4,19193919,0.0,1.0
10,2020-09-08,51.92,52.09,50.6599,51.04,51.04,28128566,0.0,1.0
11,2020-09-04,52.47,53.36,51.44,52.52,52.52,25124049,0.0,1.0
12,2020-09-03,52.44,53.64,51.23,51.5,51.5,25003215,0.0,1.0
13,2020-09-02,51.04,52.14,50.6575,51.95,51.95,15348570,0.0,1.0
14,2020-09-01,50.88,51.565,50.54,51.2,51.2,16909928,0.0,1.0
15,2020-08-31,51.91,52.04,51.1,51.12,51.12,16280126,0.0,1.0
16,2020-08-28,52.07,52.37,51.525,52.28,52.28,16990331,0.0,1.0
17,2020-08-27,50.72,52.2101,50.65,51.72,51.72,19393454,0.0,1.0
18,2020-08-26,51.66,51.79,50.815,50.85,50.85,14541566,0.0,1.0
19,2020-08-25,51.85,52.505,50.97,51.65,51.65,17244775,0.0,1.0
20,2020-08-24,49.9,51.13,49.45,51.06,51.06,19745076,0.0,1.0
21,2020-08-21,49.45,50.08,49.1599,49.3,49.3,17416043,0.0,1.0
22,2020-08-20,49.53,50.015,49.23,49.58,49.58,15920880,0.0,1.0
23,2020-08-19,50.68,51.33,50.0,50.29,50.29,20837297,0.0,1.0
24,2020-08-18,51.52,51.53,50.28,50.34,50.34,17100781,0.0,1.0
25,2020-08-17,52.63,52.82,51.35,51.42,51.42,19738660,0.0,1.0
26,2020-08-14,52.45,53.345,52.355,52.93,52.93,13861310,0.0,1.0
27,2020-08-13,52.83,53.48,52.57,52.89,52.89,13815271,0.0,1.0
28,2020-08-12,54.94,55.0185,52.745,53.35,53.35,19347989,0.0,1.0
29,2020-08-11,54.45,55.027,53.54,53.76,53.76,25256473,0.0,1.0
