,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,34.42,35.04,34.25,35.04,35.04,2884775,0.0,1.0
1,2020-09-18,34.8,35.211,34.315,34.55,34.55,4473960,0.0,1.0
2,2020-09-17,34.66,34.825,34.155,34.8,34.8,2829713,0.0,1.0
3,2020-09-16,34.71,35.13,34.58,34.79,34.79,2731461,0.0,1.0
4,2020-09-15,34.66,34.84,34.21,34.57,34.57,2811356,0.0,1.0
5,2020-09-14,34.6,34.855,34.365,34.59,34.59,2565667,0.0,1.0
6,2020-09-11,34.79,34.895,34.24,34.47,34.47,3219776,0.0,1.0
7,2020-09-10,35.74,35.85,34.6201,34.7,34.7,3317825,0.0,1.0
8,2020-09-09,35.48,36.19,35.38,35.81,35.81,2860158,0.0,1.0
9,2020-09-08,37.08,37.08,35.04,35.15,35.15,4706150,0.0,1.0
10,2020-09-04,37.41,37.52,36.435,37.13,37.13,2281100,0.0,1.0
11,2020-09-03,38.13,38.71,37.015,37.41,37.41,2738442,0.0,1.0
12,2020-09-02,37.78,38.405,37.75,38.25,38.25,3159266,0.0,1.0
13,2020-09-01,38.45,38.45,37.56,37.83,37.83,2665209,0.0,1.0
14,2020-08-31,38.02,38.55,38.02,38.36,38.36,2598850,0.0,1.0
15,2020-08-28,38.77,38.835,37.7201,38.16,38.16,2733617,0.0,1.0
16,2020-08-27,39.0,39.34,38.76,38.77,38.77,2002937,0.0,1.0
17,2020-08-26,38.66,38.85,38.52,38.73,38.73,2712099,0.0,1.0
18,2020-08-25,38.54,38.79,38.21,38.74,38.74,2914638,0.0,1.0
19,2020-08-24,37.87,38.315,37.595,38.26,38.26,2043639,0.0,1.0
20,2020-08-21,38.03,38.03,37.47,37.82,37.82,6081152,0.0,1.0
21,2020-08-20,37.79,38.145,37.77,37.97,37.97,2321689,0.0,1.0
22,2020-08-19,38.17,38.235,37.72,37.94,37.94,2569625,0.0,1.0
23,2020-08-18,38.12,38.36,37.83,38.18,38.18,1982095,0.0,1.0
24,2020-08-17,37.76,38.235,37.58,38.05,38.05,1873867,0.0,1.0
25,2020-08-14,37.7,38.11,37.54,37.78,37.78,1385675,0.0,1.0
26,2020-08-13,37.88,37.95,37.615,37.7,37.7,1721559,0.0,1.0
