,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,145.01,147.5,144.501,147.15,147.15,2577029,0.0,1.0
1,2020-09-21,148.56,149.5,143.87,145.33,145.33,4278168,0.0,1.0
2,2020-09-18,153.68,156.21,152.0619,152.39,152.39,5113545,0.0,1.0
3,2020-09-17,149.85,156.25,149.15,153.87,153.87,4487016,0.0,1.0
4,2020-09-16,150.0,151.98,148.37,151.11,151.11,3304216,0.0,1.0
5,2020-09-15,154.2,154.47,148.3575,148.6,148.6,4092442,0.0,1.0
6,2020-09-14,154.0,154.8,152.205,153.51,153.51,2569372,0.0,1.0
7,2020-09-11,150.48,154.4,150.24,153.83,153.83,3237065,0.0,1.0
8,2020-09-10,152.01,153.25,148.75,149.86,149.86,4386987,0.0,1.0
9,2020-09-09,149.8,155.475,149.21,152.69,152.69,5345097,0.0,1.0
10,2020-09-08,147.0,150.76,145.72,148.52,148.52,4775229,0.0,1.0
11,2020-09-04,148.7,150.78,146.04,148.18,148.18,5129423,0.0,1.0
12,2020-09-03,148.59,151.2,145.3001,146.76,146.76,4479077,0.0,1.0
13,2020-09-02,146.87,149.55,146.4,149.27,149.27,4515508,0.0,1.0
14,2020-09-01,141.67,146.12,140.91,146.05,146.05,2675700,0.0,1.0
15,2020-08-31,143.5,143.6,142.27,142.31,142.31,2886503,0.0,1.0
16,2020-08-28,144.28,145.85,142.69,143.63,143.63,3698733,0.0,1.0
17,2020-08-27,142.13,144.34,141.28,143.37,143.37,3010304,0.0,1.0
18,2020-08-26,140.48,142.44,139.805,141.83,141.83,2380282,0.0,1.0
19,2020-08-25,142.67,144.93,140.54,141.15,141.15,2467632,0.0,1.0
20,2020-08-24,139.76,142.25,139.08,141.68,141.68,2921741,0.0,1.0
21,2020-08-21,136.8,139.0,136.8,138.43,138.43,2524615,0.0,1.0
22,2020-08-20,136.02,137.98,135.65,137.48,137.48,2279982,0.0,1.0
23,2020-08-19,138.5,139.92,137.46,138.02,138.02,1849463,0.0,1.0
24,2020-08-18,138.95,140.11,138.08,138.37,138.37,1563172,0.0,1.0
25,2020-08-17,140.15,140.6007,138.3,138.72,138.72,1855750,0.0,1.0
26,2020-08-14,139.45,140.89,138.77,139.96,139.96,2038515,0.0,1.0
27,2020-08-13,141.6,142.7376,139.77,140.67,140.67,2939915,0.0,1.0
28,2020-08-12,143.95,144.165,141.33,142.57,142.57,2541382,0.0,1.0
29,2020-08-11,144.02,146.2,142.29,142.53,142.53,4206018,0.0,1.0
30,2020-08-10,135.73,142.16,135.675,142.02,142.02,5181635,0.0,1.0
31,2020-08-07,134.0,135.11,132.5162,134.92,134.92,2223882,0.0,1.0
32,2020-08-06,134.52,135.205,133.695,134.39,134.39,2446351,0.0,1.0
33,2020-08-05,132.78,135.94,132.61,134.97,134.97,2810166,0.0,1.0
34,2020-08-04,131.37,132.44,130.67,131.52,131.52,2301841,0.0,1.0
35,2020-08-03,132.3,133.0,131.1,131.78,131.78,2852684,0.0,1.0
36,2020-07-31,132.43,135.15,130.21,132.88,132.88,6782180,0.0,1.0
37,2020-07-30,139.08,139.1,135.97,136.73,136.73,3063503,0.0,1.0
38,2020-07-29,138.58,141.0835,137.8,140.53,140.53,2338324,0.0,1.0
39,2020-07-28,138.94,139.99,137.92,138.03,138.03,2029926,0.0,1.0
40,2020-07-27,137.15,140.34,137.06,139.89,139.89,2507222,0.0,1.0
41,2020-07-24,137.2,138.69,136.85,137.58,137.58,2036293,0.0,1.0
42,2020-07-23,136.9,137.5238,135.71,136.6,136.6,1613733,0.0,1.0
43,2020-07-22,135.25,137.87,135.19,136.98,136.98,2157207,0.0,1.0
44,2020-07-21,134.77,137.18,134.43,135.87,135.87,3217953,0.0,1.0
45,2020-07-20,135.76,136.95,134.26,134.63,134.63,2476128,0.0,1.0
46,2020-07-17,137.87,138.43,136.53,136.9,136.9,2458300,1.03,1.0
47,2020-07-16,138.3,140.99,137.6,138.56,137.5253,3619500,0.0,1.0
48,2020-07-15,140.17,140.17,137.11,138.36,137.3268,4909900,0.0,1.0
49,2020-07-14,130.32,137.31,129.23,136.88,135.8578,6531600,0.0,1.0
50,2020-07-13,129.42,132.09,128.85,130.57,129.595,3706100,0.0,1.0
51,2020-07-10,125.97,128.23,125.82,128.01,127.0541,2691400,0.0,1.0
52,2020-07-09,127.54,128.35,125.12,125.73,124.7911,2662900,0.0,1.0
53,2020-07-08,129.33,129.33,126.47,128.13,127.1732,2279500,0.0,1.0
54,2020-07-07,127.74,128.75,126.8,127.2,126.2501,2018100,0.0,1.0
55,2020-07-06,130.13,130.5,128.17,129.43,128.4635,2489600,0.0,1.0
56,2020-07-02,128.25,130.34,127.19,127.72,126.7662,2526300,0.0,1.0
57,2020-07-01,129.38,129.4,125.88,126.06,125.1186,2807800,0.0,1.0
58,2020-06-30,124.01,127.06,124.01,126.5,125.5554,2777000,0.0,1.0
59,2020-06-29,123.72,126.04,123.28,125.25,124.3147,2797900,0.0,1.0
60,2020-06-26,124.33,124.44,121.45,122.39,121.476,3645100,0.0,1.0
61,2020-06-25,121.61,124.83,120.8,124.71,123.7787,2901800,0.0,1.0
62,2020-06-24,124.79,124.84,121.83,122.06,121.1485,3765000,0.0,1.0
63,2020-06-23,127.39,127.57,125.83,126.25,125.3072,2356200,0.0,1.0
64,2020-06-22,126.36,126.48,124.6,125.79,124.8507,2801500,0.0,1.0
65,2020-06-19,130.0,130.0,125.73,127.46,126.5082,6488000,0.0,1.0
66,2020-06-18,127.14,128.98,126.7,127.59,126.6372,2463700,0.0,1.0
67,2020-06-17,130.16,130.47,127.76,128.23,127.2724,3226100,0.0,1.0
68,2020-06-16,131.37,132.44,126.39,130.11,129.1384,6877900,0.0,1.0
69,2020-06-15,118.51,124.38,118.01,123.61,122.6869,4092000,0.0,1.0
70,2020-06-12,124.4,125.17,119.35,123.15,122.2304,4489000,0.0,1.0
71,2020-06-11,126.41,126.84,121.52,121.55,120.6423,5965400,0.0,1.0
72,2020-06-10,133.72,135.38,130.56,132.44,131.451,4005700,0.0,1.0
73,2020-06-09,135.02,135.41,133.21,134.19,133.1879,3817700,0.0,1.0
74,2020-06-08,135.32,139.94,135.32,137.72,136.6916,4137900,0.0,1.0
75,2020-06-05,137.85,139.37,133.39,135.12,134.111,5590500,0.0,1.0
76,2020-06-04,125.41,129.03,124.74,128.96,127.997,3075700,0.0,1.0
77,2020-06-03,125.45,127.35,125.01,127.09,126.1409,3709600,0.0,1.0
78,2020-06-02,121.84,123.82,121.28,123.32,122.3991,2975900,0.0,1.0
79,2020-06-01,119.86,121.2,117.61,120.5,119.6002,2131300,0.0,1.0
80,2020-05-29,119.63,120.71,117.57,120.13,119.2329,4218700,0.0,1.0
81,2020-05-28,124.75,124.83,120.28,120.74,119.8384,3743700,0.0,1.0
82,2020-05-27,119.72,122.49,119.53,122.42,121.5058,4461700,0.0,1.0
83,2020-05-26,115.98,118.56,115.98,117.41,116.5332,4184600,0.0,1.0
84,2020-05-22,114.13,114.16,111.47,112.47,111.6301,2734600,0.0,1.0
85,2020-05-21,114.95,115.68,113.82,114.06,113.2083,2342200,0.0,1.0
86,2020-05-20,113.31,117.48,113.05,115.69,114.8261,3733900,0.0,1.0
87,2020-05-19,114.95,115.44,112.01,112.08,111.243,3404400,0.0,1.0
88,2020-05-18,112.22,115.66,112.01,115.02,114.1611,5603200,0.0,1.0
89,2020-05-15,105.18,107.99,104.28,107.92,107.1141,6581600,0.0,1.0
90,2020-05-14,102.5,106.28,100.22,106.19,105.397,5539700,0.0,1.0
91,2020-05-13,105.14,105.29,102.55,104.48,103.6998,5374300,0.0,1.0
92,2020-05-12,109.11,109.33,105.0,105.0,104.2159,3863700,0.0,1.0
93,2020-05-11,110.16,110.77,108.18,108.61,107.7989,4205600,0.0,1.0
94,2020-05-08,108.97,112.2,108.3,112.11,111.2728,3910500,0.0,1.0
95,2020-05-07,109.02,110.05,106.78,107.29,106.4888,4377300,0.0,1.0
96,2020-05-06,110.03,110.24,106.7,107.67,106.866,4458900,0.0,1.0
97,2020-05-05,109.24,111.09,108.74,108.91,108.0967,3477400,0.0,1.0
98,2020-05-04,110.02,110.28,106.58,107.72,106.9156,4498900,0.0,1.0
99,2020-05-01,114.0,114.59,110.57,110.88,110.052,3958800,0.0,1.0
100,2020-04-30,118.0,118.25,115.33,116.38,115.5109,4037900,0.0,1.0
101,2020-04-29,116.96,120.82,116.53,120.06,119.1634,4255900,0.0,1.0
102,2020-04-28,117.86,118.0,113.37,115.46,114.5978,5602300,0.0,1.0
103,2020-04-27,110.85,116.13,109.73,115.2,114.3397,5333600,0.0,1.0
104,2020-04-24,113.99,114.38,111.21,114.04,113.1884,3045300,0.0,1.0
105,2020-04-23,111.33,115.23,110.95,112.91,112.0668,3544400,0.0,1.0
106,2020-04-22,112.03,112.1,109.21,110.64,109.8138,3794000,0.0,1.0
107,2020-04-21,111.04,111.04,108.6,109.85,109.0297,5742400,0.0,1.0
108,2020-04-20,114.44,117.07,112.12,114.6,113.7442,4083000,0.0,1.0
109,2020-04-17,114.45,116.54,113.85,116.3,115.4315,4128500,1.03,1.0
110,2020-04-16,111.85,113.47,108.86,113.22,111.388,5910100,0.0,1.0
111,2020-04-15,112.96,113.1,109.8,111.53,109.7254,5650200,0.0,1.0
112,2020-04-14,116.5,117.84,114.51,116.48,114.5953,7163300,0.0,1.0
113,2020-04-13,119.95,120.05,113.58,114.14,112.2931,10510100,0.0,1.0
114,2020-04-09,128.65,129.6,123.15,125.03,123.0069,4752100,0.0,1.0
115,2020-04-08,122.99,128.18,121.04,127.4,125.3386,4685200,0.0,1.0
116,2020-04-07,122.89,128.8,120.51,121.92,119.9473,8488800,0.0,1.0
117,2020-04-06,120.04,121.73,118.13,120.43,118.4814,5784000,0.0,1.0
118,2020-04-03,115.5,116.84,112.12,114.67,112.8146,5036400,0.0,1.0
