,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,115.35,118.3199,114.96,116.04,116.04,1732411,0.0,1.0
1,2020-09-21,115.0,116.71,113.59,115.99,115.99,2035957,0.0,1.0
2,2020-09-18,115.97,118.795,115.76,117.42,117.42,2604293,0.0,1.0
3,2020-09-17,116.94,117.25,114.7009,117.03,117.03,2054269,0.78,1.0
4,2020-09-16,118.14,120.2,117.215,118.59,117.8048,2014153,0.0,1.0
5,2020-09-15,120.72,121.85,117.51,117.66,116.881,2136458,0.0,1.0
6,2020-09-14,121.61,122.77,120.72,120.88,120.0797,1750545,0.0,1.0
7,2020-09-11,119.56,121.4899,118.3475,120.67,119.8711,1766241,0.0,1.0
8,2020-09-10,122.69,123.535,119.08,119.23,118.4406,1795625,0.0,1.0
9,2020-09-09,121.78,124.75,121.12,122.22,121.4108,1403069,0.0,1.0
10,2020-09-08,125.0,125.27,120.26,121.11,120.3082,1757431,0.0,1.0
11,2020-09-04,126.29,127.72,124.32,125.56,124.7287,1420385,0.0,1.0
12,2020-09-03,127.51,130.23,123.1,124.01,123.189,1435996,0.0,1.0
13,2020-09-02,124.62,126.46,123.48,125.83,124.9969,1783551,0.0,1.0
14,2020-09-01,124.02,125.25,123.65,124.86,124.0333,1110726,0.0,1.0
15,2020-08-31,126.14,126.36,123.65,125.0,124.1724,1568280,0.0,1.0
16,2020-08-28,128.22,128.4,125.6,126.39,125.5532,1397561,0.0,1.0
17,2020-08-27,126.17,130.34,125.86,127.76,126.9141,1685124,0.0,1.0
18,2020-08-26,125.43,126.54,124.19,125.59,124.7585,1476551,0.0,1.0
19,2020-08-25,125.53,126.24,124.63,125.91,125.0764,1324204,0.0,1.0
20,2020-08-24,121.9,124.43,121.32,124.42,123.5962,1670654,0.0,1.0
21,2020-08-21,123.34,123.68,121.71,121.92,121.1128,1523648,0.0,1.0
22,2020-08-20,122.81,124.41,122.25,123.44,122.6227,1793206,0.0,1.0
23,2020-08-19,125.38,126.17,123.45,123.93,123.1095,1480676,0.0,1.0
24,2020-08-18,125.84,126.55,124.63,125.08,124.2519,1489871,0.0,1.0
25,2020-08-17,129.58,129.83,125.62,125.84,125.0068,1670639,0.0,1.0
26,2020-08-14,130.35,131.78,129.59,130.14,129.2784,1412803,0.0,1.0
27,2020-08-13,129.35,131.74,128.4,131.2,130.3313,1635235,0.0,1.0
28,2020-08-12,133.65,133.78,130.11,130.28,129.4174,1913512,0.0,1.0
29,2020-08-11,133.03,134.83,131.54,132.01,131.136,1664968,0.0,1.0
30,2020-08-10,130.34,131.52,129.46,130.96,130.0929,1309192,0.0,1.0
31,2020-08-07,125.67,130.16,125.58,129.95,129.0896,1284307,0.0,1.0
32,2020-08-06,124.98,127.56,124.09,126.56,125.7221,1247930,0.0,1.0
33,2020-08-05,125.82,127.25,125.6,125.67,124.838,1615295,0.0,1.0
34,2020-08-04,125.81,126.5599,124.09,124.76,123.934,1748845,0.0,1.0
35,2020-08-03,127.59,127.65,125.41,126.45,125.6128,1851577,0.0,1.0
36,2020-07-31,129.57,129.69,125.55,127.24,126.3976,2174248,0.0,1.0
37,2020-07-30,129.73,132.38,128.52,130.0,129.1393,2093980,0.0,1.0
38,2020-07-29,131.0,132.04,127.93,131.94,131.0664,2575025,0.0,1.0
39,2020-07-28,132.0,132.81,131.37,131.96,131.0863,1702122,0.0,1.0
40,2020-07-27,133.7,133.86,131.15,132.39,131.5135,1861044,0.0,1.0
41,2020-07-24,136.25,136.76,133.57,134.91,134.0168,1153331,0.0,1.0
42,2020-07-23,135.61,136.48,134.47,135.34,134.4439,1288311,0.0,1.0
43,2020-07-22,134.58,136.33,133.96,135.78,134.881,1240484,0.0,1.0
44,2020-07-21,134.41,137.58,134.4,135.55,134.6525,1199163,0.0,1.0
45,2020-07-20,135.36,136.12,133.86,134.28,133.391,1490752,0.0,1.0
46,2020-07-17,136.03,136.42,134.22,135.95,135.0499,1329379,0.0,1.0
47,2020-07-16,133.42,137.34,132.83,136.03,135.1294,2170792,0.0,1.0
48,2020-07-15,133.11,133.85,131.33,132.8,131.9208,1893311,0.0,1.0
49,2020-07-14,128.44,131.14,127.4,130.74,129.8744,1316812,0.0,1.0
50,2020-07-13,128.91,130.58,127.07,128.31,127.4605,1413532,0.0,1.0
51,2020-07-10,124.53,129.2,123.99,128.43,127.5797,1555959,0.0,1.0
52,2020-07-09,127.62,128.03,122.43,124.34,123.5168,1752981,0.0,1.0
53,2020-07-08,126.21,128.38,125.75,127.86,127.0135,1914457,0.0,1.0
54,2020-07-07,127.55,128.68,125.57,127.17,126.328,2334565,0.0,1.0
55,2020-07-06,127.68,129.18,126.58,127.29,126.4472,1463059,0.0,1.0
56,2020-07-02,128.5,129.84,125.33,125.57,124.7386,1155222,0.0,1.0
57,2020-07-01,126.48,128.23,124.96,125.66,124.828,1271208,0.0,1.0
