,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,89.63,90.61,88.96,89.84,89.84,893000,0.0,1.0
1,2020-09-21,90.295,90.85,89.14,90.0,90.0,1124609,0.0,1.0
2,2020-09-18,88.71,90.85,87.6275,90.85,90.85,1647554,0.0,1.0
3,2020-09-17,90.06,91.46,88.74,88.94,88.94,587323,0.0,1.0
4,2020-09-16,89.7,91.1,89.65,90.56,90.56,748622,0.0,1.0
5,2020-09-15,89.43,90.88,89.01,89.61,89.61,546727,0.0,1.0
6,2020-09-14,89.43,90.53,88.63,89.94,89.94,639776,0.0,1.0
7,2020-09-11,87.65,88.9,87.29,88.85,88.85,949035,0.0,1.0
8,2020-09-10,90.03,90.8,87.07,87.09,87.09,1037216,0.0,1.0
9,2020-09-09,90.02,91.4758,89.18,89.95,89.95,741363,0.0,1.0
10,2020-09-08,90.35,90.73,87.67,89.67,89.67,1034319,0.0,1.0
11,2020-09-04,89.61,92.16,89.072,91.03,91.03,970140,0.0,1.0
12,2020-09-03,88.96,90.465,88.6,89.8,89.8,868372,0.0,1.0
13,2020-09-02,89.72,91.14,88.01,88.47,88.47,823680,0.0,1.0
14,2020-09-01,91.2,91.2,88.22,90.07,90.07,736944,0.0,1.0
15,2020-08-31,92.52,92.675,89.95,91.79,91.79,886472,0.0,1.0
16,2020-08-28,93.33,93.33,91.43,91.75,91.75,639072,0.0,1.0
17,2020-08-27,90.58,92.91,90.58,92.41,92.41,687030,0.42,1.0
18,2020-08-26,90.06,94.27,89.6,91.23,90.8172,896843,0.0,1.0
19,2020-08-25,92.88,92.96,90.115,90.6,90.1901,1066448,0.0,1.0
20,2020-08-24,92.49,93.3,91.54,92.69,92.2706,717353,0.0,1.0
21,2020-08-21,89.05,92.38,89.01,91.64,91.2254,1147355,0.0,1.0
22,2020-08-20,88.66,90.305,88.58,89.62,89.2145,554743,0.0,1.0
23,2020-08-19,90.76,91.0,88.91,89.02,88.6172,780708,0.0,1.0
24,2020-08-18,89.97,90.7,89.155,90.18,89.772,719854,0.0,1.0
25,2020-08-17,88.6,90.255,88.01,89.82,89.4136,774000,0.0,1.0
26,2020-08-14,86.11,88.26,86.0729,88.26,87.8607,617015,0.0,1.0
