,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,68.51,69.04,67.08,68.7,68.7,1820916,0.0,1.0
1,2020-09-18,72.1,72.135,69.33,69.85,69.85,2784144,0.0,1.0
2,2020-09-17,71.27,72.085,70.71,71.78,71.78,1432451,0.0,1.0
3,2020-09-16,72.4,73.58,72.06,72.42,72.42,1965526,0.0,1.0
4,2020-09-15,72.0,72.35,71.58,71.7,71.7,1099146,0.0,1.0
5,2020-09-14,71.46,72.55,71.45,71.94,71.94,977546,0.0,1.0
6,2020-09-11,69.995,71.4,69.94,70.95,70.95,1844341,0.0,1.0
7,2020-09-10,71.37,72.09,70.2799,70.38,70.38,1545917,0.0,1.0
8,2020-09-09,70.77,72.135,70.336,71.57,71.57,1562627,0.0,1.0
9,2020-09-08,71.38,71.67,69.7522,70.04,70.04,2563086,0.0,1.0
10,2020-09-04,73.87,74.6,71.785,72.01,72.01,2251969,0.0,1.0
11,2020-09-03,75.1868,76.21,73.06,73.77,73.77,2114806,0.0,1.0
12,2020-09-02,72.91,75.4987,72.6,75.23,75.23,2561774,0.0,1.0
13,2020-09-01,72.88,73.03,72.05,72.47,72.47,1034790,0.0,1.0
14,2020-08-31,71.85,73.68,71.85,73.37,73.37,2016934,0.0,1.0
15,2020-08-28,73.28,73.42,72.22,72.8,72.8,946142,0.0,1.0
16,2020-08-27,72.21,73.45,71.64,73.24,73.24,1626955,0.0,1.0
17,2020-08-26,71.79,71.79,70.61,71.39,71.39,1038015,0.0,1.0
18,2020-08-25,72.41,72.5,71.5,71.81,71.81,1134561,0.0,1.0
19,2020-08-24,72.16,72.5,71.82,72.36,72.36,932830,0.0,1.0
20,2020-08-21,71.25,71.91,71.11,71.82,71.82,1201597,0.0,1.0
21,2020-08-20,72.26,72.69,71.47,71.63,71.63,833315,0.0,1.0
22,2020-08-19,73.67,73.79,72.25,72.44,72.44,824330,0.0,1.0
23,2020-08-18,73.24,73.79,73.045,73.41,73.41,1589084,0.0,1.0
24,2020-08-17,73.0,73.06,72.52,72.86,72.86,1282434,0.0,1.0
25,2020-08-14,72.89,73.27,72.59,72.91,72.91,1427702,0.0,1.0
26,2020-08-13,72.7,73.215,72.47,73.08,73.08,1409612,0.0,1.0
27,2020-08-12,72.55,73.52,72.37,72.77,72.77,1600904,0.0,1.0
28,2020-08-11,72.17,72.93,72.02,72.41,72.41,2393876,0.0,1.0
29,2020-08-10,70.0,71.99,69.92,71.98,71.98,2300434,0.0,1.0
30,2020-08-07,69.52,70.05,69.24,70.04,70.04,1861942,0.0,1.0
31,2020-08-06,69.29,70.12,69.29,69.95,69.95,1411108,0.0,1.0
32,2020-08-05,69.47,69.59,68.49,69.31,69.31,1257344,0.0,1.0
33,2020-08-04,68.51,69.45,68.23,68.91,68.91,1536231,0.0,1.0
34,2020-08-03,69.23,69.66,68.57,68.82,68.82,1902827,0.0,1.0
35,2020-07-31,71.04,71.58,68.87,69.45,69.45,2033812,0.0,1.0
36,2020-07-30,70.92,72.75,69.31,71.26,71.26,2380120,0.0,1.0
37,2020-07-29,71.81,73.8,71.4,73.41,73.41,2210834,0.0,1.0
38,2020-07-28,72.16,72.66,70.975,71.14,71.14,2032044,0.0,1.0
39,2020-07-27,71.53,72.73,71.0,72.45,72.45,1240833,0.0,1.0
40,2020-07-24,72.3,72.48,71.33,71.79,71.79,1513643,0.0,1.0
