,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,33.2,33.24,31.09,31.61,31.61,2825091,0.0,1.0
1,2020-09-18,34.97,35.63,33.68,34.01,34.01,6327192,0.0,1.0
2,2020-09-17,32.36,34.73,32.2,34.64,34.64,3444678,0.0,1.0
3,2020-09-16,33.08,33.68,32.65,33.35,33.35,1928638,0.0,1.0
4,2020-09-15,33.69,33.74,32.97,32.97,32.97,1647860,0.0,1.0
5,2020-09-14,33.5,33.8025,33.07,33.69,33.69,1554044,0.0,1.0
6,2020-09-11,32.46,33.52,32.385,33.37,33.37,2115742,0.0,1.0
7,2020-09-10,32.52,32.74,32.12,32.25,32.25,1791675,0.0,1.0
8,2020-09-09,32.23,32.41,31.82,32.33,32.33,1368584,0.0,1.0
9,2020-09-08,32.57,32.7362,31.53,32.02,32.02,2436089,0.0,1.0
10,2020-09-04,33.54,33.76,32.79,33.18,33.18,2047405,0.0,1.0
11,2020-09-03,34.03,34.175,32.71,33.21,33.21,2109526,0.0,1.0
12,2020-09-02,33.52,33.975,33.08,33.97,33.97,2100481,0.0,1.0
13,2020-09-01,32.38,33.41,32.13,33.41,33.41,1670650,0.0,1.0
14,2020-08-31,33.27,33.315,32.62,32.63,32.63,1592126,0.0,1.0
15,2020-08-28,33.42,33.47,32.66,33.21,33.21,1489062,0.0,1.0
16,2020-08-27,33.52,33.56,32.91,33.24,33.24,2331047,0.0,1.0
17,2020-08-26,33.42,33.5593,32.72,33.49,33.49,2238561,0.0,1.0
18,2020-08-25,33.83,34.16,33.23,33.43,33.43,1632689,0.0,1.0
19,2020-08-24,32.69,33.75,32.62,33.57,33.57,1793860,0.0,1.0
20,2020-08-21,32.83,32.93,32.205,32.37,32.37,1895892,0.0,1.0
21,2020-08-20,33.13,33.35,32.79,33.1,33.1,1982970,0.0,1.0
22,2020-08-19,34.35,34.62,33.4,33.58,33.58,1955942,0.0,1.0
23,2020-08-18,34.33,34.88,33.94,34.49,34.49,2002217,0.0,1.0
24,2020-08-17,35.18,35.48,34.3,34.38,34.38,1952926,0.0,1.0
25,2020-08-14,34.64,35.12,34.48,35.1,35.1,2245104,0.3,1.0
26,2020-08-13,34.59,35.17,34.43,34.96,34.6637,1818836,0.0,1.0
27,2020-08-12,35.91,36.1099,34.59,34.88,34.5844,2317560,0.0,1.0
28,2020-08-11,35.67,36.12,35.12,35.49,35.1892,3023533,0.0,1.0
29,2020-08-10,33.6,35.135,33.45,34.88,34.5844,4003086,0.0,1.0
30,2020-08-07,34.25,34.25,32.683,33.13,32.8492,4069108,0.0,1.0
