,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,25.79,25.88,24.3,24.51,24.51,8506199,0.0,1.0
1,2020-09-21,26.31,26.7201,25.67,25.83,25.83,4990125,0.0,1.0
2,2020-09-18,27.11,27.51,26.975,27.16,27.16,8947206,0.0,1.0
3,2020-09-17,27.07,27.82,26.915,27.49,27.49,7721537,0.0,1.0
4,2020-09-16,26.76,28.18,26.585,27.62,27.62,7296525,0.0,1.0
5,2020-09-15,27.96,28.0,26.68,26.69,26.69,6309790,0.0,1.0
6,2020-09-14,27.41,28.1,27.28,27.99,27.99,14720206,0.0,1.0
7,2020-09-11,26.7,27.16,26.35,27.11,27.11,7692117,0.0,1.0
8,2020-09-10,27.42,28.0687,26.52,26.72,26.72,15213664,0.0,1.0
9,2020-09-09,26.83,27.41,26.49,27.13,27.13,8606414,0.0,1.0
10,2020-09-08,26.78,27.06,26.22,26.62,26.62,10854134,0.0,1.0
11,2020-09-04,27.46,27.79,26.58,27.36,27.36,5626648,0.0,1.0
12,2020-09-03,27.0,28.03,26.51,26.76,26.76,6917105,0.0,1.0
13,2020-09-02,26.11,26.99,25.9,26.79,26.79,5926504,0.0,1.0
14,2020-09-01,25.59,26.51,25.53,26.17,26.17,6890977,0.0,1.0
15,2020-08-31,26.16,26.19,25.82,25.87,25.87,6579525,0.0,1.0
16,2020-08-28,26.26,26.34,25.98,26.29,26.29,3175192,0.0,1.0
17,2020-08-27,25.42,26.23,25.2,26.01,26.01,4418316,0.0,1.0
18,2020-08-26,25.46,25.705,25.28,25.36,25.36,7896363,0.0,1.0
19,2020-08-25,25.71,25.89,25.1,25.54,25.54,4333651,0.0,1.0
20,2020-08-24,24.3,25.23,24.15,25.23,25.23,2856907,0.0,1.0
21,2020-08-21,24.3,24.6,24.15,24.19,24.19,3166316,0.0,1.0
22,2020-08-20,24.44,24.55,24.09,24.3,24.3,2685646,0.0,1.0
23,2020-08-19,24.71,25.3,24.58,24.8,24.8,3777359,0.0,1.0
24,2020-08-18,25.38,25.44,24.645,24.76,24.76,2545461,0.0,1.0
25,2020-08-17,25.68,25.83,25.39,25.44,25.44,1860434,0.0,1.0
26,2020-08-14,25.41,26.19,25.3,25.9,25.9,1935546,0.0,1.0
27,2020-08-13,26.09,26.22,25.61,25.69,25.69,3139587,0.0,1.0
28,2020-08-12,27.37,27.37,25.8175,26.49,26.49,3258741,0.0,1.0
29,2020-08-11,26.81,27.57,26.56,26.65,26.65,4731801,0.0,1.0
30,2020-08-10,25.62,26.325,25.6,25.88,25.88,3715207,0.0,1.0
31,2020-08-07,24.46,25.44,24.325,25.43,25.43,4235777,0.0,1.0
32,2020-08-06,24.64,24.995,24.55,24.76,24.76,3520858,0.0,1.0
33,2020-08-05,24.54,24.91,24.355,24.87,24.87,4020388,0.0,1.0
34,2020-08-04,24.2,24.42,24.02,24.21,24.21,3720456,0.0,1.0
35,2020-08-03,24.8,24.89,24.14,24.23,24.23,5454868,0.0,1.0
36,2020-07-31,24.54,24.84,24.065,24.81,24.81,6102773,0.0,1.0
37,2020-07-30,24.48,25.0,24.03,24.78,24.78,4269256,0.0,1.0
38,2020-07-29,24.21,25.37,23.925,25.35,25.35,4775676,0.0,1.0
39,2020-07-28,24.29,24.7035,24.08,24.18,24.18,3813133,0.39,1.0
40,2020-07-27,25.35,25.49,24.725,24.86,24.4654,4854811,0.0,1.0
41,2020-07-24,26.14,26.35,25.54,25.58,25.174,5731081,0.0,1.0
42,2020-07-23,25.34,26.215,25.25,26.05,25.6365,5753905,0.0,1.0
43,2020-07-22,25.12,25.69,24.96,25.51,25.1051,4927200,0.0,1.0
44,2020-07-21,24.81,25.67,24.655,25.55,25.1444,4945100,0.0,1.0
45,2020-07-20,25.04,25.32,24.6,24.67,24.2784,5049100,0.0,1.0
46,2020-07-17,26.67,27.424,25.12,25.15,24.7508,6493100,0.0,1.0
47,2020-07-16,25.1,26.03,24.85,25.45,25.046,5141900,0.0,1.0
48,2020-07-15,24.75,25.52,24.36,25.45,25.046,3893600,0.0,1.0
49,2020-07-14,24.17,24.35,23.54,23.89,23.5108,3860900,0.0,1.0
50,2020-07-13,24.67,24.89,23.755,24.37,23.9832,4819300,0.0,1.0
51,2020-07-10,22.73,24.18,22.71,24.18,23.7962,4605200,0.0,1.0
52,2020-07-09,23.38,23.65,22.53,22.73,22.3692,4102700,0.0,1.0
53,2020-07-08,23.41,23.77,23.03,23.66,23.2844,4074800,0.0,1.0
54,2020-07-07,23.88,23.93,23.39,23.5,23.127,3938900,0.0,1.0
55,2020-07-06,24.4,24.93,23.92,24.27,23.8848,3902600,0.0,1.0
56,2020-07-02,25.01,25.14,23.64,23.76,23.3829,6689300,0.0,1.0
57,2020-07-01,25.23,25.23,24.01,24.23,23.8454,4898200,0.0,1.0
58,2020-06-30,23.38,25.41,23.31,25.24,24.8394,8059200,0.0,1.0
59,2020-06-29,23.5,23.79,23.04,23.53,23.1565,7956660,0.0,1.0
60,2020-06-26,24.57,24.6,22.82,23.16,22.7924,13151700,0.0,1.0
61,2020-06-25,23.86,25.385,23.61,25.26,24.859,5413100,0.0,1.0
62,2020-06-24,25.33,25.4,23.96,24.08,23.6978,5363900,0.0,1.0
63,2020-06-23,25.99,26.47,25.63,25.8,25.3905,4733800,0.0,1.0
64,2020-06-22,25.02,25.785,24.88,25.43,25.0263,4647700,0.0,1.0
65,2020-06-19,26.76,26.76,25.025,25.35,24.9476,16909100,0.0,1.0
66,2020-06-18,25.97,26.885,25.78,26.15,25.7349,4455900,0.0,1.0
67,2020-06-17,27.25,27.415,26.28,26.37,25.9514,4287300,0.0,1.0
68,2020-06-16,28.28,28.45,26.41,27.24,26.8076,6394100,0.0,1.0
69,2020-06-15,24.32,26.89,24.27,26.65,26.227,5615000,0.0,1.0
70,2020-06-12,26.2,26.29,24.585,25.82,25.4102,4722700,0.0,1.0
71,2020-06-11,25.0,26.065,24.34,24.48,24.0914,7522700,0.0,1.0
72,2020-06-10,29.11,29.24,27.17,27.25,26.8175,8988200,0.0,1.0
73,2020-06-09,28.87,30.1,28.5,29.51,29.0416,5588900,0.0,1.0
74,2020-06-08,30.63,31.07,29.475,30.41,29.9273,10600500,0.0,1.0
75,2020-06-05,31.36,32.98,29.03,29.25,28.7857,10055600,0.0,1.0
76,2020-06-04,26.66,28.47,26.4,28.46,28.0083,6025800,0.0,1.0
77,2020-06-03,26.12,27.17,25.95,26.82,26.3943,6353900,0.0,1.0
78,2020-06-02,25.24,25.69,24.825,25.12,24.7213,5090200,0.0,1.0
