,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,89.81,92.125,89.55,91.59,91.59,1836566,0.0,1.0
1,2020-09-21,90.19,91.06,88.64,89.64,89.64,1449833,0.0,1.0
2,2020-09-18,90.37,91.79,89.6,90.32,90.32,3051040,0.0,1.0
3,2020-09-17,91.35,92.37,90.55,92.06,92.06,1139532,0.0,1.0
4,2020-09-16,92.59,93.17,91.73,91.96,91.96,1047926,0.0,1.0
5,2020-09-15,92.86,93.75,91.96,92.33,92.33,1336407,0.0,1.0
6,2020-09-14,93.55,93.6,92.43,92.72,92.72,761758,0.0,1.0
7,2020-09-11,93.36,94.03,92.17,92.87,92.87,914701,0.0,1.0
8,2020-09-10,93.96,94.72,92.72,92.89,92.89,921875,0.0,1.0
9,2020-09-09,92.74,95.12,92.74,94.04,94.04,1004651,0.0,1.0
10,2020-09-08,93.5,93.68,91.57,91.9,91.9,1313855,0.0,1.0
11,2020-09-04,94.03,94.86,92.11,93.3,93.3,1149040,0.0,1.0
12,2020-09-03,97.94,98.095,93.4004,94.26,94.26,1448633,0.0,1.0
13,2020-09-02,95.53,98.96,95.5,98.16,98.16,1926636,0.0,1.0
14,2020-09-01,95.34,95.5,94.15,95.33,95.33,894822,0.0,1.0
15,2020-08-31,94.85,95.91,94.84,95.83,95.83,1259990,0.0,1.0
16,2020-08-28,95.63,96.35,94.08,94.91,94.91,1259452,0.0,1.0
17,2020-08-27,96.35,97.02,95.77,96.1,96.1,789583,0.0,1.0
18,2020-08-26,95.69,96.4435,95.14,95.91,95.91,738327,0.0,1.0
19,2020-08-25,96.8,96.83,95.92,96.1,96.1,1017993,0.0,1.0
20,2020-08-24,96.17,96.64,95.6,96.63,96.63,733525,0.0,1.0
21,2020-08-21,96.89,96.99,95.95,96.5,96.5,1319714,0.0,1.0
22,2020-08-20,96.14,96.715,95.55,96.54,96.54,815112,0.0,1.0
23,2020-08-19,96.61,97.15,95.78,96.29,96.29,1008271,0.0,1.0
24,2020-08-18,96.03,96.68,95.34,96.46,96.46,1874817,0.0,1.0
25,2020-08-17,94.22,96.25,93.75,95.79,95.79,2140221,0.0,1.0
26,2020-08-14,94.94,94.94,93.99,94.26,94.26,743573,0.0,1.0
27,2020-08-13,94.32,94.81,93.61,94.75,94.75,830623,0.24,1.0
28,2020-08-12,93.27,95.34,92.95,94.83,94.5904,943377,0.0,1.0
29,2020-08-11,94.54,94.54,92.25,92.71,92.4758,1170407,0.0,1.0
30,2020-08-10,95.0,95.19,94.15,94.78,94.5405,903633,0.0,1.0
