,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,102.61,103.57,101.92,102.56,102.56,1092112,0.0,1.0
1,2020-09-21,102.37,102.71,100.29,101.95,101.95,1266842,0.0,1.0
2,2020-09-18,103.25,104.84,102.52,103.13,103.13,2272451,0.0,1.0
3,2020-09-17,102.14,104.48,101.95,103.57,103.57,1267475,0.0,1.0
4,2020-09-16,104.94,105.71,103.34,103.49,103.49,2527066,0.0,1.0
5,2020-09-15,101.19,104.87,100.92,104.06,104.06,2748814,0.0,1.0
6,2020-09-14,99.18,101.27,99.0,100.71,100.71,2157743,0.0,1.0
7,2020-09-11,98.62,99.54,97.79,98.66,98.66,1259597,0.0,1.0
8,2020-09-10,99.48,101.065,98.39,98.55,98.55,1620478,0.0,1.0
9,2020-09-09,96.45,99.53,96.45,99.01,99.01,1122823,0.0,1.0
10,2020-09-08,97.33,97.33,95.69,95.72,95.72,1152197,0.0,1.0
11,2020-09-04,98.01,98.29,96.23,97.9,97.9,1263035,0.0,1.0
12,2020-09-03,99.0,99.0,96.72,97.61,97.61,1107062,0.51,1.0
13,2020-09-02,99.31,99.93,98.83,99.67,99.1519,1273281,0.0,1.0
14,2020-09-01,98.23,99.34,97.59,99.22,98.7043,930900,0.0,1.0
15,2020-08-31,98.92,99.67,97.8,98.3,97.7891,1357484,0.0,1.0
16,2020-08-28,98.31,98.88,97.6,98.73,98.2168,2159071,0.0,1.0
17,2020-08-27,97.91,98.98,97.15,98.26,97.7493,1451890,0.0,1.0
18,2020-08-26,96.27,97.5,95.95,97.28,96.7744,882242,0.0,1.0
19,2020-08-25,97.33,97.75,96.21,96.55,96.0482,1008769,0.0,1.0
20,2020-08-24,96.95,97.19,95.75,96.98,96.4759,1051375,0.0,1.0
21,2020-08-21,96.17,96.85,95.68,96.49,95.9885,1225164,0.0,1.0
22,2020-08-20,95.2,96.635,94.92,96.53,96.0283,1089639,0.0,1.0
23,2020-08-19,95.2,95.89,94.67,95.43,94.934,785072,0.0,1.0
24,2020-08-18,95.26,95.65,94.6,94.96,94.4664,766152,0.0,1.0
25,2020-08-17,93.73,95.93,93.53,95.28,94.7848,978599,0.0,1.0
26,2020-08-14,95.62,96.01,94.69,95.08,94.5858,910421,0.0,1.0
27,2020-08-13,95.42,95.8,94.46,95.12,94.6256,1235171,0.0,1.0
28,2020-08-12,96.17,96.86,95.51,95.68,95.1827,1267238,0.0,1.0
29,2020-08-11,97.0,97.49,95.11,95.3,94.8047,980352,0.0,1.0
30,2020-08-10,96.35,96.98,95.72,96.64,96.1377,977372,0.0,1.0
31,2020-08-07,95.05,96.67,94.01,95.79,95.2921,1270066,0.0,1.0
32,2020-08-06,94.63,95.47,94.2,95.16,94.6654,691144,0.0,1.0
33,2020-08-05,96.24,96.485,94.42,95.51,95.0136,1364007,0.0,1.0
34,2020-08-04,92.93,95.79,92.17,95.46,94.9638,2278261,0.0,1.0
35,2020-08-03,93.67,94.495,91.86,93.54,93.0538,1714109,0.0,1.0
36,2020-07-31,93.54,93.89,91.81,93.72,93.2329,2037345,0.0,1.0
37,2020-07-30,94.38,96.56,92.45,93.56,93.0737,2526265,0.0,1.0
38,2020-07-29,92.31,99.22,91.75,95.28,94.7848,5581982,0.0,1.0
39,2020-07-28,87.84,88.49,87.04,87.15,86.697,3185996,0.0,1.0
40,2020-07-27,85.97,88.37,85.97,87.7,87.2442,1668051,0.0,1.0
41,2020-07-24,85.53,86.3699,85.01,86.07,85.6226,914706,0.0,1.0
42,2020-07-23,85.28,85.64,84.74,85.23,84.787,1199259,0.0,1.0
43,2020-07-22,85.54,86.25,84.72,85.2,84.7572,893719,0.0,1.0
44,2020-07-21,85.37,86.19,85.26,85.58,85.1352,795600,0.0,1.0
45,2020-07-20,86.29,86.67,85.03,85.3,84.8566,973500,0.0,1.0
46,2020-07-17,85.9,86.96,84.87,86.28,85.8315,1391300,0.0,1.0
47,2020-07-16,84.35,86.08,84.23,85.91,85.4635,1345100,0.0,1.0
48,2020-07-15,84.24,85.59,84.0,84.91,84.4687,1426700,0.0,1.0
49,2020-07-14,82.48,83.94,82.11,83.79,83.3545,1459500,0.0,1.0
50,2020-07-13,82.67,82.68,81.78,82.06,81.6335,1789300,0.0,1.0
51,2020-07-10,81.28,82.58,81.28,82.21,81.7827,1138200,0.0,1.0
52,2020-07-09,80.4,81.51,80.4,80.87,80.4497,1292900,0.0,1.0
53,2020-07-08,80.11,80.9,79.91,80.5,80.0816,1561600,0.0,1.0
54,2020-07-07,78.6,80.65,78.56,80.2,79.7831,1517700,0.0,1.0
55,2020-07-06,80.99,81.2,79.9,80.21,79.7931,2028500,0.0,1.0
56,2020-07-02,79.84,79.84,78.47,79.18,78.7684,2571900,0.0,1.0
57,2020-07-01,79.31,80.17,78.29,79.09,78.6789,1579200,0.0,1.0
58,2020-06-30,77.79,79.4,77.54,79.06,78.6491,1647800,0.0,1.0
59,2020-06-29,77.21,77.99,76.835,77.76,77.3558,1753365,0.0,1.0
60,2020-06-26,77.12,77.78,75.95,76.66,76.2615,3362200,0.0,1.0
61,2020-06-25,78.54,78.6,76.44,77.32,76.9181,1238500,0.0,1.0
62,2020-06-24,77.0,79.11,76.63,78.54,78.1318,1318000,0.0,1.0
63,2020-06-23,78.0,78.0,77.0,77.31,76.9082,1819100,0.0,1.0
64,2020-06-22,77.22,77.31,75.58,77.04,76.6396,1277300,0.0,1.0
65,2020-06-19,78.82,78.82,77.17,77.75,77.3459,3584900,0.0,1.0
66,2020-06-18,78.27,78.86,77.05,77.86,77.4553,1770700,0.0,1.0
67,2020-06-17,78.65,79.47,78.18,78.64,78.2313,1189700,0.0,1.0
68,2020-06-16,80.0,80.54,77.71,78.09,77.6841,1456400,0.0,1.0
69,2020-06-15,76.27,78.39,75.65,78.13,77.7239,1391300,0.0,1.0
70,2020-06-12,80.31,80.58,76.94,77.73,77.326,1323100,0.0,1.0
71,2020-06-11,81.5,81.87,78.03,78.77,78.3606,1678000,0.0,1.0
72,2020-06-10,83.5,83.62,82.06,82.2,81.7727,1517300,0.0,1.0
73,2020-06-09,84.87,84.87,82.94,83.09,82.6581,1238400,0.0,1.0
74,2020-06-08,82.92,85.24,82.92,85.1,84.6577,1418700,0.0,1.0
75,2020-06-05,83.12,84.66,82.78,83.06,82.6283,1512700,0.0,1.0
76,2020-06-04,82.88,83.33,81.72,82.3,81.8722,1540200,0.51,1.0
77,2020-06-03,83.0,84.06,82.5,83.81,82.8609,1706700,0.0,1.0
78,2020-06-02,81.39,82.32,78.94,82.18,81.2494,1291200,0.0,1.0
79,2020-06-01,80.9,81.12,80.05,80.66,79.7466,1115400,0.0,1.0
80,2020-05-29,80.92,82.88,79.56,81.13,80.2113,7262200,0.0,1.0
81,2020-05-28,80.22,81.85,80.22,80.86,79.9443,2001700,0.0,1.0
82,2020-05-27,78.31,80.25,78.1,80.16,79.2522,2337300,0.0,1.0
83,2020-05-26,78.87,79.78,78.13,78.25,77.3639,1491100,0.0,1.0
84,2020-05-22,77.74,78.19,77.37,77.86,76.9783,1098300,0.0,1.0
85,2020-05-21,77.23,78.3,77.0,77.9,77.0178,1403100,0.0,1.0
86,2020-05-20,76.89,79.86,76.59,77.62,76.741,2144100,0.0,1.0
87,2020-05-19,77.82,78.28,75.69,75.96,75.0998,1821800,0.0,1.0
88,2020-05-18,74.12,78.25,73.91,77.84,76.9585,3280500,0.0,1.0
89,2020-05-15,72.65,73.5,71.98,72.5,71.679,3587900,0.0,1.0
90,2020-05-14,71.23,72.27,70.42,72.18,71.3626,2162200,0.0,1.0
91,2020-05-13,72.98,73.36,71.01,71.79,70.977,2241200,0.0,1.0
92,2020-05-12,74.92,75.28,72.51,72.72,71.8965,2097200,0.0,1.0
93,2020-05-11,73.45,75.17,73.23,74.4,73.5575,1414300,0.0,1.0
94,2020-05-08,72.5,74.04,72.23,73.8,72.9643,1466700,0.0,1.0
95,2020-05-07,71.1,72.31,70.8,71.95,71.1352,1380500,0.0,1.0
96,2020-05-06,71.7,71.75,69.85,70.43,69.6324,1288800,0.0,1.0
97,2020-05-05,70.62,71.91,70.34,71.13,70.3245,1237200,0.0,1.0
98,2020-05-04,71.54,71.69,69.13,69.94,69.148,1886500,0.0,1.0
99,2020-05-01,70.11,70.89,69.41,70.83,70.0279,1785400,0.0,1.0
100,2020-04-30,72.03,72.16,70.74,70.9,70.0971,3136100,0.0,1.0
101,2020-04-29,73.4,73.49,68.46,71.26,70.453,3867500,0.0,1.0
102,2020-04-28,74.06,75.49,73.56,74.01,73.1719,1710800,0.0,1.0
103,2020-04-27,72.85,74.64,72.12,74.04,73.2015,1191700,0.0,1.0
104,2020-04-24,71.01,72.33,70.61,72.28,71.4615,1768900,0.0,1.0
105,2020-04-23,71.63,72.43,70.17,70.48,69.6819,1557800,0.0,1.0
106,2020-04-22,72.06,72.47,71.24,71.58,70.7694,1230100,0.0,1.0
107,2020-04-21,71.52,72.25,70.37,70.96,70.1564,1614700,0.0,1.0
108,2020-04-20,73.71,74.97,72.15,72.32,71.501,1728100,0.0,1.0
109,2020-04-17,73.98,74.72,72.3,74.23,73.3894,1907500,0.0,1.0
110,2020-04-16,71.07,74.26,70.93,74.22,73.3795,2002900,0.0,1.0
111,2020-04-15,69.94,71.09,68.61,70.92,70.1169,2478100,0.0,1.0
112,2020-04-14,72.24,73.34,70.4,70.99,70.1861,2097500,0.0,1.0
113,2020-04-13,72.93,73.95,70.54,71.27,70.4629,1618200,0.0,1.0
114,2020-04-09,72.93,74.32,71.95,73.22,72.3908,1584300,0.0,1.0
115,2020-04-08,72.3,73.45,71.05,72.82,71.9954,1748900,0.0,1.0
116,2020-04-07,73.5,74.76,71.45,71.84,71.0265,2132900,0.0,1.0
117,2020-04-06,69.73,73.08,69.45,72.39,71.5702,2201200,0.0,1.0
118,2020-04-03,68.63,69.77,67.63,68.15,67.3782,2166500,0.0,1.0
119,2020-04-02,65.79,69.56,65.79,68.92,68.1395,2834600,0.0,1.0
120,2020-04-01,64.92,68.85,64.7,66.57,65.8161,2847500,0.0,1.0
121,2020-03-31,64.79,66.72,64.23,66.2,65.4503,2481700,0.0,1.0
122,2020-03-30,62.57,65.36,61.94,65.19,64.4518,1658700,0.0,1.0
123,2020-03-27,63.0,65.37,62.21,62.51,61.8021,2576600,0.0,1.0
124,2020-03-26,62.49,66.95,62.01,65.89,65.1438,3038600,0.0,1.0
125,2020-03-25,63.89,64.63,60.37,62.29,61.5846,3852600,0.0,1.0
126,2020-03-24,65.45,67.05,62.24,63.55,62.8303,2409500,0.0,1.0
127,2020-03-23,64.58,64.92,60.92,63.24,62.5238,3002900,0.0,1.0
128,2020-03-20,64.57,69.93,63.75,63.91,63.1863,2945200,0.0,1.0
129,2020-03-19,64.69,67.29,60.56,64.06,63.3346,3296700,0.0,1.0
130,2020-03-18,62.24,66.26,61.01,64.85,64.1156,3763400,0.0,1.0
131,2020-03-17,62.0,66.91,58.25,64.6,63.8684,3415700,0.0,1.0
132,2020-03-16,58.18,61.82,56.94,61.06,60.3685,2906300,0.0,1.0
133,2020-03-13,62.41,64.28,59.18,62.37,61.6637,2217500,0.0,1.0
134,2020-03-12,60.54,62.96,57.25,60.11,59.4293,3143100,0.0,1.0
135,2020-03-11,63.55,64.84,62.93,64.11,63.384,2163200,0.0,1.0
136,2020-03-10,64.3,65.04,62.42,64.78,64.0464,1552300,0.0,1.0
137,2020-03-09,61.92,64.53,61.76,62.67,61.9603,3181200,0.0,1.0
138,2020-03-06,64.61,66.39,64.1,66.08,65.3317,4034100,0.0,1.0
139,2020-03-05,68.32,69.42,65.9,66.38,65.6283,2230200,0.51,1.0
140,2020-03-04,69.12,70.88,67.59,70.79,69.4547,1394100,0.0,1.0
141,2020-03-03,69.63,70.7,67.14,68.27,66.9823,1492700,0.0,1.0
142,2020-03-02,69.03,70.12,68.38,70.09,68.7679,1786200,0.0,1.0
143,2020-02-28,68.94,69.77,67.35,68.9,67.6004,3375800,0.0,1.0
144,2020-02-27,70.31,72.24,69.87,69.87,68.5521,2325600,0.0,1.0
145,2020-02-26,72.53,72.93,71.2,71.66,70.3083,1107400,0.0,1.0
146,2020-02-25,72.31,72.97,70.48,71.85,70.4947,2344900,0.0,1.0
147,2020-02-24,73.21,74.0,71.62,72.14,70.7793,1657900,0.0,1.0
148,2020-02-21,74.09,75.6,73.7,74.55,73.1438,1497200,0.0,1.0
149,2020-02-20,73.63,74.96,73.26,74.82,73.4087,1579100,0.0,1.0
150,2020-02-19,72.6,73.93,72.59,73.48,72.094,814600,0.0,1.0
151,2020-02-18,71.86,72.46,71.75,72.45,71.0834,731800,0.0,1.0
