,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,75.32,75.93,74.35,75.19,75.19,3004512,0.0,1.0
1,2020-09-18,76.3,76.94,75.28,75.83,75.83,4563576,0.0,1.0
2,2020-09-17,76.58,77.205,76.17,76.71,76.71,2525323,0.0,1.0
3,2020-09-16,77.23,77.755,76.87,76.91,76.91,2498994,0.0,1.0
4,2020-09-15,77.22,77.72,76.915,76.94,76.94,2093437,0.0,1.0
5,2020-09-14,76.97,77.69,76.95,77.15,77.15,2529348,0.0,1.0
6,2020-09-11,76.74,77.26,76.41,76.75,76.75,2736883,0.0,1.0
7,2020-09-10,77.11,77.78,76.26,76.41,76.41,4165763,0.0,1.0
8,2020-09-09,76.46,78.365,76.46,77.57,77.57,3128889,0.0,1.0
9,2020-09-08,77.2,77.32,75.565,75.64,75.64,4816342,0.0,1.0
10,2020-09-04,77.53,78.42,76.34,77.21,77.21,3644125,0.0,1.0
11,2020-09-03,79.62,80.095,77.085,77.67,77.67,4486632,0.0,1.0
12,2020-09-02,78.13,79.785,78.01,79.47,79.47,3405635,0.0,1.0
13,2020-09-01,79.15,79.17,77.8,78.09,78.09,2968853,0.0,1.0
14,2020-08-31,79.2,79.49,78.92,79.26,79.26,3272886,0.0,1.0
15,2020-08-28,79.0,79.51,78.44,79.37,79.37,3039773,0.0,1.0
16,2020-08-27,78.99,79.48,78.83,79.06,79.06,2208925,0.0,1.0
17,2020-08-26,78.28,79.165,78.0158,78.65,78.65,3476828,0.0,1.0
18,2020-08-25,79.3,79.305,78.47,78.59,78.59,2374145,0.0,1.0
19,2020-08-24,78.81,79.195,78.63,79.13,79.13,2796823,0.0,1.0
20,2020-08-21,78.36,78.84,77.88,78.69,78.69,3405255,0.0,1.0
21,2020-08-20,77.83,78.31,77.55,78.25,78.25,2009262,0.0,1.0
22,2020-08-19,77.86,78.195,77.68,77.95,77.95,2470605,0.0,1.0
23,2020-08-18,77.23,78.19,76.94,77.65,77.65,4286188,0.0,1.0
24,2020-08-17,76.86,77.77,76.83,77.21,77.21,2469141,0.0,1.0
25,2020-08-14,76.89,77.36,76.66,77.05,77.05,2538388,0.0,1.0
26,2020-08-13,76.98,77.185,76.52,76.98,76.98,2964935,0.0,1.0
27,2020-08-12,76.36,77.78,76.26,77.24,77.24,3844311,0.0,1.0
28,2020-08-11,76.71,76.95,75.81,75.96,75.96,3398587,0.0,1.0
