,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,44.92,45.44,43.41,44.68,44.68,32257655,0.0,1.0
1,2020-09-18,45.48,45.85,44.29,45.26,45.26,39626010,0.0,1.0
2,2020-09-17,45.94,46.43,45.02,45.58,45.58,21253663,0.0,1.0
3,2020-09-16,47.05,47.5,46.7,46.81,46.81,26330600,0.0,1.0
4,2020-09-15,45.16,46.74,45.05,46.46,46.46,18415902,0.0,1.0
5,2020-09-14,45.02,45.49,44.71,45.27,45.27,11436100,0.0,1.0
6,2020-09-11,44.09,44.74,43.97,44.67,44.67,18316341,0.0,1.0
7,2020-09-10,44.65,45.01,43.86,44.02,44.02,16023771,0.0,1.0
8,2020-09-09,43.99,44.99,43.71,44.6,44.6,15420892,0.0,1.0
9,2020-09-08,43.81,44.26,43.12,43.81,43.81,20897638,0.0,1.0
10,2020-09-04,44.91,44.97,43.9,44.43,44.43,16201893,0.0,1.0
11,2020-09-03,45.61,45.94,44.09,44.44,44.44,18515149,0.0,1.0
12,2020-09-02,45.05,45.93,45.01,45.17,45.17,20421059,0.0,1.0
13,2020-09-01,44.435,45.09,44.24,45.05,45.05,16943174,0.0,1.0
14,2020-08-31,44.26,45.13,44.25,44.81,44.81,24898073,0.0,1.0
15,2020-08-28,44.53,44.57,43.93,44.56,44.56,10975487,0.0,1.0
16,2020-08-27,44.56,44.795,44.24,44.54,44.54,14317602,0.0,1.0
17,2020-08-26,43.02,44.36,42.91,44.2,44.2,14428645,0.0,1.0
18,2020-08-25,43.765,43.78,43.18,43.41,43.41,8412956,0.0,1.0
19,2020-08-24,42.86,43.82,42.85,43.8,43.8,15266659,0.0,1.0
20,2020-08-21,43.04,43.23,42.72,43.07,43.07,12931399,0.0,1.0
21,2020-08-20,43.23,43.435,42.9,43.27,43.27,11318747,0.0,1.0
22,2020-08-19,43.66,43.759,43.16,43.32,43.32,9857898,0.0,1.0
23,2020-08-18,43.71,43.735,43.28,43.54,43.54,8717346,0.0,1.0
24,2020-08-17,43.87,43.95,43.3,43.53,43.53,12090095,0.0,1.0
25,2020-08-14,43.62,44.18,43.2,43.77,43.77,15238094,0.0,1.0
26,2020-08-13,43.1,43.425,42.985,43.39,43.39,12649900,0.0,1.0
27,2020-08-12,43.01,43.725,42.97,43.34,43.34,10407807,0.0,1.0
28,2020-08-11,43.25,44.0,42.92,42.99,42.99,17140910,0.0,1.0
29,2020-08-10,42.56,43.215,42.56,43.02,43.02,16375211,0.0,1.0
30,2020-08-07,42.59,42.92,42.47,42.81,42.81,10353185,0.0,1.0
31,2020-08-06,42.04,42.89,42.02,42.87,42.87,13772208,0.0,1.0
32,2020-08-05,43.29,43.47,42.245,42.29,42.29,16212527,0.0,1.0
