,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,167.46,168.89,164.41,166.59,166.59,1160078,0.0,1.0
1,2020-09-21,166.76,168.83,164.83,167.69,167.69,1900710,0.0,1.0
2,2020-09-18,172.21,172.49,168.42,169.05,169.05,2325122,0.0,1.0
3,2020-09-17,168.81,171.01,168.0,170.71,170.71,1615616,0.0,1.0
4,2020-09-16,169.13,170.88,168.35,170.2,170.2,1885441,0.0,1.0
5,2020-09-15,167.03,168.68,166.3,168.1,168.1,1479844,0.0,1.0
6,2020-09-14,164.6,167.0,163.86,166.08,166.08,970619,0.0,1.0
7,2020-09-11,163.79,164.52,162.04,163.21,163.21,2143873,0.0,1.0
8,2020-09-10,166.58,168.5199,163.68,163.94,163.94,2055487,0.0,1.0
9,2020-09-09,166.64,169.56,166.4,168.01,168.01,1241392,0.85,1.0
10,2020-09-08,168.62,169.8,166.33,167.0,166.1594,1672679,0.0,1.0
11,2020-09-04,172.97,173.36,166.7,169.62,168.7662,2038786,0.0,1.0
12,2020-09-03,173.64,176.235,170.98,171.89,171.0247,1812386,0.0,1.0
13,2020-09-02,172.69,175.65,171.16,172.71,171.8406,2406968,0.0,1.0
14,2020-09-01,175.18,176.0,172.01,173.78,172.9052,1340560,0.0,1.0
15,2020-08-31,177.48,177.48,175.72,175.87,174.9847,1374144,0.0,1.0
16,2020-08-28,177.46,177.81,175.31,177.03,176.1389,1220061,0.0,1.0
17,2020-08-27,175.85,178.25,175.3,176.45,175.5618,1339456,0.0,1.0
18,2020-08-26,174.37,175.96,173.5,175.26,174.3778,1373663,0.0,1.0
19,2020-08-25,175.16,176.37,174.0,174.92,174.0395,1152790,0.0,1.0
20,2020-08-24,174.11,175.52,173.01,175.21,174.328,994132,0.0,1.0
21,2020-08-21,173.79,174.33,172.39,173.86,172.9848,1223597,0.0,1.0
22,2020-08-20,171.0,173.93,170.55,173.18,172.3083,1051759,0.0,1.0
23,2020-08-19,174.77,174.83,171.24,172.2,171.3332,1308342,0.0,1.0
24,2020-08-18,175.1,176.2,172.4245,173.81,172.9351,1366715,0.0,1.0
25,2020-08-17,171.24,174.83,171.04,174.61,173.7311,1921824,0.0,1.0
26,2020-08-14,169.11,172.235,169.075,171.44,170.577,1085796,0.0,1.0
27,2020-08-13,169.08,170.49,167.73,169.57,168.7164,1166316,0.0,1.0
28,2020-08-12,169.88,172.24,169.45,169.96,169.1045,1567998,0.0,1.0
29,2020-08-11,166.73,169.26,165.78,168.12,167.2737,1966798,0.0,1.0
30,2020-08-10,167.57,168.28,163.82,165.34,164.5077,1991563,0.0,1.0
31,2020-08-07,163.68,168.03,162.15,167.14,166.2987,1903735,0.0,1.0
32,2020-08-06,162.48,164.4,162.2,163.97,163.1446,1808137,0.0,1.0
33,2020-08-05,164.15,164.59,162.79,163.17,162.3486,1111143,0.0,1.0
34,2020-08-04,162.52,164.0,162.13,163.13,162.3088,1839184,0.0,1.0
35,2020-08-03,166.08,166.59,162.34,163.0,162.1795,2226135,0.0,1.0
36,2020-07-31,164.0,166.31,163.23,166.18,165.3435,1845262,0.0,1.0
37,2020-07-30,162.98,164.33,161.692,163.1,162.279,2631499,0.0,1.0
38,2020-07-29,165.43,167.78,163.81,164.88,164.05,2170228,0.0,1.0
39,2020-07-28,167.99,168.36,164.7801,166.0,165.1644,1855612,0.0,1.0
40,2020-07-27,167.79,169.25,166.66,167.5,166.6568,1651505,0.0,1.0
41,2020-07-24,169.0,169.85,167.82,168.75,167.9006,1245172,0.0,1.0
42,2020-07-23,170.84,171.68,168.47,168.94,168.0896,1415329,0.0,1.0
43,2020-07-22,167.47,170.44,167.0301,170.31,169.4527,1230951,0.0,1.0
44,2020-07-21,169.05,170.54,167.85,168.22,167.3732,1429400,0.0,1.0
45,2020-07-20,165.06,168.45,165.06,167.9,167.0548,1127600,0.0,1.0
46,2020-07-17,167.54,168.17,166.17,166.62,165.7813,1599300,0.0,1.0
47,2020-07-16,168.05,168.64,165.58,167.21,166.3683,1366100,0.0,1.0
48,2020-07-15,168.31,169.16,166.29,168.83,167.9802,1659500,0.0,1.0
49,2020-07-14,166.34,166.62,164.06,165.56,164.7266,1579800,0.0,1.0
50,2020-07-13,165.73,169.04,164.86,165.2,164.3684,1512500,0.0,1.0
51,2020-07-10,166.41,166.89,164.03,164.59,163.7615,1955200,0.0,1.0
52,2020-07-09,167.04,167.96,164.23,165.53,164.6968,1338000,0.0,1.0
53,2020-07-08,165.09,169.17,165.02,168.08,167.2339,1521300,0.0,1.0
54,2020-07-07,164.24,166.75,163.89,165.61,164.7764,1630000,0.0,1.0
55,2020-07-06,166.33,167.8,164.4,165.8,164.9654,2149400,0.0,1.0
56,2020-07-02,170.74,171.34,164.88,165.27,164.4381,1573900,0.0,1.0
57,2020-07-01,161.75,170.12,161.56,168.9,168.0498,2910800,0.0,1.0
58,2020-06-30,163.45,163.49,161.35,162.54,161.7218,2676100,0.0,1.0
59,2020-06-29,164.08,164.11,161.11,162.01,161.1945,2464743,0.0,1.0
60,2020-06-26,167.93,168.22,161.24,162.45,161.6323,3176000,0.0,1.0
61,2020-06-25,166.68,168.88,164.55,168.69,167.8409,2982200,0.0,1.0
62,2020-06-24,171.29,171.95,165.93,167.47,166.627,2343300,0.0,1.0
63,2020-06-23,176.99,176.99,172.81,173.55,172.6764,1770900,0.0,1.0
64,2020-06-22,174.5,175.58,172.61,175.09,174.2086,1603300,0.0,1.0
65,2020-06-19,178.69,179.86,174.3,175.52,174.6365,3059600,0.0,1.0
66,2020-06-18,177.62,179.12,175.72,176.32,175.4324,1177600,0.0,1.0
67,2020-06-17,177.3,179.39,175.23,178.36,177.4622,1857200,0.0,1.0
68,2020-06-16,178.5,179.14,174.22,176.11,175.2235,2311100,0.0,1.0
69,2020-06-15,171.55,175.8,171.18,174.65,173.7709,1967500,0.0,1.0
70,2020-06-12,177.73,177.93,172.08,174.72,173.8405,3020300,0.0,1.0
71,2020-06-11,185.61,185.75,174.02,174.18,173.3032,2928600,0.0,1.0
72,2020-06-10,190.13,190.99,187.94,188.7,187.7501,2409400,0.0,1.0
73,2020-06-09,188.49,192.29,188.11,191.1,190.138,3099000,0.85,1.0
74,2020-06-08,192.3,192.86,188.04,191.75,189.9399,2022500,0.0,1.0
75,2020-06-05,188.14,193.93,187.62,192.14,190.3263,3033100,0.0,1.0
76,2020-06-04,185.77,186.18,181.77,184.51,182.7683,1634300,0.0,1.0
