,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,59.92,60.78,59.88,60.69,60.69,1775201,0.0,1.0
1,2020-09-21,59.87,61.01,59.1,59.99,59.99,1994982,0.0,1.0
2,2020-09-18,61.17,61.45,60.705,61.1,61.1,3521111,0.0,1.0
3,2020-09-17,61.61,61.65,60.86,61.34,61.34,1823434,0.0,1.0
4,2020-09-16,61.19,62.44,61.16,61.94,61.94,1512473,0.0,1.0
5,2020-09-15,61.71,62.21,60.74,61.11,61.11,1685501,0.0,1.0
6,2020-09-14,61.25,61.72,60.89,61.42,61.42,1589523,0.0,1.0
7,2020-09-11,60.98,61.29,60.44,60.91,60.91,1411048,0.0,1.0
8,2020-09-10,61.54,61.86,60.74,60.8,60.8,1867193,0.0,1.0
9,2020-09-09,60.86,62.63,60.74,61.69,61.69,2653132,0.0,1.0
10,2020-09-08,61.64,61.83,60.49,60.5,60.5,2488546,0.0,1.0
11,2020-09-04,61.91,62.39,61.09,61.66,61.66,1770306,0.0,1.0
12,2020-09-03,62.0,62.81,61.33,61.91,61.91,2080795,0.0,1.0
13,2020-09-02,60.3,61.92,59.93,61.76,61.76,3097474,0.0,1.0
14,2020-09-01,60.42,60.49,59.455,60.22,60.22,2293955,0.0,1.0
15,2020-08-31,60.01,60.73,60.0,60.49,60.49,3389166,0.0,1.0
16,2020-08-28,59.85,60.34,59.37,60.05,60.05,3243031,0.0,1.0
17,2020-08-27,59.73,60.09,59.28,59.72,59.72,2350432,0.0,1.0
18,2020-08-26,59.9,59.9,58.94,59.4,59.4,1770641,0.0,1.0
19,2020-08-25,61.0,61.0,60.19,60.21,60.21,997225,0.0,1.0
20,2020-08-24,60.43,60.85,59.95,60.84,60.84,1362445,0.0,1.0
21,2020-08-21,60.41,60.655,59.87,60.39,60.39,1933594,0.0,1.0
22,2020-08-20,60.46,60.7,60.02,60.36,60.36,1128256,0.0,1.0
23,2020-08-19,61.11,61.16,60.44,60.68,60.68,832039,0.0,1.0
24,2020-08-18,61.0,61.38,60.56,60.92,60.92,1058389,0.0,1.0
25,2020-08-17,60.94,61.52,60.66,61.0,61.0,1764672,0.0,1.0
26,2020-08-14,60.81,61.295,60.27,60.88,60.88,1097736,0.0,1.0
27,2020-08-13,60.99,61.32,60.4856,60.96,60.96,1430556,0.0,1.0
28,2020-08-12,61.27,61.99,61.12,61.4,61.4,2034550,0.0,1.0
29,2020-08-11,62.99,63.08,60.91,61.01,61.01,1450275,0.0,1.0
30,2020-08-10,63.13,63.38,62.56,63.04,63.04,1135095,0.0,1.0
31,2020-08-07,61.46,63.46,61.46,62.88,62.88,1935900,0.0,1.0
32,2020-08-06,61.84,62.45,61.54,61.75,61.75,1696201,0.4075,1.0
33,2020-08-05,63.36,63.49,62.29,62.35,61.9412,1515997,0.0,1.0
34,2020-08-04,62.8,63.44,62.56,63.09,62.6764,1714206,0.0,1.0
35,2020-08-03,64.78,64.78,62.37,62.97,62.5572,1339108,0.0,1.0
36,2020-07-31,63.76,64.24,63.21,64.18,63.7592,1409663,0.0,1.0
37,2020-07-30,63.4,63.99,63.31,63.93,63.5109,887319,0.0,1.0
38,2020-07-29,63.72,64.08,63.49,63.97,63.5506,1108392,0.0,1.0
39,2020-07-28,62.75,63.92,62.69,63.53,63.1135,1274817,0.0,1.0
40,2020-07-27,63.38,63.38,62.57,62.99,62.577,1123112,0.0,1.0
41,2020-07-24,64.31,64.745,63.17,63.53,63.1135,1595928,0.0,1.0
42,2020-07-23,64.2,64.64,63.74,64.05,63.6301,1640795,0.0,1.0
43,2020-07-22,61.86,64.38,61.62,64.08,63.6599,2537771,0.0,1.0
44,2020-07-21,60.72,62.2,60.72,62.14,61.7326,2258400,0.0,1.0
45,2020-07-20,61.52,61.91,61.08,61.4,60.9975,1086900,0.0,1.0
46,2020-07-17,60.72,61.93,60.45,61.76,61.3551,2256300,0.0,1.0
47,2020-07-16,59.7,60.46,59.53,60.33,59.9345,1580900,0.0,1.0
48,2020-07-15,60.5,61.06,59.63,59.74,59.3483,1570500,0.0,1.0
49,2020-07-14,59.52,60.37,59.23,60.1,59.706,2132300,0.0,1.0
50,2020-07-13,59.49,60.38,59.14,59.38,58.9907,1818200,0.0,1.0
51,2020-07-10,59.05,59.83,58.9,59.47,59.0801,1921900,0.0,1.0
52,2020-07-09,59.1,59.34,57.66,58.99,58.6033,2639100,0.0,1.0
53,2020-07-08,59.46,59.69,58.87,59.4,59.0106,1820300,0.0,1.0
54,2020-07-07,59.43,60.09,59.09,59.49,59.1,2145500,0.0,1.0
55,2020-07-06,60.53,61.26,59.73,60.03,59.6364,1662000,0.0,1.0
56,2020-07-02,60.24,60.88,60.13,60.3,59.9047,1634500,0.0,1.0
57,2020-07-01,58.41,60.26,58.27,59.96,59.5669,1959000,0.0,1.0
58,2020-06-30,57.77,58.74,57.59,58.42,58.037,3315200,0.0,1.0
59,2020-06-29,57.04,57.57,56.41,57.55,57.1727,1766075,0.0,1.0
60,2020-06-26,56.72,57.56,55.99,56.52,56.1495,2430800,0.0,1.0
61,2020-06-25,57.21,57.21,55.8,56.77,56.3978,1446400,0.0,1.0
62,2020-06-24,57.31,57.61,56.46,57.4,57.0237,2007900,0.0,1.0
63,2020-06-23,59.19,59.31,57.63,57.82,57.4409,1470400,0.0,1.0
64,2020-06-22,57.86,59.37,57.38,58.77,58.3847,1803400,0.0,1.0
65,2020-06-19,59.88,59.88,57.93,57.93,57.5502,3748100,0.0,1.0
66,2020-06-18,58.72,59.29,58.21,59.03,58.643,1362200,0.0,1.0
67,2020-06-17,59.36,59.79,58.26,59.12,58.7324,1459700,0.0,1.0
68,2020-06-16,59.8,60.34,58.86,59.13,58.7423,1902200,0.0,1.0
69,2020-06-15,57.34,59.2,56.74,58.47,58.0867,2157500,0.0,1.0
70,2020-06-12,59.04,59.12,57.44,58.3,57.9178,2185400,0.0,1.0
71,2020-06-11,59.26,59.45,57.53,58.11,57.729,2379000,0.0,1.0
72,2020-06-10,60.2,60.7,59.42,59.9,59.5073,2222600,0.0,1.0
73,2020-06-09,60.6,60.63,59.2,60.29,59.8947,2325300,0.0,1.0
74,2020-06-08,59.16,61.19,58.62,60.98,60.5802,1536700,0.0,1.0
75,2020-06-05,59.11,60.27,58.75,59.44,59.0503,1988700,0.0,1.0
76,2020-06-04,59.75,60.04,58.1,58.79,58.4046,1539200,0.0,1.0
77,2020-06-03,59.71,60.46,59.51,60.14,59.7457,1584100,0.0,1.0
78,2020-06-02,59.42,59.51,58.52,59.5,59.1099,1649100,0.0,1.0
79,2020-06-01,58.58,59.51,58.23,59.01,58.6231,1504300,0.0,1.0
80,2020-05-29,57.5,58.96,57.38,58.58,58.196,2498000,0.0,1.0
81,2020-05-28,56.93,58.11,56.75,57.93,57.5502,1380300,0.0,1.0
82,2020-05-27,56.52,56.54,55.22,55.97,55.6031,1775000,0.0,1.0
83,2020-05-26,56.41,56.84,55.45,55.68,55.315,1289100,0.0,1.0
84,2020-05-22,54.74,55.64,54.67,55.59,55.2256,1497300,0.0,1.0
85,2020-05-21,55.29,55.95,54.7,54.74,54.3811,1313700,0.0,1.0
86,2020-05-20,55.62,56.17,55.16,55.44,55.0765,1412000,0.0,1.0
87,2020-05-19,55.64,56.3,55.31,55.31,54.9474,1551000,0.0,1.0
88,2020-05-18,55.18,56.44,55.01,56.09,55.7223,1701400,0.0,1.0
89,2020-05-15,54.15,54.15,52.35,53.68,53.3281,3950800,0.0,1.0
90,2020-05-14,53.78,54.46,52.54,54.37,54.0136,2359200,0.4075,1.0
91,2020-05-13,55.22,55.22,54.22,54.63,53.8681,3484000,0.0,1.0
92,2020-05-12,55.42,55.92,54.91,55.55,54.7753,4242800,0.0,1.0
93,2020-05-11,54.92,55.7,54.1,55.48,54.7063,1947500,0.0,1.0
94,2020-05-08,55.11,55.59,54.56,55.29,54.5189,1457900,0.0,1.0
95,2020-05-07,55.32,55.61,54.44,54.54,53.7794,1631300,0.0,1.0
96,2020-05-06,57.19,57.48,54.63,54.66,53.8977,1535800,0.0,1.0
97,2020-05-05,56.68,57.7,56.51,57.16,56.3628,1522800,0.0,1.0
98,2020-05-04,55.73,56.79,55.43,56.74,55.9487,1662200,0.0,1.0
99,2020-05-01,56.56,56.58,55.65,55.95,55.1697,1956100,0.0,1.0
100,2020-04-30,56.97,57.35,55.97,57.09,56.2938,2673800,0.0,1.0
101,2020-04-29,60.17,60.17,57.14,57.26,56.4614,2640600,0.0,1.0
102,2020-04-28,58.76,59.6,58.38,59.21,58.3842,2908500,0.0,1.0
103,2020-04-27,59.19,60.06,57.77,58.0,57.1911,2427300,0.0,1.0
104,2020-04-24,59.56,59.56,58.34,59.4,58.5716,1972600,0.0,1.0
105,2020-04-23,59.73,60.18,58.48,59.24,58.4138,2049900,0.0,1.0
106,2020-04-22,59.32,60.54,58.8,59.99,59.1534,2221400,0.0,1.0
107,2020-04-21,58.12,59.1,57.97,58.41,57.5954,2009500,0.0,1.0
108,2020-04-20,62.44,62.66,59.03,59.19,58.3645,2123500,0.0,1.0
109,2020-04-17,62.93,63.33,61.67,63.17,62.289,1783900,0.0,1.0
110,2020-04-16,61.02,62.24,60.16,61.88,61.017,2139700,0.0,1.0
111,2020-04-15,61.34,63.12,60.46,60.7,59.8535,2063300,0.0,1.0
112,2020-04-14,62.41,62.55,61.42,62.27,61.4016,1937700,0.0,1.0
113,2020-04-13,61.59,62.4,60.63,61.16,60.307,1612600,0.0,1.0
114,2020-04-09,61.06,64.08,60.91,62.33,61.4607,2400700,0.0,1.0
115,2020-04-08,57.86,61.19,57.33,60.64,59.7943,1727800,0.0,1.0
116,2020-04-07,60.17,60.23,57.33,57.34,56.5403,2482500,0.0,1.0
117,2020-04-06,56.43,59.75,55.68,58.85,58.0293,2366400,0.0,1.0
118,2020-04-03,54.97,56.73,54.17,54.55,53.7892,2480000,0.0,1.0
119,2020-04-02,54.81,57.67,54.72,56.86,56.067,3684800,0.0,1.0
