,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,18.75,19.25,18.67,18.9,18.9,6933657,0.0,1.0
1,2020-09-18,19.24,19.29,18.84,18.93,18.93,10942126,0.0,1.0
2,2020-09-17,19.57,19.585,19.13,19.29,19.29,4768812,0.0,1.0
3,2020-09-16,19.02,19.77,19.02,19.74,19.74,7213172,0.0,1.0
4,2020-09-15,19.58,19.66,18.86,19.01,19.01,4827483,0.0,1.0
5,2020-09-14,19.57,19.8567,19.42,19.54,19.54,4468843,0.0,1.0
6,2020-09-11,19.45,19.56,19.26,19.45,19.45,2795638,0.0,1.0
7,2020-09-10,19.46,19.77,19.4,19.45,19.45,3673315,0.0,1.0
8,2020-09-09,19.58,19.725,19.385,19.53,19.53,6291175,0.0,1.0
9,2020-09-08,19.83,19.94,19.31,19.37,19.37,3899606,0.0,1.0
10,2020-09-04,20.23,20.3,19.6,19.87,19.87,3613637,0.0,1.0
11,2020-09-03,20.59,20.75,19.96,20.15,20.15,3829367,0.0,1.0
12,2020-09-02,19.98,20.545,19.875,20.45,20.45,3410418,0.0,1.0
13,2020-09-01,19.85,20.045,19.74,20.0,20.0,3018758,0.0,1.0
14,2020-08-31,19.98,20.13,19.88,20.07,20.07,4348187,0.0,1.0
15,2020-08-28,19.85,19.98,19.61,19.95,19.95,2492920,0.0,1.0
16,2020-08-27,19.69,19.92,19.61,19.76,19.76,3315715,0.0,1.0
17,2020-08-26,19.89,19.89,19.55,19.64,19.64,3582127,0.0,1.0
18,2020-08-25,20.39,20.39,19.895,20.01,20.01,3347613,0.0,1.0
19,2020-08-24,19.83,20.26,19.81,20.22,20.22,4113822,0.0,1.0
20,2020-08-21,19.91,20.08,19.7,19.79,19.79,4430179,0.0,1.0
21,2020-08-20,20.13,20.19,19.81,19.82,19.82,5580896,0.0,1.0
22,2020-08-19,20.14,20.48,20.11,20.25,20.25,3552909,0.15,1.0
23,2020-08-18,20.66,20.77,20.11,20.24,20.0912,6967946,0.0,1.0
24,2020-08-17,20.54,20.835,20.46,20.65,20.4982,5393602,0.0,1.0
25,2020-08-14,20.64,20.65,20.27,20.54,20.389,4585438,0.0,1.0
26,2020-08-13,20.26,20.87,20.26,20.74,20.5875,5698279,0.0,1.0
27,2020-08-12,20.83,20.95,20.39,20.4,20.25,8297450,0.0,1.0
28,2020-08-11,21.22,21.415,20.5983,20.61,20.4585,5286233,0.0,1.0
29,2020-08-10,20.58,21.04,20.49,20.98,20.8257,4454734,0.0,1.0
30,2020-08-07,20.19,20.7,20.15,20.41,20.2599,7286401,0.0,1.0
31,2020-08-06,19.05,20.505,19.05,20.27,20.121,11881251,0.0,1.0
32,2020-08-05,19.68,19.83,18.9,19.02,18.8801,8742571,0.0,1.0
33,2020-08-04,19.26,19.92,19.26,19.49,19.3467,8598358,0.0,1.0
34,2020-08-03,18.94,19.55,18.765,19.32,19.1779,5847185,0.0,1.0
35,2020-07-31,19.16,19.295,18.4,19.01,18.8702,16893381,0.0,1.0
36,2020-07-30,19.2,19.22,18.77,19.13,18.9893,7231583,0.0,1.0
37,2020-07-29,19.42,19.47,19.11,19.43,19.2871,4183700,0.0,1.0
38,2020-07-28,19.01,19.57,19.0,19.35,19.2077,3973080,0.0,1.0
39,2020-07-27,19.65,19.74,18.86,19.07,18.9298,7229926,0.0,1.0
40,2020-07-24,20.24,20.35,19.62,19.74,19.5949,3685889,0.0,1.0
41,2020-07-23,19.96,20.585,19.88,20.21,20.0614,5931013,0.0,1.0
42,2020-07-22,19.29,20.115,19.21,20.01,19.8629,7282561,0.0,1.0
