,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,71.29,72.26,68.55,69.96,69.96,3172300,0.0,1.0
1,2020-09-21,72.87,73.46,70.84,71.65,71.65,3954421,0.0,1.0
2,2020-09-18,75.76,76.84,75.01,75.79,75.79,3047915,0.0,1.0
3,2020-09-17,74.76,77.5,74.38,75.98,75.98,3189810,0.0,1.0
4,2020-09-16,73.45,76.86,72.21,76.17,76.17,3694685,0.0,1.0
5,2020-09-15,74.43,74.74,72.675,73.3,73.3,2671947,0.0,1.0
6,2020-09-14,71.88,75.085,71.72,74.64,74.64,3557421,0.0,1.0
7,2020-09-11,69.51,71.25,68.97,71.05,71.05,2212653,0.0,1.0
8,2020-09-10,71.2,72.55,69.29,69.42,69.42,2626574,0.0,1.0
9,2020-09-09,71.3,71.3,69.79,70.57,70.57,2574721,0.0,1.0
10,2020-09-08,72.36,72.53,70.31,70.36,70.36,3374045,0.0,1.0
11,2020-09-04,72.35,74.48,71.44,73.99,73.99,5011664,0.0,1.0
12,2020-09-03,70.0,71.88,69.05,69.92,69.92,2313937,0.0,1.0
13,2020-09-02,68.4,69.75,68.16,69.37,69.37,1470337,0.0,1.0
14,2020-09-01,67.92,69.45,67.495,68.58,68.58,1524119,0.0,1.0
15,2020-08-31,70.98,71.13,68.95,69.03,69.03,3043971,0.0,1.0
16,2020-08-28,70.05,71.21,69.5225,71.13,71.13,3582824,0.0,1.0
17,2020-08-27,66.19,69.95,66.14,69.61,69.61,3898204,0.0,1.0
18,2020-08-26,66.91,67.12,65.74,66.28,66.28,1792038,0.0,1.0
19,2020-08-25,68.35,69.06,66.37,66.91,66.91,1966586,0.0,1.0
20,2020-08-24,64.19,67.44,63.925,67.36,67.36,2615584,0.0,1.0
21,2020-08-21,64.29,64.8132,63.39,63.8,63.8,1609842,0.0,1.0
22,2020-08-20,64.53,64.82,63.81,64.27,64.27,2544798,0.0,1.0
23,2020-08-19,65.59,66.87,65.06,65.7,65.7,2495829,0.0,1.0
24,2020-08-18,67.14,67.14,65.32,65.47,65.47,2732197,0.0,1.0
25,2020-08-17,69.28,69.44,66.77,66.79,66.79,2910400,0.0,1.0
26,2020-08-14,67.18,69.96,66.36,69.47,69.47,2956946,0.0,1.0
27,2020-08-13,67.24,68.58,66.8,67.64,67.64,2965283,0.0,1.0
28,2020-08-12,71.0,71.9,67.02,68.15,68.15,2595563,0.0,1.0
29,2020-08-11,69.59,71.88,69.37,69.63,69.63,3146373,0.0,1.0
30,2020-08-10,66.1,67.94,66.0,67.41,67.41,2711173,0.0,1.0
31,2020-08-07,62.92,66.04,62.26,65.75,65.75,3832733,0.1,1.0
32,2020-08-06,64.01,65.31,63.31,63.55,63.4535,2880812,0.0,1.0
33,2020-08-05,63.98,64.88,63.445,64.67,64.5718,2172855,0.0,1.0
34,2020-08-04,63.2,63.74,62.65,63.24,63.144,1828693,0.0,1.0
35,2020-08-03,63.93,64.51,63.2,63.49,63.3936,1792499,0.0,1.0
36,2020-07-31,64.79,64.79,62.745,63.8,63.7031,1992527,0.0,1.0
37,2020-07-30,64.52,65.21,63.44,64.84,64.7415,1915867,0.0,1.0
38,2020-07-29,64.12,66.41,63.64,66.38,66.2792,1800780,0.0,1.0
39,2020-07-28,65.02,65.805,63.96,64.1,64.0027,3132299,0.0,1.0
40,2020-07-27,64.48,65.98,63.06,65.74,65.6402,3736607,0.0,1.0
41,2020-07-24,65.41,65.78,64.72,65.06,64.9612,2194849,0.0,1.0
42,2020-07-23,63.65,66.04,63.355,65.4,65.3007,4594607,0.0,1.0
43,2020-07-22,60.49,64.96,60.3,64.05,63.9527,10854667,0.0,1.0
44,2020-07-21,61.51,63.06,61.2,62.87,62.7745,4422000,0.0,1.0
