,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,46.18,46.39,45.385,45.66,45.66,3595439,0.0,1.0
1,2020-09-21,45.3,47.05,45.28,46.07,46.07,3348917,0.0,1.0
2,2020-09-18,45.5,46.29,45.27,45.44,45.44,7982901,0.0,1.0
3,2020-09-17,45.23,45.72,44.89,45.59,45.59,2852113,0.0,1.0
4,2020-09-16,45.63,46.02,45.11,45.26,45.26,2520819,0.0,1.0
5,2020-09-15,45.89,45.98,45.31,45.52,45.52,3923058,0.0,1.0
6,2020-09-14,45.69,46.43,45.36,45.82,45.82,2785243,0.0,1.0
7,2020-09-11,45.3,45.7,44.9659,45.5,45.5,3330180,0.0,1.0
8,2020-09-10,45.6,46.16,45.105,45.32,45.32,3364041,0.0,1.0
9,2020-09-09,45.82,46.48,45.43,45.59,45.59,3064397,0.0,1.0
10,2020-09-08,47.33,47.49,44.53,45.22,45.22,6034517,0.0,1.0
11,2020-09-04,48.91,49.03,46.71,47.58,47.58,3866136,0.0,1.0
12,2020-09-03,49.74,52.365,47.8,48.53,48.53,6513630,0.0,1.0
13,2020-09-02,51.7,52.82,51.35,52.45,52.45,2801188,0.0,1.0
14,2020-09-01,52.81,52.88,51.19,51.4,51.4,3062246,0.0,1.0
15,2020-08-31,52.35,52.71,52.02,52.61,52.61,2018768,0.0,1.0
16,2020-08-28,53.29,53.29,51.93,52.14,52.14,1827570,0.0,1.0
17,2020-08-27,53.51,54.08,53.26,53.29,53.29,1432087,0.0,1.0
18,2020-08-26,52.9,53.5,52.39,53.48,53.48,1375462,0.0,1.0
19,2020-08-25,53.0,53.18,52.54,53.03,53.03,1359726,0.0,1.0
20,2020-08-24,52.75,53.1,52.145,52.69,52.69,1510587,0.0,1.0
21,2020-08-21,52.54,52.69,52.04,52.54,52.54,2132498,0.0,1.0
22,2020-08-20,52.14,52.835,52.04,52.4,52.4,1490691,0.0,1.0
23,2020-08-19,52.47,52.75,52.23,52.38,52.38,1033748,0.0,1.0
24,2020-08-18,52.26,52.82,51.845,52.44,52.44,1487813,0.0,1.0
25,2020-08-17,51.65,52.55,51.41,52.28,52.28,1516951,0.0,1.0
26,2020-08-14,51.29,51.945,51.04,51.63,51.63,1246928,0.0,1.0
27,2020-08-13,50.99,51.38,50.53,51.18,51.18,864656,0.0,1.0
28,2020-08-12,50.0,51.27,49.925,50.96,50.96,1345823,0.0,1.0
29,2020-08-11,50.34,50.56,49.68,49.77,49.77,1535964,0.0,1.0
30,2020-08-10,50.18,50.46,49.79,50.4,50.4,1104265,0.0,1.0
31,2020-08-07,49.9,50.0901,49.26,49.97,49.97,1242469,0.0,1.0
32,2020-08-06,49.75,50.0,49.31,49.88,49.88,1249952,0.0,1.0
33,2020-08-05,50.29,50.46,49.4077,49.74,49.74,1836155,0.0,1.0
34,2020-08-04,49.66,50.54,49.61,50.45,50.45,2151349,0.0,1.0
35,2020-08-03,49.68,50.21,49.44,49.71,49.71,2127535,0.0,1.0
36,2020-07-31,49.3,49.87,48.96,49.57,49.57,1615563,0.0,1.0
37,2020-07-30,50.15,50.2,49.1,49.31,49.31,1376558,0.0,1.0
38,2020-07-29,50.6,50.78,49.98,50.2,50.2,1770517,0.0,1.0
39,2020-07-28,49.51,50.64,49.51,50.23,50.23,2220785,0.0,1.0
40,2020-07-27,49.21,49.56,49.06,49.49,49.49,1439732,0.0,1.0
41,2020-07-24,49.75,50.23,49.21,49.4,49.4,1076591,0.0,1.0
42,2020-07-23,49.25,49.9,49.102,49.63,49.63,1852996,0.0,1.0
43,2020-07-22,49.44,49.44,48.29,49.34,49.34,1411421,0.0,1.0
44,2020-07-21,49.15,49.95,49.15,49.35,49.35,2452066,0.0,1.0
45,2020-07-20,49.5,49.59,48.87,49.22,49.22,1488856,0.0,1.0
46,2020-07-17,49.8,49.96,49.49,49.6,49.6,2455200,0.0,1.0
47,2020-07-16,49.17,49.84,49.17,49.55,49.55,2113400,0.0,1.0
48,2020-07-15,50.51,50.7,49.08,49.21,49.21,1625100,0.0,1.0
49,2020-07-14,49.51,50.5,49.51,50.31,50.31,2213400,0.35,1.0
50,2020-07-13,50.32,50.47,49.71,49.83,49.4857,1814700,0.0,1.0
51,2020-07-10,49.5,50.75,49.5,50.28,49.9326,2111400,0.0,1.0
52,2020-07-09,49.34,49.86,49.26,49.41,49.0686,1180300,0.0,1.0
53,2020-07-08,49.6,49.64,49.18,49.53,49.1878,1214400,0.0,1.0
54,2020-07-07,49.17,49.85,49.0,49.73,49.3864,1646800,0.0,1.0
55,2020-07-06,49.47,49.86,49.02,49.31,48.9693,1939800,0.0,1.0
56,2020-07-02,49.46,49.87,49.1,49.32,48.9793,1683700,0.0,1.0
57,2020-07-01,49.55,49.85,49.17,49.31,48.9693,1434500,0.0,1.0
58,2020-06-30,49.47,49.72,49.16,49.63,49.2871,1413900,0.0,1.0
59,2020-06-29,48.67,49.79,48.25,49.25,48.9097,1491100,0.0,1.0
60,2020-06-26,49.64,49.83,48.16,48.4,48.0656,2212900,0.0,1.0
61,2020-06-25,48.88,49.83,48.88,49.6,49.2573,1876500,0.0,1.0
62,2020-06-24,49.0,49.04,48.24,48.86,48.5224,1585900,0.0,1.0
63,2020-06-23,49.89,49.91,49.01,49.1,48.7608,2161400,0.0,1.0
64,2020-06-22,49.83,50.35,49.35,49.81,49.4659,2207000,0.0,1.0
65,2020-06-19,49.33,49.86,48.92,49.14,48.8005,2061400,0.0,1.0
66,2020-06-18,49.27,49.77,48.57,49.05,48.7111,1303100,0.0,1.0
67,2020-06-17,49.1,49.71,48.91,49.41,49.0686,1358500,0.0,1.0
68,2020-06-16,48.33,49.62,48.12,49.17,48.8303,2245500,0.0,1.0
69,2020-06-15,47.26,48.4,46.68,48.38,48.0458,2087900,0.0,1.0
70,2020-06-12,48.16,48.45,46.94,47.07,46.7448,2400100,0.0,1.0
71,2020-06-11,48.39,49.25,47.85,47.97,47.6386,2160300,0.0,1.0
72,2020-06-10,49.44,49.89,48.88,48.94,48.6019,2055200,0.0,1.0
73,2020-06-09,50.0,50.1,48.99,49.53,49.1878,2477800,0.0,1.0
74,2020-06-08,47.54,49.9,47.34,49.89,49.5453,3154300,0.0,1.0
75,2020-06-05,48.3,48.47,47.06,48.18,47.8471,4711200,0.0,1.0
76,2020-06-04,49.05,50.05,48.32,48.77,48.4331,3945300,0.0,1.0
77,2020-06-03,51.96,51.99,48.65,48.82,48.4827,8713500,0.0,1.0
78,2020-06-02,51.2,52.06,50.98,52.01,51.6507,3185400,0.0,1.0
79,2020-06-01,51.49,52.44,50.52,51.72,51.3627,3165700,0.0,1.0
80,2020-05-29,49.53,51.06,49.25,50.98,50.6278,3328900,0.0,1.0
81,2020-05-28,49.13,49.9,48.68,49.52,49.1779,2077000,0.0,1.0
82,2020-05-27,47.0,48.69,46.93,48.66,48.3238,2155000,0.0,1.0
83,2020-05-26,48.45,48.45,46.98,47.36,47.0328,2600300,0.0,1.0
84,2020-05-22,47.2,48.47,47.1,48.35,48.016,1868500,0.0,1.0
85,2020-05-21,48.17,48.2,46.9,47.18,46.854,4265400,0.0,1.0
86,2020-05-20,49.55,49.55,47.65,48.17,47.8372,4662200,0.0,1.0
87,2020-05-19,51.05,51.13,49.18,49.62,49.2772,2690700,0.0,1.0
88,2020-05-18,53.72,53.87,50.84,50.94,50.5881,3283000,0.0,1.0
89,2020-05-15,53.0,53.92,53.0,53.53,53.1602,5582900,0.0,1.0
90,2020-05-14,52.74,53.52,52.59,52.97,52.604,2064000,0.0,1.0
91,2020-05-13,52.33,53.05,51.94,52.5,52.1373,1535700,0.0,1.0
92,2020-05-12,52.17,52.96,52.0,52.4,52.038,1383700,0.0,1.0
93,2020-05-11,51.38,52.49,51.27,51.96,51.601,1422400,0.0,1.0
94,2020-05-08,50.7,51.36,50.35,51.26,50.9059,1182600,0.0,1.0
95,2020-05-07,50.96,50.99,50.13,50.24,49.8929,1978600,0.0,1.0
96,2020-05-06,50.95,51.2,50.51,50.56,50.2107,1861100,0.0,1.0
97,2020-05-05,50.55,51.38,50.26,50.88,50.5285,1555500,0.0,1.0
98,2020-05-04,50.51,51.05,49.84,50.78,50.4292,1929000,0.0,1.0
99,2020-05-01,49.64,50.74,49.18,50.41,50.0617,1911500,0.0,1.0
100,2020-04-30,50.87,50.98,49.59,49.98,49.6347,2574100,0.0,1.0
101,2020-04-29,49.74,51.01,49.37,50.18,49.8333,2588700,0.0,1.0
102,2020-04-28,51.29,51.68,50.67,50.98,50.6278,1673300,0.0,1.0
103,2020-04-27,50.62,51.48,50.58,51.24,50.886,1384500,0.0,1.0
104,2020-04-24,50.82,50.89,49.93,50.75,50.3994,2005500,0.0,1.0
105,2020-04-23,50.31,51.05,49.83,50.54,50.1908,2428000,0.0,1.0
106,2020-04-22,50.41,51.01,49.98,50.8,50.449,1285300,0.0,1.0
107,2020-04-21,51.4,51.8,49.6,50.44,50.0915,1679600,0.0,1.0
108,2020-04-20,50.58,52.46,50.0,51.3,50.9456,2461100,0.0,1.0
109,2020-04-17,51.37,51.49,49.19,50.34,49.9922,3683800,0.0,1.0
110,2020-04-16,51.02,52.14,50.44,51.11,50.7569,4352200,0.0,1.0
111,2020-04-15,51.42,51.47,49.53,50.5,50.1511,3471000,0.0,1.0
112,2020-04-14,49.5,50.37,49.05,50.07,49.7241,2747700,0.0,1.0
113,2020-04-13,47.49,48.54,46.83,48.5,48.1649,1735900,0.0,1.0
114,2020-04-09,45.67,48.71,45.63,47.75,47.4201,3517300,0.0,1.0
115,2020-04-08,46.5,47.23,45.61,46.16,45.8411,3087900,0.35,1.0
116,2020-04-07,47.73,48.31,46.16,46.74,46.0678,3378900,0.0,1.0
117,2020-04-06,49.68,49.76,47.55,47.61,46.9253,3753400,0.0,1.0
118,2020-04-03,46.98,49.85,46.98,49.53,48.8177,3582000,0.0,1.0
119,2020-04-02,45.44,47.54,45.44,47.45,46.7676,2249900,0.0,1.0
120,2020-04-01,45.11,47.49,44.75,45.98,45.3187,2728900,0.0,1.0
121,2020-03-31,46.52,47.2,45.82,46.16,45.4961,2287700,0.0,1.0
122,2020-03-30,44.95,46.81,44.52,46.53,45.8608,3419200,0.0,1.0
123,2020-03-27,42.99,45.3,42.75,44.19,43.5545,3227400,0.0,1.0
124,2020-03-26,41.66,44.22,40.7,43.59,42.9631,5066200,0.0,1.0
125,2020-03-25,43.13,43.78,41.18,41.41,40.8144,4923300,0.0,1.0
126,2020-03-24,43.93,45.06,42.05,43.5,42.8744,4339100,0.0,1.0
127,2020-03-23,45.08,45.56,42.04,42.93,42.3126,3699300,0.0,1.0
128,2020-03-20,47.13,48.7,45.17,45.3,44.6485,3896700,0.0,1.0
129,2020-03-19,50.26,50.36,46.01,47.5,46.8169,5027500,0.0,1.0
130,2020-03-18,53.5,54.75,48.32,50.48,49.754,5091200,0.0,1.0
131,2020-03-17,50.29,57.54,50.15,53.84,53.0657,10354000,0.0,1.0
132,2020-03-16,46.52,51.54,45.71,49.3,48.591,5715900,0.0,1.0
133,2020-03-13,48.54,49.37,45.42,49.28,48.5713,5262800,0.0,1.0
134,2020-03-12,47.84,50.76,47.42,47.68,46.9943,4757300,0.0,1.0
135,2020-03-11,50.48,50.79,49.59,50.47,49.7441,2904700,0.0,1.0
136,2020-03-10,50.91,51.47,48.91,51.26,50.5228,5558500,0.0,1.0
137,2020-03-09,49.69,52.0,49.23,50.2,49.478,4004600,0.0,1.0
138,2020-03-06,51.83,52.85,50.6,51.76,51.0156,3443800,0.0,1.0
139,2020-03-05,52.7,53.83,51.99,53.1,52.3363,4826200,0.0,1.0
140,2020-03-04,50.0,52.83,49.78,52.72,51.9618,9417400,0.0,1.0
141,2020-03-03,48.0,49.01,47.43,47.88,47.1914,3573700,0.0,1.0
142,2020-03-02,45.34,48.0,45.3,47.98,47.2899,4573600,0.0,1.0
143,2020-02-28,44.91,45.24,43.35,45.12,44.4711,4508600,0.0,1.0
144,2020-02-27,46.36,46.83,45.69,45.7,45.0427,1714700,0.0,1.0
145,2020-02-26,48.13,48.13,46.63,46.64,45.9692,2460500,0.0,1.0
146,2020-02-25,48.11,48.34,47.59,47.88,47.1914,1793200,0.0,1.0
147,2020-02-24,47.54,48.22,47.49,48.02,47.3294,2364600,0.0,1.0
148,2020-02-21,47.73,48.27,47.73,47.96,47.2702,983600,0.0,1.0
149,2020-02-20,47.72,47.82,47.34,47.74,47.0534,1265400,0.0,1.0
150,2020-02-19,48.15,48.3,47.49,47.79,47.1027,1840000,0.0,1.0
151,2020-02-18,48.34,48.94,48.02,48.2,47.5068,2600800,0.0,1.0
152,2020-02-14,48.44,48.82,48.27,48.64,47.9405,1329200,0.0,1.0
153,2020-02-13,48.1,48.37,47.82,48.36,47.6645,1342700,0.0,1.0
154,2020-02-12,48.64,48.68,48.05,48.18,47.4871,1007100,0.0,1.0
155,2020-02-11,48.71,49.06,48.66,48.73,48.0292,1206200,0.0,1.0
156,2020-02-10,48.99,49.07,48.52,48.7,47.9996,1039400,0.0,1.0
157,2020-02-07,48.26,49.0,47.97,48.88,48.177,1612400,0.0,1.0
158,2020-02-06,48.62,48.77,47.78,48.16,47.4674,1796700,0.0,1.0
159,2020-02-05,48.73,49.08,48.64,49.0,48.2953,1482700,0.0,1.0
160,2020-02-04,49.1,49.3,48.6,48.66,47.9602,1214900,0.0,1.0
161,2020-02-03,48.61,48.97,48.46,48.87,48.1671,1137300,0.0,1.0
162,2020-01-31,48.93,49.26,48.34,48.39,47.6941,1997900,0.0,1.0
163,2020-01-30,48.41,49.04,48.28,49.03,48.3248,1632900,0.0,1.0
164,2020-01-29,48.87,48.87,48.27,48.34,47.6448,1286100,0.0,1.0
165,2020-01-28,48.76,49.18,48.7,48.88,48.177,1325200,0.0,1.0
166,2020-01-27,48.47,49.16,48.44,48.77,48.0686,1858400,0.0,1.0
167,2020-01-24,49.11,49.45,48.48,48.79,48.0883,2065900,0.0,1.0
168,2020-01-23,48.44,49.2,48.2,48.96,48.2559,4269800,0.0,1.0
169,2020-01-22,48.56,48.83,48.43,48.57,47.8715,1619000,0.0,1.0
170,2020-01-21,48.02,48.69,47.89,48.56,47.8616,2364500,0.0,1.0
171,2020-01-17,48.07,48.32,47.97,48.02,47.3294,2153900,0.0,1.0
172,2020-01-16,47.84,48.1,47.71,48.09,47.3984,1544900,0.0,1.0
173,2020-01-15,47.53,47.97,47.51,47.78,47.0928,2626700,0.0,1.0
174,2020-01-14,47.74,47.79,47.45,47.54,46.8563,2051700,0.0,1.0
175,2020-01-13,47.73,48.03,47.48,47.72,47.0337,1513900,0.0,1.0
176,2020-01-10,47.55,47.99,47.38,47.73,47.0435,1338700,0.0,1.0
177,2020-01-09,47.33,47.68,46.84,47.62,46.9351,2028800,0.0,1.0
178,2020-01-08,48.28,48.28,47.19,47.35,46.669,2245600,0.0,1.0
179,2020-01-07,48.17,48.51,48.05,48.19,47.4969,1909200,0.35,1.0
