,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,77.65,78.28,77.14,77.93,77.93,3557623,0.0,1.0
1,2020-09-21,78.3,78.76,76.31,77.58,77.58,4358523,0.0,1.0
2,2020-09-18,79.75,80.58,79.25,79.83,79.83,6739133,0.0,1.0
3,2020-09-17,77.99,80.0,77.38,79.5,79.5,4618635,0.0,1.0
4,2020-09-16,81.2,81.4,79.14,79.35,79.35,4985466,0.0,1.0
5,2020-09-15,79.74,81.1,79.25,80.27,80.27,4996235,0.0,1.0
6,2020-09-14,77.84,79.39,77.25,78.96,78.96,3498188,0.0,1.0
7,2020-09-11,76.25,77.42,76.06,77.17,77.17,2892741,0.0,1.0
8,2020-09-10,76.35,77.0,75.28,75.82,75.82,3725096,0.0,1.0
9,2020-09-09,75.73,77.875,75.68,76.66,76.66,3663347,0.0,1.0
10,2020-09-08,75.37,76.57,74.14,75.26,75.26,4100824,0.0,1.0
11,2020-09-04,76.23,76.97,74.41,75.51,75.51,4178930,0.0,1.0
12,2020-09-03,78.32,78.41,75.08,75.65,75.65,4718712,0.0,1.0
13,2020-09-02,77.95,78.65,77.165,77.68,77.68,8116096,0.0,1.0
14,2020-09-01,76.21,78.06,75.75,78.04,78.04,3319198,0.0,1.0
15,2020-08-31,77.18,77.56,76.15,76.46,76.46,3215515,0.0,1.0
16,2020-08-28,75.97,77.18,75.77,77.07,77.07,2654548,0.26,1.0
17,2020-08-27,75.99,76.73,75.28,76.19,75.9338,2542020,0.0,1.0
18,2020-08-26,75.48,75.785,74.97,75.41,75.1565,2820142,0.0,1.0
19,2020-08-25,75.59,75.93,74.82,75.83,75.575,2533531,0.0,1.0
20,2020-08-24,74.5685,75.18,74.38,75.11,74.8575,2602616,0.0,1.0
21,2020-08-21,73.9,74.26,73.42,74.13,73.8808,3025038,0.0,1.0
22,2020-08-20,73.3,74.17,73.25,73.91,73.6615,2548152,0.0,1.0
23,2020-08-19,74.72,74.85,73.91,74.05,73.801,2713921,0.0,1.0
24,2020-08-18,75.19,75.19,74.32,74.41,74.1598,2414928,0.0,1.0
