,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,67.63,68.5,66.71,68.25,68.25,2812464,0.0,1.0
1,2020-09-21,67.86,68.17,67.072,67.39,67.39,3190042,0.0,1.0
2,2020-09-18,70.08,70.4,67.97,68.86,68.86,5525498,0.0,1.0
3,2020-09-17,68.11,70.865,67.9076,70.12,70.12,3819546,0.0,1.0
4,2020-09-16,70.9,71.81,70.05,70.72,70.72,3161210,0.0,1.0
5,2020-09-15,69.2363,70.99,69.2363,70.13,70.13,3436586,0.0,1.0
6,2020-09-14,68.36,69.58,68.35,69.29,69.29,3411916,0.0,1.0
7,2020-09-11,67.77,69.17,67.06,68.18,68.18,4935531,0.0,1.0
8,2020-09-10,66.31,67.67,65.36,65.56,65.56,2679201,0.0,1.0
9,2020-09-09,66.04,66.94,65.29,66.41,66.41,2275403,0.0,1.0
10,2020-09-08,65.45,66.67,65.04,65.6,65.6,3102694,0.0,1.0
11,2020-09-04,67.4,68.12,65.84,66.81,66.81,2544865,0.0,1.0
12,2020-09-03,68.67,68.89,66.33,67.12,67.12,3366681,0.0,1.0
13,2020-09-02,67.45,68.99,67.09,68.82,68.82,2711194,0.0,1.0
14,2020-09-01,66.26,67.03,65.875,66.97,66.97,1705206,0.0,1.0
15,2020-08-31,67.39,67.54,66.72,66.86,66.86,2653687,0.0,1.0
16,2020-08-28,67.38,67.735,67.01,67.69,67.69,1536856,0.0,1.0
17,2020-08-27,68.0,68.3,67.1568,67.41,67.41,1589980,0.0,1.0
18,2020-08-26,67.08,67.85,66.58,67.75,67.75,2071041,0.0,1.0
19,2020-08-25,67.62,67.65,66.47,66.94,66.94,1864206,0.0,1.0
20,2020-08-24,65.71,67.63,65.54,67.62,67.62,2429918,0.0,1.0
21,2020-08-21,66.17,66.21,65.12,65.72,65.72,3580139,0.0,1.0
22,2020-08-20,66.12,66.71,66.02,66.3,66.3,1315338,0.22,1.0
23,2020-08-19,67.3,67.67,66.76,66.89,66.6688,1935478,0.0,1.0
24,2020-08-18,67.6,67.88,67.0,67.22,66.9977,1535440,0.0,1.0
25,2020-08-17,67.25,67.84,66.95,67.54,67.3166,1768655,0.0,1.0
26,2020-08-14,66.49,67.275,66.0,66.93,66.7086,1289343,0.0,1.0
27,2020-08-13,66.32,67.295,66.15,66.9,66.6787,1531481,0.0,1.0
28,2020-08-12,66.96,67.62,66.89,66.98,66.7585,2699002,0.0,1.0
29,2020-08-11,67.29,67.575,66.27,66.53,66.31,2302548,0.0,1.0
30,2020-08-10,67.36,67.48,66.6131,67.11,66.888,2338784,0.0,1.0
31,2020-08-07,67.2,67.645,66.695,67.48,67.2568,2054490,0.0,1.0
32,2020-08-06,67.49,67.73,66.665,67.58,67.3565,2307649,0.0,1.0
33,2020-08-05,68.14,68.675,67.16,67.43,67.207,2697270,0.0,1.0
34,2020-08-04,67.17,67.99,66.87,67.92,67.6954,2963068,0.0,1.0
35,2020-08-03,66.85,68.12,66.67,68.04,67.815,3398170,0.0,1.0
36,2020-07-31,68.79,69.0,66.99,68.32,68.094,3646901,0.0,1.0
37,2020-07-30,68.92,69.49,67.0,69.18,68.9512,6495271,0.0,1.0
38,2020-07-29,63.07,65.2,62.68,64.79,64.5757,4818264,0.0,1.0
39,2020-07-28,63.42,63.84,62.58,62.64,62.4328,3155019,0.0,1.0
40,2020-07-27,61.69,63.665,61.29,63.43,63.2202,2997383,0.0,1.0
41,2020-07-24,62.18,62.33,61.455,61.8,61.5956,2677980,0.0,1.0
42,2020-07-23,62.1617,62.56,61.79,62.08,61.8747,2515242,0.0,1.0
43,2020-07-22,61.63,62.4099,61.28,61.96,61.7551,3036926,0.0,1.0
44,2020-07-21,62.25,62.91,61.4,61.62,61.4162,2495300,0.0,1.0
45,2020-07-20,61.36,62.01,61.05,61.71,61.5059,2135000,0.0,1.0
46,2020-07-17,61.37,61.77,60.8,61.43,61.2268,3011500,0.0,1.0
47,2020-07-16,60.9,61.7,60.5,61.05,60.8481,5220900,0.0,1.0
48,2020-07-15,58.0,60.4,58.0,59.67,59.4727,4574900,0.0,1.0
49,2020-07-14,56.02,56.55,55.18,56.47,56.2832,2395200,0.0,1.0
50,2020-07-13,56.44,57.72,56.16,56.46,56.2733,3415300,0.0,1.0
51,2020-07-10,55.05,55.88,54.92,55.78,55.5955,2037900,0.0,1.0
52,2020-07-09,55.67,55.7,54.57,55.28,55.0972,3043000,0.0,1.0
53,2020-07-08,56.09,56.36,55.22,55.7,55.5158,1783300,0.0,1.0
54,2020-07-07,55.52,56.4,55.36,55.85,55.6653,2604600,0.0,1.0
55,2020-07-06,57.0,57.09,56.09,56.26,56.0739,2202900,0.0,1.0
56,2020-07-02,57.01,57.68,56.01,56.08,55.8945,3123100,0.0,1.0
57,2020-07-01,57.0,57.43,55.95,56.42,56.2334,2966500,0.0,1.0
58,2020-06-30,56.59,57.55,56.27,56.82,56.6321,3845000,0.0,1.0
59,2020-06-29,55.77,56.52,54.99,56.49,56.3032,2907251,0.0,1.0
60,2020-06-26,55.37,55.59,54.59,55.21,55.0274,3743900,0.0,1.0
61,2020-06-25,54.03,55.67,53.99,55.59,55.4061,3854700,0.0,1.0
62,2020-06-24,54.76,54.89,53.77,53.8,53.6221,4597200,0.0,1.0
63,2020-06-23,54.51,55.44,54.02,55.2,55.0174,3103300,0.0,1.0
64,2020-06-22,53.92,54.53,53.16,53.85,53.6719,2388500,0.0,1.0
65,2020-06-19,56.0,56.01,53.91,54.16,53.9809,5381000,0.0,1.0
66,2020-06-18,54.66,55.2,53.9,54.89,54.7085,2570600,0.0,1.0
67,2020-06-17,55.88,56.05,54.71,55.49,55.3065,2234900,0.0,1.0
