,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,46.7,46.98,45.53,46.25,46.25,1693593,0.0,1.0
1,2020-09-18,48.47,49.06,47.36,48.09,48.09,2111463,0.0,1.0
2,2020-09-17,47.83,48.77,47.13,48.74,48.74,1765183,0.0,1.0
3,2020-09-16,46.51,49.24,46.5,48.76,48.76,1913680,0.0,1.0
4,2020-09-15,47.1,47.58,46.05,46.19,46.19,2146663,0.0,1.0
5,2020-09-14,45.63,47.37,45.12,47.0,47.0,1549425,0.0,1.0
6,2020-09-11,45.51,45.64,44.68,45.31,45.31,1593635,0.0,1.0
7,2020-09-10,49.01,49.01,45.37,45.49,45.49,2427187,0.0,1.0
8,2020-09-09,48.2,49.41,48.01,48.8,48.8,3016132,0.0,1.0
9,2020-09-08,49.48,49.93,47.31,47.63,47.63,2680686,0.0,1.0
10,2020-09-04,49.81,50.85,49.27,50.65,50.65,2772951,0.0,1.0
11,2020-09-03,49.82,50.785,49.19,49.51,49.51,1776631,0.0,1.0
12,2020-09-02,50.9,51.6,49.83,49.9,49.9,1978640,0.0,1.0
13,2020-09-01,51.58,52.28,51.13,51.14,51.14,1513880,0.0,1.0
14,2020-08-31,52.31,52.4,51.12,51.98,51.98,1638097,0.0,1.0
15,2020-08-28,51.73,52.38,50.87,52.26,52.26,1060658,0.0,1.0
16,2020-08-27,51.3,51.95,50.775,51.81,51.81,1305714,0.0,1.0
17,2020-08-26,51.04,51.82,50.82,51.08,51.08,1816029,0.0,1.0
18,2020-08-25,50.89,51.59,50.2,51.55,51.55,1599371,0.0,1.0
19,2020-08-24,48.79,50.6,48.43,50.11,50.11,1334826,0.0,1.0
20,2020-08-21,48.75,49.155,48.21,48.49,48.49,1794564,0.0,1.0
21,2020-08-20,49.03,49.42,48.33,48.53,48.53,1792259,0.0,1.0
22,2020-08-19,51.35,51.35,49.62,50.02,50.02,1002038,0.0,1.0
23,2020-08-18,50.79,52.05,50.7499,51.08,51.08,1030998,0.0,1.0
24,2020-08-17,50.93,51.12,49.85,50.9,50.9,1469001,0.0,1.0
25,2020-08-14,50.53,51.28,50.23,51.26,51.26,1177679,0.0,1.0
26,2020-08-13,52.51,53.08,50.65,50.79,50.79,1606970,0.0,1.0
27,2020-08-12,53.72,54.19,52.27,52.87,52.87,1468122,0.0,1.0
28,2020-08-11,54.97,56.06,52.83,52.94,52.94,2165100,0.0,1.0
29,2020-08-10,51.33,53.425,51.19,53.23,53.23,4779561,0.0,1.0
30,2020-08-07,51.01,51.36,49.9,51.27,51.27,2318314,0.0,1.0
31,2020-08-06,52.25,52.8,51.24,51.62,51.62,1344042,0.2,1.0
32,2020-08-05,52.65,54.46,52.26,52.59,52.387,1920057,0.0,1.0
33,2020-08-04,50.76,52.24,50.3,51.47,51.2714,2555517,0.0,1.0
34,2020-08-03,52.44,52.44,50.52,50.74,50.5442,2360109,0.0,1.0
35,2020-07-31,50.15,52.57,50.0,52.54,52.3372,3059039,0.0,1.0
36,2020-07-30,52.41,52.41,48.22,50.75,50.5541,3171907,0.0,1.0
37,2020-07-29,51.91,52.98,51.14,52.98,52.7755,1582172,0.0,1.0
38,2020-07-28,52.86,53.61,51.605,51.75,51.5503,1947324,0.0,1.0
39,2020-07-27,53.53,53.53,52.265,52.68,52.4767,1214420,0.0,1.0
40,2020-07-24,53.43,54.12,52.535,53.46,53.2537,855354,0.0,1.0
41,2020-07-23,53.17,54.135,52.92,53.28,53.0744,1459815,0.0,1.0
42,2020-07-22,53.73,54.3,52.33,53.88,53.672,1246472,0.0,1.0
43,2020-07-21,51.82,54.91,51.71,54.43,54.2199,1958000,0.0,1.0
44,2020-07-20,50.95,51.72,50.4,50.77,50.5741,2452200,0.0,1.0
45,2020-07-17,51.53,52.0,50.35,50.44,50.2453,1794400,0.0,1.0
46,2020-07-16,51.66,52.45,50.88,51.29,51.092,1087200,0.0,1.0
47,2020-07-15,51.77,52.67,51.06,52.05,51.8491,2123100,0.0,1.0
48,2020-07-14,48.63,50.77,48.51,50.72,50.5242,1925900,0.0,1.0
49,2020-07-13,49.99,50.41,48.77,49.04,48.8507,2632800,0.0,1.0
50,2020-07-10,47.56,49.27,47.41,49.24,49.05,2012100,0.0,1.0
51,2020-07-09,50.05,50.76,47.43,47.56,47.3764,1831700,0.0,1.0
52,2020-07-08,50.89,51.0,49.87,50.52,50.325,1440000,0.0,1.0
53,2020-07-07,51.22,51.87,50.57,50.68,50.4844,2844900,0.0,1.0
54,2020-07-06,52.27,52.73,51.04,51.8,51.6001,1754700,0.0,1.0
