,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,31.16,31.2,29.42,29.82,29.82,34449916,0.0,1.0
1,2020-09-18,33.22,34.02,32.575,32.84,32.84,35079227,0.0,1.0
2,2020-09-17,33.97,35.07,33.635,33.96,33.96,26014777,0.0,1.0
3,2020-09-16,33.8,34.99,33.19,34.57,34.57,26076837,0.0,1.0
4,2020-09-15,33.2,34.4781,33.1,33.51,33.51,22656444,0.0,1.0
5,2020-09-14,32.29,32.9,32.01,32.82,32.82,16333009,0.0,1.0
6,2020-09-11,31.81,32.13,31.34,31.7,31.7,14344069,0.0,1.0
7,2020-09-10,32.18,32.7084,31.67,31.79,31.79,17711281,0.0,1.0
8,2020-09-09,32.17,32.44,31.32,31.76,31.76,19362682,0.0,1.0
9,2020-09-08,31.4,33.1,31.34,32.54,32.54,28129423,0.0,1.0
10,2020-09-04,31.79,32.37,30.61,31.77,31.77,25878685,0.0,1.0
11,2020-09-03,31.63,32.53,30.47,31.22,31.22,29474906,0.0,1.0
12,2020-09-02,30.4,31.3,30.14,31.14,31.14,16307698,0.0,1.0
13,2020-09-01,30.02,31.61,29.75,30.71,30.71,20081180,0.0,1.0
14,2020-08-31,31.81,32.01,30.8,30.85,30.85,18262658,0.0,1.0
15,2020-08-28,31.25,31.99,30.73,31.99,31.99,20469731,0.0,1.0
16,2020-08-27,30.81,32.21,30.62,30.82,30.82,31795179,0.0,1.0
17,2020-08-26,30.01,30.22,29.62,29.95,29.95,18877253,0.0,1.0
18,2020-08-25,30.0,30.28,29.33,30.1,30.1,31001948,0.0,1.0
19,2020-08-24,27.66,29.8,27.54,29.8,29.8,34251032,0.0,1.0
20,2020-08-21,27.56,27.86,27.17,27.27,27.27,10897498,0.0,1.0
21,2020-08-20,27.52,27.7891,27.02,27.62,27.62,14010161,0.0,1.0
22,2020-08-19,27.75,29.115,27.555,27.67,27.67,21082131,0.0,1.0
23,2020-08-18,28.0,28.28,27.374,27.63,27.63,14222500,0.0,1.0
24,2020-08-17,29.04,29.04,27.76,28.02,28.02,14507658,0.0,1.0
25,2020-08-14,28.3,29.19,28.15,28.95,28.95,13107829,0.0,1.0
26,2020-08-13,28.6,29.58,28.485,28.7,28.7,15767696,0.0,1.0
27,2020-08-12,30.04,30.28,28.3601,29.09,29.09,26623874,0.0,1.0
28,2020-08-11,30.79,30.82,29.43,29.64,29.64,37292963,0.0,1.0
29,2020-08-10,27.46,29.41,27.375,29.34,29.34,34084899,0.0,1.0
30,2020-08-07,26.7,27.2,26.465,27.18,27.18,15254479,0.0,1.0
31,2020-08-06,26.9,27.2999,26.13,27.08,27.08,30682491,0.0,1.0
32,2020-08-05,26.22,27.04,25.75,26.47,26.47,29661104,0.0,1.0
33,2020-08-04,25.45,26.22,25.31,25.67,25.67,17216231,0.0,1.0
34,2020-08-03,24.85,25.48,24.3817,25.2,25.2,16590449,0.0,1.0
35,2020-07-31,24.8,25.005,24.425,24.97,24.97,17116666,0.0,1.0
36,2020-07-30,25.25,25.375,24.82,24.94,24.94,16843985,0.0,1.0
37,2020-07-29,26.02,26.19,25.38,25.72,25.72,14459715,0.0,1.0
38,2020-07-28,25.35,26.3,25.34,25.94,25.94,18615582,0.0,1.0
39,2020-07-27,25.95,26.16,25.37,25.5,25.5,18849816,0.0,1.0
40,2020-07-24,26.48,26.6384,25.88,25.96,25.96,16774945,0.0,1.0
41,2020-07-23,26.0,27.7017,25.78,26.78,26.78,28110723,0.0,1.0
42,2020-07-22,26.23,26.82,26.11,26.25,26.25,16710842,0.0,1.0
43,2020-07-21,26.5,26.95,26.35,26.43,26.43,20905266,0.0,1.0
44,2020-07-20,27.0,27.42,26.03,26.22,26.22,21542406,0.0,1.0
45,2020-07-17,27.33,27.73,26.94,27.05,27.05,21612300,0.0,1.0
46,2020-07-16,27.56,27.95,27.04,27.26,27.26,25854600,0.0,1.0
47,2020-07-15,27.5,28.88,26.92,28.6,28.6,47579600,0.0,1.0
48,2020-07-14,25.64,26.75,25.46,26.11,26.11,41516500,0.0,1.0
49,2020-07-13,27.23,27.62,26.31,26.82,26.82,34030900,0.0,1.0
50,2020-07-10,25.3,27.26,25.15,27.09,27.09,31294500,0.0,1.0
51,2020-07-09,26.79,26.92,25.22,25.65,25.65,31152900,0.0,1.0
52,2020-07-08,26.65,27.28,26.2,27.01,27.01,27167600,0.0,1.0
53,2020-07-07,27.86,27.95,26.86,27.01,27.01,24539200,0.0,1.0
54,2020-07-06,28.24,28.63,27.28,28.44,28.44,27293000,0.0,1.0
55,2020-07-02,28.54,28.73,27.6,27.72,27.72,29116300,0.0,1.0
56,2020-07-01,29.02,29.85,27.49,27.7,27.7,39218600,0.0,1.0
57,2020-06-30,28.35,28.66,27.6,28.05,28.05,26991400,0.0,1.0
58,2020-06-29,27.2,28.82,26.58,28.61,28.61,38475300,0.0,1.0
59,2020-06-26,28.02,28.0967,26.24,26.91,26.91,45577834,0.0,1.0
60,2020-06-25,26.5197,28.16,26.27,28.01,28.01,37238794,0.0,1.0
61,2020-06-24,28.75,28.99,26.93,27.34,27.34,45046066,0.0,1.0
62,2020-06-23,29.53,29.65,28.73,29.64,29.64,33317540,0.0,1.0
63,2020-06-22,29.03,29.84,28.56,29.31,29.31,42080592,0.0,1.0
64,2020-06-19,31.51,31.52,29.02,29.51,29.51,47990329,0.0,1.0
65,2020-06-18,29.88,31.145,29.595,30.79,30.79,40312089,0.0,1.0
66,2020-06-17,30.84,31.16,30.08,30.72,30.72,37588742,0.0,1.0
67,2020-06-16,32.63,33.02,30.61,31.3,31.3,63148252,0.0,1.0
68,2020-06-15,28.3,30.965,28.0,30.46,30.46,63792431,0.0,1.0
69,2020-06-12,29.89,30.74,28.75,30.43,30.43,68168931,0.0,1.0
70,2020-06-11,26.65,29.57,26.6,27.2,27.2,87626275,0.0,1.0
71,2020-06-10,32.24,32.99,29.76,31.64,31.64,89475575,0.0,1.0
72,2020-06-09,34.5,34.729,32.65,34.17,34.17,60007749,0.0,1.0
73,2020-06-08,36.63,37.08,35.38,36.97,36.97,81680608,0.0,1.0
74,2020-06-05,37.2,37.24,33.45,34.16,34.16,130358105,0.0,1.0
75,2020-06-04,30.27,32.81,29.22,32.38,32.38,134173904,0.0,1.0
76,2020-06-03,27.01,28.6,26.7,28.47,28.47,64617647,0.0,1.0
77,2020-06-02,26.68,26.98,25.935,26.41,26.41,43053465,0.0,1.0
78,2020-06-01,25.33,26.76,25.0826,26.17,26.17,46495650,0.0,1.0
79,2020-05-29,24.62,25.605,24.37,25.21,25.21,50416321,0.0,1.0
80,2020-05-28,26.25,26.36,24.95,25.66,25.66,53858470,0.0,1.0
81,2020-05-27,27.66,27.85,24.73,26.32,26.32,92476800,0.0,1.0
82,2020-05-26,24.48,25.865,24.28,25.65,25.65,78264491,0.0,1.0
83,2020-05-22,23.24,23.4,22.23,22.69,22.69,37050936,0.0,1.0
84,2020-05-21,22.77,23.68,22.6668,23.16,23.16,46411227,0.0,1.0
85,2020-05-20,22.34,23.1,22.14,22.72,22.72,50673636,0.0,1.0
86,2020-05-19,22.57,22.57,21.32,21.76,21.76,70674332,0.0,1.0
87,2020-05-18,20.91,21.94,20.55,21.86,21.86,74364554,0.0,1.0
88,2020-05-15,18.97,19.65,18.62,19.19,19.19,46813430,0.0,1.0
89,2020-05-14,18.8,19.54,17.51,19.38,19.38,88229417,0.0,1.0
90,2020-05-13,20.97,20.97,19.09,19.41,19.41,72120044,0.0,1.0
91,2020-05-12,22.1,22.4,21.03,21.03,21.03,37327048,0.0,1.0
92,2020-05-11,22.1,22.51,21.55,22.01,22.01,39028105,0.0,1.0
93,2020-05-08,22.36,22.92,22.05,22.72,22.72,43157294,0.0,1.0
94,2020-05-07,21.07,22.5,21.02,21.68,21.68,48206916,0.0,1.0
95,2020-05-06,21.76,22.1,20.7503,21.0,21.0,52812605,0.0,1.0
96,2020-05-05,23.02,23.5,21.51,21.71,21.71,51059316,0.0,1.0
97,2020-05-04,21.19,22.79,20.5,22.57,22.57,91178041,0.0,1.0
98,2020-05-01,24.95,25.4,23.72,24.12,24.12,45002593,0.0,1.0
99,2020-04-30,26.7,27.23,25.5,25.91,25.91,63288591,0.0,1.0
100,2020-04-29,25.69,27.6,25.5,27.32,27.32,81276490,0.0,1.0
101,2020-04-28,23.0,24.9,22.65,24.34,24.34,83753836,0.0,1.0
102,2020-04-27,22.83,23.44,22.0,22.16,22.16,50465454,0.0,1.0
103,2020-04-24,22.53,22.68,21.75,22.41,22.41,43694281,0.0,1.0
104,2020-04-23,22.65,22.96,22.41,22.48,22.48,43536633,0.0,1.0
105,2020-04-22,23.88,23.94,21.63,22.47,22.47,70138338,0.0,1.0
106,2020-04-21,23.02,23.77,22.8,23.1,23.1,38518448,0.0,1.0
107,2020-04-20,23.44,24.12,22.91,23.64,23.64,42894845,0.0,1.0
108,2020-04-17,24.15,24.61,23.59,24.27,24.27,52488030,0.0,1.0
109,2020-04-16,23.76,23.8,22.63,22.78,22.78,55973221,0.0,1.0
110,2020-04-15,24.91,25.5,23.31,24.35,24.35,87798348,0.0,1.0
111,2020-04-14,23.9899,25.29,23.83,24.54,24.54,58599118,0.0,1.0
112,2020-04-13,24.98,25.06,22.08,23.25,23.25,75904867,0.0,1.0
113,2020-04-09,25.4,25.53,23.35,24.39,24.39,90591165,0.0,1.0
