,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,54.69,55.32,52.78,54.52,54.52,4948945,0.0,1.0
1,2020-09-21,56.44,57.09,54.61,55.02,55.02,4310778,0.0,1.0
2,2020-09-18,59.33,60.21,58.55,59.03,59.03,4608475,0.0,1.0
3,2020-09-17,58.3,60.1,57.91,59.54,59.54,4110156,0.0,1.0
4,2020-09-16,57.23,60.45,56.68,59.22,59.22,4180643,0.0,1.0
5,2020-09-15,58.11,59.54,56.86,57.05,57.05,3556916,0.0,1.0
6,2020-09-14,55.58,58.64,55.47,57.99,57.99,3469200,0.0,1.0
7,2020-09-11,54.28,55.0327,53.985,54.74,54.74,2275058,0.0,1.0
8,2020-09-10,55.51,56.935,53.89,54.07,54.07,1984307,0.0,1.0
9,2020-09-09,55.72,55.72,54.22,55.04,55.04,1933409,0.0,1.0
10,2020-09-08,56.15,57.19,54.96,55.11,55.11,3531444,0.0,1.0
11,2020-09-04,56.26,59.23,56.21,57.12,57.12,5363620,0.0,1.0
12,2020-09-03,54.22,55.99,54.01,55.42,55.42,5154303,0.0,1.0
13,2020-09-02,52.94,53.92,52.56,53.68,53.68,1826591,0.0,1.0
14,2020-09-01,52.43,53.6,52.11,52.97,52.97,1649451,0.0,1.0
15,2020-08-31,54.26,54.26,53.06,53.08,53.08,3310424,0.0,1.0
16,2020-08-28,54.07,54.39,53.24,54.25,54.25,2253874,0.0,1.0
17,2020-08-27,51.7,54.25,51.36,53.71,53.71,3843417,0.0,1.0
18,2020-08-26,52.11,52.63,51.26,51.53,51.53,2946262,0.0,1.0
19,2020-08-25,53.0,53.42,51.48,52.22,52.22,2119381,0.0,1.0
20,2020-08-24,49.92,52.47,49.83,52.39,52.39,2580685,0.0,1.0
21,2020-08-21,49.94,50.26,48.9201,49.57,49.57,2215376,0.0,1.0
22,2020-08-20,50.04,50.57,49.75,49.94,49.94,1923118,0.0,1.0
23,2020-08-19,50.51,51.44,49.86,50.81,50.81,1891286,0.44,1.0
24,2020-08-18,52.62,52.99,50.8,50.94,50.5027,3254185,0.0,1.0
25,2020-08-17,54.15,54.32,52.58,52.59,52.1385,2807159,0.0,1.0
26,2020-08-14,52.95,54.87,52.62,54.3,53.8338,1521227,0.0,1.0
27,2020-08-13,53.58,54.755,53.2,53.43,52.9713,1839163,0.0,1.0
28,2020-08-12,56.94,56.95,53.58,54.49,54.0222,3229007,0.0,1.0
29,2020-08-11,55.68,57.67,55.1,55.76,55.2813,3754302,0.0,1.0
30,2020-08-10,51.61,54.37,51.52,53.77,53.3084,3748926,0.0,1.0
31,2020-08-07,49.61,51.43,48.98,51.39,50.9488,2912505,0.0,1.0
