,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,112.18,118.19,111.89,118.15,118.15,1913263,0.0,1.0
1,2020-09-18,112.2,114.42,112.05,113.87,113.87,1364776,0.0,1.0
2,2020-09-17,113.97,113.97,110.86,112.59,112.59,953993,0.0,1.0
3,2020-09-16,114.12,116.06,113.97,114.55,114.55,983174,0.0,1.0
4,2020-09-15,112.75,115.28,112.75,113.59,113.59,1112751,0.0,1.0
5,2020-09-14,110.97,113.24,110.4,112.72,112.72,764662,0.0,1.0
6,2020-09-11,111.1,111.31,108.62,110.33,110.33,1250798,0.0,1.0
7,2020-09-10,109.69,111.93,109.3,110.5,110.5,1889666,0.0,1.0
8,2020-09-09,108.26,108.65,106.98,107.05,107.05,1204645,0.0,1.0
9,2020-09-08,108.38,108.81,106.54,107.4,107.4,1513585,0.0,1.0
10,2020-09-04,108.97,109.74,106.945,108.89,108.89,1688709,0.0,1.0
11,2020-09-03,111.11,111.27,107.68,108.66,108.66,2845068,0.0,1.0
12,2020-09-02,110.38,111.44,108.91,110.69,110.69,2445855,0.0,1.0
13,2020-09-01,111.5,112.68,106.72,109.65,109.65,2857086,0.0,1.0
14,2020-08-31,110.13,112.29,110.11,111.24,111.24,1364619,0.0,1.0
15,2020-08-28,110.23,111.1,108.77,110.75,110.75,1527189,0.0,1.0
16,2020-08-27,109.22,111.8,104.1,110.01,110.01,5631757,0.0,1.0
17,2020-08-26,118.26,118.77,116.63,118.33,118.33,1800060,0.0,1.0
18,2020-08-25,117.94,119.425,116.78,118.33,118.33,1237930,0.0,1.0
19,2020-08-24,118.07,118.18,116.31,117.6,117.6,1158826,0.0,1.0
20,2020-08-21,117.81,118.22,116.47,117.83,117.83,957561,0.0,1.0
21,2020-08-20,117.77,120.86,117.705,117.91,117.91,979579,0.0,1.0
22,2020-08-19,120.95,120.95,117.28,117.66,117.66,1344446,0.0,1.0
23,2020-08-18,120.0,120.43,119.2,120.0,120.0,782504,0.0,1.0
24,2020-08-17,120.39,121.76,119.69,120.0,120.0,932095,0.0,1.0
25,2020-08-14,121.23,121.61,119.39,120.01,120.01,827433,0.0,1.0
26,2020-08-13,120.74,121.77,119.82,121.75,121.75,650389,0.0,1.0
27,2020-08-12,120.49,121.79,119.45,121.15,121.15,810728,0.0,1.0
28,2020-08-11,121.82,121.99,118.77,120.14,120.14,1240249,0.0,1.0
29,2020-08-10,124.78,124.9878,120.99,121.24,121.24,1251928,0.0,1.0
30,2020-08-07,124.25,126.16,123.71,125.21,125.21,1102033,0.0,1.0
31,2020-08-06,127.0,127.17,123.28,124.51,124.51,1197404,0.0,1.0
32,2020-08-05,128.43,128.71,126.14,127.06,127.06,759297,0.0,1.0
33,2020-08-04,129.35,129.575,126.31,128.1,128.1,1159513,0.0,1.0
34,2020-08-03,127.73,130.7,127.395,130.01,130.01,1336415,0.0,1.0
35,2020-07-31,126.84,127.36,125.0,127.07,127.07,1132792,0.0,1.0
36,2020-07-30,125.08,127.01,124.41,126.76,126.76,894447,0.0,1.0
37,2020-07-29,124.74,126.96,124.26,126.2,126.2,1883197,0.0,1.0
38,2020-07-28,124.2,125.85,123.2,123.46,123.46,1104522,0.0,1.0
39,2020-07-27,124.84,126.245,123.675,124.04,124.04,1404899,0.0,1.0
40,2020-07-24,126.95,126.95,124.0,124.99,124.99,1195472,0.0,1.0
41,2020-07-23,126.96,131.81,125.37,127.6,127.6,1924712,0.0,1.0
42,2020-07-22,128.61,129.82,128.11,129.76,129.76,1259640,0.0,1.0
43,2020-07-21,127.22,129.06,126.54,128.61,128.61,1166518,0.0,1.0
44,2020-07-20,126.89,127.6,125.23,126.9,126.9,1275260,0.0,1.0
45,2020-07-17,123.95,126.88,123.81,125.11,125.11,1913500,0.0,1.0
46,2020-07-16,121.99,125.32,121.13,123.68,123.68,1576700,0.0,1.0
47,2020-07-15,123.76,124.2,119.77,122.24,122.24,1748500,0.0,1.0
48,2020-07-14,121.12,122.75,118.8,122.71,122.71,2192700,0.0,1.0
49,2020-07-13,119.0,123.3,118.5,119.14,119.14,2323600,0.0,1.0
50,2020-07-10,116.02,117.39,115.91,116.82,116.82,851400,0.0,1.0
51,2020-07-09,118.0,118.35,115.21,115.85,115.85,1460000,0.0,1.0
52,2020-07-08,117.17,118.0,116.27,117.92,117.92,958000,0.0,1.0
53,2020-07-07,117.15,118.24,116.22,117.31,117.31,955900,0.56,1.0
54,2020-07-06,117.09,118.99,117.09,118.37,117.8076,1443800,0.0,1.0
55,2020-07-02,114.95,116.86,114.4,116.04,115.4887,854200,0.0,1.0
56,2020-07-01,113.95,114.97,112.49,114.05,113.5081,1159800,0.0,1.0
57,2020-06-30,110.46,114.5,110.38,113.96,113.4186,1152400,0.0,1.0
58,2020-06-29,110.66,110.9,108.88,110.42,109.8954,1478300,0.0,1.0
