,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,72.43,75.88,71.78,75.51,75.51,5396252,0.0,1.0
1,2020-09-21,71.77,72.37,69.76,72.12,72.12,2606302,0.0,1.0
2,2020-09-18,73.18,74.2399,71.76,72.69,72.69,3827841,0.0,1.0
3,2020-09-17,73.05,73.83,72.09,73.32,73.32,2828947,0.0,1.0
4,2020-09-16,72.66,75.32,72.47,74.37,74.37,4378609,0.0,1.0
5,2020-09-15,72.63,73.63,71.6,71.77,71.77,2742837,0.0,1.0
6,2020-09-14,72.4,72.94,71.52,72.72,72.72,3633599,0.0,1.0
7,2020-09-11,70.29,71.71,69.99,71.39,71.39,2619188,0.0,1.0
8,2020-09-10,70.05,71.48,69.44,69.73,69.73,3035287,0.0,1.0
9,2020-09-09,69.01,70.79,68.13,70.07,70.07,3427631,0.0,1.0
10,2020-09-08,66.88,69.36,66.51,68.01,68.01,3736104,0.0,1.0
11,2020-09-04,71.12,71.72,67.41,68.23,68.23,4543972,0.0,1.0
12,2020-09-03,72.62,72.98,69.6002,70.56,70.56,4127086,0.0,1.0
13,2020-09-02,74.0,74.04,71.83,72.89,72.89,2450130,0.0,1.0
14,2020-09-01,71.47,73.38,70.92,73.36,73.36,2618088,0.0,1.0
15,2020-08-31,72.1,72.63,70.835,71.37,71.37,4129894,0.0,1.0
16,2020-08-28,73.24,73.79,71.49,71.84,71.84,3594174,0.0,1.0
17,2020-08-27,75.04,75.2911,72.44,72.5,72.5,3862740,0.0,1.0
18,2020-08-26,75.82,75.95,74.06,74.07,74.07,3277389,0.0,1.0
19,2020-08-25,76.53,76.69,74.53,75.48,75.48,2350148,0.0,1.0
20,2020-08-24,77.19,77.45,75.71,76.17,76.17,3159367,0.0,1.0
21,2020-08-21,74.05,76.97,73.79,76.97,76.97,5956674,0.0,1.0
22,2020-08-20,73.28,75.54,72.84,74.6,74.6,3556553,0.0,1.0
23,2020-08-19,73.45,74.31,72.73,74.03,74.03,3104003,0.0,1.0
24,2020-08-18,74.04,74.34,73.11,73.54,73.54,3261276,0.0,1.0
25,2020-08-17,72.12,74.01,71.75,73.33,73.33,3513825,0.0,1.0
26,2020-08-14,71.01,71.79,70.2601,71.39,71.39,1883959,0.0,1.0
27,2020-08-13,70.75,71.96,69.95,71.48,71.48,2772288,0.0,1.0
28,2020-08-12,69.43,71.28,68.92,71.26,71.26,4018257,0.0,1.0
29,2020-08-11,70.24,70.3,68.43,69.04,69.04,6330021,0.175,1.0
30,2020-08-10,68.4,71.83,68.22,69.7,69.5238,4634978,0.0,1.0
31,2020-08-07,67.46,68.41,67.19,68.38,68.2071,2412630,0.0,1.0
32,2020-08-06,67.77,68.38,67.48,67.62,67.449,1777986,0.0,1.0
33,2020-08-05,67.43,68.2,67.01,68.09,67.9178,2081404,0.0,1.0
34,2020-08-04,68.07,68.59,66.91,67.34,67.1697,2212930,0.0,1.0
35,2020-08-03,66.7,68.46,66.54,68.32,68.1473,3349236,0.0,1.0
36,2020-07-31,66.06,66.28,64.64,66.16,65.9927,5067027,0.0,1.0
37,2020-07-30,65.71,66.55,65.5,66.05,65.883,3000529,0.0,1.0
38,2020-07-29,65.23,67.08,65.0825,66.6,66.4316,3535575,0.0,1.0
39,2020-07-28,68.75,70.29,64.18,64.58,64.4167,8176417,0.0,1.0
40,2020-07-27,64.58,66.67,64.245,66.57,66.4017,3807254,0.0,1.0
41,2020-07-24,63.54,64.21,62.26,63.75,63.5888,2935375,0.0,1.0
42,2020-07-23,66.36,66.66,62.54,63.88,63.7185,5526119,0.0,1.0
43,2020-07-22,62.53,65.1,62.46,64.8,64.6362,3082407,0.0,1.0
44,2020-07-21,62.81,63.3,61.67,62.71,62.5514,3105500,0.0,1.0
45,2020-07-20,63.21,63.72,62.22,63.5,63.3394,2652600,0.0,1.0
46,2020-07-17,63.06,64.37,62.74,63.48,63.3195,7060600,0.0,1.0
47,2020-07-16,60.0,62.64,59.7,62.54,62.3819,4222900,0.0,1.0
48,2020-07-15,60.79,61.22,58.78,60.05,59.8982,3095900,0.0,1.0
