,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,205.29,207.59,203.89,207.15,207.15,1632844,0.0,1.0
1,2020-09-21,204.49,205.83,201.5619,205.81,205.81,1606100,0.0,1.0
2,2020-09-18,207.57,208.57,204.7,206.31,206.31,3867965,0.0,1.0
3,2020-09-17,205.19,207.27,204.01,207.15,207.15,1965261,0.0,1.0
4,2020-09-16,208.54,210.29,206.88,207.05,207.05,1823578,0.0,1.0
5,2020-09-15,208.63,209.71,207.8216,208.69,208.69,1591507,0.0,1.0
6,2020-09-14,206.5,209.68,205.82,207.93,207.93,1720913,0.0,1.0
7,2020-09-11,204.35,206.27,203.94,204.87,204.87,1890488,0.0,1.0
8,2020-09-10,203.0,206.34,202.84,203.09,203.09,2416048,0.0,1.0
9,2020-09-09,197.87,203.5,197.58,201.94,201.94,2645589,0.0,1.0
10,2020-09-08,196.54,197.15,193.1,196.15,196.15,2668464,0.0,1.0
11,2020-09-04,201.0,201.065,192.51,196.58,196.58,3720110,0.0,1.0
12,2020-09-03,209.49,209.96,199.3,200.91,200.91,2368924,0.0,1.0
13,2020-09-02,207.71,210.575,206.455,209.97,209.97,1917721,0.0,1.0
14,2020-09-01,205.41,208.48,205.41,208.38,208.38,1597842,0.0,1.0
15,2020-08-31,206.0,207.67,205.148,206.47,206.47,1710066,0.0,1.0
16,2020-08-28,205.31,206.28,203.69,205.64,205.64,1387082,0.0,1.0
17,2020-08-27,205.87,206.223,198.12,204.39,204.39,2551303,0.0,1.0
18,2020-08-26,206.0,208.88,205.08,208.19,208.19,1140998,0.0,1.0
19,2020-08-25,207.18,208.15,206.02,207.57,207.57,1449040,0.0,1.0
20,2020-08-24,208.69,209.38,204.79,205.56,205.56,1226870,0.0,1.0
21,2020-08-21,205.35,208.025,204.81,207.8,207.8,1432421,0.0,1.0
22,2020-08-20,204.69,206.592,204.35,205.66,205.66,1001613,0.0,1.0
23,2020-08-19,208.39,209.15,205.58,205.93,205.93,1190613,0.0,1.0
24,2020-08-18,206.33,208.29,205.62,207.68,207.68,1474417,0.0,1.0
25,2020-08-17,204.91,206.45,204.66,205.57,205.57,1234303,0.0,1.0
26,2020-08-14,206.81,207.87,204.04,204.86,204.86,1280688,0.0,1.0
27,2020-08-13,204.58,207.48,204.36,207.19,207.19,1211281,0.0,1.0
28,2020-08-12,201.57,206.98,201.21,205.92,205.92,1464163,0.0,1.0
29,2020-08-11,202.97,203.61,199.3,200.01,200.01,2421280,0.0,1.0
30,2020-08-10,205.5,205.84,201.36,202.05,202.05,2161208,0.0,1.0
31,2020-08-07,206.89,207.66,204.35,205.4,205.4,1345768,0.0,1.0
32,2020-08-06,206.2,207.17,202.38,205.69,205.69,2729122,0.0,1.0
33,2020-08-05,206.15,207.3917,204.185,205.54,205.54,2081465,0.0,1.0
34,2020-08-04,205.81,206.96,204.17,206.07,206.07,1734714,0.0,1.0
35,2020-08-03,205.0,207.03,204.87,206.83,206.83,2074654,0.0,1.0
36,2020-07-31,201.52,203.95,200.87,203.8,203.8,1792914,0.0,1.0
37,2020-07-30,199.34,203.37,198.87,202.14,202.14,1696821,0.0,1.0
38,2020-07-29,199.54,204.13,198.83,202.13,202.13,2995701,0.0,1.0
39,2020-07-28,198.69,199.82,197.78,199.01,199.01,2072492,0.0,1.0
40,2020-07-27,195.8,202.29,195.24,198.98,198.98,2654061,0.0,1.0
41,2020-07-24,197.18,197.2,190.34,195.27,195.27,3115197,0.0,1.0
42,2020-07-23,201.65,203.0,197.59,199.22,199.22,4319468,0.0,1.0
43,2020-07-22,194.68,197.18,194.16,195.61,195.61,2546392,0.0,1.0
44,2020-07-21,193.55,195.74,192.72,195.0,195.0,2245002,0.0,1.0
45,2020-07-20,191.44,193.71,191.0,193.37,193.37,2030781,0.0,1.0
46,2020-07-17,189.94,192.0,188.07,190.95,190.95,3549800,0.0,1.0
47,2020-07-16,188.34,189.27,186.87,188.81,188.81,2763000,0.0,1.0
48,2020-07-15,187.15,188.44,184.89,188.34,188.34,2551200,0.0,1.0
49,2020-07-14,182.77,185.65,181.18,185.45,185.45,2024700,0.0,1.0
50,2020-07-13,184.41,186.69,181.98,182.41,182.41,2135400,0.0,1.0
51,2020-07-10,185.53,185.85,182.8,183.67,183.67,1956100,0.0,1.0
52,2020-07-09,184.51,187.19,183.3,185.47,185.47,2435400,0.0,1.0
53,2020-07-08,182.99,184.89,182.53,184.42,184.42,1879900,0.0,1.0
54,2020-07-07,182.27,184.73,181.62,182.04,182.04,2764200,0.0,1.0
55,2020-07-06,182.0,184.41,181.41,183.0,183.0,1888000,0.0,1.0
56,2020-07-02,178.47,180.78,177.86,179.68,179.68,1594100,0.0,1.0
57,2020-07-01,177.11,178.05,175.14,177.16,177.16,2099700,0.0,1.0
58,2020-06-30,172.0,177.41,171.4,176.83,176.83,2433800,0.0,1.0
59,2020-06-29,173.33,173.57,171.16,172.38,172.38,2282200,0.0,1.0
60,2020-06-26,172.12,172.765,169.25,171.71,171.71,3447659,0.0,1.0
61,2020-06-25,171.45,172.45,168.59,172.15,172.15,1982280,0.18,1.0
62,2020-06-24,174.63,174.79,169.74,171.46,171.2809,2025725,0.0,1.0
63,2020-06-23,176.38,177.0,174.68,175.59,175.4066,1287673,0.0,1.0
64,2020-06-22,173.58,175.21,172.75,174.84,174.6574,1670029,0.0,1.0
65,2020-06-19,178.18,178.73,172.95,172.95,172.7694,5523581,0.0,1.0
66,2020-06-18,175.75,177.14,174.82,176.0,175.8162,1895385,0.0,1.0
67,2020-06-17,176.0,177.65,175.73,176.33,176.1458,2107386,0.0,1.0
68,2020-06-16,175.33,176.44,172.695,174.9,174.7173,2976264,0.0,1.0
69,2020-06-15,166.49,172.67,166.14,171.55,171.3708,2794057,0.0,1.0
70,2020-06-12,167.75,171.19,165.25,168.38,168.2041,3292290,0.0,1.0
71,2020-06-11,171.97,172.37,164.51,164.9,164.7278,3296777,0.0,1.0
72,2020-06-10,170.23,174.52,170.23,172.69,172.5096,2561159,0.0,1.0
73,2020-06-09,172.37,173.21,169.19,169.45,169.273,2379097,0.0,1.0
74,2020-06-08,171.49,173.23,170.97,171.51,171.3309,2819035,0.0,1.0
75,2020-06-05,170.06,174.1,168.62,173.23,173.0491,3034177,0.0,1.0
76,2020-06-04,169.0,170.64,168.04,168.79,168.6137,2599703,0.0,1.0
77,2020-06-03,167.9,169.64,166.21,169.64,169.4628,4064582,0.0,1.0
78,2020-06-02,165.72,166.96,164.31,166.96,166.7856,2959270,0.0,1.0
