,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,30.19,30.47,29.81,30.125,30.125,2334591,0.0,1.0
1,2020-09-21,30.69,30.69,29.35,30.0,30.0,3564853,0.0,1.0
2,2020-09-18,32.01,32.15,30.795,31.06,31.06,6511281,0.0,1.0
3,2020-09-17,32.51,32.79,31.605,32.04,32.04,2712610,0.0,1.0
4,2020-09-16,33.01,33.81,32.865,33.24,33.24,1984067,0.0,1.0
5,2020-09-15,32.66,33.21,32.24,32.74,32.74,1452574,0.0,1.0
6,2020-09-14,32.27,33.0542,32.14,32.66,32.66,1707068,0.0,1.0
7,2020-09-11,32.19,32.34,31.71,32.105,32.105,1678143,0.0,1.0
8,2020-09-10,33.34,33.5863,32.05,32.09,32.09,2644513,0.0,1.0
9,2020-09-09,33.33,33.64,33.01,33.17,33.17,1533171,0.0,1.0
10,2020-09-08,33.39,33.53,32.61,33.03,33.03,3635735,0.0,1.0
11,2020-09-04,34.32,34.555,32.91,33.78,33.78,1836367,0.0,1.0
12,2020-09-03,35.67,36.15,33.7,34.04,34.04,2078138,0.0,1.0
13,2020-09-02,34.76,35.695,34.48,35.5,35.5,3058732,0.0,1.0
14,2020-09-01,35.09,35.3,34.05,34.57,34.57,2401244,0.0,1.0
15,2020-08-31,36.22,36.94,35.48,35.52,35.52,4242594,0.0,1.0
16,2020-08-28,34.79,34.89,34.425,34.82,34.82,1327655,0.0,1.0
17,2020-08-27,34.61,35.04,34.49,34.71,34.71,1599499,0.0,1.0
18,2020-08-26,34.03,34.72,33.86,34.56,34.56,1780667,0.0,1.0
19,2020-08-25,34.81,35.09,33.795,34.2,34.2,1292903,0.0,1.0
20,2020-08-24,33.74,34.58,33.46,34.58,34.58,3011621,0.0,1.0
21,2020-08-21,33.7,33.82,33.24,33.53,33.53,3229167,0.0,1.0
22,2020-08-20,33.95,34.26,33.275,33.89,33.89,2975564,0.0,1.0
23,2020-08-19,34.17,34.48,33.96,34.05,34.05,1416848,0.0,1.0
24,2020-08-18,35.02,35.16,34.29,34.36,34.36,1511161,0.0,1.0
25,2020-08-17,34.77,35.04,33.9,35.0,35.0,2170527,0.0,1.0
26,2020-08-14,35.02,35.1,34.36,34.67,34.67,1663552,0.0,1.0
27,2020-08-13,34.54,35.17,34.2301,35.08,35.08,2831735,0.0,1.0
28,2020-08-12,35.56,35.99,34.4,34.43,34.43,2598229,0.0,1.0
29,2020-08-11,35.78,36.37,35.07,35.23,35.23,4688138,0.0,1.0
30,2020-08-10,34.09,35.47,34.09,35.37,35.37,4878649,0.0,1.0
31,2020-08-07,35.0,37.0,33.58,34.17,34.17,7180974,0.0,1.0
32,2020-08-06,34.04,34.685,33.86,34.3,34.3,2969544,0.0,1.0
33,2020-08-05,34.01,34.3,33.48,34.07,34.07,3401797,0.0,1.0
34,2020-08-04,33.76,34.17,33.35,33.74,33.74,1828784,0.0,1.0
35,2020-08-03,32.31,34.08,32.055,33.96,33.96,3645034,0.0,1.0
36,2020-07-31,33.32,33.34,31.67,32.11,32.11,4137511,0.0,1.0
37,2020-07-30,32.8,33.4,32.56,32.84,32.84,1468882,0.0,1.0
38,2020-07-29,33.23,33.62,32.87,33.42,33.42,2090088,0.0,1.0
39,2020-07-28,33.06,33.63,32.92,33.13,33.13,1301781,0.0,1.0
40,2020-07-27,33.63,33.95,32.63,33.38,33.38,1416652,0.0,1.0
41,2020-07-24,33.34,33.61,33.095,33.36,33.36,1203232,0.0,1.0
42,2020-07-23,33.68,34.07,33.02,33.4,33.4,2801381,0.0,1.0
43,2020-07-22,33.5,33.82,32.99,33.55,33.55,2303085,0.0,1.0
44,2020-07-21,32.82,34.04,32.76,33.55,33.55,1947679,0.0,1.0
45,2020-07-20,32.48,32.81,32.22,32.5,32.5,1666206,0.0,1.0
46,2020-07-17,32.9,33.3,32.53,32.74,32.74,2338183,0.0,1.0
47,2020-07-16,33.36,33.78,32.93,33.23,33.23,1556133,0.0,1.0
48,2020-07-15,32.93,33.95,32.59,33.78,33.78,3100033,0.0,1.0
49,2020-07-14,31.71,32.83,31.42,32.49,32.49,3395750,0.0,1.0
50,2020-07-13,32.24,32.43,31.3,32.05,32.05,2577150,0.0,1.0
51,2020-07-10,30.67,31.91,30.67,31.87,31.87,1622204,0.0,1.0
52,2020-07-09,32.09,32.15,30.42,30.83,30.83,2640546,0.0,1.0
53,2020-07-08,32.65,32.93,31.48,31.97,31.97,3273035,0.0,1.0
54,2020-07-07,33.5,33.5,32.6,32.68,32.68,2052742,0.0,1.0
55,2020-07-06,33.68,34.2,32.98,33.5,33.5,2350338,0.0,1.0
