,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,144.32,144.645,141.35,141.86,141.86,2085403,0.0,1.0
1,2020-09-18,145.69,147.0844,144.025,144.88,144.88,2608693,0.0,1.0
2,2020-09-17,148.83,149.6938,145.54,146.73,146.73,1854978,0.0,1.0
3,2020-09-16,150.0,152.98,149.37,150.43,150.43,2125404,0.0,1.0
4,2020-09-15,144.86,148.465,144.84,147.28,147.28,1881904,0.0,1.0
5,2020-09-14,145.01,146.34,143.22,144.28,144.28,1745707,1.12,1.0
6,2020-09-11,146.58,147.47,145.11,145.6,144.4785,1532163,0.0,1.0
7,2020-09-10,147.11,148.5411,145.45,145.63,144.5082,928141,0.0,1.0
8,2020-09-09,145.62,149.76,145.185,147.58,146.4432,2120168,0.0,1.0
9,2020-09-08,144.6,145.455,140.34,144.31,143.1984,2021824,0.0,1.0
10,2020-09-04,148.2,148.99,142.03,145.18,144.0617,2312309,0.0,1.0
11,2020-09-03,154.77,155.46,146.66,148.16,147.0187,1350072,0.0,1.0
12,2020-09-02,152.34,155.24,151.31,155.0,153.8061,2040787,0.0,1.0
13,2020-09-01,155.11,155.235,152.1,153.56,152.3771,735506,0.0,1.0
14,2020-08-31,154.91,157.0,154.47,155.65,154.451,1328212,0.0,1.0
15,2020-08-28,153.95,154.35,151.62,154.29,153.1015,1049003,0.0,1.0
16,2020-08-27,154.67,155.58,153.45,153.7,152.5161,869980,0.0,1.0
17,2020-08-26,153.76,154.09,152.34,153.96,152.7741,815581,0.0,1.0
18,2020-08-25,153.93,155.81,152.67,154.75,153.558,1312839,0.0,1.0
19,2020-08-24,154.25,154.74,150.305,152.85,151.6726,844385,0.0,1.0
20,2020-08-21,155.76,155.76,152.78,154.56,153.3694,757119,0.0,1.0
21,2020-08-20,151.48,156.04,151.12,155.15,153.9549,1055290,0.0,1.0
22,2020-08-19,157.2,157.33,151.41,151.98,150.8093,1185401,0.0,1.0
23,2020-08-18,156.55,157.2,154.81,156.46,155.2548,762271,0.0,1.0
24,2020-08-17,153.34,157.0,153.308,156.52,155.3143,1091210,0.0,1.0
25,2020-08-14,152.37,155.14,152.27,153.32,152.139,1294907,0.0,1.0
26,2020-08-13,154.09,155.0944,152.04,152.14,150.9681,968768,0.0,1.0
27,2020-08-12,151.92,154.87,151.5,154.44,153.2504,953003,0.0,1.0
