,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,107.13,107.76,106.19,107.56,107.56,1004771,0.0,1.0
1,2020-09-21,110.57,110.75,105.94,107.45,107.45,744928,0.0,1.0
2,2020-09-18,115.36,116.1405,112.1,112.6,112.6,1069520,0.0,1.0
3,2020-09-17,113.94,115.84,112.905,115.38,115.38,694182,0.0,1.0
4,2020-09-16,114.76,116.37,113.681,115.34,115.34,558491,0.0,1.0
5,2020-09-15,114.0,114.83,113.22,113.98,113.98,668066,0.0,1.0
6,2020-09-14,113.8,114.535,112.91,113.69,113.69,716524,0.0,1.0
7,2020-09-11,111.11,113.38,111.07,112.8,112.8,562047,0.0,1.0
8,2020-09-10,111.52,112.51,110.81,110.88,110.88,1026323,0.0,1.0
9,2020-09-09,109.18,112.57,108.86,111.51,111.51,797100,0.0,1.0
10,2020-09-08,108.79,110.01,107.55,108.14,108.14,740545,0.0,1.0
11,2020-09-04,111.24,111.29,108.59,109.62,109.62,603388,0.0,1.0
12,2020-09-03,113.09,113.81,108.57,109.75,109.75,575499,0.0,1.0
13,2020-09-02,111.65,113.95,110.84,113.4,113.4,651617,0.0,1.0
14,2020-09-01,109.33,111.535,108.86,111.42,111.42,493089,0.0,1.0
15,2020-08-31,111.0,111.17,109.41,109.84,109.84,699536,0.0,1.0
16,2020-08-28,111.16,111.67,110.23,111.38,111.38,398546,0.495,1.0
17,2020-08-27,112.17,112.45,111.04,111.52,111.0266,454571,0.0,1.0
18,2020-08-26,110.86,111.96,110.21,111.48,110.9867,468890,0.0,1.0
19,2020-08-25,111.49,111.89,110.43,111.23,110.7379,537582,0.0,1.0
20,2020-08-24,110.33,111.05,109.88,111.03,110.5387,617193,0.0,1.0
21,2020-08-21,110.09,110.83,108.83,109.94,109.4536,644917,0.0,1.0
22,2020-08-20,109.37,110.195,108.98,109.99,109.5033,652934,0.0,1.0
23,2020-08-19,111.55,112.0,110.34,110.72,110.2301,368982,0.0,1.0
24,2020-08-18,111.92,112.18,110.9,111.05,110.5587,529789,0.0,1.0
25,2020-08-17,111.7,112.43,110.86,111.89,111.3949,673199,0.0,1.0
26,2020-08-14,111.44,112.61,110.83,111.52,111.0266,722719,0.0,1.0
27,2020-08-13,111.81,112.54,111.18,112.1,111.604,556843,0.0,1.0
28,2020-08-12,112.95,113.22,111.855,112.57,112.0719,652682,0.0,1.0
29,2020-08-11,111.0,113.32,111.0,112.36,111.8629,984225,0.0,1.0
30,2020-08-10,108.36,110.94,108.36,110.5,110.0111,1042469,0.0,1.0
31,2020-08-07,105.38,108.1,105.38,108.03,107.552,883624,0.0,1.0
32,2020-08-06,104.56,105.29,104.05,105.24,104.7744,459783,0.0,1.0
