,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,404.96,414.915,400.9,413.75,413.75,544429,0.0,1.0
1,2020-09-21,395.44,405.96,392.08,404.97,404.97,655292,0.0,1.0
2,2020-09-18,393.41,398.05,388.9,397.59,397.59,780014,0.0,1.0
3,2020-09-17,386.72,395.44,385.83,395.07,395.07,524395,0.0,1.0
4,2020-09-16,390.72,394.01,385.98,385.98,385.98,411378,0.0,1.0
5,2020-09-15,389.74,394.715,387.39,389.52,389.52,444305,0.0,1.0
6,2020-09-14,395.45,397.59,385.26,388.52,388.52,521918,0.78,1.0
7,2020-09-11,401.39,401.9811,392.94,394.68,393.8892,720158,0.0,1.0
8,2020-09-10,383.94,395.18,383.125,388.97,388.1907,728322,0.0,1.0
9,2020-09-09,382.5,387.69,380.48,382.07,381.3045,594370,0.0,1.0
10,2020-09-08,381.57,386.645,376.11,376.32,375.566,683141,0.0,1.0
11,2020-09-04,397.61,401.2,376.3301,381.81,381.045,858116,0.0,1.0
12,2020-09-03,403.0,403.31,389.64,397.5,396.7036,802543,0.0,1.0
13,2020-09-02,409.86,413.18,402.62,403.6,402.7913,585834,0.0,1.0
14,2020-09-01,408.44,411.72,405.65,410.15,409.3282,512711,0.0,1.0
15,2020-08-31,418.0,418.28,407.16,408.96,408.1406,670947,0.0,1.0
16,2020-08-28,414.77,419.37,412.01,415.98,415.1465,321963,0.0,1.0
17,2020-08-27,418.09,422.9515,416.295,416.32,415.4859,370193,0.0,1.0
18,2020-08-26,417.56,419.715,414.92,418.09,417.2523,349541,0.0,1.0
19,2020-08-25,418.23,419.84,411.06,419.36,418.5198,380300,0.0,1.0
20,2020-08-24,423.02,424.72,416.77,418.99,418.1505,455994,0.0,1.0
21,2020-08-21,419.94,423.55,416.73,419.7,418.8591,368169,0.0,1.0
22,2020-08-20,413.33,419.655,412.82,418.33,417.4918,511173,0.0,1.0
23,2020-08-19,413.45,416.3,408.02,414.23,413.4001,612343,0.0,1.0
24,2020-08-18,410.0,413.73,406.17,411.45,410.6256,439481,0.0,1.0
25,2020-08-17,401.0,409.8,401.0,409.39,408.5697,734627,0.0,1.0
26,2020-08-14,399.98,400.9,393.665,398.99,398.1906,341645,0.0,1.0
27,2020-08-13,394.38,399.48,392.26,399.04,398.2405,580789,0.0,1.0
28,2020-08-12,390.36,395.95,388.02,392.67,391.8832,413962,0.0,1.0
29,2020-08-11,384.0,391.18,381.87,388.65,387.8713,453924,0.0,1.0
30,2020-08-10,389.56,391.915,384.4,385.93,385.1568,410325,0.0,1.0
31,2020-08-07,392.58,393.85,385.0,389.12,388.3404,472561,0.0,1.0
32,2020-08-06,392.19,395.24,390.92,392.55,391.7635,312491,0.0,1.0
33,2020-08-05,389.97,394.5,388.6,393.44,392.6517,539671,0.0,1.0
34,2020-08-04,385.0,392.03,383.54,391.86,391.0749,441372,0.0,1.0
35,2020-08-03,387.45,393.96,382.0,387.03,386.2545,558548,0.0,1.0
36,2020-07-31,384.92,387.12,377.955,386.61,385.8354,640228,0.0,1.0
37,2020-07-30,383.0,386.04,379.68,384.53,383.7596,678896,0.0,1.0
38,2020-07-29,387.19,389.3018,384.3,385.15,384.3783,435897,0.0,1.0
39,2020-07-28,389.54,390.83,384.765,385.42,384.6478,476784,0.0,1.0
40,2020-07-27,390.62,394.89,387.11,389.61,388.8294,549638,0.0,1.0
41,2020-07-24,379.48,387.23,376.5759,386.91,386.1348,549089,0.0,1.0
