,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,35.86,36.96,35.86,36.65,36.65,1948959,0.0,1.0
1,2020-09-21,36.09,36.41,35.65,35.83,35.83,2165493,0.0,1.0
2,2020-09-18,36.91,37.29,36.29,36.54,36.54,3910068,0.0,1.0
3,2020-09-17,37.68,37.82,36.8,37.04,37.04,1908898,0.0,1.0
4,2020-09-16,38.06,38.44,37.825,37.98,37.98,2003815,0.0,1.0
5,2020-09-15,37.98,38.27,37.76,37.82,37.82,2581667,0.0,1.0
6,2020-09-14,37.44,38.07,37.34,37.9,37.9,2518928,0.0,1.0
7,2020-09-11,37.59,37.76,36.795,37.15,37.15,1562539,0.0,1.0
8,2020-09-10,37.87,38.0,37.465,37.5,37.5,1885220,0.0,1.0
9,2020-09-09,37.91,38.77,37.84,37.92,37.92,1699249,0.0,1.0
10,2020-09-08,37.75,37.78,37.23,37.65,37.65,2043033,0.0,1.0
11,2020-09-04,38.81,39.03,37.34,38.17,38.17,1427173,0.0,1.0
12,2020-09-03,39.47,39.52,38.39,38.79,38.79,1785420,0.0,1.0
13,2020-09-02,38.58,39.32,38.36,39.29,39.29,1693704,0.0,1.0
14,2020-09-01,38.33,38.705,38.05,38.56,38.56,1278100,0.0,1.0
15,2020-08-31,38.54,38.6325,38.31,38.55,38.55,1673983,0.0,1.0
16,2020-08-28,38.83,38.945,38.215,38.68,38.68,1567532,0.0,1.0
17,2020-08-27,38.81,39.11,38.6,38.94,38.94,1500319,0.0,1.0
18,2020-08-26,38.48,38.92,38.22,38.66,38.66,1990461,0.0,1.0
19,2020-08-25,38.4,38.57,38.025,38.54,38.54,1601252,0.0,1.0
20,2020-08-24,38.16,38.33,37.58,38.32,38.32,1414452,0.0,1.0
21,2020-08-21,38.29,38.34,37.69,38.16,38.16,1191447,0.0,1.0
22,2020-08-20,37.82,38.43,37.78,38.1,38.1,1270186,0.0,1.0
23,2020-08-19,38.54,38.67,37.78,37.89,37.89,2004951,0.0,1.0
24,2020-08-18,38.66,38.77,38.33,38.47,38.47,1064812,0.0,1.0
25,2020-08-17,37.87,38.755,37.68,38.71,38.71,1479428,0.0,1.0
26,2020-08-14,38.79,38.79,37.77,37.89,37.89,2756524,0.0,1.0
27,2020-08-13,39.26,39.59,38.75,38.78,38.78,1332872,0.235,1.0
28,2020-08-12,39.2,39.73,38.91,39.59,39.3515,1112173,0.0,1.0
