,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,88.12,90.0,87.45,89.98,89.98,1514889,0.0,1.0
1,2020-09-21,86.09,87.85,85.38,87.78,87.78,2070070,0.0,1.0
2,2020-09-18,91.1,93.07,89.2,89.97,89.97,2035182,0.0,1.0
3,2020-09-17,92.11,93.1,90.547,91.62,91.62,1777122,0.0,1.0
4,2020-09-16,93.37,94.75,92.57,92.97,92.97,1920953,0.0,1.0
5,2020-09-15,91.25,94.45,90.34,93.38,93.38,1815728,0.0,1.0
6,2020-09-14,88.07,91.79,87.855,91.61,91.61,1563794,0.0,1.0
7,2020-09-11,89.95,89.96,84.91,86.8,86.8,1960205,0.0,1.0
8,2020-09-10,88.57,91.24,88.51,89.95,89.95,1727438,0.0,1.0
9,2020-09-09,89.43,89.81,88.06,88.58,88.58,1889221,0.0,1.0
10,2020-09-08,88.58,92.08,88.285,89.12,89.12,2200731,0.0,1.0
11,2020-09-04,90.05,91.34,87.6501,89.28,89.28,1469706,0.0,1.0
12,2020-09-03,90.14,92.32,87.84,89.1,89.1,1906125,0.0,1.0
13,2020-09-02,87.8,90.61,87.2842,90.31,90.31,1804480,0.0,1.0
14,2020-09-01,85.93,87.52,85.19,87.14,87.14,1922290,0.0,1.0
15,2020-08-31,89.9,89.93,86.67,86.67,86.67,1936207,0.0,1.0
16,2020-08-28,86.84,90.44,86.03,89.86,89.86,2932245,0.0,1.0
17,2020-08-27,83.88,87.37,83.775,85.76,85.76,2312039,0.0,1.0
18,2020-08-26,82.3,83.45,81.99,82.73,82.73,1520313,0.0,1.0
19,2020-08-25,83.69,84.289,81.635,82.61,82.61,1695209,0.0,1.0
20,2020-08-24,83.63,84.03,82.15,82.88,82.88,1629919,0.0,1.0
21,2020-08-21,81.31,83.47,80.9762,82.71,82.71,2086224,0.0,1.0
22,2020-08-20,79.39,81.36,78.85,80.91,80.91,1181673,0.0,1.0
23,2020-08-19,81.26,82.4799,79.411,79.87,79.87,3075181,0.0,1.0
24,2020-08-18,83.91,83.92,81.71,82.83,82.83,1640102,0.0,1.0
25,2020-08-17,83.62,84.21,82.49,83.9,83.9,1488534,0.0,1.0
26,2020-08-14,84.21,85.1,83.75,84.07,84.07,1654650,0.0,1.0
27,2020-08-13,84.5,85.472,83.84,84.55,84.55,2035259,0.0,1.0
28,2020-08-12,85.13,85.2,83.6,84.6,84.6,2727346,0.0,1.0
29,2020-08-11,83.43,85.98,81.78,84.14,84.14,4441153,0.0,1.0
30,2020-08-10,79.75,82.63,79.75,81.53,81.53,2636617,0.0,1.0
31,2020-08-07,76.0,79.08,75.54,79.06,79.06,2655754,0.0,1.0
32,2020-08-06,75.13,77.1,75.105,76.49,76.49,1714805,0.0,1.0
33,2020-08-05,77.47,78.23,74.91,75.75,75.75,1682179,0.0,1.0
34,2020-08-04,74.71,77.405,74.705,76.48,76.48,1742204,0.0,1.0
35,2020-08-03,76.22,76.33,73.88,74.49,74.49,1871948,0.0,1.0
36,2020-07-31,78.48,78.48,75.77,75.9,75.9,2719120,0.0,1.0
37,2020-07-30,77.2,78.91,76.45,78.55,78.55,1533119,0.0,1.0
38,2020-07-29,76.69,79.24,76.45,78.84,78.84,2110671,0.0,1.0
39,2020-07-28,74.8,77.03,74.22,75.84,75.84,2306059,0.0,1.0
40,2020-07-27,78.13,78.21,75.62,76.37,76.37,2379516,0.0,1.0
41,2020-07-24,76.09,78.8,75.17,78.64,78.64,1783746,0.0,1.0
42,2020-07-23,76.5,77.38,74.8,76.17,76.17,1553977,0.0,1.0
43,2020-07-22,74.82,78.11,74.6501,77.39,77.39,1397290,0.0,1.0
44,2020-07-21,75.29,76.41,74.8,75.5,75.5,1862722,0.0,1.0
45,2020-07-20,76.83,77.02,73.04,74.29,74.29,1977242,0.0,1.0
46,2020-07-17,76.67,77.63,75.94,77.51,77.51,2224100,0.0,1.0
47,2020-07-16,79.15,79.44,75.5,76.69,76.69,2404100,0.0,1.0
48,2020-07-15,75.35,79.28,75.1,79.12,79.12,3041300,0.0,1.0
49,2020-07-14,72.43,73.09,71.02,72.93,72.93,1733800,0.0,1.0
50,2020-07-13,74.31,76.11,71.41,72.9,72.9,3578400,0.0,1.0
51,2020-07-10,70.0,72.19,69.96,72.09,72.09,1974600,0.0,1.0
52,2020-07-09,73.94,73.94,69.77,71.34,71.34,2369600,0.0,1.0
53,2020-07-08,71.0,73.54,70.98,73.12,73.12,2007100,0.0,1.0
54,2020-07-07,74.3,74.92,72.07,72.19,72.19,2219400,0.0,1.0
55,2020-07-06,75.63,76.0,72.8,74.99,74.99,3023300,0.0,1.0
56,2020-07-02,77.97,78.1,74.08,74.78,74.78,3669700,0.0,1.0
57,2020-07-01,75.34,77.13,73.86,76.11,76.11,3791000,0.0,1.0
58,2020-06-30,75.54,76.28,74.28,75.77,75.77,2987000,0.0,1.0
59,2020-06-29,73.95,77.25,71.84,76.63,76.63,3880700,0.0,1.0
60,2020-06-26,74.58,74.89,70.33,72.95,72.95,7299573,0.0,1.0
61,2020-06-25,74.34,76.43,72.27,74.59,74.59,6344784,0.0,1.0
62,2020-06-24,72.99,73.825,68.9122,70.81,70.81,4125827,0.0,1.0
63,2020-06-23,73.0,75.44,72.39,75.35,75.35,3104349,0.0,1.0
64,2020-06-22,69.79,71.42,68.68,71.35,71.35,3835619,0.0,1.0
65,2020-06-19,75.51,75.695,70.06,70.27,70.27,6749918,0.0,1.0
66,2020-06-18,73.0,75.51,72.06,74.13,74.13,2295719,0.0,1.0
67,2020-06-17,77.21,77.21,73.86,74.19,74.19,2495052,0.0,1.0
68,2020-06-16,80.41,81.4565,76.31,76.71,76.71,3040794,0.0,1.0
69,2020-06-15,72.8,77.87,72.21,76.5,76.5,2501295,0.0,1.0
70,2020-06-12,76.24,76.66,71.92,75.94,75.94,3045632,0.0,1.0
71,2020-06-11,72.0,75.37,70.78,72.93,72.93,4507605,0.0,1.0
72,2020-06-10,80.78,80.94,76.72,77.77,77.77,2886818,0.0,1.0
73,2020-06-09,82.8,82.8,79.6,80.89,80.89,3282525,0.0,1.0
74,2020-06-08,88.82,88.82,83.45,84.74,84.74,3903109,0.0,1.0
75,2020-06-05,91.87,92.07,84.96,85.59,85.59,3539733,0.0,1.0
76,2020-06-04,85.35,88.22,83.82,86.04,86.04,3023277,0.0,1.0
77,2020-06-03,79.27,86.51,79.02,85.93,85.93,4058060,0.0,1.0
78,2020-06-02,78.95,79.56,77.14,78.12,78.12,1995315,0.0,1.0
79,2020-06-01,77.0,79.35,76.86,78.31,78.31,2337085,0.0,1.0
80,2020-05-29,78.07,79.4662,75.87,76.86,76.86,4400271,0.0,1.0
81,2020-05-28,82.4,82.4,78.75,79.5,79.5,2835123,0.0,1.0
82,2020-05-27,81.45,81.7,78.27,81.56,81.56,3073842,0.0,1.0
83,2020-05-26,79.71,80.79,78.01,78.47,78.47,3050399,0.0,1.0
84,2020-05-22,77.69,77.98,75.135,75.63,75.63,2551916,0.0,1.0
85,2020-05-21,78.01,78.24,75.585,77.22,77.22,2855446,0.0,1.0
86,2020-05-20,78.0,78.93,76.35,78.32,78.32,3941189,0.0,1.0
87,2020-05-19,75.0,78.0,72.62,75.82,75.82,3251344,0.0,1.0
88,2020-05-18,74.54,76.56,74.35,75.45,75.45,2982051,0.0,1.0
89,2020-05-15,66.0,70.11,65.35,69.61,69.61,2527850,0.0,1.0
90,2020-05-14,63.0,67.23,61.21,66.66,66.66,3676684,0.0,1.0
91,2020-05-13,69.57,69.6499,63.42,65.88,65.88,3964767,0.0,1.0
92,2020-05-12,74.56,75.13,68.87,70.32,70.32,3603170,0.0,1.0
93,2020-05-11,73.29,75.13,72.49,73.93,73.93,2728626,0.0,1.0
94,2020-05-08,72.02,74.88,71.75,74.72,74.72,2995564,0.0,1.0
95,2020-05-07,69.24,72.0988,68.76,70.53,70.53,2304457,0.0,1.0
96,2020-05-06,69.68,71.23,68.2,68.21,68.21,2552625,0.0,1.0
97,2020-05-05,72.27,72.63,68.6,68.99,68.99,2524104,0.0,1.0
98,2020-05-04,67.14,70.7,66.02,70.62,70.62,2041795,0.0,1.0
99,2020-05-01,70.4,72.3138,68.08,69.85,69.85,3465773,0.0,1.0
100,2020-04-30,76.94,77.5385,72.79,73.79,73.79,3296278,0.0,1.0
101,2020-04-29,78.12,81.1773,76.97,78.21,78.21,3907259,0.0,1.0
102,2020-04-28,76.41,77.11,71.22,74.8,74.8,4122318,0.0,1.0
103,2020-04-27,70.0,72.61,68.69,72.4,72.4,3280970,0.0,1.0
104,2020-04-24,67.69,69.3,65.75,68.82,68.82,3508573,0.0,1.0
105,2020-04-23,69.48,69.5,66.3,66.87,66.87,4051522,0.0,1.0
106,2020-04-22,64.98,69.46,64.97,68.3,68.3,6672416,0.0,1.0
107,2020-04-21,62.6,63.74,61.32,63.32,63.32,7065019,0.0,1.0
108,2020-04-20,61.34,64.55,61.01,61.79,61.79,2376563,0.0,1.0
109,2020-04-17,63.78,65.43,60.34,63.35,63.35,4036615,0.0,1.0
110,2020-04-16,58.69,59.99,56.51,57.98,57.98,2972211,0.0,1.0
111,2020-04-15,57.86,59.67,57.07,58.79,58.79,3733698,0.0,1.0
112,2020-04-14,63.37,64.7,60.72,61.15,61.15,3107453,0.0,1.0
113,2020-04-13,65.0,65.19,59.801,60.89,60.89,2190932,0.0,1.0
114,2020-04-09,67.97,69.17,62.13,64.34,64.34,4871901,0.0,1.0
115,2020-04-08,62.16,65.35,59.38,63.57,63.57,4049670,0.0,1.0
116,2020-04-07,57.64,63.34,56.6,58.96,58.96,6522092,0.0,1.0
117,2020-04-06,49.2,55.88,49.0,52.4,52.4,4853078,0.0,1.0
118,2020-04-03,44.24,46.39,43.18,45.48,45.48,3639658,0.0,1.0
119,2020-04-02,46.28,49.65,43.11,44.31,44.31,4706046,0.0,1.0
120,2020-04-01,50.3,51.15,45.0,46.02,46.02,6586709,0.0,1.0
121,2020-03-31,56.9,59.0,53.11,54.46,54.46,6167809,0.0,1.0
122,2020-03-30,53.04,57.84,51.02,56.85,56.85,4061484,0.0,1.0
123,2020-03-27,56.57,57.7099,52.5,54.66,54.66,6014510,0.0,1.0
124,2020-03-26,58.48,62.44,56.3,60.56,60.56,4741733,0.0,1.0
125,2020-03-25,56.66,67.715,54.0,58.45,58.45,7945229,0.0,1.0
126,2020-03-24,45.13,55.2,45.0,53.89,53.89,8697065,0.0,1.0
127,2020-03-23,39.88,42.24,37.15,41.03,41.03,7796930,0.0,1.0
128,2020-03-20,45.5,45.82,37.055,39.0,39.0,8877835,0.0,1.0
129,2020-03-19,33.73,46.54,30.5,42.42,42.42,10986124,0.0,1.0
130,2020-03-18,37.17,39.07,26.15,34.16,34.16,8744524,0.0,1.0
131,2020-03-17,49.9,50.16,35.94,41.93,41.93,9898043,0.0,1.0
132,2020-03-16,58.24,58.36,46.17,49.21,49.21,4488104,0.0,1.0
133,2020-03-13,63.96,65.4,59.29,65.32,65.32,4062297,0.0,1.0
134,2020-03-12,62.97,67.35,57.27,59.17,59.17,4078307,0.0,1.0
135,2020-03-11,79.05,79.29,69.7,70.21,70.21,3752859,0.0,1.0
