,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,111.48,112.93,111.24,112.01,112.01,862637,0.0,1.0
1,2020-09-21,110.46,112.04,109.65,111.3,111.3,1033190,0.0,1.0
2,2020-09-18,114.82,115.65,111.79,112.03,112.03,2000059,1.0125,1.0
3,2020-09-17,118.65,118.865,115.85,116.86,115.8133,1245797,0.0,1.0
4,2020-09-16,118.61,120.8185,118.0,119.04,117.9738,2717609,0.0,1.0
5,2020-09-15,120.61,121.45,117.78,118.56,117.4981,1422903,0.0,1.0
6,2020-09-14,119.0,121.26,118.68,120.38,119.3018,621009,0.0,1.0
7,2020-09-11,118.19,118.82,117.35,118.44,117.3792,616169,0.0,1.0
8,2020-09-10,119.26,119.925,117.8,117.92,116.8638,718740,0.0,1.0
9,2020-09-09,119.1,121.425,118.62,119.71,118.6378,713542,0.0,1.0
10,2020-09-08,119.22,119.74,116.69,118.08,117.0224,1101163,0.0,1.0
11,2020-09-04,119.59,120.08,117.31,118.81,117.7458,802465,0.0,1.0
12,2020-09-03,121.01,121.9,118.12,119.12,118.0531,952975,0.0,1.0
13,2020-09-02,117.79,121.06,117.3,120.46,119.3811,1071491,0.0,1.0
14,2020-09-01,118.05,118.6,116.94,117.79,116.735,905025,0.0,1.0
15,2020-08-31,118.0,119.08,117.835,118.67,117.6071,1004371,0.0,1.0
16,2020-08-28,117.41,118.225,116.42,117.86,116.8044,555276,0.0,1.0
17,2020-08-27,116.64,117.82,116.27,117.02,115.9719,845657,0.0,1.0
18,2020-08-26,116.33,116.915,115.19,115.74,114.7033,912677,0.0,1.0
19,2020-08-25,118.25,118.25,116.33,117.0,115.9521,563979,0.0,1.0
20,2020-08-24,116.12,118.145,115.58,117.97,116.9134,719666,0.0,1.0
21,2020-08-21,115.91,116.11,114.82,115.83,114.7925,1179739,0.0,1.0
22,2020-08-20,116.34,116.8193,115.18,115.46,114.4258,777909,0.0,1.0
23,2020-08-19,117.25,117.42,115.87,117.02,115.9719,719127,0.0,1.0
24,2020-08-18,117.0,117.675,116.12,116.53,115.4863,815299,0.0,1.0
25,2020-08-17,117.71,118.36,116.75,117.04,115.9917,1112900,0.0,1.0
26,2020-08-14,118.14,119.06,116.845,117.71,116.6557,462550,0.0,1.0
27,2020-08-13,118.07,118.945,117.35,118.16,117.1017,552529,0.0,1.0
28,2020-08-12,118.22,119.49,117.755,118.81,117.7458,615243,0.0,1.0
29,2020-08-11,120.94,121.47,117.27,117.39,116.3386,749835,0.0,1.0
30,2020-08-10,119.4,121.06,119.05,120.23,119.1531,888081,0.0,1.0
31,2020-08-07,115.9,119.47,115.9,118.86,117.7954,1101761,0.0,1.0
32,2020-08-06,115.36,117.41,114.84,116.94,115.8926,834294,0.0,1.0
33,2020-08-05,116.18,116.48,115.21,115.5,114.4655,1146774,0.0,1.0
34,2020-08-04,113.68,116.07,113.32,115.64,114.6042,1023756,0.0,1.0
35,2020-08-03,115.31,115.82,113.6776,113.87,112.8501,821515,0.0,1.0
36,2020-07-31,114.48,115.88,113.6,115.63,114.5943,1032299,0.0,1.0
37,2020-07-30,114.01,114.99,113.4,114.7,113.6727,923988,0.0,1.0
38,2020-07-29,114.97,115.455,113.46,115.22,114.188,1107432,0.0,1.0
39,2020-07-28,112.14,116.48,111.01,114.63,113.6033,1763871,0.0,1.0
40,2020-07-27,114.37,114.94,113.275,114.01,112.9888,1033508,0.0,1.0
41,2020-07-24,115.4,116.02,114.265,114.57,113.5438,1520512,0.0,1.0
42,2020-07-23,114.21,115.065,113.85,114.95,113.9204,1329362,0.0,1.0
43,2020-07-22,110.77,115.18,109.92,114.45,113.4249,1086673,0.0,1.0
44,2020-07-21,108.54,111.34,108.54,111.11,110.1148,1613365,0.0,1.0
