,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,9.38,9.46,9.125,9.27,9.27,5664180,0.0,1.0
1,2020-09-18,9.91,10.065,9.67,9.78,9.78,12580981,0.0,1.0
2,2020-09-17,9.51,9.97,9.4595,9.95,9.95,6791052,0.0,1.0
3,2020-09-16,9.4,9.93,9.22,9.76,9.76,7847853,0.0,1.0
4,2020-09-15,9.17,9.39,9.13,9.23,9.23,8890372,0.0,1.0
5,2020-09-14,9.04,9.22,8.9,9.12,9.12,6228140,0.0,1.0
6,2020-09-11,8.79,9.015,8.66,8.97,8.97,10429338,0.11,1.0
7,2020-09-10,9.58,9.69,8.86,8.87,8.7625,12149746,0.0,1.0
8,2020-09-09,9.77,9.79,9.365,9.58,9.4639,7062138,0.0,1.0
9,2020-09-08,10.21,10.25,9.49,9.62,9.5035,11081020,0.0,1.0
10,2020-09-04,10.61,10.7745,10.35,10.55,10.4222,5498361,0.0,1.0
11,2020-09-03,10.48,10.77,10.39,10.47,10.3432,8122473,0.0,1.0
12,2020-09-02,10.91,10.94,10.585,10.66,10.5309,8443800,0.0,1.0
13,2020-09-01,10.76,11.07,10.62,10.91,10.7778,5748459,0.0,1.0
14,2020-08-31,11.1,11.1403,10.75,10.87,10.7383,5002643,0.0,1.0
15,2020-08-28,10.84,11.23,10.79,11.1,10.9655,5612540,0.0,1.0
16,2020-08-27,10.76,10.87,10.52,10.76,10.6296,5458367,0.0,1.0
17,2020-08-26,11.0,11.1,10.68,10.7,10.5704,5244404,0.0,1.0
18,2020-08-25,10.9,11.065,10.71,10.98,10.847,5796308,0.0,1.0
19,2020-08-24,10.54,10.915,10.47,10.78,10.6494,5947059,0.0,1.0
20,2020-08-21,10.67,10.705,10.38,10.44,10.3135,4932329,0.0,1.0
21,2020-08-20,10.86,11.015,10.68,10.69,10.5605,5064611,0.0,1.0
22,2020-08-19,11.34,11.4,11.06,11.09,10.9556,6724876,0.0,1.0
23,2020-08-18,11.64,11.72,11.285,11.34,11.2026,6895150,0.0,1.0
24,2020-08-17,12.01,12.04,11.5422,11.74,11.5978,6798982,0.0,1.0
25,2020-08-14,11.77,12.12,11.58,12.12,11.9732,4218075,0.0,1.0
26,2020-08-13,12.21,12.3583,11.83,11.84,11.6966,7692518,0.26,1.0
27,2020-08-12,12.67,12.75,12.31,12.51,12.0929,6984044,0.0,1.0
28,2020-08-11,13.04,13.25,12.3,12.36,11.9479,8952613,0.0,1.0
29,2020-08-10,12.25,12.7,12.12,12.64,12.2186,10311323,0.0,1.0
30,2020-08-07,11.57,12.17,11.43,12.11,11.7062,9433928,0.0,1.0
31,2020-08-06,11.9,12.0463,11.635,11.77,11.3776,9407312,0.0,1.0
32,2020-08-05,11.86,12.14,11.55,12.04,11.6386,14173266,0.0,1.0
33,2020-08-04,10.57,11.32,10.55,11.09,10.7202,11389173,0.0,1.0
34,2020-08-03,10.51,10.765,10.28,10.6,10.2466,6596775,0.0,1.0
35,2020-07-31,10.23,10.52,10.13,10.49,10.1402,7554313,0.0,1.0
36,2020-07-30,10.52,10.59,10.16,10.34,9.9952,7693253,0.0,1.0
37,2020-07-29,10.41,10.85,10.2718,10.84,10.4786,7501132,0.0,1.0
38,2020-07-28,10.36,10.675,10.31,10.34,9.9952,5853441,0.0,1.0
39,2020-07-27,10.67,10.7,10.26,10.43,10.0822,7119603,0.0,1.0
40,2020-07-24,10.85,11.09,10.67,10.7,10.3432,5428010,0.0,1.0
