,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,50.64,51.04,49.83,50.92,50.92,6368943,0.0,1.0
1,2020-09-21,47.925,50.235,47.73,50.14,50.14,9097420,0.0,1.0
2,2020-09-18,49.0,49.24,48.08,48.61,48.61,10017383,0.0,1.0
3,2020-09-17,49.36,49.44,47.44,48.64,48.64,15676173,0.0,1.0
4,2020-09-16,51.78,52.25,50.29,50.42,50.42,9394266,0.0,1.0
5,2020-09-15,52.68,52.99,51.64,51.78,51.78,7749957,0.0,1.0
6,2020-09-14,53.285,53.58,52.21,52.3,52.3,7417759,0.0,1.0
7,2020-09-11,52.33,53.08,52.1,52.77,52.77,7224692,0.0,1.0
8,2020-09-10,53.72,54.6,52.03,52.32,52.32,7080713,0.0,1.0
9,2020-09-09,52.03,53.71,51.71,53.44,53.44,8912076,0.0,1.0
10,2020-09-08,51.17,52.66,50.97,51.53,51.53,12745061,0.0,1.0
11,2020-09-04,52.82,53.33,50.95,52.54,52.54,9971559,0.0,1.0
12,2020-09-03,54.6449,55.42,52.59,53.16,53.16,10157677,0.0,1.0
13,2020-09-02,53.89,55.23,53.51,55.085,55.085,10896258,0.0,1.0
14,2020-09-01,54.9539,55.23,53.37,53.65,53.65,10127517,0.0,1.0
15,2020-08-31,54.0,54.91,53.57,54.78,54.78,13417201,0.16,1.0
16,2020-08-28,56.26,56.26,54.05,54.27,54.112,12445465,0.0,1.0
17,2020-08-27,58.92,58.92,56.2,56.31,56.146,8112935,0.0,1.0
18,2020-08-26,57.96,58.655,57.38,58.58,58.4094,6498770,0.0,1.0
19,2020-08-25,58.51,58.89,58.015,58.05,57.8809,4983189,0.0,1.0
20,2020-08-24,58.46,58.96,58.055,58.78,58.6088,6053230,0.0,1.0
21,2020-08-21,57.86,59.06,57.51,58.205,58.0355,6784603,0.0,1.0
22,2020-08-20,57.6,58.06,57.16,57.66,57.4921,6458353,0.0,1.0
23,2020-08-19,57.145,58.38,57.03,57.71,57.5419,7208619,0.0,1.0
