,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,72.64,74.19,72.48,73.7,73.7,2865529,0.0,1.0
1,2020-09-21,73.33,73.72,71.73,72.84,72.84,3213090,0.0,1.0
2,2020-09-18,75.38,75.92,73.64,73.88,73.88,4431889,0.0,1.0
3,2020-09-17,75.27,76.55,74.61,75.93,75.93,3690408,0.0,1.0
4,2020-09-16,74.3,76.34,74.0,75.68,75.68,3961190,0.0,1.0
5,2020-09-15,74.74,75.59,73.962,74.47,74.47,2637308,0.0,1.0
6,2020-09-14,73.44,74.48,72.82,74.22,74.22,2308923,0.0,1.0
7,2020-09-11,72.68,73.04,72.11,72.74,72.74,2176447,0.0,1.0
8,2020-09-10,72.63,74.25,71.68,72.77,72.77,8656367,0.0,1.0
9,2020-09-09,73.34,74.55,72.86,72.91,72.91,1970093,0.0,1.0
10,2020-09-08,72.99,73.44,72.08,72.8,72.8,3104473,0.0,1.0
11,2020-09-04,72.86,73.51,71.9,73.04,73.04,3121271,0.0,1.0
12,2020-09-03,72.61,73.57,71.78,72.4,72.4,3609511,0.0,1.0
13,2020-09-02,69.56,72.41,69.3,72.23,72.23,2391849,0.0,1.0
14,2020-09-01,70.88,71.0,69.37,69.65,69.65,1867773,0.0,1.0
15,2020-08-31,70.61,71.45,70.59,71.34,71.34,2461865,0.0,1.0
16,2020-08-28,71.26,71.26,70.1,70.92,70.92,1480009,0.0,1.0
17,2020-08-27,71.0,71.79,70.55,71.07,71.07,1808717,0.0,1.0
18,2020-08-26,72.45,72.45,70.3122,70.78,70.78,2667501,0.0,1.0
19,2020-08-25,74.36,74.48,72.69,73.01,73.01,2057120,0.0,1.0
20,2020-08-24,72.32,74.33,71.845,74.32,74.32,2326534,0.0,1.0
21,2020-08-21,72.67,72.7,71.18,72.2,72.2,3823731,0.0,1.0
22,2020-08-20,73.1,73.72,72.32,72.4,72.4,2444139,0.0,1.0
23,2020-08-19,73.35,73.89,72.9,73.44,73.44,1742309,0.0,1.0
24,2020-08-18,73.65,73.95,73.115,73.35,73.35,1548819,0.765,1.0
25,2020-08-17,73.81,75.015,73.4,74.41,73.642,2466992,0.0,1.0
26,2020-08-14,73.35,74.09,72.79,73.53,72.771,1641648,0.0,1.0
27,2020-08-13,73.85,74.03,72.99,73.77,73.0086,1566376,0.0,1.0
28,2020-08-12,73.51,74.89,73.44,74.26,73.4935,1370207,0.0,1.0
29,2020-08-11,75.0,75.41,73.12,73.26,72.5038,1970822,0.0,1.0
30,2020-08-10,75.94,76.34,75.2,75.38,74.6019,1505830,0.0,1.0
31,2020-08-07,73.25,75.8,73.22,75.11,74.3347,1634010,0.0,1.0
32,2020-08-06,73.89,74.12,73.15,73.92,73.157,1580033,0.0,1.0
33,2020-08-05,75.59,75.95,73.5,73.66,72.8997,2158513,0.0,1.0
34,2020-08-04,75.75,76.69,75.66,75.9,75.1166,1873672,0.0,1.0
35,2020-08-03,76.55,76.65,75.24,75.91,75.1265,1645780,0.0,1.0
36,2020-07-31,76.56,77.11,75.85,76.83,76.037,4369318,0.0,1.0
37,2020-07-30,76.11,77.14,75.87,76.94,76.1458,2133046,0.0,1.0
38,2020-07-29,76.28,76.9,75.5,76.7,75.9083,1515696,0.0,1.0
39,2020-07-28,74.43,76.67,74.43,76.36,75.5718,1520606,0.0,1.0
40,2020-07-27,75.38,75.39,74.09,74.76,73.9883,1731902,0.0,1.0
41,2020-07-24,76.62,77.65,75.2601,75.58,74.7999,1619232,0.0,1.0
42,2020-07-23,75.77,76.77,75.535,76.25,75.463,1575068,0.0,1.0
43,2020-07-22,74.03,76.18,73.55,75.76,74.978,1714747,0.0,1.0
44,2020-07-21,73.02,74.98,72.89,74.28,73.5133,2174700,0.0,1.0
45,2020-07-20,73.62,73.85,72.88,73.26,72.5038,1455000,0.0,1.0
46,2020-07-17,72.03,74.12,72.03,74.07,73.3055,1742300,0.0,1.0
47,2020-07-16,71.68,72.29,71.46,71.84,71.0985,1158000,0.0,1.0
48,2020-07-15,72.31,72.9,71.38,71.51,70.7719,2357500,0.0,1.0
49,2020-07-14,72.19,73.26,71.61,72.17,71.4251,2122900,0.0,1.0
50,2020-07-13,72.49,72.78,71.69,72.16,71.4152,1868300,0.0,1.0
51,2020-07-10,71.71,72.7,71.46,72.48,71.7319,1746100,0.0,1.0
52,2020-07-09,71.99,72.1,70.01,71.71,70.9698,1698600,0.0,1.0
53,2020-07-08,72.67,72.88,71.84,72.43,71.6824,1455100,0.0,1.0
54,2020-07-07,72.21,72.76,72.12,72.5,71.7517,1775800,0.0,1.0
55,2020-07-06,74.47,75.12,72.5,73.1,72.3455,1520800,0.0,1.0
56,2020-07-02,73.1,74.36,73.01,73.81,73.0481,1430400,0.0,1.0
57,2020-07-01,71.93,73.42,71.82,73.1,72.3455,1692100,0.0,1.0
58,2020-06-30,72.61,72.98,71.01,71.93,71.1876,2206200,0.0,1.0
59,2020-06-29,71.76,72.7,70.69,72.7,71.9496,1594235,0.0,1.0
60,2020-06-26,70.64,71.98,70.46,71.28,70.5443,3422600,0.0,1.0
61,2020-06-25,71.26,71.38,69.81,70.62,69.8911,2435600,0.0,1.0
62,2020-06-24,70.32,72.01,69.91,71.53,70.7917,2436900,0.0,1.0
63,2020-06-23,72.12,72.32,70.7,70.94,70.2078,1395200,0.0,1.0
64,2020-06-22,71.44,72.68,70.86,71.42,70.6828,2184300,0.0,1.0
65,2020-06-19,75.92,75.92,71.44,71.44,70.7026,4629900,0.0,1.0
66,2020-06-18,74.98,75.97,74.51,74.87,74.0972,1406600,0.0,1.0
67,2020-06-17,76.62,76.68,74.81,75.29,74.5129,1933900,0.0,1.0
68,2020-06-16,77.02,78.17,75.94,76.37,75.5817,1880300,0.0,1.0
69,2020-06-15,74.37,76.8,73.85,75.6,74.8197,2742500,0.0,1.0
70,2020-06-12,76.07,76.4,74.27,75.38,74.6019,2456700,0.0,1.0
71,2020-06-11,75.77,75.99,73.81,74.67,73.8993,2175700,0.0,1.0
72,2020-06-10,76.5,77.67,76.5,76.95,76.1557,1784200,0.0,1.0
73,2020-06-09,77.25,77.34,75.87,76.7,75.9083,1867900,0.0,1.0
74,2020-06-08,75.4,77.77,75.1,77.71,76.9079,1914900,0.0,1.0
75,2020-06-05,75.3,76.21,74.96,75.33,74.5525,1916800,0.0,1.0
76,2020-06-04,75.23,75.61,73.85,74.83,74.0576,1676100,0.0,1.0
77,2020-06-03,75.2,76.29,75.0,75.67,74.8889,1512400,0.0,1.0
78,2020-06-02,75.43,75.52,73.99,74.82,74.0477,1418100,0.0,1.0
79,2020-06-01,74.97,75.71,73.93,75.07,74.2951,1612100,0.0,1.0
80,2020-05-29,72.86,75.21,72.45,75.06,74.2852,3220700,0.0,1.0
