,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,155.52,157.42,155.32,156.09,156.09,618814,0.0,1.0
1,2020-09-21,154.07,155.16,152.21,155.1,155.1,817757,0.0,1.0
2,2020-09-18,158.14,159.12,154.4,155.92,155.92,1019661,0.0,1.0
3,2020-09-17,157.38,159.35,155.544,159.16,159.16,969990,0.0,1.0
4,2020-09-16,160.72,161.37,158.7501,159.12,159.12,647784,0.0,1.0
5,2020-09-15,164.45,164.59,159.52,160.23,160.23,562842,0.0,1.0
6,2020-09-14,164.44,165.43,163.24,163.32,163.32,823254,0.0,1.0
7,2020-09-11,162.38,162.92,160.28,162.55,162.55,915153,0.0,1.0
8,2020-09-10,167.44,169.35,161.35,161.69,161.69,1129062,0.0,1.0
9,2020-09-09,166.5,169.91,164.88,167.7,167.7,989203,0.0,1.0
10,2020-09-08,164.87,166.3357,160.32,163.82,163.82,1308897,0.0,1.0
11,2020-09-04,170.54,171.53,165.6,166.39,166.39,769587,0.0,1.0
12,2020-09-03,173.25,174.1666,167.34,168.85,168.85,531532,0.0,1.0
13,2020-09-02,169.64,174.72,169.02,174.13,174.13,515497,0.0,1.0
14,2020-09-01,167.43,169.25,166.49,168.69,168.69,623064,0.0,1.0
15,2020-08-31,168.21,168.84,165.64,168.27,168.27,676077,0.0,1.0
16,2020-08-28,166.25,169.04,165.015,168.37,168.37,709544,0.0,1.0
17,2020-08-27,162.2,167.05,161.6625,166.19,166.19,713654,0.0,1.0
18,2020-08-26,159.66,162.395,159.37,161.27,161.27,1112155,0.0,1.0
19,2020-08-25,160.08,161.195,159.12,160.18,160.18,558172,0.0,1.0
20,2020-08-24,159.51,159.815,157.22,159.38,159.38,1183028,0.39,1.0
21,2020-08-21,160.61,161.0,158.29,159.33,158.9411,730780,0.0,1.0
22,2020-08-20,160.7,162.03,159.801,161.46,161.0659,598721,0.0,1.0
23,2020-08-19,165.1,165.2,161.26,161.82,161.425,523137,0.0,1.0
24,2020-08-18,164.47,166.6,164.015,164.8,164.3977,709648,0.0,1.0
25,2020-08-17,165.89,166.535,164.32,164.37,163.9688,366117,0.0,1.0
26,2020-08-14,166.12,167.1,163.925,164.74,164.3379,321027,0.0,1.0
27,2020-08-13,165.49,167.59,165.49,166.74,166.333,386445,0.0,1.0
