,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,50.74,50.85,49.15,49.7,49.7,3093589,0.0,1.0
1,2020-09-18,52.39,52.93,51.19,51.42,51.42,4879984,0.0,1.0
2,2020-09-17,52.08,52.68,51.59,52.63,52.63,2977817,0.0,1.0
3,2020-09-16,51.42,52.89,51.37,52.54,52.54,3959338,0.0,1.0
4,2020-09-15,51.87,52.86,51.22,51.51,51.51,1882404,0.0,1.0
5,2020-09-14,50.82,51.77,50.51,51.65,51.65,1798297,0.0,1.0
6,2020-09-11,50.62,50.64,49.9,50.63,50.63,2650092,0.0,1.0
7,2020-09-10,51.42,51.57,50.5,50.5,50.5,2892004,0.0,1.0
8,2020-09-09,51.7,52.29,51.04,51.54,51.54,2527754,0.0,1.0
9,2020-09-08,52.43,52.53,51.13,51.37,51.37,2585348,0.0,1.0
10,2020-09-04,53.06,53.27,51.44,52.26,52.26,1867453,0.0,1.0
11,2020-09-03,52.9,53.58,52.38,52.96,52.96,2127135,0.0,1.0
12,2020-09-02,51.94,52.89,51.72,52.57,52.57,2443607,0.0,1.0
13,2020-09-01,52.15,52.27,51.525,51.81,51.81,1682177,0.0,1.0
14,2020-08-31,51.88,52.64,51.82,52.48,52.48,2415620,0.0,1.0
15,2020-08-28,52.12,52.28,51.59,52.17,52.17,1776407,0.0,1.0
16,2020-08-27,51.25,51.98,51.16,51.75,51.75,1691738,0.0,1.0
17,2020-08-26,51.68,51.77,50.68,51.09,51.09,1630456,0.0,1.0
18,2020-08-25,52.39,52.48,51.6,52.0,52.0,1297477,0.0,1.0
19,2020-08-24,51.36,52.37,50.93,52.34,52.34,1416311,0.0,1.0
20,2020-08-21,51.43,51.46,50.39,51.26,51.26,2423510,0.0,1.0
21,2020-08-20,51.89,52.135,50.97,51.24,51.24,2059664,0.0,1.0
22,2020-08-19,51.63,52.67,51.22,52.25,52.25,2367202,0.0,1.0
23,2020-08-18,51.83,52.03,51.1,51.49,51.49,2447316,0.0,1.0
