,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,80.47,81.01,77.875,79.01,79.01,1002859,0.0,1.0
1,2020-09-21,82.39,82.51,79.8,80.57,80.57,1426321,0.0,1.0
2,2020-09-18,84.41,85.44,83.03,83.83,83.83,1794806,0.0,1.0
3,2020-09-17,82.28,86.3162,80.99,85.48,85.48,1739046,0.0,1.0
4,2020-09-16,80.62,83.57,80.23,82.75,82.75,1518781,0.0,1.0
5,2020-09-15,80.94,81.32,79.5959,80.15,80.15,1354529,0.0,1.0
6,2020-09-14,80.2,81.01,79.33,81.0,81.0,1300203,0.66,1.0
7,2020-09-11,79.05,80.05,78.24,80.0,79.3534,989825,0.0,1.0
8,2020-09-10,79.81,80.1865,78.185,78.5,77.8655,1039845,0.0,1.0
9,2020-09-09,78.28,80.17,78.07,79.8,79.155,944998,0.0,1.0
10,2020-09-08,77.92,78.46,76.44,77.54,76.9133,1383459,0.0,1.0
11,2020-09-04,78.65,79.43,77.54,78.93,78.2921,1438854,0.0,1.0
12,2020-09-03,78.68,78.98,76.48,77.64,77.0125,1425349,0.0,1.0
13,2020-09-02,76.99,79.27,76.11,79.09,78.4508,1326211,0.0,1.0
14,2020-09-01,72.69,76.64,72.02,76.61,75.9908,1228464,0.0,1.0
15,2020-08-31,74.5,74.58,72.985,73.11,72.5191,983483,0.0,1.0
16,2020-08-28,74.17,74.59,72.6,74.43,73.8284,565257,0.0,1.0
17,2020-08-27,73.43,74.195,72.55,73.89,73.2928,718314,0.0,1.0
18,2020-08-26,73.37,74.1,73.11,73.28,72.6877,534505,0.0,1.0
19,2020-08-25,73.58,74.55,73.01,73.46,72.8663,1404732,0.0,1.0
20,2020-08-24,71.46,73.43,71.35,73.34,72.7472,634224,0.0,1.0
21,2020-08-21,71.26,71.64,70.5,70.8,70.2278,681414,0.0,1.0
22,2020-08-20,71.06,71.92,71.06,71.45,70.8725,482261,0.0,1.0
23,2020-08-19,72.2,72.445,71.52,71.88,71.299,494778,0.0,1.0
24,2020-08-18,72.31,73.08,71.86,71.9,71.3189,517617,0.0,1.0
25,2020-08-17,73.12,73.95,71.68,72.4,71.8148,1138238,0.0,1.0
26,2020-08-14,72.72,73.545,72.52,73.29,72.6976,370896,0.0,1.0
27,2020-08-13,73.31,74.03,72.87,73.37,72.777,612877,0.0,1.0
28,2020-08-12,75.5,75.9427,73.49,73.58,72.9853,1099476,0.0,1.0
29,2020-08-11,75.49,76.47,74.94,75.18,74.5724,724284,0.0,1.0
30,2020-08-10,72.77,74.54,72.77,74.25,73.6499,953883,0.0,1.0
31,2020-08-07,71.55,73.06,71.0,73.06,72.4695,655116,0.0,1.0
32,2020-08-06,72.2,72.53,71.55,71.92,71.3387,881009,0.0,1.0
33,2020-08-05,71.25,73.62,71.25,72.56,71.9735,1487753,0.0,1.0
34,2020-08-04,72.85,72.95,69.64,71.08,70.5055,1992100,0.0,1.0
35,2020-08-03,74.99,75.99,74.19,75.17,74.5625,1032208,0.0,1.0
36,2020-07-31,74.79,75.05,73.5,74.63,74.0268,1873584,0.0,1.0
37,2020-07-30,75.99,76.07,74.33,74.94,74.3343,706867,0.0,1.0
38,2020-07-29,76.77,77.56,76.23,77.43,76.8042,638931,0.0,1.0
39,2020-07-28,77.81,78.14,76.08,76.36,75.7428,826347,0.0,1.0
40,2020-07-27,76.63,78.96,75.91,78.42,77.7862,1100021,0.0,1.0
41,2020-07-24,76.6,77.3,76.08,76.64,76.0206,757780,0.0,1.0
42,2020-07-23,76.32,77.1,75.5,76.48,75.8619,545922,0.0,1.0
43,2020-07-22,76.02,76.69,75.69,76.6,75.9809,580501,0.0,1.0
44,2020-07-21,75.05,76.57,75.05,76.21,75.594,870481,0.0,1.0
45,2020-07-20,75.26,75.99,74.37,74.99,74.3839,958795,0.0,1.0
46,2020-07-17,76.02,76.2,75.04,75.89,75.2766,956170,0.0,1.0
47,2020-07-16,75.0,76.0,74.41,75.65,75.0386,770867,0.0,1.0
48,2020-07-15,74.34,75.55,73.88,75.23,74.622,1120164,0.0,1.0
49,2020-07-14,71.05,73.17,71.01,73.02,72.4298,1058308,0.0,1.0
50,2020-07-13,71.11,72.52,70.38,71.42,70.8428,1004468,0.0,1.0
51,2020-07-10,68.31,70.35,68.24,70.19,69.6227,659259,0.0,1.0
52,2020-07-09,69.74,69.74,67.69,68.31,67.7579,980447,0.0,1.0
53,2020-07-08,71.07,71.35,68.71,69.79,69.2259,1303347,0.0,1.0
54,2020-07-07,71.19,72.21,70.8,71.3,70.7237,1079302,0.0,1.0
55,2020-07-06,71.83,72.04,70.07,71.97,71.3883,1161743,0.0,1.0
56,2020-07-02,70.09,71.59,69.19,69.98,69.4144,1019377,0.0,1.0
57,2020-07-01,69.55,69.68,68.06,68.7,68.1447,1357092,0.0,1.0
58,2020-06-30,68.84,70.36,67.83,69.64,69.0771,1290075,0.0,1.0
59,2020-06-29,67.91,69.83,67.853,69.32,68.7597,799341,0.0,1.0
60,2020-06-26,67.38,67.83,66.34,67.28,66.7362,1392447,0.0,1.0
61,2020-06-25,66.37,67.83,65.86,67.72,67.1727,818257,0.0,1.0
62,2020-06-24,68.23,68.23,66.14,66.85,66.3097,1092377,0.0,1.0
63,2020-06-23,70.43,70.7,69.32,69.33,68.7697,1126094,0.0,1.0
64,2020-06-22,69.03,69.72,68.4,69.26,68.7002,1036069,0.0,1.0
65,2020-06-19,71.91,72.07,68.87,69.49,68.9284,2802059,0.0,1.0
66,2020-06-18,69.72,71.05,69.57,70.44,69.8707,813508,0.0,1.0
67,2020-06-17,72.11,72.15,70.28,70.5,69.9302,979895,0.0,1.0
68,2020-06-16,72.46,73.42,69.95,71.56,70.9816,1007690,0.0,1.0
69,2020-06-15,67.14,70.15,66.34,69.6,69.0375,1027037,0.0,1.0
70,2020-06-12,68.88,70.11,67.75,69.63,69.0672,1199334,0.66,1.0
71,2020-06-11,72.0,72.83,66.5,66.53,65.3726,1976914,0.0,1.0
72,2020-06-10,77.12,77.45,75.26,75.64,74.3242,1537945,0.0,1.0
73,2020-06-09,75.38,77.5,74.64,77.02,75.6802,1487770,0.0,1.0
74,2020-06-08,77.39,77.98,76.36,77.34,75.9946,1173985,0.0,1.0
75,2020-06-05,76.71,77.53,74.62,76.92,75.5819,1899807,0.0,1.0
