,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,39.07,39.7,37.9761,38.45,38.45,3617878,0.0,1.0
1,2020-09-21,39.5,40.11,38.29,38.81,38.81,4719980,0.0,1.0
2,2020-09-18,40.8,41.55,40.31,40.71,40.71,5865754,0.0,1.0
3,2020-09-17,39.86,41.2,39.56,41.19,41.19,3900685,0.0,1.0
4,2020-09-16,38.9,41.58,38.65,40.86,40.86,6554612,0.0,1.0
5,2020-09-15,39.5,39.78,38.43,38.59,38.59,4791164,0.0,1.0
6,2020-09-14,39.31,39.76,38.54,39.17,39.17,5543260,0.0,1.0
7,2020-09-11,38.48,39.19,37.9,39.05,39.05,5658349,0.0,1.0
8,2020-09-10,41.82,41.82,37.99,38.0,38.0,7457202,0.0,1.0
9,2020-09-09,41.36,42.34,40.95,41.86,41.86,3565132,0.0,1.0
10,2020-09-08,42.17,42.36,40.03,40.83,40.83,5747395,0.0,1.0
11,2020-09-04,43.57,43.92,42.55,43.14,43.14,4418485,0.0,1.0
12,2020-09-03,43.71,44.6,42.78,43.13,43.13,5188178,0.0,1.0
13,2020-09-02,44.72,45.14,43.53,43.7,43.7,5249985,0.0,1.0
14,2020-09-01,44.72,45.375,44.39,45.21,45.21,2906426,0.0,1.0
15,2020-08-31,46.22,46.25,45.01,45.34,45.34,3017617,0.0,1.0
16,2020-08-28,45.31,46.25,44.76,46.21,46.21,3365853,0.0,1.0
17,2020-08-27,43.61,45.1,43.2,44.95,44.95,5453766,0.0,1.0
18,2020-08-26,44.24,44.36,43.01,43.26,43.26,3054055,0.0,1.0
19,2020-08-25,44.98,45.13,44.05,44.38,44.38,3263377,0.0,1.0
20,2020-08-24,43.71,44.965,43.36,44.33,44.33,6078888,0.0,1.0
21,2020-08-21,44.08,44.12,42.98,43.39,43.39,4166373,0.0,1.0
22,2020-08-20,44.96,45.3,44.09,44.1,44.1,4225548,0.0,1.0
23,2020-08-19,46.2,46.56,45.4403,45.61,45.61,2878945,0.0,1.0
24,2020-08-18,46.32,47.18,46.18,46.35,46.35,3215371,0.0,1.0
25,2020-08-17,47.9,47.9,46.09,46.54,46.54,4683362,0.0,1.0
26,2020-08-14,47.35,47.98,46.9335,47.97,47.97,3498927,0.0,1.0
27,2020-08-13,48.77,49.15,47.38,47.42,47.42,3394574,0.0,1.0
28,2020-08-12,50.33,50.34,48.62,49.09,49.09,4644346,0.0,1.0
